Event Day,ShipType,CommodityType,Constraint
0,COMBO,AF-SUPPORT,true
0,COMBO,AF-PREPO,true
0,COMBO,MARINE-PREPO,true
0,COMBO,ARMY-PREPO,true
0,COMBO,AIRBORNE,true
0,COMBO,ARMOR,true
0,COMBO,MECH-INFANTR,true
0,COMBO,AIRMOBILE,true
0,COMBO,CBAC,true
0,COMBO,INFANTRY,true
0,COMBO,ARMOR-CAV,true
0,COMBO,AMPH-MARINES,true
0,COMBO,MARINES,true
0,COMBO,CS-ENGINEER,true
0,COMBO,CS-ARTILLERY,true
0,COMBO,CS-OTHER,true
0,COMBO,CSS-ENGINEER,true
0,COMBO,CSS-MEDICAL,true
0,COMBO,CSS-SIGNAL,true
0,COMBO,CSS-SUPPLY,true
0,COMBO,CSS-TRANSPOR,true
0,COMBO,CSS-OTHER,true
0,COMBO,NAVY-UE,true
0,COMBO,RESUPPLY,true
0,COMBO,AMMUNITION,true
0,COMBO,POL,true
0,COMBO,GEN-RESUPPLY,true
0,COMBO,GEN-AMMO,true
0,COMBO,GEN-POL,true
0,CONT-NSS,AF-AIRCRAFT,true
0,CONT-NSS,AF-SUPPORT,true
0,CONT-NSS,AF-PREPO,true
0,CONT-NSS,MARINE-PREPO,true
0,CONT-NSS,ARMY-PREPO,true
0,CONT-NSS,AIRBORNE,true
0,CONT-NSS,ARMOR,true
0,CONT-NSS,MECH-INFANTR,true
0,CONT-NSS,AIRMOBILE,true
0,CONT-NSS,CBAC,true
0,CONT-NSS,INFANTRY,true
0,CONT-NSS,ARMOR-CAV,true
0,CONT-NSS,AMPH-MARINES,true
0,CONT-NSS,MARINES,true
0,CONT-NSS,CS-ENGINEER,true
0,CONT-NSS,CS-ARTILLERY,true
0,CONT-NSS,CS-OTHER,true
0,CONT-NSS,CSS-ENGINEER,true
0,CONT-NSS,CSS-MEDICAL,true
0,CONT-NSS,CSS-SIGNAL,true
0,CONT-NSS,CSS-SUPPLY,true
0,CONT-NSS,CSS-TRANSPOR,true
0,CONT-NSS,CSS-OTHER,true
0,CONT-NSS,NAVY-UE,true
0,CONT-NSS,RESUPPLY,true
0,CONT-NSS,AMMUNITION,true
0,CONT-NSS,POL,true
0,CONT-NSS,GEN-RESUPPLY,true
0,CONT-NSS,GEN-AMMO,true
0,CONT-NSS,GEN-POL,true
0,CONT-SS,AF-AIRCRAFT,true
0,CONT-SS,AF-SUPPORT,true
0,CONT-SS,AF-PREPO,true
0,CONT-SS,MARINE-PREPO,true
0,CONT-SS,ARMY-PREPO,true
0,CONT-SS,AIRBORNE,true
0,CONT-SS,ARMOR,true
0,CONT-SS,MECH-INFANTR,true
0,CONT-SS,AIRMOBILE,true
0,CONT-SS,CBAC,true
0,CONT-SS,INFANTRY,true
0,CONT-SS,ARMOR-CAV,true
0,CONT-SS,AMPH-MARINES,true
0,CONT-SS,MARINES,true
0,CONT-SS,CS-ENGINEER,true
0,CONT-SS,CS-ARTILLERY,true
0,CONT-SS,CS-OTHER,true
0,CONT-SS,CSS-ENGINEER,true
0,CONT-SS,CSS-MEDICAL,true
0,CONT-SS,CSS-SIGNAL,true
0,CONT-SS,CSS-SUPPLY,true
0,CONT-SS,CSS-TRANSPOR,true
0,CONT-SS,CSS-OTHER,true
0,CONT-SS,NAVY-UE,true
0,CONT-SS,RESUPPLY,true
0,CONT-SS,AMMUNITION,true
0,CONT-SS,POL,true
