Event Day,Port,Fleet,Restriction
0,RRHU,EUSC,true
0,RRRK,EUSC,true
0,RUAM,EUSC,true
0,RUAQ,EUSC,true
0,RULV,EUSC,true
0,SBEA,EUSC,true
0,SBEQ,EUSC,true
0,SEA1,EUSC,true
0,SERU,EUSC,true
0,SMXS,EUSC,true
0,STRM,EUSC,true
0,SVCN,EUSC,true
0,SYZZ,EUSC,true
0,TGWS,EUSC,true
0,TKDW,EUSC,true
0,TNVX,EUSC,true
0,TNZY,EUSC,true
0,TPPR,EUSC,true
0,TPRW,EUSC,true
0,TQKG,EUSC,true
0,TRZP,EUSC,true
0,TVJD,EUSC,true
0,TVXA,EUSC,true
0,TZL4,EUSC,true
0,TZYR,EUSC,true
0,UMXA,EUSC,true
0,UNAP,EUSC,true
0,UTAC,EUSC,true
0,UTVT,EUSC,true
0,UULA,EUSC,true
0,UULB,EUSC,true
0,UULX,EUSC,true
0,UYQR,EUSC,true
0,UZXJ,EUSC,true
0,VFVN,EUSC,true
0,VKNP,EUSC,true
0,VPRF,EUSC,true
0,VSNF,EUSC,false
0,WMPT,EUSC,true
0,WPAU,EUSC,true
0,WPVT,EUSC,true
0,WQZM,EUSC,true
0,WTJG,EUSC,true
0,WYKZ,EUSC,true
0,XEXW,EUSC,true
0,XRVJ,EUSC,true
0,XUDT,EUSC,true
0,XVMN,EUSC,true
0,XVRV,EUSC,false
0,XYNK,EUSC,true
0,YRTK,EUSC,true
0,ZBES,EUSC,true
0,ZMJJ,EUSC,true
0,ZNMC,EUSC,true
0,ZSJC,EUSC,true
0,00A1,FF-LINER,true
0,00IO,FF-LINER,true
0,00XT,FF-LINER,true
0,AAPV,FF-LINER,true
0,ABFL,FF-LINER,true
0,ADKH,FF-LINER,true
0,ADLS,FF-LINER,true
0,AELU,FF-LINER,true
0,AEQT,FF-LINER,true
0,AJGX,FF-LINER,true
0,ALRF,FF-LINER,true
0,AMCQ,FF-LINER,true
0,APFD,FF-LINER,false
0,APGW,FF-LINER,true
0,AVBU,FF-LINER,true
0,AVYX,FF-LINER,true
0,BBNQ,FF-LINER,true
0,BBNV,FF-LINER,true
0,BQWA,FF-LINER,true
0,BSRL,FF-LINER,true
0,CHCY,FF-LINER,true
0,CWCP,FF-LINER,true
0,CWGV,FF-LINER,true
0,DKSD,FF-LINER,true
0,DRUG,FF-LINER,true
0,EDME,FF-LINER,true
0,EGNN,FF-LINER,true
0,ENCN,FF-LINER,true
0,EZMU,FF-LINER,true
0,FGDB,FF-LINER,true
0,FGDD,FF-LINER,true
0,FGTW,FF-LINER,true
0,FMAZ,FF-LINER,true
0,FNLD,FF-LINER,true
0,FNSH,FF-LINER,true
0,FQZF,FF-LINER,true
0,GPEN,FF-LINER,true
0,GWZP,FF-LINER,true
0,HAGC,FF-LINER,true
0,HMGB,FF-LINER,true
0,HNTS,FF-LINER,true
0,HUPR,FF-LINER,true
0,JJRP,FF-LINER,true
0,JSSN,FF-LINER,true
0,JTVH,FF-LINER,true
0,JWJY,FF-LINER,true
0,JWTD,FF-LINER,true
0,JXKM,FF-LINER,true
0,JYPN,FF-LINER,true
0,KZPH,FF-LINER,true
0,KZTZ,FF-LINER,true
0,LCMT,FF-LINER,true
0,LKPE,FF-LINER,true
0,LRNC,FF-LINER,true
0,LSGM,FF-LINER,true
0,LUTP,FF-LINER,true
0,LWEV,FF-LINER,true
0,LYAP,FF-LINER,true
0,LYRV,FF-LINER,true
0,LYTM,FF-LINER,true
0,MKAG,FF-LINER,true
0,MLDL,FF-LINER,true
0,MMGH,FF-LINER,true
0,MZJK,FF-LINER,true
0,NBDY,FF-LINER,true
0,NLFL,FF-LINER,true
0,NNWH,FF-LINER,true
0,NPTU,FF-LINER,true
0,NSAN,FF-LINER,true
0,PAXM,FF-LINER,true
0,PCFC,FF-LINER,true
0,PCFG,FF-LINER,true
0,PKVP,FF-LINER,true
0,PPSH,FF-LINER,true
0,QCFF,FF-LINER,true
0,QHPB,FF-LINER,true
0,QHPD,FF-LINER,true
0,QHPF,FF-LINER,true
0,QNPW,FF-LINER,true
0,QTUP,FF-LINER,true
0,RCYQ,FF-LINER,true
0,RCYT,FF-LINER,true
0,RELG,FF-LINER,true
0,REPV,FF-LINER,true
0,RGJW,FF-LINER,true
0,RQNK,FF-LINER,true
0,RRHU,FF-LINER,true
0,RRRK,FF-LINER,true
0,RUAM,FF-LINER,true
0,RUAQ,FF-LINER,true
0,RULV,FF-LINER,true
0,SBEA,FF-LINER,true
0,SBEQ,FF-LINER,true
0,SEA1,FF-LINER,true
0,SERU,FF-LINER,true
0,SMXS,FF-LINER,true
0,STRM,FF-LINER,true
0,SVCN,FF-LINER,true
0,SYZZ,FF-LINER,true
0,TGWS,FF-LINER,true
0,TKDW,FF-LINER,true
0,TNVX,FF-LINER,true
0,TNZY,FF-LINER,true
0,TPPR,FF-LINER,true
0,TPRW,FF-LINER,true
0,TQKG,FF-LINER,true
0,TRZP,FF-LINER,true
0,TVJD,FF-LINER,true
0,TVXA,FF-LINER,true
0,TZL4,FF-LINER,true
0,TZYR,FF-LINER,true
0,UMXA,FF-LINER,true
0,UNAP,FF-LINER,true
0,UTAC,FF-LINER,true
0,UTVT,FF-LINER,true
0,UULA,FF-LINER,true
0,UULB,FF-LINER,true
0,UULX,FF-LINER,true
0,UYQR,FF-LINER,true
0,UZXJ,FF-LINER,true
0,VFVN,FF-LINER,true
0,VKNP,FF-LINER,true
0,VPRF,FF-LINER,true
0,VSNF,FF-LINER,true
0,WMPT,FF-LINER,true
0,WPAU,FF-LINER,true
