Event Day,Airport,Recovery Base,Priority
0,VRJT,    ,1
0,VSMR,    ,1
0,VWLB,    ,1
0,VYHK,    ,1
0,WEAS,    ,1
0,WSVC,    ,1
0,WWYK,    ,1
0,XBGX,    ,1
0,XDAT,    ,1
0,XLWU,    ,1
0,XQDT,    ,1
0,XUMU,    ,1
0,YAQF,    ,1
0,YTPM,    ,1
0,YWHG,    ,1
0,ZAWN,    ,1
0,ZFKN,    ,1
0,ZHTV,    ,1
0,ZJXD,    ,1
0,ZNRE,    ,1
0,ZRCE,    ,1
0,AEDY,    ,2
0,AGGN,    ,2
0,AJJY,    ,2
0,AJXF,    ,2
0,AQLM,    ,2
0,ASHE,    ,2
0,ATXK,    ,2
0,AVXV,    ,2
0,AWUB,    ,2
0,BAEY,    ,2
0,BBJM,    ,2
0,BJHZ,    ,2
0,BPWZ,    ,2
0,BQWK,    ,2
0,BRKR,    ,2
0,BWKR,    ,2
0,BXUR,    ,2
0,CTGC,    ,2
0,CWKW,    ,2
0,CYWF,    ,2
0,CZQZ,    ,2
0,DDPF,    ,2
0,DESR,    ,2
0,DKFX,    ,2
0,DNNL,    ,2
0,DPNB,    ,2
0,DVLK,    ,2
0,DYCS,    ,2
0,ETZB,    ,2
0,EYBD,    ,2
0,FAXN,    ,2
0,FBNV,    ,2
0,FGDC,    ,2
0,FGWB,    ,2
0,FJXT,    ,2
0,FNWZ,    ,2
0,FTEP,    ,2
0,FTEV,    ,2
0,FTFA,    ,2
0,FTZH,    ,2
0,FUQN,    ,2
0,FUZD,    ,2
0,FXSB,    ,2
0,GAMH,    ,2
0,GHLN,    ,2
0,GJKZ,    ,2
0,GKVB,    ,2
0,GUQE,    ,2
0,GYRZ,    ,2
0,HNTK,    ,2
0,HPBF,    ,2
0,HTUX,    ,2
0,HUUA,    ,2
0,JEAH,    ,2
0,JFSD,    ,2
0,JREZ,    ,2
0,KJGW,    ,2
0,KNMD,    ,2
0,KRSM,    ,2
0,KWRD,    ,2
0,KYJL,    ,2
0,KZTV,    ,2
0,LEXG,    ,2
0,LSGE,    ,2
0,LXEZ,    ,2
0,LYAX,    ,2
0,MAHG,    ,2
0,MBPB,    ,2
0,MEPJ,    ,2
0,MHMV,    ,2
0,MQNA,    ,2
0,MSET,    ,2
0,MSQB,    ,2
0,MUHJ,    ,2
0,MYXZ,    ,2
0,NKAK,    ,2
0,NNGX,    ,2
0,NRCH,    ,2
0,NUEX,    ,2
0,NVZR,    ,2
0,NWXN,    ,2
0,NZAS,    ,2
0,OPA1,    ,2
0,PCZP,    ,2
0,PJVY,    ,2
0,PNQS,    ,2
0,PQWY,    ,2
0,PRQE,    ,2
0,PSXE,    ,2
0,PTFL,    ,2
0,QFQE,    ,2
0,QJKL,    ,2
0,QJVF,    ,2
0,QKJA,    ,2
0,QSEU,    ,2
0,QYZH,    ,2
0,RDRD,    ,2
0,RKMF,    ,2
0,RZQH,    ,2
0,SBDW,    ,2
0,SCEY,    ,2
0,SEA1,    ,2
0,SGBP,    ,2
0,SHYQ,    ,2
0,SMYU,    ,2
0,STRL,    ,2
0,SXHT,    ,2
0,TDHV,    ,2
0,THWA,    ,2
0,TKXA,    ,2
0,TMKH,    ,2
0,TYFR,    ,2
0,UGZX,    ,2
0,UHGN,    ,2
0,UHHZ,    ,2
0,ULLT,    ,2
0,UMXB,    ,2
0,VDYD,    ,2
0,VGHV,    ,2
0,VKAG,    ,2
0,VLSB,    ,2
0,VRJT,    ,2
0,VSMR,    ,2
0,VWLB,    ,2
0,VYHK,    ,2
0,WEAS,    ,2
0,WSVC,    ,2
0,WWYK,    ,2
0,XBGX,    ,2
0,XDAT,    ,2
0,XLWU,    ,2
0,XQDT,    ,2
0,XUMU,    ,2
0,YAQF,    ,2
0,YTPM,    ,2
0,YWHG,    ,2
0,ZAWN,    ,2
0,ZFKN,    ,2
0,ZHTV,    ,2
0,ZJXD,    ,2
0,ZNRE,    ,2
0,ZRCE,    ,2
