Seaport,Contains,Commodity Type
ADLS,true,RESUPPLY
ADLS,true,AMMUNITION
ADLS,true,POL
ADLS,true,GEN-RESUPPLY
ADLS,true,GEN-AMMO
ADLS,true,GEN-POL
AELU,true,AF-AIRCRAFT
AELU,true,AF-SUPPORT
AELU,true,AF-PREPO
AELU,true,MARINE-PREPO
AELU,true,ARMY-PREPO
AELU,true,AIRBORNE
AELU,true,ARMOR
AELU,true,MECH-INFANTR
AELU,true,AIRMOBILE
AELU,true,CBAC
AELU,true,INFANTRY
AELU,true,ARMOR-CAV
AELU,true,AMPH-MARINES
AELU,true,MARINES
AELU,true,CS-ENGINEER
AELU,true,CS-ARTILLERY
AELU,true,CS-OTHER
AELU,true,CSS-ENGINEER
AELU,true,CSS-MEDICAL
AELU,true,CSS-SIGNAL
AELU,true,CSS-SUPPLY
AELU,true,CSS-TRANSPOR
AELU,true,CSS-OTHER
AELU,true,NAVY-UE
AELU,true,RESUPPLY
AELU,true,AMMUNITION
AELU,true,POL
AELU,true,GEN-RESUPPLY
AELU,true,GEN-AMMO
AELU,true,GEN-POL
AEQT,true,AF-AIRCRAFT
AEQT,true,AF-SUPPORT
AEQT,true,AF-PREPO
AEQT,true,MARINE-PREPO
AEQT,true,ARMY-PREPO
AEQT,true,AIRBORNE
AEQT,true,ARMOR
AEQT,true,MECH-INFANTR
AEQT,true,AIRMOBILE
AEQT,true,CBAC
AEQT,true,INFANTRY
AEQT,true,ARMOR-CAV
AEQT,true,AMPH-MARINES
AEQT,true,MARINES
AEQT,true,CS-ENGINEER
AEQT,true,CS-ARTILLERY
AEQT,true,CS-OTHER
AEQT,true,CSS-ENGINEER
AEQT,true,CSS-MEDICAL
AEQT,true,CSS-SIGNAL
AEQT,true,CSS-SUPPLY
AEQT,true,CSS-TRANSPOR
AEQT,true,CSS-OTHER
AEQT,true,NAVY-UE
AEQT,true,RESUPPLY
AEQT,true,AMMUNITION
AEQT,true,POL
AEQT,true,GEN-RESUPPLY
AEQT,true,GEN-AMMO
AEQT,true,GEN-POL
AJGX,true,AF-AIRCRAFT
AJGX,true,AF-SUPPORT
AJGX,true,AF-PREPO
AJGX,true,MARINE-PREPO
AJGX,true,ARMY-PREPO
AJGX,true,AIRBORNE
AJGX,true,ARMOR
AJGX,true,MECH-INFANTR
AJGX,true,AIRMOBILE
AJGX,true,CBAC
AJGX,true,INFANTRY
AJGX,true,ARMOR-CAV
AJGX,true,AMPH-MARINES
AJGX,true,MARINES
AJGX,true,CS-ENGINEER
AJGX,true,CS-ARTILLERY
AJGX,true,CS-OTHER
AJGX,true,CSS-ENGINEER
AJGX,true,CSS-MEDICAL
AJGX,true,CSS-SIGNAL
AJGX,true,CSS-SUPPLY
AJGX,true,CSS-TRANSPOR
AJGX,true,CSS-OTHER
AJGX,true,NAVY-UE
AJGX,true,RESUPPLY
AJGX,true,AMMUNITION
AJGX,true,POL
AJGX,true,GEN-RESUPPLY
AJGX,true,GEN-AMMO
AJGX,true,GEN-POL
ALRF,true,AF-AIRCRAFT
ALRF,true,AF-SUPPORT
ALRF,true,AF-PREPO
ALRF,true,MARINE-PREPO
ALRF,true,ARMY-PREPO
ALRF,true,AIRBORNE
ALRF,true,ARMOR
ALRF,true,MECH-INFANTR
ALRF,true,AIRMOBILE
ALRF,true,CBAC
ALRF,true,INFANTRY
ALRF,true,ARMOR-CAV
ALRF,true,AMPH-MARINES
ALRF,true,MARINES
ALRF,true,CS-ENGINEER
ALRF,true,CS-ARTILLERY
ALRF,true,CS-OTHER
ALRF,true,CSS-ENGINEER
ALRF,true,CSS-MEDICAL
ALRF,true,CSS-SIGNAL
ALRF,true,CSS-SUPPLY
ALRF,true,CSS-TRANSPOR
ALRF,true,CSS-OTHER
ALRF,true,NAVY-UE
ALRF,true,RESUPPLY
ALRF,true,AMMUNITION
ALRF,true,POL
ALRF,true,GEN-RESUPPLY
ALRF,true,GEN-AMMO
ALRF,true,GEN-POL
AMCQ,true,AF-AIRCRAFT
AMCQ,true,AF-SUPPORT
AMCQ,true,AF-PREPO
AMCQ,true,MARINE-PREPO
AMCQ,true,ARMY-PREPO
AMCQ,true,AIRBORNE
AMCQ,true,ARMOR
AMCQ,true,MECH-INFANTR
AMCQ,true,AIRMOBILE
AMCQ,true,CBAC
AMCQ,true,INFANTRY
AMCQ,true,ARMOR-CAV
AMCQ,true,AMPH-MARINES
AMCQ,true,MARINES
AMCQ,true,CS-ENGINEER
AMCQ,true,CS-ARTILLERY
AMCQ,true,CS-OTHER
AMCQ,true,CSS-ENGINEER
AMCQ,true,CSS-MEDICAL
AMCQ,true,CSS-SIGNAL
AMCQ,true,CSS-SUPPLY
AMCQ,true,CSS-TRANSPOR
AMCQ,true,CSS-OTHER
AMCQ,true,NAVY-UE
AMCQ,true,RESUPPLY
AMCQ,true,AMMUNITION
AMCQ,true,POL
AMCQ,true,GEN-RESUPPLY
AMCQ,true,GEN-AMMO
AMCQ,true,GEN-POL
APFD,true,AF-AIRCRAFT
APFD,true,AF-SUPPORT
APFD,true,AF-PREPO
APFD,true,MARINE-PREPO
APFD,true,ARMY-PREPO
APFD,true,AIRBORNE
APFD,true,ARMOR
APFD,true,MECH-INFANTR
APFD,true,AIRMOBILE
APFD,true,CBAC
APFD,true,INFANTRY
APFD,true,ARMOR-CAV
APFD,true,AMPH-MARINES
APFD,true,MARINES
APFD,true,CS-ENGINEER
APFD,true,CS-ARTILLERY
APFD,true,CS-OTHER
APFD,true,CSS-ENGINEER
APFD,true,CSS-MEDICAL
APFD,true,CSS-SIGNAL
APFD,true,CSS-SUPPLY
APFD,true,CSS-TRANSPOR
APFD,true,CSS-OTHER
APFD,true,NAVY-UE
APFD,true,RESUPPLY
APFD,true,AMMUNITION
APFD,true,POL
APFD,true,GEN-RESUPPLY
APFD,true,GEN-AMMO
APFD,true,GEN-POL
APGW,true,AF-AIRCRAFT
APGW,true,AF-SUPPORT
APGW,true,AF-PREPO
APGW,true,MARINE-PREPO
APGW,true,ARMY-PREPO
APGW,true,AIRBORNE
APGW,true,ARMOR
APGW,true,MECH-INFANTR
APGW,true,AIRMOBILE
APGW,true,CBAC
APGW,true,INFANTRY
APGW,true,ARMOR-CAV
APGW,true,AMPH-MARINES
APGW,true,MARINES
APGW,true,CS-ENGINEER
APGW,true,CS-ARTILLERY
APGW,true,CS-OTHER
APGW,true,CSS-ENGINEER
APGW,true,CSS-MEDICAL
APGW,true,CSS-SIGNAL
APGW,true,CSS-SUPPLY
APGW,true,CSS-TRANSPOR
APGW,true,CSS-OTHER
APGW,true,NAVY-UE
APGW,true,RESUPPLY
APGW,true,AMMUNITION
APGW,true,POL
APGW,true,GEN-RESUPPLY
APGW,true,GEN-AMMO
APGW,true,GEN-POL
AVBU,true,AF-AIRCRAFT
AVBU,true,AF-SUPPORT
AVBU,true,AF-PREPO
AVBU,true,MARINE-PREPO
AVBU,true,ARMY-PREPO
AVBU,true,AIRBORNE
AVBU,true,ARMOR
AVBU,true,MECH-INFANTR
AVBU,true,AIRMOBILE
AVBU,true,CBAC
AVBU,true,INFANTRY
AVBU,true,ARMOR-CAV
AVBU,true,AMPH-MARINES
AVBU,true,MARINES
AVBU,true,CS-ENGINEER
AVBU,true,CS-ARTILLERY
AVBU,true,CS-OTHER
AVBU,true,CSS-ENGINEER
AVBU,true,CSS-MEDICAL
AVBU,true,CSS-SIGNAL
AVBU,true,CSS-SUPPLY
AVBU,true,CSS-TRANSPOR
AVBU,true,CSS-OTHER
AVBU,true,NAVY-UE
AVBU,true,RESUPPLY
AVBU,true,AMMUNITION
AVBU,true,POL
AVBU,true,GEN-RESUPPLY
AVBU,true,GEN-AMMO
AVBU,true,GEN-POL
AVYX,true,AF-AIRCRAFT
AVYX,true,AF-SUPPORT
AVYX,true,AF-PREPO
AVYX,true,MARINE-PREPO
AVYX,true,ARMY-PREPO
AVYX,true,AIRBORNE
AVYX,true,ARMOR
AVYX,true,MECH-INFANTR
AVYX,true,AIRMOBILE
AVYX,true,CBAC
AVYX,true,INFANTRY
AVYX,true,ARMOR-CAV
AVYX,true,AMPH-MARINES
AVYX,true,MARINES
AVYX,true,CS-ENGINEER
AVYX,true,CS-ARTILLERY
AVYX,true,CS-OTHER
AVYX,true,CSS-ENGINEER
AVYX,true,CSS-MEDICAL
AVYX,true,CSS-SIGNAL
AVYX,true,CSS-SUPPLY
AVYX,true,CSS-TRANSPOR
AVYX,true,CSS-OTHER
AVYX,true,NAVY-UE
AVYX,true,RESUPPLY
AVYX,true,AMMUNITION
AVYX,true,POL
AVYX,true,GEN-RESUPPLY
AVYX,true,GEN-AMMO
AVYX,true,GEN-POL
BBNQ,true,AF-AIRCRAFT
BBNQ,true,AF-SUPPORT
BBNQ,true,AF-PREPO
BBNQ,true,MARINE-PREPO
BBNQ,true,ARMY-PREPO
BBNQ,true,AIRBORNE
BBNQ,true,ARMOR
BBNQ,true,MECH-INFANTR
BBNQ,true,AIRMOBILE
BBNQ,true,CBAC
BBNQ,true,INFANTRY
BBNQ,true,ARMOR-CAV
BBNQ,true,AMPH-MARINES
BBNQ,true,MARINES
BBNQ,true,CS-ENGINEER
BBNQ,true,CS-ARTILLERY
BBNQ,true,CS-OTHER
BBNQ,true,CSS-ENGINEER
BBNQ,true,CSS-MEDICAL
BBNQ,true,CSS-SIGNAL
BBNQ,true,CSS-SUPPLY
BBNQ,true,CSS-TRANSPOR
BBNQ,true,CSS-OTHER
BBNQ,true,NAVY-UE
BBNQ,true,RESUPPLY
BBNQ,true,AMMUNITION
BBNQ,true,POL
BBNQ,true,GEN-RESUPPLY
BBNQ,true,GEN-AMMO
BBNQ,true,GEN-POL
BBNV,true,AF-AIRCRAFT
BBNV,true,AF-SUPPORT
BBNV,true,AF-PREPO
BBNV,true,MARINE-PREPO
BBNV,true,ARMY-PREPO
BBNV,true,AIRBORNE
BBNV,true,ARMOR
BBNV,true,MECH-INFANTR
BBNV,true,AIRMOBILE
BBNV,true,CBAC
BBNV,true,INFANTRY
BBNV,true,ARMOR-CAV
BBNV,true,AMPH-MARINES
BBNV,true,MARINES
BBNV,true,CS-ENGINEER
BBNV,true,CS-ARTILLERY
BBNV,true,CS-OTHER
BBNV,true,CSS-ENGINEER
BBNV,true,CSS-MEDICAL
BBNV,true,CSS-SIGNAL
BBNV,true,CSS-SUPPLY
BBNV,true,CSS-TRANSPOR
BBNV,true,CSS-OTHER
BBNV,true,NAVY-UE
BBNV,true,RESUPPLY
BBNV,true,AMMUNITION
BBNV,true,POL
BBNV,true,GEN-RESUPPLY
BBNV,true,GEN-AMMO
BBNV,true,GEN-POL
BQWA,true,AF-AIRCRAFT
BQWA,true,AF-SUPPORT
BQWA,true,AF-PREPO
BQWA,true,MARINE-PREPO
BQWA,true,ARMY-PREPO
BQWA,true,AIRBORNE
BQWA,true,ARMOR
BQWA,true,MECH-INFANTR
BQWA,true,AIRMOBILE
BQWA,true,CBAC
BQWA,true,INFANTRY
BQWA,true,ARMOR-CAV
BQWA,true,AMPH-MARINES
BQWA,true,MARINES
BQWA,true,CS-ENGINEER
BQWA,true,CS-ARTILLERY
BQWA,true,CS-OTHER
BQWA,true,CSS-ENGINEER
BQWA,true,CSS-MEDICAL
BQWA,true,CSS-SIGNAL
BQWA,true,CSS-SUPPLY
BQWA,true,CSS-TRANSPOR
BQWA,true,CSS-OTHER
BQWA,true,NAVY-UE
BQWA,true,RESUPPLY
BQWA,true,AMMUNITION
BQWA,true,POL
BQWA,true,GEN-RESUPPLY
BQWA,true,GEN-AMMO
BQWA,true,GEN-POL
BSRL,true,AF-AIRCRAFT
BSRL,true,AF-SUPPORT
BSRL,true,AF-PREPO
BSRL,true,MARINE-PREPO
BSRL,true,ARMY-PREPO
BSRL,true,AIRBORNE
BSRL,true,ARMOR
BSRL,true,MECH-INFANTR
BSRL,true,AIRMOBILE
BSRL,true,CBAC
BSRL,true,INFANTRY
BSRL,true,ARMOR-CAV
BSRL,true,AMPH-MARINES
BSRL,true,MARINES
BSRL,true,CS-ENGINEER
BSRL,true,CS-ARTILLERY
BSRL,true,CS-OTHER
BSRL,true,CSS-ENGINEER
BSRL,true,CSS-MEDICAL
BSRL,true,CSS-SIGNAL
BSRL,true,CSS-SUPPLY
BSRL,true,CSS-TRANSPOR
BSRL,true,CSS-OTHER
BSRL,true,NAVY-UE
BSRL,true,RESUPPLY
BSRL,true,AMMUNITION
BSRL,true,POL
BSRL,true,GEN-RESUPPLY
BSRL,true,GEN-AMMO
BSRL,true,GEN-POL
CHCY,true,AF-AIRCRAFT
CHCY,true,AF-SUPPORT
CHCY,true,AF-PREPO
CHCY,true,MARINE-PREPO
CHCY,true,ARMY-PREPO
CHCY,true,AIRBORNE
CHCY,true,ARMOR
CHCY,true,MECH-INFANTR
CHCY,true,AIRMOBILE
CHCY,true,CBAC
CHCY,true,INFANTRY
CHCY,true,ARMOR-CAV
CHCY,true,AMPH-MARINES
CHCY,true,MARINES
CHCY,true,CS-ENGINEER
CHCY,true,CS-ARTILLERY
CHCY,true,CS-OTHER
CHCY,true,CSS-ENGINEER
CHCY,true,CSS-MEDICAL
CHCY,true,CSS-SIGNAL
CHCY,true,CSS-SUPPLY
CHCY,true,CSS-TRANSPOR
CHCY,true,CSS-OTHER
CHCY,true,NAVY-UE
CHCY,true,RESUPPLY
CHCY,true,AMMUNITION
CHCY,true,POL
CHCY,true,GEN-RESUPPLY
CHCY,true,GEN-AMMO
CHCY,true,GEN-POL
CWCP,true,AF-AIRCRAFT
CWCP,true,AF-SUPPORT
CWCP,true,AF-PREPO
CWCP,true,MARINE-PREPO
CWCP,true,ARMY-PREPO
CWCP,true,AIRBORNE
CWCP,true,ARMOR
CWCP,true,MECH-INFANTR
CWCP,true,AIRMOBILE
CWCP,true,CBAC
CWCP,true,INFANTRY
CWCP,true,ARMOR-CAV
CWCP,true,AMPH-MARINES
CWCP,true,MARINES
CWCP,true,CS-ENGINEER
CWCP,true,CS-ARTILLERY
CWCP,true,CS-OTHER
CWCP,true,CSS-ENGINEER
CWCP,true,CSS-MEDICAL
CWCP,true,CSS-SIGNAL
CWCP,true,CSS-SUPPLY
CWCP,true,CSS-TRANSPOR
CWCP,true,CSS-OTHER
CWCP,true,NAVY-UE
CWCP,true,RESUPPLY
CWCP,true,AMMUNITION
CWCP,true,POL
CWCP,true,GEN-RESUPPLY
CWCP,true,GEN-AMMO
CWCP,true,GEN-POL
CWGV,true,AF-AIRCRAFT
CWGV,true,AF-SUPPORT
CWGV,true,AF-PREPO
CWGV,true,MARINE-PREPO
CWGV,true,ARMY-PREPO
CWGV,true,AIRBORNE
CWGV,true,ARMOR
CWGV,true,MECH-INFANTR
CWGV,true,AIRMOBILE
CWGV,true,CBAC
CWGV,true,INFANTRY
CWGV,true,ARMOR-CAV
CWGV,true,AMPH-MARINES
CWGV,true,MARINES
CWGV,true,CS-ENGINEER
CWGV,true,CS-ARTILLERY
CWGV,true,CS-OTHER
CWGV,true,CSS-ENGINEER
CWGV,true,CSS-MEDICAL
CWGV,true,CSS-SIGNAL
CWGV,true,CSS-SUPPLY
CWGV,true,CSS-TRANSPOR
CWGV,true,CSS-OTHER
CWGV,true,NAVY-UE
CWGV,true,RESUPPLY
