Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,1,B-747P,XQDT,0
0,STRATEGIC,1,B-747P,XUMU,0
0,STRATEGIC,1,B-747P,YAQF,0
0,STRATEGIC,1,B-747P,YTPM,0
0,STRATEGIC,1,B-747P,YWHG,0
0,STRATEGIC,1,B-747P,ZAWN,0
0,STRATEGIC,1,B-747P,ZFKN,0
0,STRATEGIC,1,B-747P,ZHTV,0
0,STRATEGIC,1,B-747P,ZJXD,0
0,STRATEGIC,1,B-747P,ZNRE,0
0,STRATEGIC,1,B-747P,ZRCE,0
0,STRATEGIC,2,C-17,AEDY,0
0,STRATEGIC,2,C-17,AGGN,0
0,STRATEGIC,2,C-17,AJJY,0
0,STRATEGIC,2,C-17,AJXF,0
0,STRATEGIC,2,C-17,AQLM,0
0,STRATEGIC,2,C-17,ASHE,0
0,STRATEGIC,2,C-17,ATXK,0
0,STRATEGIC,2,C-17,AVXV,0
0,STRATEGIC,2,C-17,AWUB,0
0,STRATEGIC,2,C-17,BAEY,0
0,STRATEGIC,2,C-17,BBJM,0
0,STRATEGIC,2,C-17,BJHZ,0
0,STRATEGIC,2,C-17,BPWZ,0
0,STRATEGIC,2,C-17,BQWK,0
0,STRATEGIC,2,C-17,BRKR,0
0,STRATEGIC,2,C-17,BWKR,0
0,STRATEGIC,2,C-17,BXUR,0
0,STRATEGIC,2,C-17,CTGC,0
0,STRATEGIC,2,C-17,CWKW,0
0,STRATEGIC,2,C-17,CYWF,0
0,STRATEGIC,2,C-17,CZQZ,0
0,STRATEGIC,2,C-17,DDPF,0
0,STRATEGIC,2,C-17,DESR,0
0,STRATEGIC,2,C-17,DKFX,0
0,STRATEGIC,2,C-17,DNNL,0
0,STRATEGIC,2,C-17,DPNB,0
0,STRATEGIC,2,C-17,DVLK,0
0,STRATEGIC,2,C-17,DYCS,0
0,STRATEGIC,2,C-17,ETZB,0
0,STRATEGIC,2,C-17,EYBD,0
0,STRATEGIC,2,C-17,FAXN,0
0,STRATEGIC,2,C-17,FBNV,0
0,STRATEGIC,2,C-17,FGDC,0
0,STRATEGIC,2,C-17,FGWB,0
0,STRATEGIC,2,C-17,FJXT,0
0,STRATEGIC,2,C-17,FNWZ,0
0,STRATEGIC,2,C-17,FTEP,0
0,STRATEGIC,2,C-17,FTEV,0
0,STRATEGIC,2,C-17,FTFA,0
0,STRATEGIC,2,C-17,FTZH,0
0,STRATEGIC,2,C-17,FUQN,0
0,STRATEGIC,2,C-17,FUZD,0
0,STRATEGIC,2,C-17,FXSB,0
0,STRATEGIC,2,C-17,GAMH,0
0,STRATEGIC,2,C-17,GHLN,0
0,STRATEGIC,2,C-17,GJKZ,0
0,STRATEGIC,2,C-17,GKVB,0
0,STRATEGIC,2,C-17,GUQE,0
0,STRATEGIC,2,C-17,GYRZ,0
0,STRATEGIC,2,C-17,HNTK,0
0,STRATEGIC,2,C-17,HPBF,0
0,STRATEGIC,2,C-17,HTUX,0
0,STRATEGIC,2,C-17,HUUA,0
0,STRATEGIC,2,C-17,JEAH,0
0,STRATEGIC,2,C-17,JFSD,0
0,STRATEGIC,2,C-17,JREZ,0
0,STRATEGIC,2,C-17,KJGW,0
0,STRATEGIC,2,C-17,KNMD,0
0,STRATEGIC,2,C-17,KRSM,0
0,STRATEGIC,2,C-17,KWRD,0
0,STRATEGIC,2,C-17,KYJL,0
0,STRATEGIC,2,C-17,KZTV,0
0,STRATEGIC,2,C-17,LEXG,0
0,STRATEGIC,2,C-17,LSGE,0
0,STRATEGIC,2,C-17,LXEZ,0
0,STRATEGIC,2,C-17,LYAX,0
0,STRATEGIC,2,C-17,MAHG,0
0,STRATEGIC,2,C-17,MBPB,0
0,STRATEGIC,2,C-17,MEPJ,0
0,STRATEGIC,2,C-17,MHMV,0
0,STRATEGIC,2,C-17,MQNA,0
0,STRATEGIC,2,C-17,MSET,0
0,STRATEGIC,2,C-17,MSQB,0
0,STRATEGIC,2,C-17,MUHJ,0
0,STRATEGIC,2,C-17,MYXZ,0
