Type,ParkingType,WeightCapacity,PAXCapacity,ContainerCapacity,OnloadTime,OffloadTime,EnrouteTime,ExpeditedTime,RecoveryTime,FuelTime,FuelCapacity,NauticalAir,DefaultAvail,StratUsable,LIN,DoorHeight,DoorWidth,CargoBayWidth,CargoBayLength,BlockSpeed500,BlockSpeed1000,BlockSpeed1500,Display_Color,FuelConsumptionRate
C-17,N,60.2,0.0,2.0,2.25,1.75,2.25,0.75,2.25,2.0,176200.0,550.0,65.0,1,,144.0,196.0,196.0,1000.0,243.0,348.0,386.0,dodgerBlue,5.0
C-17E,N,40.0,0.0,2.0,2.25,1.75,0.0,0.75,0.0,0.0,0.0,0.0,65.0,1,,142.0,204.0,204.0,812.0,243.0,348.0,386.0,dodgerBlue,5.0
C-17ER,N,60.2,0.0,2.0,2.25,1.75,0.0,0.75,0.0,0.0,0.0,0.0,65.0,1,,144.0,196.0,196.0,1000.0,243.0,348.0,386.0,dodgerBlue,5.0
C-5A,W,81.7,0.0,2.0,4.25,2.0,2.25,0.75,3.25,2.0,318500.0,550.0,37.5,1,,100.0,100.0,220.0,1200.0,550.0,332.0,370.0,blue,5.0
C-5M,W,81.7,0.0,2.0,4.25,2.0,0.0,0.75,0.0,0.0,0.0,0.0,37.5,1,,100.0,100.0,220.0,1200.0,550.0,332.0,370.0,blue,5.0
C12,N,0.0,8.0,0.0,0.85,2.0,2.25,0.75,0.8,2.0,3500.0,550.0,37.5,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
C130,S,14.3,12.0,1.0,1.5,0.75,2.25,0.75,1.5,2.0,62420.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130A,S,12.0,6.0,1.0,1.5,0.75,2.25,0.75,1.5,2.0,39910.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130B,S,12.0,6.0,1.0,1.5,0.75,2.25,0.75,1.5,2.0,45240.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130E,S,14.3,12.0,1.0,1.5,0.75,2.25,0.75,1.5,2.0,62420.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130EP,S,0.0,92.0,0.0,1.5,0.75,2.25,0.75,1.5,2.0,62920.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130H,S,14.3,12.0,2.0,1.5,0.75,2.25,0.75,1.5,2.0,62420.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130HP,S,0.0,92.0,0.0,1.5,0.75,2.25,0.75,1.5,2.0,62920.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
C130J,S,14.3,12.0,2.0,1.5,0.75,2.25,0.75,1.5,2.0,62420.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,265.0,295.0,330.0,cyan,5.0
C130STOL,S,10.0,0.0,1.0,1.5,0.75,2.25,0.75,1.5,2.0,62420.0,550.0,33.333336,1,,105.0,107.0,105.0,480.0,265.0,295.0,330.0,cyan,5.0
C141,N,26.0,0.0,1.0,2.25,2.0,2.25,0.75,2.25,2.0,152300.0,550.0,45.833336,1,,103.0,111.0,111.0,1090.0,227.0,332.0,370.0,dodgerBlue,5.0
C141B,N,26.0,0.0,1.0,2.25,2.0,2.25,0.75,2.25,2.0,152300.0,550.0,45.833336,1,,103.0,111.0,111.0,1090.0,550.0,332.0,370.0,dodgerBlue,5.0
C141BP,N,0.0,153.0,0.0,2.25,2.0,2.25,0.75,2.25,2.0,152300.0,550.0,45.833336,1,,103.0,111.0,111.0,1090.0,550.0,332.0,370.0,dodgerBlue,5.0
C17,N,40.0,0.0,2.0,2.25,1.75,2.25,0.75,2.25,2.0,176200.0,550.0,56.874996,0,,142.0,204.0,204.0,812.0,243.0,348.0,386.0,dodgerBlue,5.0
C17-archive,N,60.2,0.0,2.0,2.25,1.75,0.0,0.75,0.0,0.0,0.0,0.0,56.874996,0,,142.0,204.0,204.0,812.0,243.0,348.0,386.0,dodgerBlue,5.0
C17P,N,0.0,135.0,0.0,2.25,1.75,0.0,0.75,0.0,0.0,0.0,0.0,65.0,1,,144.0,196.0,196.0,1000.0,243.0,348.0,386.0,dodgerBlue,5.0
C23C,N,0.0,0.0,0.0,1.0,2.0,2.25,0.75,1.0,2.0,4480.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
C23P,N,0.0,30.0,0.0,1.0,2.0,2.25,0.75,1.0,2.0,4480.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
C26,N,0.0,19.0,0.0,1.0,2.0,2.25,0.75,1.0,2.0,2470.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
C5,W,50.0,70.0,4.0,4.25,2.0,2.25,0.75,3.25,2.0,318500.0,550.0,37.5,1,,156.0,216.0,216.0,1454.0,242.0,347.0,385.0,blue,5.0
C5-archive,W,81.7,0.0,2.0,4.25,2.0,0.0,0.75,0.0,0.0,0.0,0.0,37.5,1,,156.0,216.0,216.0,1454.0,242.0,347.0,385.0,blue,5.0
C5A,W,81.7,0.0,2.0,4.25,2.0,2.25,0.75,3.25,2.0,318500.0,550.0,37.5,1,,156.0,216.0,216.0,1454.0,550.0,332.0,370.0,blue,5.0
C5P,W,0.0,354.0,0.0,4.25,2.0,2.25,0.75,3.25,2.0,318100.0,550.0,37.5,1,,156.0,216.0,216.0,1454.0,550.0,332.0,370.0,blue,5.0
C9,N,0.0,160.0,0.0,1.0,2.0,2.25,0.75,1.0,2.0,35696.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
CA130P,S,0.0,92.0,0.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,33.333336,1,,100.0,100.0,10.0,90.0,255.0,285.0,310.0,cyan,5.0
CNPE,N,0.0,110.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
CT130P,S,0.0,92.0,0.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,33.333336,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,cyan,5.0
CWCE,W,68.1,0.0,1.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
CWPE,W,0.0,401.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
D-C17,N,60.2,0.0,2.0,2.25,1.75,0.0,0.75,0.0,0.0,0.0,0.0,56.874996,1,,142.0,196.0,196.0,1000.0,243.0,348.0,386.0,dodgerBlue,5.0
D-C5A,W,81.7,0.0,2.0,4.25,2.0,0.0,0.75,0.0,0.0,0.0,0.0,37.5,1,,100.0,100.0,220.0,1200.0,550.0,332.0,370.0,blue,5.0
DC-10,W,0.0,0.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,145800.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC-8,W,0.0,0.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,145800.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC0101,W,0.0,210.0,0.0,2.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC1010,W,0.0,151.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,145800.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC1010-F,W,0.0,0.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,145800.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC1030,W,0.0,264.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,232500.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC1030-F,W,0.0,0.0,0.0,4.0,2.0,2.25,0.75,2.5,2.0,256000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC1040,W,0.0,284.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,232500.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
DC833-F,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,154400.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC850-CF,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,156750.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC850-F,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,156750.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC861,N,0.0,160.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,162550.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC861-71,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC861-CF-C,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC861-CF-P,N,0.0,160.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC862,N,30.5,0.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,162550.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC862-CF-C,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
DC862-CF-P,N,0.0,160.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
