GeolocCode,Name,Latitude,Longitude,Draft,OceanPort,ConusPort,BunkeringPort,ConstrainedPort,MaximumPortQueue,HlaShared
RQNK,NEW ORLEANS,29.95,-90.01667,999,false,true,true,true,30,0
RRHU,NEW YORK,40.716667,-74.03333,999,false,true,true,true,30,0
RRRK,NEW YORK PORT EMB,40.666668,-73.96667,999,false,true,true,true,30,0
RUAM,NEWPORT,41.5,-71.333336,999,false,true,true,false,30,0
RUAQ,NEWPORT T2,41.5,-71.333336,999,false,true,true,true,30,0
RULV,NEWPORT NEWS,37,-76.4,999,false,true,true,true,30,0
SBEA,NORFOLK,36.91,-76.3275,999,false,true,true,true,30,0
SBEQ,NORFOLK T2,36.933334,-76.28333,999,false,true,true,true,30,0
SERU,OAKLAND SEALAND T,37.816666,-122.333336,999,false,true,true,true,30,0
SMXS,OSAKA,34.6475,135.4289,999,false,false,false,true,30,0
STRM,PALERMO,38.12611,13.368889,999,false,false,false,true,30,0
SVCN,PANAMA CITY,8.95,-79.53333,999,false,false,false,true,30,0
SYZZ,PEARL HARBOR NAD,21.333334,-157.96666,999,false,false,false,true,30,0
TGWS,PARAIEVS,37.933334,23.633333,999,false,false,false,true,30,0
TKDW,POHANG,36.05,129.36667,999,false,false,false,true,30,0
TNVX,PORT EVERGLADES,26.1,-80.11667,999,false,true,true,true,30,0
TNZY,PORT HUENEME NCBC,34.15,-119.2,999,false,true,true,true,30,0
TPPR,PORT SAID,31.25,32.3,999,false,false,false,true,30,0
TPRW,PORT KELANG,3.0166667,101.35,999,false,false,false,true,30,0
TQKG,PORTLAND,45.583332,-122.6,999,false,true,true,true,30,0
TRZP,PRAIA DE VITORIA,38.716667,-27.05,999,false,false,false,true,30,0
TVJD,PUSAN MILITARY TE,35.083332,129.08223,999,false,false,false,true,30,0
TVXA,MINA QABOOS,23.616667,58.55,999,false,false,false,true,30,0
TZL4,RAS AL MISHAB,28.1,48.633335,999,false,false,false,true,30,0
TZYR,SALALAH MINA RAYS,16.933332,54,999,false,false,false,true,30,0
UMXA,ROTA,36.64639,-6.349167,999,false,false,false,true,30,0
UNAP,ROTTERDAM,51.883335,4.45,999,false,false,false,true,30,0
UTAC,SAN DIEGO,32.75,-117.166664,999,false,true,true,true,30,0
UTVT,SAN JUAN,18.516666,-67.15,999,false,false,false,true,30,0
UULA,SAN PEDRO,-33.683334,-59.633335,999,false,false,false,true,30,0
UULB,SAN PEDRO,4.733333,-6.616667,999,false,false,false,true,30,0
UULX,SAN PEDRO,33.75,-118.25,999,false,true,true,true,30,0
UYQR,SASEBO,33.166668,129.71666,999,false,false,false,true,30,0
UZXJ,SAVANNAH,32.083332,-81.11667,999,false,true,true,true,30,0
VFVN,SEATTLE,47.6,-122.333336,999,false,true,true,true,30,0
VKNP,SFAX,34.733334,10.766666,999,false,false,false,true,30,0
VPRF,SHIMIZU,35.004166,138.49945,999,false,false,false,true,30,0
VSNF,SINGAPORE,1.35,103.916664,999,false,false,false,true,30,0
WMPT,SOUTHPORT MILITAR,33.983334,-77.933334,999,false,true,true,true,30,0
WPAU,SYDNEY,-33.966667,151.2,999,false,false,false,true,30,0
WPVT,TACOMA,47.266666,-122.5,999,false,true,true,true,30,0
WQZM,TAKORADI,4.883333,-1.75,999,false,false,false,true,30,0
WTJG,TEMA,5.633333,0.016666668,999,false,false,false,true,30,0
WYKZ,TOKYO,35.666668,139.75,999,false,false,false,true,30,0
XEXW,TRIESTE,45.65,13.766666,999,false,false,false,true,30,0
XRVJ,VALENCIA,39.45,-0.31666666,999,false,false,false,true,30,0
XUDT,VANCOUVER,45.633335,-122.683334,999,false,true,true,true,30,0
XVMN,VENICE,45.433334,12.333333,999,false,false,false,true,30,0
XVRV,VERACRUZ,19.2,-96.13333,999,false,false,false,true,30,0
XYNK,VILLA SAN GIOVANN,38.216667,15.633333,999,false,false,false,true,30,0
YRTK,WELLINGTON,-41.366665,174.85,999,false,false,false,true,30,0
ZBES,WILMINGTON,34.233334,-77.95,999,false,true,true,true,30,0
ZMJJ,YANTIAN PORT FAC,22.6,114.26667,999,false,false,false,true,30,0
ZNMC,YOKOHAMA COMMERCI,35.45,139.65,999,false,false,false,true,30,0
ZSJC,ZHAPU,30.583334,121.1,999,false,false,false,true,30,0
