Ship Type,Berth Type,Commodity Class,Transfer Rate
BARGE(T-AKB),CONT/AMMO,4,1800
BARGE(T-AKB),CONT/AMMO,5,0
BARGE(T-AKB),CONT/AMMO,6,0
BARGE(T-AKB),CONTAINER,1,0
BARGE(T-AKB),CONTAINER,2,1200
BARGE(T-AKB),CONTAINER,3,1200
BARGE(T-AKB),CONTAINER,4,1800
BARGE(T-AKB),CONTAINER,5,0
BARGE(T-AKB),CONTAINER,6,0
BARGE(T-AKB),DOCK,1,0
BARGE(T-AKB),DOCK,2,0
BARGE(T-AKB),DOCK,3,0
BARGE(T-AKB),DOCK,4,0
BARGE(T-AKB),DOCK,5,0
BARGE(T-AKB),DOCK,6,0
BARGE(T-AKB),GENERAL PURP,1,0
BARGE(T-AKB),GENERAL PURP,2,1200
BARGE(T-AKB),GENERAL PURP,3,1200
BARGE(T-AKB),GENERAL PURP,4,1800
BARGE(T-AKB),GENERAL PURP,5,5000
BARGE(T-AKB),GENERAL PURP,6,0
BARGE(T-AKB),INTRA WATER,1,0
BARGE(T-AKB),INTRA WATER,2,0
BARGE(T-AKB),INTRA WATER,3,0
BARGE(T-AKB),INTRA WATER,4,0
BARGE(T-AKB),INTRA WATER,5,0
BARGE(T-AKB),INTRA WATER,6,0
BARGE(T-AKB),JLOTS,1,0
BARGE(T-AKB),JLOTS,2,0
BARGE(T-AKB),JLOTS,3,0
BARGE(T-AKB),JLOTS,4,0
BARGE(T-AKB),JLOTS,5,0
BARGE(T-AKB),JLOTS,6,0
BARGE(T-AKB),LIGHTER,1,0
BARGE(T-AKB),LIGHTER,2,0
BARGE(T-AKB),LIGHTER,3,0
BARGE(T-AKB),LIGHTER,4,0
BARGE(T-AKB),LIGHTER,5,0
BARGE(T-AKB),LIGHTER,6,0
BARGE(T-AKB),OTHER,1,0
BARGE(T-AKB),OTHER,2,0
BARGE(T-AKB),OTHER,3,0
BARGE(T-AKB),OTHER,4,0
BARGE(T-AKB),OTHER,5,0
BARGE(T-AKB),OTHER,6,0
BARGE(T-AKB),RORO,1,0
BARGE(T-AKB),RORO,2,0
BARGE(T-AKB),RORO,3,0
BARGE(T-AKB),RORO,4,0
BARGE(T-AKB),RORO,5,0
BARGE(T-AKB),RORO,6,0
BARGE(T-AKB),RORO/CONTNR,1,0
BARGE(T-AKB),RORO/CONTNR,2,1200
BARGE(T-AKB),RORO/CONTNR,3,1200
BARGE(T-AKB),RORO/CONTNR,4,0
BARGE(T-AKB),RORO/CONTNR,5,0
BARGE(T-AKB),RORO/CONTNR,6,0
BARGE(T-AKB),TANKER,1,0
BARGE(T-AKB),TANKER,2,0
BARGE(T-AKB),TANKER,3,0
BARGE(T-AKB),TANKER,4,0
BARGE(T-AKB),TANKER,5,0
BARGE(T-AKB),TANKER,6,0
BARGE(T-AKB),VISA,1,0
BARGE(T-AKB),VISA,2,0
BARGE(T-AKB),VISA,3,0
BARGE(T-AKB),VISA,4,0
BARGE(T-AKB),VISA,5,0
BARGE(T-AKB),VISA,6,0
BREAKBULK,ALL-PURPOSE,1,0
BREAKBULK,ALL-PURPOSE,2,1800
BREAKBULK,ALL-PURPOSE,3,1800
BREAKBULK,ALL-PURPOSE,4,3500
BREAKBULK,ALL-PURPOSE,5,5000
BREAKBULK,ALL-PURPOSE,6,0
BREAKBULK,BARGE,1,0
BREAKBULK,BARGE,2,0
BREAKBULK,BARGE,3,0
BREAKBULK,BARGE,4,0
BREAKBULK,BARGE,5,0
BREAKBULK,BARGE,6,0
BREAKBULK,BBULK/AMMO,1,0
BREAKBULK,BBULK/AMMO,2,0
BREAKBULK,BBULK/AMMO,3,0
BREAKBULK,BBULK/AMMO,4,3500
BREAKBULK,BBULK/AMMO,5,0
BREAKBULK,BBULK/AMMO,6,0
BREAKBULK,BBULK/CONTNR,1,0
BREAKBULK,BBULK/CONTNR,2,1800
BREAKBULK,BBULK/CONTNR,3,1800
BREAKBULK,BBULK/CONTNR,4,0
BREAKBULK,BBULK/CONTNR,5,0
BREAKBULK,BBULK/CONTNR,6,0
BREAKBULK,BBULK/RORO,1,0
BREAKBULK,BBULK/RORO,2,1800
BREAKBULK,BBULK/RORO,3,1800
BREAKBULK,BBULK/RORO,4,3500
BREAKBULK,BBULK/RORO,5,0
BREAKBULK,BBULK/RORO,6,0
BREAKBULK,BREAKBULK,1,0
BREAKBULK,BREAKBULK,2,1800
BREAKBULK,BREAKBULK,3,1800
BREAKBULK,BREAKBULK,4,0
BREAKBULK,BREAKBULK,5,0
BREAKBULK,BREAKBULK,6,0
BREAKBULK,CONT/AMMO,1,0
BREAKBULK,CONT/AMMO,2,0
BREAKBULK,CONT/AMMO,3,0
BREAKBULK,CONT/AMMO,4,0
BREAKBULK,CONT/AMMO,5,0
BREAKBULK,CONT/AMMO,6,0
BREAKBULK,CONTAINER,1,0
BREAKBULK,CONTAINER,2,0
BREAKBULK,CONTAINER,3,0
BREAKBULK,CONTAINER,4,0
BREAKBULK,CONTAINER,5,0
BREAKBULK,CONTAINER,6,0
BREAKBULK,DOCK,1,0
BREAKBULK,DOCK,2,0
BREAKBULK,DOCK,3,0
BREAKBULK,DOCK,4,0
BREAKBULK,DOCK,5,0
BREAKBULK,DOCK,6,0
BREAKBULK,GENERAL PURP,1,0
BREAKBULK,GENERAL PURP,2,1800
BREAKBULK,GENERAL PURP,3,1800
BREAKBULK,GENERAL PURP,4,3500
BREAKBULK,GENERAL PURP,5,5000
BREAKBULK,GENERAL PURP,6,0
BREAKBULK,INTRA WATER,1,0
BREAKBULK,INTRA WATER,2,0
BREAKBULK,INTRA WATER,3,0
BREAKBULK,INTRA WATER,4,0
BREAKBULK,INTRA WATER,5,0
BREAKBULK,INTRA WATER,6,0
BREAKBULK,JLOTS,1,0
BREAKBULK,JLOTS,2,0
BREAKBULK,JLOTS,3,0
BREAKBULK,JLOTS,4,0
BREAKBULK,JLOTS,5,0
BREAKBULK,JLOTS,6,0
BREAKBULK,LIGHTER,1,0
BREAKBULK,LIGHTER,2,0
BREAKBULK,LIGHTER,3,0
BREAKBULK,LIGHTER,4,0
BREAKBULK,LIGHTER,5,0
BREAKBULK,LIGHTER,6,0
BREAKBULK,OTHER,1,0
BREAKBULK,OTHER,2,0
BREAKBULK,OTHER,3,0
BREAKBULK,OTHER,4,0
BREAKBULK,OTHER,5,0
BREAKBULK,OTHER,6,0
BREAKBULK,RORO,1,0
BREAKBULK,RORO,2,0
BREAKBULK,RORO,3,0
BREAKBULK,RORO,4,0
BREAKBULK,RORO,5,0
BREAKBULK,RORO,6,0
BREAKBULK,RORO/CONTNR,1,0
BREAKBULK,RORO/CONTNR,2,0
BREAKBULK,RORO/CONTNR,3,0
BREAKBULK,RORO/CONTNR,4,0
BREAKBULK,RORO/CONTNR,5,0
BREAKBULK,RORO/CONTNR,6,0
BREAKBULK,TANKER,1,0
BREAKBULK,TANKER,2,0
BREAKBULK,TANKER,3,0
BREAKBULK,TANKER,4,0
BREAKBULK,TANKER,5,0
BREAKBULK,TANKER,6,0
BREAKBULK,VISA,1,0
BREAKBULK,VISA,2,0
BREAKBULK,VISA,3,0
BREAKBULK,VISA,4,0
BREAKBULK,VISA,5,0
BREAKBULK,VISA,6,0
CAR TRANS,ALL-PURPOSE,1,0
CAR TRANS,ALL-PURPOSE,2,4600
CAR TRANS,ALL-PURPOSE,3,4600
CAR TRANS,ALL-PURPOSE,4,0
CAR TRANS,ALL-PURPOSE,5,5000
CAR TRANS,ALL-PURPOSE,6,0
CAR TRANS,BARGE,1,0
CAR TRANS,BARGE,2,0
CAR TRANS,BARGE,3,0
CAR TRANS,BARGE,4,0
CAR TRANS,BARGE,5,0
CAR TRANS,BARGE,6,0
CAR TRANS,BBULK/AMMO,1,0
CAR TRANS,BBULK/AMMO,2,0
CAR TRANS,BBULK/AMMO,3,0
CAR TRANS,BBULK/AMMO,4,0
CAR TRANS,BBULK/AMMO,5,0
CAR TRANS,BBULK/AMMO,6,0
CAR TRANS,BBULK/CONTNR,1,0
CAR TRANS,BBULK/CONTNR,2,4600
CAR TRANS,BBULK/CONTNR,3,4600
CAR TRANS,BBULK/CONTNR,4,0
CAR TRANS,BBULK/CONTNR,5,0
CAR TRANS,BBULK/CONTNR,6,0
CAR TRANS,BBULK/RORO,1,0
CAR TRANS,BBULK/RORO,2,4600
CAR TRANS,BBULK/RORO,3,4600
CAR TRANS,BBULK/RORO,4,0
CAR TRANS,BBULK/RORO,5,0
CAR TRANS,BBULK/RORO,6,0
CAR TRANS,BREAKBULK,1,0
CAR TRANS,BREAKBULK,2,0
CAR TRANS,BREAKBULK,3,0
CAR TRANS,BREAKBULK,4,0
CAR TRANS,BREAKBULK,5,0
CAR TRANS,BREAKBULK,6,0
CAR TRANS,CONT/AMMO,1,0
CAR TRANS,CONT/AMMO,2,0
CAR TRANS,CONT/AMMO,3,0
CAR TRANS,CONT/AMMO,4,0
CAR TRANS,CONT/AMMO,5,0
CAR TRANS,CONT/AMMO,6,0
CAR TRANS,CONTAINER,1,0
CAR TRANS,CONTAINER,2,0
CAR TRANS,CONTAINER,3,0
CAR TRANS,CONTAINER,4,0
CAR TRANS,CONTAINER,5,0
CAR TRANS,CONTAINER,6,0
CAR TRANS,DOCK,1,0
CAR TRANS,DOCK,2,0
CAR TRANS,DOCK,3,0
CAR TRANS,DOCK,4,0
CAR TRANS,DOCK,5,0
CAR TRANS,DOCK,6,0
CAR TRANS,GENERAL PURP,1,0
CAR TRANS,GENERAL PURP,2,4600
CAR TRANS,GENERAL PURP,3,4600
CAR TRANS,GENERAL PURP,4,0
CAR TRANS,GENERAL PURP,5,5000
CAR TRANS,GENERAL PURP,6,0
CAR TRANS,INTRA WATER,1,0
CAR TRANS,INTRA WATER,2,0
CAR TRANS,INTRA WATER,3,0
CAR TRANS,INTRA WATER,4,0
CAR TRANS,INTRA WATER,5,0
CAR TRANS,INTRA WATER,6,0
CAR TRANS,JLOTS,1,0
CAR TRANS,JLOTS,2,0
CAR TRANS,JLOTS,3,0
CAR TRANS,JLOTS,4,0
CAR TRANS,JLOTS,5,0
CAR TRANS,JLOTS,6,0
CAR TRANS,LIGHTER,1,0
CAR TRANS,LIGHTER,2,0
CAR TRANS,LIGHTER,3,0
CAR TRANS,LIGHTER,4,0
CAR TRANS,LIGHTER,5,0
CAR TRANS,LIGHTER,6,0
CAR TRANS,OTHER,1,0
CAR TRANS,OTHER,2,0
CAR TRANS,OTHER,3,0
CAR TRANS,OTHER,4,0
CAR TRANS,OTHER,5,0
CAR TRANS,OTHER,6,0
CAR TRANS,RORO,1,0
CAR TRANS,RORO,2,4600
CAR TRANS,RORO,3,4600
CAR TRANS,RORO,4,0
CAR TRANS,RORO,5,0
CAR TRANS,RORO,6,0
CAR TRANS,RORO/CONTNR,1,0
