GeolocCode,Name,Latitude,Longitude,Fuel Dest,CONUS Airport,MilitaryGateway,CRAFGateway,DirectDelivery,MOGConstrained,Fuel Org,CrewRestAllowed
NKAK,LITTLE ROCK AFB,34.918335,-92.14306,,true,false,false,false,true,"",true
NNGX,GENERAL EDWARD LA,42.363056,-71.006386,,true,false,false,false,true,"",true
NRCH,LORING INTL,46.950554,-67.88583,,true,false,false,false,true,"",true
NUEX,LUKE AFB,33.535,-112.38306,,true,false,false,false,false,"",true
NVZR,MACDILL AFB,27.849445,-82.52111,,true,false,false,false,false,"",true
NWXN,MADANIYIN,33.35,10.443611,,false,false,false,false,false,"",true
NZAS,MALMSTROM AFB HEL,47.504723,-111.187225,,true,false,false,false,false,"",true
OPA1,FWD BASE,34.283333,9.6,,false,false,false,false,true,"",true
PCZP,MARCH ARB,33.880833,-117.259445,,true,false,false,false,false,"",true
PJVY,EASTERN WV RGNL S,39.401943,-77.984726,,true,false,false,false,true,"",true
PNQS,MAXWELL AFB,32.383057,-86.36584,,true,false,false,false,true,"",true
PQWY,JBLM MCCHORD FLD,47.13778,-122.47639,,true,false,false,false,true,"",true
PRQE,MC CONNELL AFB,37.623055,-97.2675,,true,false,false,false,false,"",true
PSXE,MC GHEE TYSON,35.81111,-83.99416,,true,false,false,false,false,"",true
PTFL,MC GUIRE FLD,40.015556,-74.59167,,true,true,true,false,true,"",true
QFQE,MILDENHALL,52.361946,0.4863889,,false,false,false,false,true,"",true
QJKL,MINNEAPOLIS ST PA,44.881943,-93.221664,,true,false,false,false,true,"",true
QJVF,MINOT AFB,48.415833,-101.358055,,true,false,false,false,false,"",true
QKJA,MIRAMAR MCAS,32.868332,-117.14167,,true,false,false,false,true,"",true
QSEU,MOODY AFB,30.967777,-83.193054,,true,false,false,false,false,"",true
QYZH,MOUNTAIN HOME AFB,43.04361,-115.8725,,true,false,false,false,true,"",true
RDRD,MYRTLE BEACH INTL,33.67972,-78.92834,,true,false,false,false,false,"",true
RKMF,NELLIS AFB,36.23611,-115.034164,,true,false,false,false,true,"",true
RZQH,NORTH ISLAND NAS,32.699165,-117.21528,,true,false,false,false,false,"",true
SBDW,NORFOLK NS,36.93778,-76.28917,,true,false,false,false,false,"",true
SCEY,SAN BERNARDINO IN,34.095276,-117.235,,true,false,false,false,false,"",true
SEA1,TUNISIASEABASE,34.283333,10.5,,false,false,false,false,true,"",true
SGBP,OFFUTT AFB,41.119446,-95.90861,,true,false,false,false,true,"",true
SHYQ,HARRISBURG INTL,40.193054,-76.7625,,true,false,false,false,false,"",true
SMYU,OSAN AB,37.090557,127.029724,,false,false,false,false,false,"",true
STRL,PALERMO,38.175835,13.091111,,false,false,false,false,true,"",true
SXHT,PATRICK AFB,28.235,-80.61,,true,false,false,false,false,"",true
TDHV,CITY OF COLORADO,38.805832,-104.700836,,true,false,false,false,true,"",true
THWA,PLATTSBURGH INTL,44.650833,-73.468056,,true,false,false,false,false,"",true
TKXA,POINT MUGU NAS,34.120277,-119.120834,,true,false,false,false,false,"",true
TMKH,POPE AAF,35.170834,-79.01444,,true,false,false,false,true,"",true
TYFR,RAMSTEIN AB,49.43611,7.606389,,false,false,false,false,true,"",true
UGZX,RIYADH AB,24.712778,46.725555,,false,false,false,false,true,"",true
UHGN,ROBERT GRAY AAF,31.067223,-97.82889,,true,false,false,false,true,"",true
UHHZ,ROBINS AFB,32.640278,-83.59194,,true,false,false,false,false,"",true
ULLT,JOSE APONTE DE LA,18.245277,-65.64333,,false,false,false,false,false,"",true
UMXB,ROTA NS,36.64528,-6.3494444,,false,false,false,false,true,"",true
VDYD,SCOTT AFB MIDAMER,38.545277,-89.83528,,true,false,false,false,true,"",true
VGHV,MUSCAT INTL,23.593056,58.284443,,false,false,false,false,false,"",true
VKAG,SEYMOUR JOHNSON A,35.339443,-77.960556,,true,false,false,false,true,"",true
VLSB,SHAW AFB,33.97278,-80.47056,,true,false,false,false,false,"",true
VRJT,SIGONELLA,37.40167,14.922222,,false,false,false,false,true,"",true
VSMR,PAYA LEBAR,1.3605555,103.90945,,false,false,false,false,true,"",true
VWLB,SOESTERBERG,52.127224,5.276111,,false,false,false,false,false,"",true
VYHK,SPANGDAHLEM AB,49.976665,6.6986113,,false,false,false,false,false,"",true
WEAS,LOUISVILLE INTL S,38.174168,-85.73639,,true,false,false,false,false,"",true
WSVC,CHEIKH LARBI TEBE,35.431667,8.122222,,false,false,false,false,false,"",true
WWYK,TINKER AFB,35.414722,-97.386665,,true,false,false,false,false,"",true
XBGX,TORREJON,40.496666,-3.4458334,,false,false,false,false,false,"",true
XDAT,TRAVIS AFB,38.264446,-121.924164,,true,true,true,false,true,"",true
XLWU,TYNDALL AFB,30.069445,-85.575554,,true,false,false,false,false,"",true
XQDT,UPPER HEYFORD,51.93667,-1.2491666,,false,false,false,false,false,"",true
XUMU,VANDENBERG AFB,34.73722,-120.58444,,true,false,false,false,false,"",true
YAQF,VOLK FLD,43.939167,-90.25305,,true,false,false,false,true,"",true
YTPM,WESTOVER ARB METR,42.19389,-72.53472,,true,false,false,false,false,"",true
YWHG,WHITEMAN AFB,38.730278,-93.547775,,true,false,false,false,true,"",true
ZAWN,WILLOW GROVE NAS,40.199722,-75.148056,,true,false,false,false,true,"",true
ZFKN,WOODBRIDGE,52.08972,1.4055556,,false,false,false,false,false,"",true
ZHTV,WRIGHT PATTERSON,39.82611,-84.04833,,true,false,false,false,true,"",true
ZJXD,OSCODA WURTSMITH,44.451668,-83.394165,,true,false,false,false,false,"",true
ZNRE,YOKOTA AB,35.74861,139.34862,,false,false,false,false,true,"",true
ZRCE,YUMA INTL,32.656387,-114.605,,true,false,false,false,false,"",true
