Ship Type,Berth Type,Commodity Class,Transfer Rate
BARGE(T-AKB),ALL-PURPOSE,MARINE-PREPO,1800
BARGE(T-AKB),ALL-PURPOSE,ARMY-PREPO,5000
BARGE(T-AKB),ALL-PURPOSE,AIRBORNE,0
BARGE(T-AKB),BARGE,AF-AIRCRAFT,0
BARGE(T-AKB),BARGE,AF-SUPPORT,0
BARGE(T-AKB),BARGE,AF-PREPO,0
BARGE(T-AKB),BARGE,MARINE-PREPO,0
BARGE(T-AKB),BARGE,ARMY-PREPO,0
BARGE(T-AKB),BARGE,AIRBORNE,0
BARGE(T-AKB),BBULK/AMMO,AF-AIRCRAFT,0
BARGE(T-AKB),BBULK/AMMO,AF-SUPPORT,0
BARGE(T-AKB),BBULK/AMMO,AF-PREPO,0
BARGE(T-AKB),BBULK/AMMO,MARINE-PREPO,1500
BARGE(T-AKB),BBULK/AMMO,ARMY-PREPO,0
BARGE(T-AKB),BBULK/AMMO,AIRBORNE,0
BARGE(T-AKB),BBULK/CONTNR,AF-AIRCRAFT,0
BARGE(T-AKB),BBULK/CONTNR,AF-SUPPORT,1200
BARGE(T-AKB),BBULK/CONTNR,AF-PREPO,1200
BARGE(T-AKB),BBULK/CONTNR,MARINE-PREPO,0
BARGE(T-AKB),BBULK/CONTNR,ARMY-PREPO,0
BARGE(T-AKB),BBULK/CONTNR,AIRBORNE,0
BARGE(T-AKB),BBULK/RORO,AF-AIRCRAFT,0
BARGE(T-AKB),BBULK/RORO,AF-SUPPORT,1000
BARGE(T-AKB),BBULK/RORO,AF-PREPO,1000
BARGE(T-AKB),BBULK/RORO,MARINE-PREPO,1800
BARGE(T-AKB),BBULK/RORO,ARMY-PREPO,0
BARGE(T-AKB),BBULK/RORO,AIRBORNE,0
BARGE(T-AKB),BREAKBULK,AF-AIRCRAFT,0
BARGE(T-AKB),BREAKBULK,AF-SUPPORT,1000
BARGE(T-AKB),BREAKBULK,AF-PREPO,1000
BARGE(T-AKB),BREAKBULK,MARINE-PREPO,0
BARGE(T-AKB),BREAKBULK,ARMY-PREPO,0
BARGE(T-AKB),BREAKBULK,AIRBORNE,0
BARGE(T-AKB),CONT/AMMO,AF-AIRCRAFT,0
BARGE(T-AKB),CONT/AMMO,AF-SUPPORT,0
BARGE(T-AKB),CONT/AMMO,AF-PREPO,0
BARGE(T-AKB),CONT/AMMO,MARINE-PREPO,1800
BARGE(T-AKB),CONT/AMMO,ARMY-PREPO,0
BARGE(T-AKB),CONT/AMMO,AIRBORNE,0
BARGE(T-AKB),CONTAINER,AF-AIRCRAFT,0
BARGE(T-AKB),CONTAINER,AF-SUPPORT,1200
BARGE(T-AKB),CONTAINER,AF-PREPO,1200
BARGE(T-AKB),CONTAINER,MARINE-PREPO,1800
BARGE(T-AKB),CONTAINER,ARMY-PREPO,0
BARGE(T-AKB),CONTAINER,AIRBORNE,0
BARGE(T-AKB),DOCK,AF-AIRCRAFT,0
BARGE(T-AKB),DOCK,AF-SUPPORT,0
BARGE(T-AKB),DOCK,AF-PREPO,0
BARGE(T-AKB),DOCK,MARINE-PREPO,0
BARGE(T-AKB),DOCK,ARMY-PREPO,0
BARGE(T-AKB),DOCK,AIRBORNE,0
BARGE(T-AKB),GENERAL PURP,AF-AIRCRAFT,0
BARGE(T-AKB),GENERAL PURP,AF-SUPPORT,1200
BARGE(T-AKB),GENERAL PURP,AF-PREPO,1200
BARGE(T-AKB),GENERAL PURP,MARINE-PREPO,1800
BARGE(T-AKB),GENERAL PURP,ARMY-PREPO,5000
BARGE(T-AKB),GENERAL PURP,AIRBORNE,0
BARGE(T-AKB),INTRA WATER,AF-AIRCRAFT,0
BARGE(T-AKB),INTRA WATER,AF-SUPPORT,0
BARGE(T-AKB),INTRA WATER,AF-PREPO,0
BARGE(T-AKB),INTRA WATER,MARINE-PREPO,0
BARGE(T-AKB),INTRA WATER,ARMY-PREPO,0
BARGE(T-AKB),INTRA WATER,AIRBORNE,0
BARGE(T-AKB),JLOTS,AF-AIRCRAFT,0
BARGE(T-AKB),JLOTS,AF-SUPPORT,0
BARGE(T-AKB),JLOTS,AF-PREPO,0
BARGE(T-AKB),JLOTS,MARINE-PREPO,0
BARGE(T-AKB),JLOTS,ARMY-PREPO,0
BARGE(T-AKB),JLOTS,AIRBORNE,0
BARGE(T-AKB),LIGHTER,AF-AIRCRAFT,0
BARGE(T-AKB),LIGHTER,AF-SUPPORT,0
BARGE(T-AKB),LIGHTER,AF-PREPO,0
BARGE(T-AKB),LIGHTER,MARINE-PREPO,0
BARGE(T-AKB),LIGHTER,ARMY-PREPO,0
BARGE(T-AKB),LIGHTER,AIRBORNE,0
BARGE(T-AKB),OTHER,AF-AIRCRAFT,0
BARGE(T-AKB),OTHER,AF-SUPPORT,0
BARGE(T-AKB),OTHER,AF-PREPO,0
BARGE(T-AKB),OTHER,MARINE-PREPO,0
BARGE(T-AKB),OTHER,ARMY-PREPO,0
BARGE(T-AKB),OTHER,AIRBORNE,0
BARGE(T-AKB),RORO,AF-AIRCRAFT,0
BARGE(T-AKB),RORO,AF-SUPPORT,0
BARGE(T-AKB),RORO,AF-PREPO,0
BARGE(T-AKB),RORO,MARINE-PREPO,0
BARGE(T-AKB),RORO,ARMY-PREPO,0
BARGE(T-AKB),RORO,AIRBORNE,0
BARGE(T-AKB),RORO/CONTNR,AF-AIRCRAFT,0
BARGE(T-AKB),RORO/CONTNR,AF-SUPPORT,1200
