Ship Type,Commodity,Transition Time
COMBO,CSS-SUPPLY,0
COMBO,CSS-TRANSPOR,0
COMBO,CSS-OTHER,0
COMBO,NAVY-UE,0
COMBO,RESUPPLY,0
COMBO,AMMUNITION,0
COMBO,POL,0
COMBO,GEN-RESUPPLY,0
COMBO,GEN-AMMO,0
COMBO,GEN-POL,0
CONT-NSS,AF-AIRCRAFT,0
CONT-NSS,AF-SUPPORT,0
CONT-NSS,AF-PREPO,0
CONT-NSS,MARINE-PREPO,0
CONT-NSS,ARMY-PREPO,0
CONT-NSS,AIRBORNE,0
CONT-NSS,ARMOR,0
CONT-NSS,MECH-INFANTR,0
CONT-NSS,AIRMOBILE,0
CONT-NSS,CBAC,0
CONT-NSS,INFANTRY,0
CONT-NSS,ARMOR-CAV,0
CONT-NSS,AMPH-MARINES,0
CONT-NSS,MARINES,0
CONT-NSS,CS-ENGINEER,0
CONT-NSS,CS-ARTILLERY,0
CONT-NSS,CS-OTHER,0
CONT-NSS,CSS-ENGINEER,0
CONT-NSS,CSS-MEDICAL,0
CONT-NSS,CSS-SIGNAL,0
CONT-NSS,CSS-SUPPLY,0
CONT-NSS,CSS-TRANSPOR,0
CONT-NSS,CSS-OTHER,0
CONT-NSS,NAVY-UE,0
CONT-NSS,RESUPPLY,0
CONT-NSS,AMMUNITION,0
CONT-NSS,POL,0
CONT-NSS,GEN-RESUPPLY,0
CONT-NSS,GEN-AMMO,0
CONT-NSS,GEN-POL,0
CONT-SS,AF-AIRCRAFT,0
CONT-SS,AF-SUPPORT,0
CONT-SS,AF-PREPO,0
CONT-SS,MARINE-PREPO,0
CONT-SS,ARMY-PREPO,0
CONT-SS,AIRBORNE,0
CONT-SS,ARMOR,0
CONT-SS,MECH-INFANTR,0
CONT-SS,AIRMOBILE,0
CONT-SS,CBAC,0
CONT-SS,INFANTRY,0
CONT-SS,ARMOR-CAV,0
CONT-SS,AMPH-MARINES,0
CONT-SS,MARINES,0
CONT-SS,CS-ENGINEER,0
CONT-SS,CS-ARTILLERY,0
CONT-SS,CS-OTHER,0
CONT-SS,CSS-ENGINEER,0
CONT-SS,CSS-MEDICAL,0
CONT-SS,CSS-SIGNAL,0
CONT-SS,CSS-SUPPLY,0
CONT-SS,CSS-TRANSPOR,0
CONT-SS,CSS-OTHER,0
CONT-SS,NAVY-UE,0
CONT-SS,RESUPPLY,0
CONT-SS,AMMUNITION,0
CONT-SS,POL,0
CONT-SS,GEN-RESUPPLY,0
CONT-SS,GEN-AMMO,0
CONT-SS,GEN-POL,0
FSS,AF-AIRCRAFT,0
FSS,AF-SUPPORT,0
FSS,AF-PREPO,0
FSS,MARINE-PREPO,0
FSS,ARMY-PREPO,0
FSS,AIRBORNE,0
FSS,ARMOR,0
FSS,MECH-INFANTR,0
FSS,AIRMOBILE,0
FSS,CBAC,0
FSS,INFANTRY,0
FSS,ARMOR-CAV,0
FSS,AMPH-MARINES,0
FSS,MARINES,0
FSS,CS-ENGINEER,0
FSS,CS-ARTILLERY,0
FSS,CS-OTHER,0
FSS,CSS-ENGINEER,0
FSS,CSS-MEDICAL,0
FSS,CSS-SIGNAL,0
FSS,CSS-SUPPLY,0
FSS,CSS-TRANSPOR,0
FSS,CSS-OTHER,0
FSS,NAVY-UE,0
FSS,RESUPPLY,0
FSS,AMMUNITION,0
FSS,POL,0
FSS,GEN-RESUPPLY,0
FSS,GEN-AMMO,0
FSS,GEN-POL,0
PAX,AF-AIRCRAFT,0
PAX,AF-SUPPORT,0
PAX,AF-PREPO,0
PAX,MARINE-PREPO,0
PAX,ARMY-PREPO,0
PAX,AIRBORNE,0
PAX,ARMOR,0
PAX,MECH-INFANTR,0
PAX,AIRMOBILE,0
PAX,CBAC,0
PAX,INFANTRY,0
PAX,ARMOR-CAV,0
PAX,AMPH-MARINES,0
PAX,MARINES,0
PAX,CS-ENGINEER,0
PAX,CS-ARTILLERY,0
PAX,CS-OTHER,0
PAX,CSS-ENGINEER,0
PAX,CSS-MEDICAL,0
PAX,CSS-SIGNAL,0
PAX,CSS-SUPPLY,0
PAX,CSS-TRANSPOR,0
PAX,CSS-OTHER,0
PAX,NAVY-UE,0
PAX,RESUPPLY,0
PAX,AMMUNITION,0
PAX,POL,0
PAX,GEN-RESUPPLY,0
PAX,GEN-AMMO,0
PAX,GEN-POL,0
POL TANKER,AF-AIRCRAFT,0
POL TANKER,AF-SUPPORT,0
POL TANKER,AF-PREPO,0
POL TANKER,MARINE-PREPO,0
POL TANKER,ARMY-PREPO,0
POL TANKER,AIRBORNE,0
POL TANKER,ARMOR,0
POL TANKER,MECH-INFANTR,0
POL TANKER,AIRMOBILE,0
POL TANKER,CBAC,0
POL TANKER,INFANTRY,0
POL TANKER,ARMOR-CAV,0
POL TANKER,AMPH-MARINES,0
POL TANKER,MARINES,0
POL TANKER,CS-ENGINEER,0
POL TANKER,CS-ARTILLERY,0
POL TANKER,CS-OTHER,0
POL TANKER,CSS-ENGINEER,0
POL TANKER,CSS-MEDICAL,0
POL TANKER,CSS-SIGNAL,0
POL TANKER,CSS-SUPPLY,0
POL TANKER,CSS-TRANSPOR,0
POL TANKER,CSS-OTHER,0
POL TANKER,NAVY-UE,0
POL TANKER,RESUPPLY,0
POL TANKER,AMMUNITION,0
POL TANKER,POL,0
POL TANKER,GEN-RESUPPLY,0
POL TANKER,GEN-AMMO,0
POL TANKER,GEN-POL,0
RO/RO,AF-AIRCRAFT,0
RO/RO,AF-SUPPORT,0
RO/RO,AF-PREPO,0
RO/RO,MARINE-PREPO,0
RO/RO,ARMY-PREPO,0
RO/RO,AIRBORNE,0
RO/RO,ARMOR,0
RO/RO,MECH-INFANTR,0
RO/RO,AIRMOBILE,0
