RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,CargoId
1:00FJ,J3C,3.1,0.9,18,8,50,52,48,J3C Defaulted,,1:00FJ.J3C0001
1:00FJ,J3C,3.2000008,0.9000006,18,1,50,52,48,J3C Leftover,,1:00FJ.J3C0002
1:00FJ,M7C,0.7,0.8,0.2,3,1,52,48,M7C Defaulted,,1:00FJ.M7C0001
1:00FJ,M7C,0.9000001,0.89999986,0.39999998,1,1,52,48,M7C Leftover,,1:00FJ.M7C0002
1:00FJ,A2D,25.6,4.8,150.3,30,235,92,78,A2D Defaulted,,1:00FJ.A2D0001
1:00FJ,A2D,28,6.100006,151,1,236,92,78,A2D Leftover,,1:00FJ.A2D0002
1:00FK,J7C,2.4,1,19.4,18,54,52,48,J7C Defaulted,,1:00FK.J7C0001
1:00FK,J7C,2.7999992,0.5,20.800018,1,58,52,48,J7C Leftover,,1:00FK.J7C0002
1:00FK,M7C,1,0.6,1,1,3,52,48,M7C Leftover,,1:00FK.M7C0001
1:00FK,A2D,35.6,4.5,176.6,2,276,92,78,A2D Defaulted,,1:00FK.A2D0001
1:00FK,A2D,35.800003,4.5,176.79999,1,277,92,78,A2D Leftover,,1:00FK.A2D0002
1:00FL,J7C,2.4,1,19.4,18,54,52,48,J7C Defaulted,,1:00FL.J7C0001
1:00FL,J7C,2.7999992,0.5,20.800018,1,58,52,48,J7C Leftover,,1:00FL.J7C0002
1:00FL,M7C,1,0.6,1,1,3,52,48,M7C Leftover,,1:00FL.M7C0001
1:00FL,A2D,37.8,4.9,215.5,8,337,92,78,A2D Defaulted,,1:00FL.A2D0001
1:00FL,A2D,38.600006,4.8999977,216,1,338,92,78,A2D Leftover,,1:00FL.A2D0002
1:00FQ,J7C,2.4,1,19,16,53,52,48,J7C Defaulted,,1:00FQ.J7C0001
1:00FQ,J7C,2.5999985,0.20000076,20,1,55,52,48,J7C Leftover,,1:00FQ.J7C0002
1:00FQ,M7C,1,0.9,0.3,2,1,52,48,M7C Defaulted,,1:00FQ.M7C0001
1:00FQ,M7C,1,0.79999995,0.39999998,1,1,52,48,M7C Leftover,,1:00FQ.M7C0002
1:00FQ,A2D,21.5,2.7,106,1,166,92,78,A2D Defaulted,,1:00FQ.A2D0001
1:00FQ,A2D,21.5,2.7,106,1,166,92,78,A2D Leftover,,1:00FQ.A2D0002
1:00FR,J7C,2.4,1,19,16,53,52,48,J7C Defaulted,,1:00FR.J7C0001
1:00FR,J7C,2.5999985,0.20000076,20,1,55,52,48,J7C Leftover,,1:00FR.J7C0002
1:00FR,M7C,1,0.9,0.3,2,1,52,48,M7C Defaulted,,1:00FR.M7C0001
1:00FR,M7C,1,0.79999995,0.39999998,1,1,52,48,M7C Leftover,,1:00FR.M7C0002
1:00FR,A2D,32.5,4.1,159,1,249,92,78,A2D Defaulted,,1:00FR.A2D0001
1:00FR,A2D,32.5,4.0000005,159,1,249,92,78,A2D Leftover,,1:00FR.A2D0002
1:00FS,J3C,1,0.1,2,1,6,52,48,J3C Leftover,,1:00FS.J3C0001
1:00FTC,J3B,2.6,1,19.4,34,54,52,48,J3B Defaulted,,1:00FTC.J3B0001
1:00FTC,J3B,4.600006,0.099998474,22.400024,1,62,52,48,J3B Leftover,,1:00FTC.J3B0002
1:00FTC,R2D,28.6,3.6,72,2,113,92,78,R2D Defaulted,,1:00FTC.R2D0001
1:00FTC,R2D,28.8,3.6000004,72,1,113,92,78,R2D Leftover,,1:00FTC.R2D0002
1:00FV,J7C,2.5,1,19.8,15,55,52,48,J7C Defaulted,,1:00FV.J7C0001
1:00FV,J7C,2.5,0.8999996,21,1,58,52,48,J7C Leftover,,1:00FV.J7C0002
1:00FV,M7C,1,0.5,1,1,3,52,48,M7C Leftover,,1:00FV.M7C0001
1:00FV,A2D,13,4.9,73.4,42,115,92,78,A2D Defaulted,,1:00FV.A2D0001
1:00FV,A2D,17,5,77.19995,1,121,92,78,A2D Leftover,,1:00FV.A2D0002
1:00GB,J7C,2.4,1,19.6,18,54,52,48,J7C Defaulted,,1:00GB.J7C0001
1:00GB,J7C,3.7999992,0.70000076,21.199982,1,59,52,48,J7C Leftover,,1:00GB.J7C0002
1:00GB,M7C,1,0.7,1,1,3,52,48,M7C Leftover,,1:00GB.M7C0001
1:00GC,J7C,2.4,1,19.6,18,54,52,48,J7C Defaulted,,1:00GC.J7C0001
1:00GC,J7C,3.7999992,0.70000076,21.199982,1,59,52,48,J7C Leftover,,1:00GC.J7C0002
1:00GC,M7C,1,0.7,1,1,3,52,48,M7C Leftover,,1:00GC.M7C0001
1:00GC,A2D,32.5,4.1,159,1,249,92,78,A2D Defaulted,,1:00GC.A2D0001
1:00GC,A2D,32.5,4.0000005,159,1,249,92,78,A2D Leftover,,1:00GC.A2D0002
1:00GDC,R1D,30,9.6,191,1,284,97,115,R1D Defaulted,,1:00GDC.R1D0001
1:00GDC,R1D,30,9.5,191,1,284,97,115,R1D Leftover,,1:00GDC.R1D0002
1:00GE,J7C,2.3,0.9,18.6,9,52,52,48,J7C Defaulted,,1:00GE.J7C0001
1:00GE,J7C,2.3000011,1.2000008,18.59999,1,52,52,48,J7C Leftover,,1:00GE.J7C0002
1:00GE,M7C,1,0.5,1,1,3,52,48,M7C Leftover,,1:00GE.M7C0001
1:00GE,A2D,13.6,3.9,91,2,142,92,78,A2D Defaulted,,1:00GE.A2D0001
1:00GE,A2D,13.799999,3.8000002,91,1,142,92,78,A2D Leftover,,1:00GE.A2D0002
1:00GF,A3D,3.5,0.9,30,1,83,52,48,A3D Defaulted,,1:00GF.A3D0001
1:00GF,A3D,3.5,0.9,30,1,83,52,48,A3D Leftover,,1:00GF.A3D0002
1:00GF,J7C,2.3,0.9,18.6,9,52,52,48,J7C Defaulted,,1:00GF.J7C0001
1:00GF,J7C,2.3000011,1.2000008,18.59999,1,52,52,48,J7C Leftover,,1:00GF.J7C0002
1:00GF,M7C,1,0.5,1,1,3,52,48,M7C Leftover,,1:00GF.M7C0001
1:00GF,A2D,18.3,4.8,107.4,18,168,92,78,A2D Defaulted,,1:00GF.A2D0001
1:00GF,A2D,19.600006,4.9000015,108.79993,1,170,92,78,A2D Leftover,,1:00GF.A2D0002
1:00GG,J7C,2.3,0.9,18.6,11,52,52,48,J7C Defaulted,,1:00GG.J7C0001
1:00GG,J7C,2.7000008,1.3000002,19.399994,1,54,52,48,J7C Leftover,,1:00GG.J7C0002
1:00GG,M7C,1,0.2,1,1,3,52,48,M7C Leftover,,1:00GG.M7C0001
1:00GG,A2D,28.6,3.6,141.3,2,221,92,78,A2D Defaulted,,1:00GG.A2D0001
1:00GG,A2D,28.8,3.6000004,141.4,1,221,92,78,A2D Leftover,,1:00GG.A2D0002
1:00GH,J7C,2.3,0.9,18.6,11,52,52,48,J7C Defaulted,,1:00GH.J7C0001
1:00GH,J7C,2.7000008,1.3000002,19.399994,1,54,52,48,J7C Leftover,,1:00GH.J7C0002
1:00GH,M7C,1,0.2,1,1,3,52,48,M7C Leftover,,1:00GH.M7C0001
1:00GH,A2D,32.2,4.8,172.9,11,271,92,78,A2D Defaulted,,1:00GH.A2D0001
1:00GH,A2D,32.799988,5.199997,173.1001,1,271,92,78,A2D Leftover,,1:00GH.A2D0002
1:00HB,J3C,6,0.9,18,3,50,52,48,J3C Defaulted,,1:00HB.J3C0001
1:00HB,J3C,6,0.9000001,18,1,50,52,48,J3C Leftover,,1:00HB.J3C0002
1:00HB,J7C,2.4,1,19.9,42,55,52,48,J7C Defaulted,,1:00HB.J7C0001
