geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
LKPE,LKPEBBULK/AMMO01,3,55,0,660,99999,1,48.075,-122.75
LKPE,LKPECONT/AMMO 01,7,55,0,1000,99999,1,48.075,-122.75
LRNC,LRNCVISA      01,18,99,0,9999,99999,1,38.42389,27.129723
LSGM,JACKSONVILLE berth group-LSGM,1,55,0,5000,99999,1,30.333334,-81.666664
LUTP,LUTPBBULK/RORO01,5,44,0,2378,99999,1,21.5,39.2
LUTP,LUTPBBULK/RORO02,5,44,0,1968,99999,1,21.5,39.2
LUTP,LUTPRORO      01,15,44,0,1476,99999,1,21.5,39.2
LUTP,LUTPVISA      01,18,99,0,9999,99999,1,21.5,39.2
LWEV,LWEVBBULK/RORO01,5,44,0,3280,99999,1,27,49.666668
LWEV,LWEVGENERAL PU01,10,44,0,1968,99999,1,27,49.666668
LWEV,LWEVGENERAL PU02,10,44,0,1640,99999,1,27,49.666668
LWEV,LWEVGENERAL PU03,10,37,0,5562,99999,1,27,49.666668
LYAP,LYAPVISA      01,18,99,0,9999,99999,1,23.016666,70.21667
LYRV,LYRVVISA      01,18,99,0,9999,99999,1,22.6,120.36667
LYTM,LYTMJLOTS     01,12,40,0,3000,99999,1,24.783333,66.98333
MKAG,MKAGVISA      01,18,99,0,9999,99999,1,34.666668,135.2
MLDL,MLDLGENERAL PU01,10,99,0,9999,99999,1,45.55,13.733334
MLDL,MLDLVISA      01,18,99,0,9999,99999,1,45.55,13.733334
MMGH,MMGHGENERAL PU01,10,39,0,2361,99999,1,34.894444,127.64667
MMGH,MMGHGENERAL PU02,10,46,0,918,99999,1,34.894444,127.64667
MMGH,MMGHGENERAL PU03,10,37,0,787,99999,1,34.894444,127.64667
MMGH,MMGHGENERAL PU04,10,46,0,4362,99999,1,34.894444,127.64667
MMGH,MMGHRORO      01,15,23,0,2427,99999,1,34.894444,127.64667
MMGH,MMGHVISA      01,18,99,0,9999,99999,1,34.894444,127.64667
MZJK,MZJKVISA      01,18,99,0,9999,99999,1,49.466667,0.11666667
NBDY,NBDYVISA      01,18,99,0,9999,99999,1,43.566666,10.3
NLFL,NLFLGENERAL PU01,10,36,0,2000,99999,1,53.416668,-3
NNWH,NNWHVISA      01,18,99,0,9999,99999,1,6.1666665,1.25
NPTU,LONG BEACH berth group-NPTU,1,55,0,5000,99999,1,33.766666,-118.183334
NSAN,NSANVISA      01,18,99,0,9999,99999,1,33.716667,-118.26667
PAXM,PAXMVISA      01,18,99,0,9999,99999,1,14.583333,120.96667
PCFC,PCFCVISA      01,18,99,0,9999,99999,1,19.033333,-104.316666
PCFG,PCFGVISA      01,18,99,0,9999,99999,1,9.363334,-79.88361
PKVP,PKVPBBULK/RORO01,5,30,0,1377,99999,1,35.183334,128.56667
PKVP,PKVPBBULK/RORO02,5,36,0,1377,99999,1,35.183334,128.56667
PKVP,PKVPGENERAL PU01,10,33,0,3444,99999,1,35.183334,128.56667
QCFF,QCFFVISA      01,18,99,0,9999,99999,1,25.783333,-80.183334
