Day,Airport,Geoloc,Fleet,AircraftType,Arrivals,Departures,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay
22,POPE AAF,TMKH,STRATEGIC,C-17,3,0,6.750,.000,.000,.000,.000,.000,10.207,7.893,.000,NO,.000
22,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,2,1,.000,.000,.000,3.000,.000,.000,.000,26.800,.000,NO,.000
22,RAMSTEIN AB,TYFR,STRATEGIC,C-17,2,7,.000,.000,.000,5.496,.000,.000,.000,53.609,.000,NO,.000
22,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
22,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,2,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
22,TRAVIS AFB,XDAT,STRATEGIC,KC-10,1,0,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
22,WHITEMAN AFB,YWHG,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,9.269,.000,NO,.000
23,ALCONBURY,AEDY,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
23,ANDERSEN AFB,AJJY,STRATEGIC,C-5A,1,1,3.750,.000,.000,.000,.000,.000,.000,11.250,.000,NO,.000
23,BARKSDALE AFB,AWUB,STRATEGIC,B-747P,1,0,2.201,.000,.000,.000,.000,.000,.000,9.866,.000,NO,.000
23,JB CHARLESTON,DKFX,STRATEGIC,C-17,6,1,.000,.000,13.500,.000,.000,.000,.000,.000,.000,NO,.000
23,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
23,THYNA,FUQN,STRATEGIC,KC-10,1,1,.000,3.000,.000,.000,.000,.000,.851,.000,.000,NO,.000
23,ALEXANDRIA INTL,GAMH,STRATEGIC,B-747P,1,3,3.000,.000,.000,.000,.000,.000,.000,5.823,.000,NO,.000
23,MATMATA,HNTK,STRATEGIC,B-747P,3,2,.000,6.375,.000,.000,.000,.000,1.911,21.208,.000,NO,.000
23,LAJES,MQNA,STRATEGIC,C-17,5,7,.000,.000,.000,11.250,.000,.000,.000,41.332,.000,NO,.000
23,LAJES,MQNA,STRATEGIC,KC-10,1,0,.000,.000,.000,1.500,.000,.000,.000,13.213,.000,NO,.000
23,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
23,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,1,.000,.000,.000,2.250,.000,.000,.000,12.750,.000,NO,.000
23,POPE AAF,TMKH,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,6.295,.000,NO,.000
23,POPE AAF,TMKH,STRATEGIC,C-17,0,3,.000,.000,.000,.000,.000,.000,9.422,30.357,.000,NO,.000
23,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,3,3,.000,.000,.000,4.500,.000,.000,.000,27.436,.000,NO,.000
23,TRAVIS AFB,XDAT,STRATEGIC,B-747P,4,3,.000,.000,3.000,3.000,.000,.000,25.416,.000,.000,NO,.000
23,TRAVIS AFB,XDAT,STRATEGIC,C-17,1,0,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
23,WHITEMAN AFB,YWHG,STRATEGIC,B-747P,2,1,5.628,.000,.000,.000,.000,.000,10.890,7.442,.000,NO,.000
24,ALCONBURY,AEDY,STRATEGIC,B-747P,1,3,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
24,BARKSDALE AFB,AWUB,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,2.932,.000,NO,.000
24,BIGGS AAF,BPWZ,STRATEGIC,B-747P,2,1,6.000,.000,.000,.000,.000,.000,.000,19.842,.000,NO,.000
24,BIGGS AAF,BPWZ,STRATEGIC,C-17,1,0,.923,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,0,.000,.000,.000,1.500,.000,.000,.000,3.272,.000,NO,.000
24,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,5,.000,.000,4.500,.000,.000,.000,.000,45.000,.000,NO,.000
24,DIEGO GARCIA NSF,FGDC,STRATEGIC,C-5A,1,1,.000,.000,.000,3.250,.000,.000,.000,11.750,.000,NO,.000
24,DOVER AFB,FJXT,STRATEGIC,C-17,2,2,4.500,.000,.000,.000,.000,.000,2.250,12.750,.000,NO,.000
24,DOVER AFB,FJXT,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,10.000,.000,NO,.000
24,DYESS AFB,FNWZ,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,8.481,.000,NO,.000
24,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,THYNA,FUQN,STRATEGIC,C-17,3,3,.000,6.750,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,MATMATA,HNTK,STRATEGIC,B-747P,3,3,2.625,7.623,.000,.000,.000,.000,.000,36.642,.000,NO,.000
24,LAJES,MQNA,STRATEGIC,C-17,2,0,.000,.000,.000,4.500,.000,.000,.000,18.427,.000,NO,.000
24,LAJES,MQNA,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,.287,.000,NO,.000
24,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,2,2,.000,.000,.000,3.000,.000,.000,.000,.000,.000,NO,.000
24,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,2,1,.000,.000,.000,3.000,.000,.000,.000,11.326,.000,NO,.000
24,POPE AAF,TMKH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
24,POPE AAF,TMKH,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,2,2,.000,.000,.000,3.000,.000,.000,.000,36.956,.000,NO,.000
24,RAMSTEIN AB,TYFR,STRATEGIC,C-17,3,3,.000,.000,.000,6.750,.000,.000,.000,38.250,.000,NO,.000
24,TRAVIS AFB,XDAT,STRATEGIC,B-747P,2,2,.000,.000,3.000,.000,.000,.000,2.510,.000,.000,NO,.000
24,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
24,WHITEMAN AFB,YWHG,STRATEGIC,B-747P,0,2,.372,.000,.000,.000,.000,.000,.000,19.289,.000,NO,.000
24,WHITEMAN AFB,YWHG,STRATEGIC,C-17,1,1,2.250,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,ALCONBURY,AEDY,STRATEGIC,B-747P,3,0,.000,.000,3.604,.000,.000,.000,.000,.000,.000,NO,.000
25,BIGGS AAF,BPWZ,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,4.158,.000,NO,.000
25,BIGGS AAF,BPWZ,STRATEGIC,C-17,0,1,1.327,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,CAIRO WEST,CWKW,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,10.228,.000,NO,.000
25,JB CHARLESTON,DKFX,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
25,JB CHARLESTON,DKFX,STRATEGIC,C-17,1,1,.000,.000,.000,2.250,.000,.000,.000,7.560,.000,NO,.000
25,DOVER AFB,FJXT,STRATEGIC,C-17,1,1,2.250,.000,.000,.000,.000,.000,.000,12.750,.000,NO,.000
25,DOVER AFB,FJXT,STRATEGIC,KC-10,5,0,24.956,.000,.000,.000,.000,.000,1.922,17.900,.000,NO,.000
25,DYESS AFB,FNWZ,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,3.519,.000,NO,.000
25,THYNA,FUQN,STRATEGIC,B-747P,2,2,.000,6.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
25,MATMATA,HNTK,STRATEGIC,B-747P,1,3,1.377,3.000,.000,.000,.000,.000,.000,17.625,.000,NO,.000
25,MATMATA,HNTK,STRATEGIC,C-17,2,2,.000,4.500,.000,.000,.000,.000,2.042,.000,.000,NO,.000
25,MATMATA,HNTK,STRATEGIC,C-5A,1,0,.000,1.748,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,LAJES,MQNA,STRATEGIC,C-17,6,6,.000,.000,.000,13.500,.000,.000,.000,55.592,.000,NO,.000
25,LAJES,MQNA,STRATEGIC,KC-10,1,0,.000,.000,.000,.331,.000,.000,.000,.000,.000,NO,.000
25,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,1,0,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
25,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
25,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,2.174,.000,NO,.000
25,MOUNTAIN HOME AFB,QYZH,STRATEGIC,C-17,1,1,2.250,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,POPE AAF,TMKH,STRATEGIC,B-747P,2,2,6.000,.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
25,POPE AAF,TMKH,STRATEGIC,C-17,1,1,2.250,.000,.000,.000,.000,.000,3.523,12.750,.000,NO,.000
25,POPE AAF,TMKH,STRATEGIC,KC-10,1,0,3.171,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,3,2,.000,.000,.000,4.500,.000,.000,.000,26.343,.000,NO,.000
25,RAMSTEIN AB,TYFR,STRATEGIC,C-17,1,0,.000,.000,.000,2.250,.000,.000,.000,10.851,.000,NO,.000
25,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,0,.000,.000,.000,1.500,.000,.000,6.246,6.438,.000,NO,.000
25,SIGONELLA,VRJT,STRATEGIC,C-5A,1,1,.000,3.250,.000,.000,.000,.000,.000,11.750,.000,NO,.000
25,TRAVIS AFB,XDAT,STRATEGIC,B-747P,3,0,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
25,TRAVIS AFB,XDAT,STRATEGIC,C-17,1,1,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
25,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,8,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
25,WHITEMAN AFB,YWHG,STRATEGIC,KC-10,2,1,7.645,.000,.000,.000,.000,.000,.000,10.000,.000,NO,.000
26,ALCONBURY,AEDY,STRATEGIC,B-747P,0,0,.000,.000,.896,.000,.000,.000,.000,.000,.000,NO,.000
26,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
26,JB CHARLESTON,DKFX,STRATEGIC,C-17,5,4,.000,.000,11.250,.000,.000,.000,.000,12.324,.000,NO,.000
26,DOVER AFB,FJXT,STRATEGIC,C-17,3,3,6.750,.000,.000,.000,.000,.000,3.345,38.250,.000,NO,.000
26,DOVER AFB,FJXT,STRATEGIC,KC-10,1,6,5.044,.000,.000,.000,.000,.000,.000,42.100,.000,NO,.000
26,DYESS AFB,FNWZ,STRATEGIC,B-747P,1,0,.817,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
26,THYNA,FUQN,STRATEGIC,C-17,2,2,.000,4.500,.000,.000,.000,.000,.000,25.500,.000,NO,.000
26,THYNA,FUQN,STRATEGIC,KC-10,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
26,MATMATA,HNTK,STRATEGIC,B-747P,2,2,.000,6.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
26,MATMATA,HNTK,STRATEGIC,C-17,1,1,.000,2.250,.000,.000,.000,.000,.000,.000,.000,NO,.000
26,MATMATA,HNTK,STRATEGIC,C-5A,0,1,1.502,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
26,MATMATA,HNTK,STRATEGIC,KC-10,3,1,.000,8.065,.000,.000,.000,.000,.000,12.000,.000,NO,.000
26,LAJES,MQNA,STRATEGIC,C-17,5,5,.000,.000,.000,10.690,.000,.000,.000,24.784,.000,NO,.000
26,LAJES,MQNA,STRATEGIC,KC-10,3,3,.000,.000,.000,5.669,.000,.000,.000,11.193,.000,NO,.000
26,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
26,POPE AAF,TMKH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
26,POPE AAF,TMKH,STRATEGIC,KC-10,0,1,1.829,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
26,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,1,3,.000,.000,.000,1.500,.000,.000,.000,30.966,.000,NO,.000
26,RAMSTEIN AB,TYFR,STRATEGIC,C-17,1,1,.000,.000,.000,2.250,.000,.000,.000,5.793,.000,NO,.000
26,RAMSTEIN AB,TYFR,STRATEGIC,C-5A,1,1,.000,.000,.000,3.250,.000,.000,.000,11.750,.000,NO,.000
26,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,5,2,.000,.000,.000,6.180,.000,.000,13.609,19.248,.000,NO,.000
26,TRAVIS AFB,XDAT,STRATEGIC,B-747P,2,3,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
26,WHITEMAN AFB,YWHG,STRATEGIC,KC-10,0,1,2.355,.000,.000,.000,.000,.000,.000,10.000,.000,NO,.000
27,ALCONBURY,AEDY,STRATEGIC,B-747P,3,2,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
27,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,7.842,.000,NO,.000
27,BIGGS AAF,BPWZ,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
27,BIR EL ATER,BQWK,STRATEGIC,CH47,3,3,.000,6.604,.000,.000,.000,.000,.000,.000,.000,NO,.000
27,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
27,JB CHARLESTON,DKFX,STRATEGIC,C-17,1,3,.000,.000,2.250,.000,.000,.000,.000,22.867,.000,NO,.000
27,DYESS AFB,FNWZ,STRATEGIC,B-747P,1,2,5.183,.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
27,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
27,THYNA,FUQN,STRATEGIC,KC-10,1,0,.000,3.000,.000,.000,.000,.000,3.125,12.000,.000,NO,.000
27,MATMATA,HNTK,STRATEGIC,C-17,3,2,.000,5.981,.000,.000,.000,.000,.000,.000,.000,NO,.000
27,MATMATA,HNTK,STRATEGIC,KC-10,5,6,.935,15.000,.000,.000,.000,.000,32.309,24.000,.000,NO,.000
27,LAJES,MQNA,STRATEGIC,C-17,3,5,.000,.000,.000,7.310,.000,.000,.000,15.947,.000,NO,.000
27,LAJES,MQNA,STRATEGIC,KC-10,4,2,.000,.000,.000,5.982,.000,.000,.000,22.627,.000,NO,.000
27,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,2,2,.000,.000,.000,3.000,.000,.000,.000,.000,.000,NO,.000
27,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,0,.000,.000,.000,2.250,.000,.000,.000,12.337,.000,NO,.000
27,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,3,2,.000,.000,.000,4.500,.000,.000,.000,24.589,.000,NO,.000
27,MOUNTAIN HOME AFB,QYZH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
27,TUNISIASEABASE,SEA1,STRATEGIC,CH47,3,3,6.750,.000,4.772,.000,.000,.000,.000,.000,.000,NO,.000
27,POPE AAF,TMKH,STRATEGIC,B-747P,2,2,6.000,.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
27,POPE AAF,TMKH,STRATEGIC,C-17,2,0,4.500,.000,.000,.000,.000,.000,3.287,5.957,.000,NO,.000
27,RAMSTEIN AB,TYFR,STRATEGIC,C-17,4,3,.000,.000,.000,9.000,.000,.000,.000,51.361,.000,NO,.000
27,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,2,6,.000,.000,.000,4.320,.000,.000,4.500,30.960,.000,NO,.000
27,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,3,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
27,TRAVIS AFB,XDAT,STRATEGIC,C-17,1,1,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
27,TRAVIS AFB,XDAT,STRATEGIC,C-5A,1,0,.000,.000,3.250,.000,.000,.000,.000,.000,.000,NO,.000
27,TRAVIS AFB,XDAT,STRATEGIC,KC-10,1,1,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
27,WHITEMAN AFB,YWHG,STRATEGIC,B-747P,1,0,2.654,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
28,ALCONBURY,AEDY,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
28,BARKSDALE AFB,AWUB,STRATEGIC,B-747P,1,0,2.201,.000,.000,.000,.000,.000,.000,8.149,.000,NO,.000
28,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
28,BIR EL ATER,BQWK,STRATEGIC,CH47,1,1,.000,2.201,.000,.000,.000,.000,.000,.000,.000,NO,.000
28,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
28,CAIRO WEST,CWKW,STRATEGIC,KC-10,1,0,.000,.000,.000,1.500,.000,.000,.000,7.134,.000,NO,.000
28,JB CHARLESTON,DKFX,STRATEGIC,C-17,3,0,.000,.000,6.750,.000,.000,.000,.000,7.362,.000,NO,.000
28,THYNA,FUQN,STRATEGIC,B-747P,2,2,.000,6.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
28,THYNA,FUQN,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.409,.000,.000,NO,.000
28,MATMATA,HNTK,STRATEGIC,B-747P,3,3,.000,9.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
28,MATMATA,HNTK,STRATEGIC,C-17,2,3,.769,4.500,.000,.000,.000,.000,3.517,34.733,.000,NO,.000
28,MATMATA,HNTK,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,1.945,.000,.000,NO,.000
28,LAJES,MQNA,STRATEGIC,C-17,3,1,.000,.000,.000,5.749,.000,.000,2.794,.841,.000,NO,.000
28,LAJES,MQNA,STRATEGIC,KC-10,5,8,.000,.000,.000,7.518,.000,.000,.000,47.180,.000,NO,.000
28,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,1,0,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
28,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,2,2,.000,.000,.000,3.000,.000,.000,.000,13.500,.000,NO,.000
28,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,1,.000,.000,.000,.094,.000,.000,.000,.413,.000,NO,.000
28,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,6,4,.000,.000,.000,9.000,.000,.000,.000,36.579,.000,NO,.000
28,TUNISIASEABASE,SEA1,STRATEGIC,CH47,1,1,2.250,.000,4.228,.000,.000,.000,.000,.000,.000,NO,.000
28,POPE AAF,TMKH,STRATEGIC,C-17,0,2,.000,.000,.000,.000,.000,.000,.000,19.543,.000,NO,.000
28,POPE AAF,TMKH,STRATEGIC,KC-10,1,0,5.000,.000,.000,.000,.000,.000,.000,8.045,.000,NO,.000
28,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,5,3,.000,.000,.000,7.500,.000,.000,.000,44.059,.000,NO,.000
28,RAMSTEIN AB,TYFR,STRATEGIC,C-17,1,2,.000,.000,.000,2.250,.000,.000,.000,10.330,.000,NO,.000
28,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
28,TRAVIS AFB,XDAT,STRATEGIC,KC-10,2,0,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
28,WHITEMAN AFB,YWHG,STRATEGIC,B-747P,0,1,.346,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
29,ALCONBURY,AEDY,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,BARKSDALE AFB,AWUB,STRATEGIC,B-747P,1,2,2.201,.000,.000,.000,.000,.000,.000,17.448,.000,NO,.000
29,BARKSDALE AFB,AWUB,STRATEGIC,C-17,1,0,2.201,.000,.000,.000,.000,.000,7.638,.000,.000,NO,.000
29,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
29,CAIRO WEST,CWKW,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,6.366,.000,NO,.000
29,JB CHARLESTON,DKFX,STRATEGIC,C-17,1,3,.000,.000,2.250,.000,.000,.000,.000,22.638,.000,NO,.000
29,DOVER AFB,FJXT,STRATEGIC,KC-10,3,0,15.000,.000,.000,.000,.000,.000,28.242,15.490,.000,NO,.000
29,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,THYNA,FUQN,STRATEGIC,C-17,2,2,.000,4.500,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,THYNA,FUQN,STRATEGIC,KC-10,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,MATMATA,HNTK,STRATEGIC,B-747P,2,1,.000,6.000,.000,.000,.000,.000,.000,17.886,.000,NO,.000
29,JBSA KELLY AFB,MBPB,STRATEGIC,KC-10,3,3,6.604,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,LAJES,MQNA,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
29,LAJES,MQNA,STRATEGIC,C-17,2,2,.000,.000,.000,5.501,.000,.000,.000,22.934,.000,NO,.000
29,LAJES,MQNA,STRATEGIC,KC-10,2,1,.000,.000,.000,3.000,.000,.000,.000,4.952,.000,NO,.000
29,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,2,0,.000,.000,4.500,.000,.000,.000,.000,5.785,.000,NO,.000
29,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
29,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,2,.000,.000,.000,4.406,.000,.000,.000,25.500,.000,NO,.000
29,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,5,7,.000,.000,.000,7.500,.000,.000,.000,42.943,.000,NO,.000
29,POPE AAF,TMKH,STRATEGIC,C-17,1,0,.259,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
29,POPE AAF,TMKH,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,6.086,1.955,.000,NO,.000
29,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,2,4,.000,.000,.000,3.000,.000,.000,.000,50.441,.000,NO,.000
29,RAMSTEIN AB,TYFR,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,10.915,.000,NO,.000
29,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,0,.000,.000,.000,1.500,.000,.000,.000,3.343,.000,NO,.000
29,ROBERT GRAY AAF,UHGN,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,7.249,.000,NO,.000
29,TRAVIS AFB,XDAT,STRATEGIC,B-747P,2,2,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
29,TRAVIS AFB,XDAT,STRATEGIC,KC-10,4,4,.000,.000,6.000,.000,.000,.000,.000,.000,.000,NO,.000
30,ALCONBURY,AEDY,STRATEGIC,B-747P,2,0,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
30,BARKSDALE AFB,AWUB,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.860,4.301,.000,NO,.000
30,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.110,.000,NO,.000
30,CAIRO WEST,CWKW,STRATEGIC,KC-10,3,0,.000,.000,.000,4.500,.000,.000,.000,25.092,.000,NO,.000
30,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,0,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
30,DOVER AFB,FJXT,STRATEGIC,C-17,3,0,6.750,.000,.000,.000,.000,.000,11.251,3.476,.000,NO,.000
30,DOVER AFB,FJXT,STRATEGIC,KC-10,1,3,5.000,.000,.000,.000,.000,.000,.975,16.466,.000,NO,.000
30,THYNA,FUQN,STRATEGIC,B-747P,2,1,.000,4.095,.000,.000,.000,.000,.000,.000,.000,NO,.000
30,THYNA,FUQN,STRATEGIC,KC-10,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
30,MATMATA,HNTK,STRATEGIC,B-747P,1,2,.000,3.000,.000,.000,.000,.000,.000,18.114,.000,NO,.000
30,MATMATA,HNTK,STRATEGIC,KC-10,2,0,.000,6.000,.000,.000,.000,.000,.000,11.779,.000,NO,.000
30,DJERBA,JEAH,STRATEGIC,B-747P,1,0,.000,3.000,.000,.000,.000,.000,.000,5.251,.000,NO,.000
30,LAJES,MQNA,STRATEGIC,C-17,1,2,.000,.000,.000,2.250,.000,.000,.000,33.331,.000,NO,.000
30,LAJES,MQNA,STRATEGIC,KC-10,4,3,.000,.000,.000,6.000,.000,.000,.000,21.352,.000,NO,.000
30,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,1,2,.000,.000,2.250,.000,.000,.000,.000,24.215,.000,NO,.000
30,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,1,.000,.000,.000,2.250,.000,.000,.000,12.750,.000,NO,.000
30,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,1,2,.000,.000,.000,1.500,.000,.000,.000,3.889,.000,NO,.000
30,MOUNTAIN HOME AFB,QYZH,STRATEGIC,C-17,1,1,2.250,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
30,POPE AAF,TMKH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
30,POPE AAF,TMKH,STRATEGIC,C-17,0,1,1.991,.000,.000,.000,.000,.000,.000,12.750,.000,NO,.000
30,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,3,4,.000,.000,.000,4.500,.000,.000,.000,10.157,.000,NO,.000
30,ROBERT GRAY AAF,UHGN,STRATEGIC,B-747P,3,2,9.000,.000,.000,.000,.000,.000,11.630,17.053,.000,NO,.000
