Day,Airport,Geoloc,Fleet,AircraftType,Arrivals,Departures,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay
13,POPE AAF,TMKH,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
13,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,1,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
13,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,3,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
14,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,0,.000,.000,.000,1.500,.000,.000,.000,5.989,.000,NO,.000
14,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,2,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
14,DOVER AFB,FJXT,STRATEGIC,KC-10,4,4,20.000,.000,.000,.000,.000,.000,1.500,40.000,.000,NO,.000
14,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
14,THYNA,FUQN,STRATEGIC,C-17,0,2,.000,.000,.000,.000,.000,.000,.000,.054,.000,NO,.000
14,THYNA,FUQN,STRATEGIC,KC-10,1,0,.000,3.000,.000,.000,.000,.000,.000,7.125,.000,NO,.000
14,MATMATA,HNTK,STRATEGIC,KC-10,3,2,.000,8.265,.000,.000,.000,.000,.000,24.000,.000,NO,.000
14,LAJES,MQNA,STRATEGIC,C-17,2,4,.000,.000,.000,4.500,.000,.000,.000,31.553,.000,NO,.000
14,LAJES,MQNA,STRATEGIC,KC-10,3,3,.000,.000,.000,4.500,.000,.000,.000,13.500,.000,NO,.000
14,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,2.174,.000,NO,.000
14,POPE AAF,TMKH,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,5.420,.000,NO,.000
14,POPE AAF,TMKH,STRATEGIC,C-17,2,0,4.500,.000,.000,.000,.000,.000,1.246,16.221,.000,NO,.000
14,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
14,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
14,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,4,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
15,CAIRO WEST,CWKW,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,7.511,.000,NO,.000
15,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,4,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
15,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
15,THYNA,FUQN,STRATEGIC,C-17,2,0,.000,4.500,.000,.000,.000,.000,.000,8.417,.000,NO,.000
15,THYNA,FUQN,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,4.875,.000,NO,.000
15,MATMATA,HNTK,STRATEGIC,KC-10,4,5,.735,12.000,.000,.000,.000,.000,.000,48.000,.000,NO,.000
15,LAJES,MQNA,STRATEGIC,C-17,2,2,.000,.000,.000,4.500,.000,.000,.000,.000,.000,NO,.000
15,LAJES,MQNA,STRATEGIC,KC-10,8,8,.000,.000,.000,12.000,.000,.000,.000,13.500,.000,NO,.000
15,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,3,0,.000,.000,.000,4.500,.000,.000,.000,26.413,.000,NO,.000
15,POPE AAF,TMKH,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,5.705,.000,NO,.000
15,POPE AAF,TMKH,STRATEGIC,C-17,6,6,12.831,.000,.000,.000,.000,.000,12.731,46.860,.000,NO,.000
15,POPE AAF,TMKH,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,2.924,10.000,.000,NO,.000
15,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,1,0,.000,.000,.000,1.500,.000,.000,.000,6.129,.000,NO,.000
15,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,1,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
15,TRAVIS AFB,XDAT,STRATEGIC,C-17,0,3,.000,.000,.000,.000,.000,.000,.159,.000,.000,NO,.000
15,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
16,CAIRO WEST,CWKW,STRATEGIC,B-747P,1,0,.000,.000,.000,1.500,.000,.000,.000,5.115,.000,NO,.000
16,THYNA,FUQN,STRATEGIC,C-17,0,2,.000,.000,.000,.000,.000,.000,.000,17.083,.000,NO,.000
16,THYNA,FUQN,STRATEGIC,KC-10,1,0,.000,3.000,.000,.000,.000,.000,.000,10.693,.000,NO,.000
16,LAJES,MQNA,STRATEGIC,C-17,9,6,.000,.000,.000,19.267,.000,.000,.000,41.370,.000,NO,.000
16,LAJES,MQNA,STRATEGIC,KC-10,5,5,.000,.000,.000,7.500,.000,.000,.000,.000,.000,NO,.000
16,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
16,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,6,4,.000,.000,.000,9.000,.000,.000,.000,62.698,.000,NO,.000
16,POPE AAF,TMKH,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,6.295,.000,NO,.000
16,POPE AAF,TMKH,STRATEGIC,C-17,3,5,7.419,.000,.000,.000,.000,.000,1.500,51.669,.000,NO,.000
16,POPE AAF,TMKH,STRATEGIC,KC-10,2,1,8.819,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
16,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,7.371,.000,NO,.000
16,RAMSTEIN AB,TYFR,STRATEGIC,C-17,3,0,.000,.000,.000,6.750,.000,.000,.000,28.920,.000,NO,.000
16,TRAVIS AFB,XDAT,STRATEGIC,B-747P,1,0,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
16,TRAVIS AFB,XDAT,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
16,TRAVIS AFB,XDAT,STRATEGIC,KC-10,4,2,.000,.000,6.000,.000,.000,.000,.000,.000,.000,NO,.000
17,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,CAIRO WEST,CWKW,STRATEGIC,B-747P,0,1,.000,.000,.000,.000,.000,.000,.000,8.385,.000,NO,.000
17,JB CHARLESTON,DKFX,STRATEGIC,C-17,2,0,.000,.000,4.500,.000,.000,.000,.000,.000,.000,NO,.000
17,THYNA,FUQN,STRATEGIC,B-747P,1,1,.000,3.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,THYNA,FUQN,STRATEGIC,C-17,7,6,.000,14.624,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,THYNA,FUQN,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,1.307,.000,NO,.000
17,HUNTER AAF,LEXG,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,LAJES,MQNA,STRATEGIC,C-17,6,5,.000,.000,.000,14.483,.000,.000,.000,52.682,.000,NO,.000
17,LAJES,MQNA,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
17,JBLM MCCHORD FLD,PQWY,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,11.558,.000,NO,.000
17,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,1,5,.000,.000,.000,1.500,.000,.000,.000,27.879,.000,NO,.000
17,CITY OF COLORADO,TDHV,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
17,POPE AAF,TMKH,STRATEGIC,C-17,2,2,4.500,.000,.000,.000,.000,.000,.000,25.500,.000,NO,.000
17,POPE AAF,TMKH,STRATEGIC,KC-10,0,1,1.181,.000,.000,.000,.000,.000,7.203,10.000,.000,NO,.000
17,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,1,0,.000,.000,.000,1.500,.000,.000,.000,5.255,.000,NO,.000
17,RAMSTEIN AB,TYFR,STRATEGIC,C-17,5,7,.000,.000,.000,11.250,.000,.000,.000,69.730,.000,NO,.000
17,RAMSTEIN AB,TYFR,STRATEGIC,KC-10,1,0,.000,.000,.000,1.500,.000,.000,1.943,.462,.000,NO,.000
17,TRAVIS AFB,XDAT,STRATEGIC,B-747P,0,2,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,TRAVIS AFB,XDAT,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
17,TRAVIS AFB,XDAT,STRATEGIC,KC-10,4,0,.000,.000,6.000,.000,.000,.000,.000,.000,.000,NO,.000
18,JB CHARLESTON,DKFX,STRATEGIC,C-17,5,0,.000,.000,11.250,.000,.000,.000,.000,.000,.000,NO,.000
