Day,ShipType,ShipsAvailable,TotalUsed,VISAMission,CONUS,Tunisia
9,BARGE(T-AKB),0,0,0,0,0
9,BREAKBULK,2,0,0,0,0
9,CAR TRANS,0,0,0,0,0
9,CLF,0,0,0,0,0
9,COMBO,1,0,0,0,0
9,CONT-NSS,0,0,0,0,0
9,CONT-SS,0,0,0,0,0
9,FSS,0,0,0,0,0
9,PAX,0,0,0,0,0
9,POL TANKER,2,0,0,0,0
9,RO/RO,1,1,0,0,1
9,RO/RO(T-AKR),0,0,0,0,0
9,T-ACS,0,0,0,0,0
9,T-AH,2,0,0,0,0
9,VISA CONT,0,0,0,0,0
10,BARGE(LASH),1,0,0,0,0
10,BARGE(T-AKB),0,0,0,0,0
10,BREAKBULK,2,0,0,0,0
10,CAR TRANS,0,0,0,0,0
10,CLF,1,0,0,0,0
10,COMBO,1,0,0,0,0
10,CONT-NSS,0,0,0,0,0
10,CONT-SS,0,0,0,0,0
10,FSS,0,0,0,0,0
10,PAX,0,0,0,0,0
10,POL TANKER,2,0,0,0,0
10,RO/RO,1,1,0,0,1
10,RO/RO(T-AKR),0,0,0,0,0
10,T-ACS,0,0,0,0,0
10,T-AH,2,0,0,0,0
10,VISA CONT,0,0,0,0,0
11,BARGE(LASH),1,0,0,0,0
11,BARGE(T-AKB),0,0,0,0,0
11,BREAKBULK,2,0,0,0,0
11,CAR TRANS,0,0,0,0,0
11,CLF,1,0,0,0,0
11,COMBO,1,0,0,0,0
11,CONT-NSS,0,0,0,0,0
11,CONT-SS,0,0,0,0,0
11,FSS,0,0,0,0,0
11,PAX,0,0,0,0,0
11,POL TANKER,2,0,0,0,0
11,RO/RO,1,1,0,0,1
11,RO/RO(T-AKR),0,0,0,0,0
11,T-ACS,0,0,0,0,0
11,T-AH,2,0,0,0,0
11,VISA CONT,0,0,0,0,0
12,BARGE(LASH),1,0,0,0,0
12,BARGE(T-AKB),0,0,0,0,0
12,BREAKBULK,2,0,0,0,0
12,CAR TRANS,0,0,0,0,0
12,CLF,1,0,0,0,0
12,COMBO,1,0,0,0,0
12,CONT-NSS,0,0,0,0,0
12,CONT-SS,0,0,0,0,0
12,FSS,0,0,0,0,0
12,PAX,0,0,0,0,0
12,POL TANKER,2,0,0,0,0
12,RO/RO,1,1,0,0,1
12,RO/RO(T-AKR),0,0,0,0,0
12,T-ACS,0,0,0,0,0
12,T-AH,2,0,0,0,0
12,VISA CONT,0,0,0,0,0
13,BARGE(LASH),1,0,0,0,0
13,BARGE(T-AKB),0,0,0,0,0
13,BREAKBULK,2,0,0,0,0
13,CAR TRANS,0,0,0,0,0
13,CLF,1,0,0,0,0
13,COMBO,1,0,0,0,0
13,CONT-NSS,0,0,0,0,0
13,CONT-SS,0,0,0,0,0
13,FSS,2,0,0,0,0
13,PAX,0,0,0,0,0
13,POL TANKER,2,0,0,0,0
13,RO/RO,1,1,0,0,1
13,RO/RO(T-AKR),0,0,0,0,0
13,T-ACS,0,0,0,0,0
13,T-AH,2,0,0,0,0
13,VISA CONT,0,0,0,0,0
14,BARGE(LASH),1,0,0,0,0
14,BARGE(T-AKB),0,0,0,0,0
14,BREAKBULK,2,0,0,0,0
14,CAR TRANS,0,0,0,0,0
14,CLF,1,0,0,0,0
14,COMBO,1,0,0,0,0
14,CONT-NSS,0,0,0,0,0
14,CONT-SS,0,0,0,0,0
14,FSS,4,0,0,0,0
14,PAX,0,0,0,0,0
14,POL TANKER,2,0,0,0,0
14,RO/RO,13,2,0,0,2
14,RO/RO(T-AKR),5,0,0,0,0
14,T-ACS,5,0,0,0,0
14,T-AH,2,0,0,0,0
14,VISA CONT,0,0,0,0,0
