Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
CWKW,CAIRO WEST,1,RAMP1,5,KC-10,2,UPLOAD,5,3.3333333,3.3333333,1,0
CWKW,CAIRO WEST,1,RAMP1,5,KC-10,3,ENROUTE,1.5,3.3333333,3.3333333,1,0
CWKW,CAIRO WEST,1,RAMP1,5,KC-10,4,DOWNLOAD,3,3.3333333,3.3333333,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,1,B-747P,2,UPLOAD,3,2.631579,2.631579,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,2.631579,2.631579,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,2,C-17,2,UPLOAD,2.25,5,5,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,5,5,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,1.6666666,1.6666666,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,1.6666666,1.6666666,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,5,KC-10,2,UPLOAD,5,4.1666665,4.1666665,1,0
CYWF,CAMPBELL AAF,1,CAMPBELL AAF -CYWF-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,4.1666665,4.1666665,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,1,B-747P,2,UPLOAD,3,21.052631,4.736842,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,1,B-747P,3,ENROUTE,1.5,21.052631,4.736842,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,1,B-747P,4,DOWNLOAD,3,21.052631,4.736842,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,2,C-17,1,HOME,2.25,40,9,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,2,C-17,2,UPLOAD,2.25,40,9,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,2,C-17,3,ENROUTE,2.25,40,9,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,2,C-17,4,DOWNLOAD,2.25,40,9,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,3,C-5A,2,UPLOAD,3.75,13.333333,3,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,3,C-5A,3,ENROUTE,3.25,13.333333,3,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,13.333333,3,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,5,KC-10,2,UPLOAD,5,33.333332,7.4999995,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,5,KC-10,3,ENROUTE,1.5,33.333332,7.4999995,1,0
DKFX,JB CHARLESTON,1,CHARLESTON AFB-IN -DKFX-JAP-PARKING,5,KC-10,4,DOWNLOAD,3,33.333332,7.4999995,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,1,B-747P,2,UPLOAD,3,1.0526316,1.0526316,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,1,B-747P,3,ENROUTE,1.5,1.0526316,1.0526316,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,1,B-747P,4,DOWNLOAD,3,1.0526316,1.0526316,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,2,C-17,2,UPLOAD,2.25,2,2,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,2,C-17,3,ENROUTE,2.25,2,2,1,0
EYBD,SUBIC BAY INTL,1,RAMP1,2,C-17,4,DOWNLOAD,2.25,2,2,1,0
