RequirementIndex,VehicleType,PolMoved,PaxMoved,BulkOrArea,OversizedOrVolume,OutsizedOrContainers,CargoWeight,StartDate,LoadDate,OffloadDate,MarryUpDate,ClosureDate,Sorties,PoeGeoloc,PodGeoloc,DeploymentDistance,TransshipmentPoint,SeqNum,DeploymentMode,ShipNumber,ShipSpeed,SpoeArrival,SpoeDepart,ConvoyDeparts,ConvoyArrives,ShipAircraftArrives,ShipBerthDay,ConvoyRouteCode,PoeBerthType,PodBerthType,ShipVoyage,LoadRule,VisaMove,ReqId,CommodityType,Service,SplitRlnCode,ParentUnitCode,UnitName,UnitDescription,Tpsn,AircraftName,BrigadeKey,Utc,Uic,ForceModule,NumberOfAircraft,ShipId,TonsDelivered,Origin,Destination,AvailDate,Ead,Lad,Rdd,PrefMode,DeploymentMeans,PaxRequired,CargoRequired,FleetId,TheaterNumber,CommodityName,OriginName,PoeName,PodName,ConvoyRoute,DestinationName,TheaterName,Operation,ActualModeName,ShipName,PoeBerthId,PodBerthId,FleetName,VehicleName,ServiceName,CCC,ElistDest,ElistClosureDate,ForceModules,LoadedDraft,SpoeAvail,Organization,HandoffOrigin,HandoffOriginName,HandoffDate
5,9,0,0,4639.9995,1284.0001,0,232,12,22,32,99999,99999,0,ZBES,HNTS,4570,0,11,0,-1,27,22,23,99999,99999,30,30,-1,1,10,1,1,0,1:00DEC,23,1,,,"",HHC SIG BDE  ABN,,,ABN,6RB22,"",ABN,0,7325253,232,VQHP,WSVC,8,24,26,26,2,0,0,257.80002,6,1,CSS-OTHER,SHREVEPORT,WILMINGTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,DENEBOLA (T-AKR 289),WILMINGTON berth group-ZBES,BG Gabes berth1,ORG SURGE,FSS,ARMY,"","",0,,21.32491,34,TEBESSA,VQHP,SHREVEPORT,8
5,7,0,0,516,64,4,25.8,24,33,43,99999,99999,0,ZBES,HNTS,4570,0,12,0,-1,19,33,33,99999,99999,43,43,-1,1,10,1,20,0,1:00DEC,23,1,,,"",HHC SIG BDE  ABN,,,ABN,6RB22,"",ABN,0,8200711,25.8,VQHP,WSVC,8,24,26,26,2,0,0,0,1,1,CSS-OTHER,SHREVEPORT,WILMINGTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,TILLIE LYKES,WILMINGTON berth group-ZBES,BG Gabes berth1,AMMO,CONT-NSS,ARMY,"","",0,,19.030254,48,TEBESSA,VQHP,SHREVEPORT,8
6,2,0,0,7.399999,18.9,0,26.3,18,20,22,22,23,0,TMKH,FUQN,4987,0,13,0,112,0,0,20,99999,99999,22,99999,-1,1,1,2,0,0,1:00FB,6,1,,,"",HHC AIRBORNE DIVISION,01082,,ABN,0MBNN,"",ABN,0,"",26.3,HCTL,WSVC,0,12,25,25,1,0,25,66.2,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-XDAT010,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
6,2,0,25,39.9,0,0,39.9,20,22,24,24,25,0,TMKH,FUQN,4987,0,14,0,76,0,0,22,99999,99999,24,99999,-1,1,1,1,0,0,1:00FB,6,1,,,"",HHC AIRBORNE DIVISION,01082,,ABN,0MBNN,"",ABN,0,"",39.9,HCTL,WSVC,0,12,25,25,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX003,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
7,5,0,0,31.3,2.7,0,34,22,24,26,26,26,0,TMKH,FUQN,4645,0,15,0,154,0,0,24,99999,99999,26,99999,-1,1,1,4,0,0,1:00FC,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,"",34,HCTL,WSVC,0,24,27,27,1,0,21,34.9,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT001,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
7,5,0,0,0.9,0,0,0.9,23,25,27,27,27,0,TMKH,FUQN,4645,0,16,0,188,0,0,25,99999,99999,27,99999,-1,1,1,0,0,0,1:00FC,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,"",0.9,HCTL,WSVC,0,24,27,27,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,KC10-XDAT035,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,KC-10,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
7,1,0,21,0,0,0,0,46,48,50,50,50,0,TMKH,FUQN,6319,0,17,0,19,0,0,48,99999,99999,50,99999,-1,1,1,1,0,0,1:00FC,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,"",0,HCTL,WSVC,0,24,27,27,1,0,0,0,-1,1,AIRBORNE,FT BRAGG,POPE AAF,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT011,POPE AFB -TMKH-MAP-PARKING,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,HCTL,FT BRAGG,0
8,12,0,0,6753.8,1055.7999,0,226.4,17,19,32,99999,99999,1,DKSD,HNTS,4694,0,18,0,-1,17,19,19,99999,99999,31,31,-1,1,10,1,1,0,1:00FD,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,7602247,226.4,HCTL,WSVC,0,28,32,33,2,0,0,241.9,7,1,AIRBORNE,FT BRAGG,CHARLESTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,CAPE TEXAS (LYRA),Charleston-DKSD Terminal-19777,BG Gabes berth1,RRF,RO/RO,ARMY,"","",0,,15.65431,16,TEBESSA,HCTL,FT BRAGG,0
8,2,0,0,1,1,1,0.9,10,24,35,99999,99999,0,DKSD,HNTS,4694,0,19,0,-1,20,23,24,99999,99999,34,34,-1,1,10,1,20,0,1:00FD,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,7320411,0.9,HCTL,WSVC,0,28,32,33,2,0,0,0,7,1,AIRBORNE,FT BRAGG,CHARLESTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,CAPE FLATTERY,Charleston-DKSD Terminal-19777,BG Gabes berth1,RRF,BARGE(T-AKB),ARMY,"","",0,,19.683596,43,TEBESSA,HCTL,FT BRAGG,0
8,12,0,0,447.20013,85.20003,0,14.599998,20,29,42,99999,99999,0,DKSD,HNTS,4694,0,20,0,-1,20,29,30,99999,99999,40,40,-1,1,10,1,1,0,1:00FD,6,1,,,"","HHC/MMC, SPT CMD, ABN DIV",01082,,ABN,NTCNN,"",ABN,0,7390117,14.599998,HCTL,WSVC,0,28,32,33,2,0,0,0,7,1,AIRBORNE,FT BRAGG,CHARLESTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,CAPE INTREPID (JUPITER),Charleston-DKSD Terminal-19777,BG Gabes berth1,RRF,RO/RO,ARMY,"","",0,,19.067425,53,TEBESSA,HCTL,FT BRAGG,0
