Name,GeolocCode,LocationType,CountryState,Latitude,Longitude
ATLANTIC CITY MUN,AQRC,CAP,NEW JERSEY,39.36,-74.45611
AUGUSTA,ARNS,CTY,GEORGIA,33.483334,-82
AUGUSTA RGNL AT B,ARNW,JAP,GEORGIA,33.37,-81.96445
AUGUSTA,ARPM,CTY,KANSAS,37.68667,-97.97639
AUGUSTA,ARPZ,CTY,MAINE,44.333332,-69.75
AURORA,ARTZ,CTY,COLORADO,39.729443,-104.83139
AURORA,ARUZ,CTY,ILLINOIS,41.75,-88.316666
AUSTIN,ASAZ,CTY,TEXAS,30.266666,-97.71667
AUSTIN STRAUBEL I,ASCE,CAP,WISCONSIN,44.484722,-88.12972
AVIANO AB,ASHE,MAP,ITALY,46.031113,12.596389
MACDILL AFB AUX F,ASPQ,MAP,FLORIDA,27.650555,-81.34944
BADIN,ATNV,COM,NORTH CAROLINA,35.166668,-79.03333
BADIN,ATNZ,CTY,NORTH CAROLINA,35.166668,-79.03333
FORT WAYNE INTL,ATQZ,IAP,INDIANA,40.97861,-85.195274
BAHRAIN INTL,ATXK,IAP,BAHRAIN,26.268055,50.636944
BAILEYS CROSS RDS,ATYC,CTY,VIRGINIA,38.816666,-77.13333
BAKERSFIELD,AUSJ,CTY,CALIFORNIA,35.416668,-119
BALTIMORE,AVBT,CTY,MARYLAND,39.3,-76.61667
BALTIMORE OUTPORT,AVBU,PRT,MARYLAND,39.266666,-76.583336
BALTIMORE HLNDS,AVDC,CTY,MARYLAND,39.344444,-76.625
BANGOR,AVND,CTY,MAINE,44.8,-68.7
BANGOR NAVAL SUBM,AVPN,NBA,WASHINGTON,47.683334,-122.75
BANGOR POMFPAL,AVPR,STG,WASHINGTON,47.8,-122.6
BANGOR,AVPV,NYI,WASHINGTON,47.8,-122.6
BANZART,AVTB,PRT,TUNISIA,37.283333,9.883333
BARBERS POINT CGA,AVXS,CGI,HAWAII,21.300556,-158.1
KAPOLEI,AVXU,CTY,HAWAII,21.3,-158.06667
KALAELOA,AVXV,JAP,HAWAII,21.307222,-158.07028
BARBERS POINT NAS,AVXW,AMO,HAWAII,21.3,-158.06667
BARCELONA,AVYX,PRT,SPAIN,41.35,2.1666667
BARKSDALE AFB,AWUB,MAP,LOUISIANA,32.501945,-93.6625
WESTFIELD BARNES,AXQD,JAP,MASSACHUSETTS,42.158054,-72.715836
BARSTOW       MSC,AYDE,STG,CALIFORNIA,34.9,-117
BARSTOW,AYDK,MGI,CALIFORNIA,34.9,-117
BARTH,AYER,PRT,GERMANY,54.366665,12.716666
MOBILE RGNL,AYSX,JAP,ALABAMA,30.69139,-88.242775
BATON ROUGE,AYYX,CTY,LOUISIANA,30.416666,-91.05
BATON ROUGE,AYYY,PRT,LOUISIANA,30.45,-91.1
BATTLE CREEK,AYZZ,CTY,MICHIGAN,42.316666,-85.183334
BAY CITY,AZJH,CTY,MICHIGAN,43.6,-83.86667
BAYONNE,AZTE,NYI,NEW JERSEY,40.65,-74.13333
BAYONNE,AZTG,PRT,NEW JERSEY,40.683334,-74.1
BANBAN,BACA,APT,SAUDI ARABIA,24.973612,46.570835
BEALE AFB,BAEY,MAP,CALIFORNIA,39.136112,-121.43667
BEALE,BASD,ANX,CALIFORNIA,39.133335,-121.433334
BEAUFORT,BBGP,PRT,NORTH CAROLINA,34.716667,-76.666664
BEAUFORT MCAS,BBJM,MAP,SOUTH CAROLINA,32.4775,-80.72305
BEAUFORT NAVY,BBJS,HSP,SOUTH CAROLINA,32.43667,-80.668335
BEAUMONT T2,BBNQ,PRT,TEXAS,30.083334,-94.083336
BEAUMONT,BBNR,CTY,TEXAS,30.083334,-94.11667
BEAUMONT,BBNV,PRT,TEXAS,30.083334,-94.083336
BEAVER FALLS,BCDZ,CTY,PENNSYLVANIA,40.75,-80.316666
BECKLEY,BCMV,CTY,WEST VIRGINIA,37.733334,-81.28333
BELEN,BDQZ,CTY,NEW MEXICO,34.65,-106.78333
BELLE CHASSE,BEGS,CTY,LOUISIANA,29.855,-89.988335
BELLEAIR BLUFFS,BELL,CTY,FLORIDA,27.921112,-82.81722
BELLINGHAM INTL,BFHX,IAP,WASHINGTON,48.792778,-122.5375
BELLOWS AFS,BFMV,AFS,HAWAII,21.366112,-157.71945
BELOIT,BFTZ,CTY,WISCONSIN,42.516666,-89.01667
AUSTIN BERGSTROM,BJHZ,JAP,TEXAS,30.194445,-97.67
NASHVILLE INTL,BKTZ,JAP,TENNESSEE,36.124443,-86.67834
BESSEMER,BLMR,CTY,ALABAMA,33.4,-86.76667
WRNM MEDICAL CTR,BMGM,HSP,MARYLAND,39.001667,-77.09278
BIG STONE GAP,BPRE,CTY,VIRGINIA,36.833332,-82.78333
BIGGS AAF,BPWZ,MAP,TEXAS,31.849445,-106.38
BILLINGS,BQKY,CTY,MONTANA,45.783333,-108.5
BINGHAMTON,BQUG,CTY,NEW YORK,42.1,-75.916664
MUHAMMAD QASIM,BQWA,PRT,PAKISTAN,24.766666,67.333336
BIR EL ATER,BQWK,APT,ALGERIA,34.7525,8.075277
BREMERTON,BRAE,HSP,WASHINGTON,47.594444,-122.69028
BIRMINGHAM,BRKM,CTY,ALABAMA,33.516666,-86.816666
BIRMINGHAM SHUTTL,BRKR,JAP,ALABAMA,33.56389,-86.75222
BISMARCK,BSEH,CTY,NORTH DAKOTA,46.833332,-100.8
BISMARCK MUNI,BSEM,JAP,NORTH DAKOTA,46.772778,-100.745834
BIZERTE,BSRK,CTY,TUNISIA,36.85,10.233334
BIZERTE,BSRL,PRT,TUNISIA,37.283333,9.9
SIDI AHMED AIR BA,BSRR,IAP,TUNISIA,37.24472,9.792778
BLACKSTONE,BTHP,CTY,VIRGINIA,37.083332,-77.95
BLOOMINGTON,BUWC,CTY,ILLINOIS,40.483334,-88.98333
BLUE ASH,BVGM,AGS,OHIO,39.25,-84.38333
BLUE GRASS DEPOT,BVJS,AMO,KENTUCKY,37.7,-84.21667
BLUE GRASS,BWBU,CAP,KENTUCKY,38.036667,-84.60861
ARKANSAS INTL,BWKR,MAP,ARKANSAS,35.964443,-89.943886
BLYTHEVILLE,BWKV,CTY,ARKANSAS,35.933334,-89.916664
BOISE AIR TERMINA,BXRH,JAP,IDAHO,43.564445,-116.22278
BOISE,BXRM,CTY,IDAHO,43.633335,-116.166664
BOLLING AFB HELI,BXUR,MHP,DI OF COLUMBIA,38.842777,-77.01611
RABAH BITAT,BYKA,CAP,ALGERIA,36.822224,7.8094444
BONE,BYKC,PRT,ALGERIA,36.9,7.766667
BONE AND SCHEMES,BYKF,CTY,ALGERIA,36.916668,7.7833333
CAMP PENDLETON MC,CAAP,MAP,CALIFORNIA,33.301388,-117.35528
CAPE CANAVERAL AF,CAAY,AFB,FLORIDA,28.4675,-80.566666
CP LEJUENE,CABM,HSP,NORTH CAROLINA,34.72278,-77.36472
BOSTON,CAMD,CTY,MASSACHUSETTS,42.35,-71.066666
BOSTON,CAMK,NYI,MASSACHUSETTS,42.366665,-71
BOTHELL,CBEF,CTY,WASHINGTON,47.766666,-122.2
BOWLING GREEN,CCTS,CTY,KENTUCKY,37,-86.45
BRADLEY INTL,CEKT,JAP,CONNECTICUT,41.939167,-72.683334
BRANDON,CFGM,CTY,MISSISSIPPI,32.266666,-89.98333
CHERRY POINT,CHBA,HSP,NORTH CAROLINA,34.906387,-76.9
CHARLESTON,CHBM,ADM,SOUTH CAROLINA,32.8,-79.95
BREMERHAVEN,CHCY,PRT,GERMANY,53.55,8.55
BREMERTON,CHEV,NYI,WASHINGTON,47.566666,-122.65
BREMERTON SEALAND,CHEX,PRT,WASHINGTON,47.566666,-122.65
BRENHAM,CHJY,CTY,TEXAS,30.15,-96.4
BREVARD,CHSY,CTY,NORTH CAROLINA,35.266666,-82.75
BRIDGETON,CJJY,CTY,MISSOURI,38.783333,-90.46667
BRISTOL,CKMQ,PRT,PENNSYLVANIA,40.1,-74.86667
CLEAR CREEK,CLAG,APT,ALASKA,64.45333,-147.56361
BROCKTON,CLCH,CTY,MASSACHUSETTS,42.1,-71.01667
BROKEN ARROW,CLLH,CTY,OKLAHOMA,36.066666,-95.8
BRONX,CLXR,CTY,NEW YORK,40.833332,-73.86667
BROOKINGS,CMHF,CTY,SOUTH DAKOTA,44.316666,-96.78333
BROOKLYN,CMMC,CTY,NEW YORK,40.666668,-73.96667
BROOKLYN,CMXJ,NYI,NEW YORK,40.711945,-73.969444
BROOKPARK,CMZJ,CTY,OHIO,41.4,-81.816666
BROOKS CITY BASE,CNBC,AFS,TEXAS,29.34639,-98.431946
BROUSSARD,CNRA,CTY,LOUISIANA,30.146944,-91.96139
CORPUS CHRISTI,CPBE,HSP,TEXAS,27.687778,-97.26639
BROWNSVILLE,CPJF,CTY,PENNSYLVANIA,40.016666,-79.9
BROWNSVILLE,CPNF,CTY,TEXAS,25.916666,-97.5
BRUNSWICK,CQJP,CTY,GEORGIA,31.15,-81.5
BRUNSWICK EXECUTI,CQLW,CAP,MAINE,43.8925,-69.93889
BUCKLEY AFB,CRWU,MAP,COLORADO,39.701668,-104.75166
BUECHEL,CSEM,CTY,KENTUCKY,38.2,-85.63333
BUFFALO,CSHW,ADM,NEW YORK,42.866665,-78.86667
BUFFALO,CSJF,CTY,MINNESOTA,45.166668,-93.833336
BUFFALO,CSKQ,CTY,NEW YORK,42.883335,-78.88333
USAF ACADEMY BULL,CTCN,APT,COLORADO,38.758335,-104.30666
GRISSOM AFRES,CTGB,RTC,INDIANA,40.66,-86.14167
GRISSOM ARB,CTGC,MAP,INDIANA,40.648056,-86.15222
BURLINGTON INTL,CURZ,IAP,VERMONT,44.471943,-73.153336
BUTLER,CVLD,CTY,PENNSYLVANIA,40.85,-79.9
BUTNER,CVLK,CTY,NORTH CAROLINA,36.133335,-78.76667
BUTTS AAF,CVPF,MAP,COLORADO,38.678333,-104.75667
