RoundTripID,MissionID,TailNumber,Fleet,HomeFleet,AircraftType,BaseAircraftType,Locked,MultiScoop,StartDay,EndDay,Completed,Duration,MsnFlyProportion,TankerMission,NumStops,NumAirRefuelings,TotalCrewRestHours,MaxRoutePayload,LoadedPAX,LatePAX,TotalLoadedStons,LateStons,LoadedPallets,LoadedContainers20,LoadedContainers40,LoadedBulkSTons,LoadedOversizeSTons,LoadedOutsizeSTons,TotalFlyingHours,LoadedFlyingHours,Miles,LoadedMiles,ChannelMission,ChannelName,ChannelStartTime,FuelLoadedPounds,StartApt,APOE,APOD,EndApt,ScheduledThroughToHome,Medevac
KC10-XDAT002-D0021R0004,KC10-XDAT002-D0021R0004S01,KC10-XDAT002,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,21,24.314898,YES,3.3148975,8.358209,NO,7,0,37,84.675,0,0,42.9,0,0,0,0,20.5,22.400002,0,27.706604,12.175248,11063,4987,NO,"",-1,0,XDAT,TMKH,FUQN,PTFL,YES,NO
B747-400-XDAT004-D0021R0002,B747-400-XDAT004-D0021R0002S01,B747-400-XDAT004,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,21.271967,24.515358,YES,3.243391,8.738194,NO,6,0,37.5,121.6,241,0,0,0,0,0,0,0,0,0,28.341381,10.849306,12023,4915,NO,"",-1,0,XDAT,*,HNTK,XDAT,YES,NO
B747-400-AEDY001-D0022R0001,B747-400-AEDY001-D0022R0001S01,B747-400-AEDY001,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,22,24.812103,YES,2.8121033,8.392631,NO,5,0,24,116.40787,355,0,0,0,0,0,0,0,0,0,23.600943,10.004219,9880,4742,NO,"",-1,0,AEDY,YWHG,HNTK,AEDY,YES,NO
B747-400-AEDY002-D0022R0001,B747-400-AEDY002-D0022R0001S01,B747-400-AEDY002,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,22,25.088873,YES,3.088873,9.663209,NO,6,0,24,94.931335,355,0,0,0,0,0,0,0,0,0,29.848425,16.071144,12519,7247,NO,"",-1,0,AEDY,GAMH,HNTK,AEDY,YES,NO
B747-400-XDAT002-D0021R0004,B747-400-XDAT002-D0021R0004S01,B747-400-XDAT002,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,21.994696,25.099255,YES,3.104559,9.022035,NO,5,0,37.5,121.6,355,355,0,0,0,0,0,0,0,0,28.009438,8.981012,12140,4257,NO,"",-1,0,XDAT,TMKH,FUQN,XDAT,YES,NO
C17-PQWY003-D0017R0001,C17-PQWY003-D0017R0001S03,C17-PQWY003,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,24.789583,25.13132,YES,0.34173775,17.41601,NO,2,0,15,0,0,0,0,0,0,0,0,0,0,0,5.951708,0,2105,0,NO,"",-1,0,DKFX,"","",PQWY,YES,NO
C17-XDAT004-D0017R0001,C17-XDAT004-D0017R0001S03,C17-XDAT004,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,24.903473,25.240404,YES,0.33693123,17.322098,NO,2,0,15,0,0,0,0,0,0,0,0,0,0,0,5.8363557,0,2060,0,NO,"",-1,0,DKFX,"","",XDAT,YES,NO
B747-400-XDAT007-D0022R0001,B747-400-XDAT007-D0022R0001S01,B747-400-XDAT007,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,22,25.275307,YES,3.2753067,8.886915,NO,6,0,37.5,121.6,196,0,0,0,0,0,0,0,0,0,29.107374,12.258549,12368,5637,NO,"",-1,0,XDAT,*,HNTK,XDAT,YES,NO
B747-400-AEDY003-D0022R0001,B747-400-AEDY003-D0022R0001S01,B747-400-AEDY003,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,NO,22,25.437103,YES,3.4371033,8.68418,NO,6,0,24,94.931335,355,0,0,0,0,0,0,0,0,0,29.848425,16.071144,12519,7247,NO,"",-1,0,AEDY,GAMH,HNTK,AEDY,YES,NO
B747-400-XDAT005-D0022R0002,B747-400-XDAT005-D0022R0002S01,B747-400-XDAT005,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,22.445066,25.684437,YES,3.2393703,8.719256,NO,6,0,35.588745,121.6,355,246,0,0,0,0,0,0,0,0,28.244902,9.216476,12206,4323,NO,"",-1,0,XDAT,TMKH,*,XDAT,YES,NO
