Day,Fleet,AircraftType,OwnedAircraft,BorrowedAircraft,Shared,SchedulingCandidates,TotalUsed,TotalMissions,StartedMissions,ChannelMissions,RepositionMissions,EmptyMissions,AvailableUteHours,TotalFlyingHours,LoadedFlyingHours,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay,TotalMiles,LoadedMiles,BulkSTons,OverSTons,OutSTons,PAX,UnschedBulk,UnschedOver,UnschedOut,UnschedPAX,0DecileLoaded,1DecileLoaded,2DecileLoaded,3DecileLoaded,4DecileLoaded,5DecileLoaded,6DecileLoaded,7DecileLoaded,8DecileLoaded,9DecileLoaded
4,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
4,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
4,STRATEGIC,KC-10,8,0,0,8,0,0,0,0,0,0,80.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
5,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
5,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
5,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
5,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
5,STRATEGIC,KC-10,8,0,0,8,0,0,0,0,0,0,80.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
6,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
6,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
6,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
6,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
6,STRATEGIC,KC-10,8,0,0,8,0,0,0,0,0,0,80.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
7,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
7,STRATEGIC,C-17,16,0,0,16,1,1,1,0,0,0,203.200,10.877,10.877,2.250,2.250,.000,2.250,.000,.000,.000,6.373,.000,NO,.000,2575,2575,5.6,2.8,.0,24,37.0,.0,.0,0,0,0,1,0,0,0,0,0,0,0
7,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,37.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
7,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
7,STRATEGIC,KC-10,8,0,0,8,4,4,4,0,0,0,80.000,34.500,14.322,20.000,.000,.000,.000,.000,.000,1.500,40.000,.000,NO,.000,5942,5942,88.0,.0,.0,0,37.0,.0,.0,0,0,0,0,0,0,0,0,4,0,0
8,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
8,STRATEGIC,C-17,16,0,0,15,1,1,0,0,0,1,203.200,10.387,.000,.000,.000,.000,2.250,.000,.000,.000,11.363,.000,NO,.000,1827,0,.0,.0,.0,0,.0,.0,.0,0,1,0,0,0,0,0,0,0,0,0
8,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
8,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
8,STRATEGIC,KC-10,8,0,0,4,6,6,2,0,0,0,80.000,48.000,31.684,10.000,12.000,.000,6.000,.000,.000,.000,68.000,.000,NO,.000,17350,15046,125.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,1,0,5,0,0
9,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
9,STRATEGIC,C-17,16,0,0,16,1,1,0,0,0,1,203.200,2.062,.000,.000,.000,2.250,.000,.000,.000,.000,7.764,.000,NO,.000,3935,0,.0,.0,.0,0,.0,.0,.0,0,1,0,0,0,0,0,0,0,0,0
