RLN,CCC,STons,MTons,Sqft,CargoClass
1:0YBVC,J3B,35.20,90.00,704.00,2
1:0YBVC,R1D,38.20,120.00,764.00,2
1:0YBVC,R2D,598.60,2119.00,11972.00,2
1:0YBWC,J3B,19.00,47.00,380.00,2
1:0YBWC,R1D,19.00,60.00,380.00,2
1:0YBWC,R2D,161.00,804.00,3220.00,2
1:0YBYC,J3B,22.00,55.00,440.00,2
1:0YBYC,R2D,219.00,801.00,4380.00,2
1:0YC C,J7C,14.10,35.00,282.00,2
1:0YC C,M7C,0.20,1.00,1.00,2
1:0YC C,R1D,43.20,154.00,695.00,2
1:0YC C,R2B,68.90,271.00,2299.00,2
1:0YC C,R2D,14.80,150.00,1129.00,2
1:0YC C,R3D,1.40,10.00,50.00,2
1:0YCAC,J1D,0.40,16.00,70.00,2
1:0YCAC,J7C,111.70,280.00,2234.00,2
1:0YCAC,M7C,3.40,4.00,68.00,2
1:0YCAC,R1D,204.00,600.00,2720.00,2
1:0YCAC,R2B,1.80,19.80,140.00,2
1:0YCAC,R2D,409.60,1618.70,11255.00,2
1:0YCBC,J1D,0.40,16.00,70.00,2
1:0YCBC,J7C,111.70,280.00,2234.00,2
1:0YCBC,M7C,3.40,4.00,68.00,2
1:0YCBC,R1D,204.00,600.00,2720.00,2
1:0YCBC,R2B,1.80,19.80,140.00,2
1:0YCBC,R2D,409.60,1618.70,11255.00,2
1:0YCCC,J1D,0.40,16.00,70.00,2
1:0YCCC,J7C,111.70,280.00,2234.00,2
1:0YCCC,M7C,3.40,4.00,68.00,2
1:0YCCC,R1D,204.00,600.00,2720.00,2
1:0YCCC,R2B,1.80,19.80,140.00,2
1:0YCCC,R2D,409.60,1618.70,11255.00,2
1:0ZABC,B2D,10.20,311.00,1449.00,2
1:0ZABC,J7C,48.10,120.00,962.00,2
1:0ZABC,R2B,122.20,549.00,4982.00,2
1:0ZABC,R2D,165.30,879.00,5372.00,2
1:0ZBB,J3B,17.70,48.00,354.00,2
1:0ZBB,R1D,25.60,52.00,512.00,2
1:0ZBB,R2D,181.90,736.00,3638.00,2
1:0ZCB,J3B,172.00,398.00,3440.00,2
1:0ZCB,R1D,556.90,1107.00,11138.00,2
1:0ZCB,R2D,2507.20,7566.00,50144.00,2
1:0ZDA,J3B,17.70,48.00,354.00,2
1:0ZDA,R1D,25.60,52.00,512.00,2
1:0ZDA,R2D,181.90,736.00,3638.00,2
1:0ZDB,J3B,172.00,398.00,3440.00,2
1:0ZDB,R1D,556.90,1107.00,11138.00,2
1:0ZDB,R2D,2507.20,7566.00,50144.00,2
1:0ZDC,J3B,172.00,398.00,3440.00,2
1:0ZDC,R1D,556.90,1107.00,11138.00,2
1:0ZDC,R2D,2507.20,7566.00,50144.00,2
1:0ZHCC,A1D,4187.40,4604.40,19466.00,2
1:0ZHCC,A2D,363.40,710.00,3919.00,2
1:0ZHCC,J2D,58.70,177.70,901.00,2
1:0ZHCC,J3D,29.40,92.40,462.00,2
1:0ZHCC,J7C,104.80,262.00,2096.00,2
1:0ZHCC,M7C,37.20,38.00,744.00,2
1:0ZHCC,R1D,619.90,1599.80,7005.00,2
1:0ZHCC,R2B,2.70,29.70,210.00,2
1:0ZHCC,R2D,1008.60,3406.70,19047.00,2
1:0ZHCC,R3B,2.40,22.20,240.00,2
1:0ZHCC,R3D,1.40,9.30,50.00,2
1:0ZHFC,A1D,4187.40,4604.40,19466.00,2
1:0ZHFC,A2D,363.40,710.00,3919.00,2
1:0ZHFC,J2D,58.70,177.70,901.00,2
1:0ZHFC,J3D,29.40,92.40,462.00,2
1:0ZHFC,J7C,104.80,262.00,2096.00,2
1:0ZHFC,M7C,37.20,38.00,744.00,2
1:0ZHFC,R1D,619.90,1599.80,7005.00,2
1:0ZHFC,R2B,2.70,29.70,210.00,2
1:0ZHFC,R2D,1008.60,3406.70,19047.00,2
1:0ZHFC,R3B,2.40,22.20,240.00,2
1:0ZHFC,R3D,1.40,9.30,50.00,2
1:5BCAA,J3B,0.50,9.00,10.00,2
1:5CCAB,D2D,1.40,9.90,64.00,2
1:5CCAB,J3D,2.80,20.10,132.00,2
1:5CCAD,D2D,1.40,9.90,64.00,2
1:5CCAD,J3D,2.80,20.10,132.00,2
1:5CCAU,D2D,1.40,9.90,64.00,2
1:5CCAU,J3D,2.80,20.10,132.00,2
1:5CCAV,D2D,1.40,9.90,64.00,2
1:5CCAV,J3D,2.80,20.10,132.00,2
1:5HDC9,D3D,3.00,8.40,66.00,2
1:5NMH1,J3D,8.10,10.00,198.00,2
1:FR00020,JCD,119.20,489.00,1728.00,3
1:FR00021,JCD,124.00,508.00,1798.00,3
1:FR00022,JCD,124.00,508.00,1798.00,3
1:FR00023,JCD,124.00,508.00,1798.00,3
1:FR00024,JCD,124.00,508.00,1798.00,3
