RLN,CCC,STons,MTons,Sqft,CargoClass
1:03AFC,R3D,1.40,9.30,50.00,2
1:03AGC,A1D,4187.40,4604.40,19466.00,2
1:03AGC,A2D,363.40,710.00,3919.00,2
1:03AGC,J2D,58.70,177.70,901.00,2
1:03AGC,J3D,29.40,92.40,462.00,2
1:03AGC,J7C,104.80,262.00,2096.00,2
1:03AGC,M7C,37.20,38.00,744.00,2
1:03AGC,R1D,619.90,1599.80,7005.00,2
1:03AGC,R2B,2.70,29.70,210.00,2
1:03AGC,R2D,1008.60,3406.70,19047.00,2
1:03AGC,R3B,2.40,22.20,240.00,2
1:03AGC,R3D,1.40,9.30,50.00,2
1:03AJC,A1D,4187.40,4604.40,19466.00,2
1:03AJC,A2D,363.40,710.00,3919.00,2
1:03AJC,J2D,58.70,177.70,901.00,2
1:03AJC,J3D,29.40,92.40,462.00,2
1:03AJC,J7C,104.80,262.00,2096.00,2
1:03AJC,M7C,37.20,38.00,744.00,2
1:03AJC,R1D,619.90,1599.80,7005.00,2
1:03AJC,R2B,2.70,29.70,210.00,2
1:03AJC,R2D,1008.60,3406.70,19047.00,2
1:03AJC,R3B,2.40,22.20,240.00,2
1:03AJC,R3D,1.40,9.30,50.00,2
1:03AKC,A1D,4187.40,4604.40,19466.00,2
1:03AKC,A2D,363.40,710.00,3919.00,2
1:03AKC,J2D,58.70,177.70,901.00,2
1:03AKC,J3D,29.40,92.40,462.00,2
1:03AKC,J7C,104.80,262.00,2096.00,2
1:03AKC,M7C,37.20,38.00,744.00,2
1:03AKC,R1D,619.90,1599.80,7005.00,2
1:03AKC,R2B,2.70,29.70,210.00,2
1:03AKC,R2D,1008.60,3406.70,19047.00,2
1:03AKC,R3B,2.40,22.20,240.00,2
1:03AKC,R3D,1.40,9.30,50.00,2
1:03AUC,A1D,4187.40,4604.40,19466.00,2
1:03AUC,A2D,363.40,710.00,3919.00,2
1:03AUC,J2D,58.70,177.70,901.00,2
1:03AUC,J3D,29.40,92.40,462.00,2
1:03AUC,J7C,104.80,262.00,2096.00,2
1:03AUC,M7C,37.20,38.00,744.00,2
1:03AUC,R1D,619.90,1599.80,7005.00,2
1:03AUC,R2B,2.70,29.70,210.00,2
1:03AUC,R2D,1008.60,3406.70,19047.00,2
1:03AUC,R3B,2.40,22.20,240.00,2
1:03AUC,R3D,1.40,9.30,50.00,2
1:04DDC,J2D,2.30,17.70,101.00,2
1:04DDC,J7C,28.00,70.00,560.00,2
1:04DDC,M7C,1.00,1.00,20.00,2
1:04DDC,R1D,599.90,2984.70,12219.00,2
1:04DDC,R2B,0.90,9.90,70.00,2
1:04DDC,R2D,1219.50,7839.90,40736.00,2
1:04DDC,R3D,1.40,9.30,50.00,2
1:0DAAC,J2B,0.50,10.20,73.00,2
1:0DAAC,J7C,16.60,42.00,332.00,2
1:0DAAC,M7C,0.30,1.00,1.00,2
1:0DAAC,R1D,49.70,150.00,680.00,2
1:0DAAC,R2B,13.50,73.90,489.00,2
