Key,Day,Enabled,Description,EventPhase,Data
SPAZ186,0,true,,,true
SPAZ187 DUP,0,true,,,true
SPAZ188,0,true,,,true
SPAZ189,0,true,,,true
SPAY190,0,true,,,true
SPAZ190,0,true,,,true
SPAC191,0,true,,,true
SPAC192,0,true,,,true
SPAC193,0,true,,,true
SPAC194,0,true,,,true
SPAC195,0,true,,,true
SPAC196,0,true,,,true
SPAC197,0,true,,,true
SPAC198,0,true,,,true
SPAC199,0,true,,,true
SPAC200,0,true,,,true
SPAC201,0,true,,,true
SPAZ200,0,true,,,true
SPAZ201,0,true,,,true
SPAZ202,0,true,,,true
SPAC202,0,true,,,true
NPAC001,0,true,,,true
NPAC002,0,true,,,true
NPAC003,0,true,,,true
NPAC004,0,true,,,true
NPAC005,0,true,,,true
NPAC006,0,true,,,true
NPAC007,0,true,,,true
NPAC008,0,true,,,true
NPAC009,0,true,,,true
NPAC010,0,true,,,true
NPAC011,0,true,,,true
NPAC012,0,true,,,true
NPAC013,0,true,,,true
NPAC014,0,true,,,true
NPAC015,0,true,,,true
NPAC016,0,true,,,true
NPAC017,0,true,,,true
NPAC018,0,true,,,true
NPAC019,0,true,,,true
NPAC020,0,true,,,true
NPAC021,0,true,,,true
NPAC022,0,true,,,true
NPAC023,0,true,,,true
NPAC024,0,true,,,true
NPACW24,0,true,,,true
NPACX24,0,true,,,true
NPACZ24,0,true,,,true
NPAC025,0,true,,,true
NPAC026,0,true,,,true
NPAZ024,0,true,,,true
NPAZ025,0,true,,,true
NPAZ026,0,true,,,true
NPAC027,0,true,,,true
NPAC028,0,true,,,true
NPAC029,0,true,,,true
NPAC030,0,true,,,true
NPAC031,0,true,,,true
NPAC032,0,true,,,true
NPAC033,0,true,,,true
NPAC034,0,true,,,true
NPAC035,0,true,,,true
NPAC036,0,true,,,true
NPAC037,0,true,,,true
NPAC038,0,true,,,true
NPAC039,0,true,,,true
NPAC040,0,true,,,true
NPAC041,0,true,,,true
NPAC042,0,true,,,true
NPAZ042,0,true,,,true
NPAC043,0,true,,,true
NPACZ43,0,true,,,true
NPAC044,0,true,,,true
NPAC045,0,true,,,true
NPAC046,0,true,,,true
NPAC047,0,true,,,true
NPAC048,0,true,,,true
NPAC049,0,true,,,true
NPAC050,0,true,,,true
NPAC051,0,true,,,true
NPAC052,0,true,,,true
NPAC053,0,true,,,true
NPAC054,0,true,,,true
NPAC055,0,true,,,true
NPAC056,0,true,,,true
NPAC057,0,true,,,true
NPAC058,0,true,,,true
NPAC059,0,true,,,true
NPACA62,0,true,,,true
NPACA63,0,true,,,true
NPACA64,0,true,,,true
NPACA65,0,true,,,true
NPACA66,0,true,,,true
NPACA67,0,true,,,true
NPAC060,0,true,,,true
NPAC061,0,true,,,true
NPAC062,0,true,,,true
NPAC063,0,true,,,true
NPAC064,0,true,,,true
NPAC065,0,true,,,true
NPAC066,0,true,,,true
NPAC067,0,true,,,true
NPAC068,0,true,,,true
NPAC069,0,true,,,true
NPAC070,0,true,,,true
NPAC071,0,true,,,true
NPAC072,0,true,,,true
NPAC073,0,true,,,true
NPAC074,0,true,,,true
NPAC075,0,true,,,true
NPAC076,0,true,,,true
NPAC077,0,true,,,true
NPAC078,0,true,,,true
NPAC079,0,true,,,true
NPAC080,0,true,,,true
NPAC081,0,true,,,true
NPAC082,0,true,,,true
NPAC083,0,true,,,true
NPAC084,0,true,,,true
NPAC085,0,true,,,true
NPAC086,0,true,,,true
NPAC087,0,true,,,true
NPAC088,0,true,,,true
NPAC089,0,true,,,true
NPAC090,0,true,,,true
NPAC091,0,true,,,true
NPAC092,0,true,,,true
NPAC093,0,true,,,true
NPAC094,0,true,,,true
NPAC095,0,true,,,true
NPAC096,0,true,,,true
NPAC097,0,true,,,true
NPAC098,0,true,,,true
NPAC099,0,true,,,true
NPAC100,0,true,,,true
NPAZ100,0,true,,,true
NPAZ101,0,true,,,true
NPAC101,0,true,,,true
NPAC102,0,true,,,true
NPAC103,0,true,,,true
NPAC104,0,true,,,true
NPAC105,0,true,,,true
NATL001,0,true,,,true
NATL002,0,true,,,true
NATL003,0,true,,,true
NATL004,0,true,,,true
NATL005,0,true,,,true
NATL006,0,true,,,true
NATL007,0,true,,,true
NATL008,0,true,,,true
NATLZ08,0,true,,,true
NATLY08,0,true,,,true
NATL009,0,true,,,true
NATL010,0,true,,,true
NATL011,0,true,,,true
NATL012,0,true,,,true
NATL013,0,true,,,true
NATL014,0,true,,,true
NATL015,0,true,,,true
NATL016,0,true,,,true
NATL017,0,true,,,true
NATL018,0,true,,,true
NATL019,0,true,,,true
NATL020,0,true,,,true
NATL021,0,true,,,true
NATL022,0,true,,,true
NATL023,0,true,,,true
NATL024,0,true,,,true
NATL025,0,true,,,true
NATL026,0,true,,,true
NATL027,0,true,,,true
NATL028,0,true,,,true
NATL029,0,true,,,true
NATL030,0,true,,,true
NATL031,0,true,,,true
NATL032,0,true,,,true
NATL033,0,true,,,true
NATL034,0,true,,,true
NATL035,0,true,,,true
NATL036,0,true,,,true
NATL037,0,true,,,true
NATLZ37,0,true,,,true
NATL038,0,true,,,true
NATL039,0,true,,,true
NATL040,0,true,,,true
NATL041,0,true,,,true
NATZ041,0,true,,,true
NATL042,0,true,,,true
NATLA42,0,true,,,true
NATL043,0,true,,,true
NATL044,0,true,,,true
NATL045,0,true,,,true
NATL046,0,true,,,true
NATL047,0,true,,,true
NATL048,0,true,,,true
NATL049,0,true,,,true
NATL050,0,true,,,true
NATL051,0,true,,,true
NATL052,0,true,,,true
NATL053,0,true,,,true
NATL054,0,true,,,true
NATL055,0,true,,,true
NATZ055,0,true,,,true
NATL056,0,true,,,true
NATL057,0,true,,,true
NATL058,0,true,,,true
NATL059,0,true,,,true
NATL060,0,true,,,true
NATL061,0,true,,,true
NATL062,0,true,,,true
NATL063,0,true,,,true
NATL064,0,true,,,true
NATZ064,0,true,,,true
NATZ065,0,true,,,true
NATL065,0,true,,,true
NATL066,0,true,,,true
NATL067,0,true,,,true
NATL068,0,true,,,true
NATL069,0,true,,,true
NATL070,0,true,,,true
NATL071,0,true,,,true
NATL072,0,true,,,true
NATL073,0,true,,,true
NATL074,0,true,,,true
NATLZ74,0,true,,,true
NATLY74,0,true,,,true
NATL075,0,true,,,true
NATL076,0,true,,,true
NATLZ76,0,true,,,true
NATLY76,0,true,,,true
NATL077,0,true,,,true
NATL078,0,true,,,true
NATL079,0,true,,,true
NATL080,0,true,,,true
NATL081,0,true,,,true
NATL082,0,true,,,true
NATL083,0,true,,,true
NATL084,0,true,,,true
NATL085,0,true,,,true
NATL086,0,true,,,true
NATL087,0,true,,,true
NATL088,0,true,,,true
NATL089,0,true,,,true
NATL090,0,true,,,true
NATL091,0,true,,,true
NATL092,0,true,,,true
NATL093,0,true,,,true
NATL094,0,true,,,true
NATL095,0,true,,,true
NATL096,0,true,,,true
NATL097,0,true,,,true
NATL098,0,true,,,true
NATL099,0,true,,,true
NATL100,0,true,,,true
NATL101,0,true,,,true
NATL102,0,true,,,true
NATL103,0,true,,,true
NATL104,0,true,,,true
NATL105,0,true,,,true
NATL106,0,true,,,true
NATL107,0,true,,,true
NATL108,0,true,,,true
NATL108 DUP,0,true,,,true
NATL109,0,true,,,true
NATL110,0,true,,,true
NATL111,0,true,,,true
NATZ111,0,true,,,true
NATL112,0,true,,,true
NATL113,0,true,,,true
NATL114,0,true,,,true
NATL115,0,true,,,true
NATL116,0,true,,,true
NATL117,0,true,,,true
NATL118,0,true,,,true
NATL119,0,true,,,true
NATL120,0,true,,,true
NATL121,0,true,,,true
NATL122,0,true,,,true
NATL123,0,true,,,true
NATL124,0,true,,,true
NATL125,0,true,,,true
NATL126,0,true,,,true
NATL127,0,true,,,true
NATL128,0,true,,,true
NATL129,0,true,,,true
NATL130,0,true,,,true
NATL131,0,true,,,true
