Event Day,Ship Type,MIN DWTUTE,MINCONTUTE,MIN SQUUTE,MIN VOLUTE,MIN POLUTE,FULLDWTUTE,FULCONTUTE,FULLSQUUTE,FULLVOLUTE,FULLPOLUTE
55,BARGE(LASH),0,0,0,40,0,0,0,0,60,0
55,BARGE(T-AKB),0,0,0,40,0,0,0,0,60,0
55,BREAKBULK,0,0,0,30,0,0,0,0,75,0
55,CAR TRANS,0,0,40,0,0,0,0,60,0,0
55,CLF,0,0,0,50,0,0,0,0,60,0
55,COMBO,0,0,40,0,0,0,0,40,0,0
55,CONT-NSS,0,0,0,0,0,0,60,0,0,0
55,CONT-SS,0,30,0,0,0,0,60,0,0,0
55,FSS,0,0,0,0,0,0,0,20,0,0
55,PAX,0,0,0,0,0,0,0,0,0,0
55,POL TANKER,0,0,0,0,0,0,0,0,0,0
55,RO/RO,0,0,0,0,0,0,0,20,0,0
55,RO/RO(T-AKR),0,0,0,0,0,0,0,20,0,0
55,T-ACS,0,0,0,30,0,0,0,0,60,0
55,T-AH,0,0,0,0,0,0,0,0,0,0
55,VISA CONT,0,0,0,0,0,0,0,0,0,0
