Event Day,Port,Fleet,Restriction
22,00A1,AMMO,true
22,00IO,AMMO,true
22,00XT,AMMO,true
22,AAPV,AMMO,false
22,ABFL,AMMO,true
22,ADKH,AMMO,true
22,ADLS,AMMO,true
22,AELU,AMMO,true
22,AEQT,AMMO,false
22,AJGX,AMMO,false
22,ALRF,AMMO,true
22,AMCQ,AMMO,true
22,APFD,AMMO,false
22,APGW,AMMO,true
22,AVBU,AMMO,true
22,AVYX,AMMO,false
22,BBNQ,AMMO,true
22,BBNV,AMMO,true
22,BQWA,AMMO,true
22,BSRL,AMMO,true
22,CHCY,AMMO,true
22,CWCP,AMMO,false
22,CWGV,AMMO,true
22,DKSD,AMMO,true
22,DRUG,AMMO,true
22,EDME,AMMO,false
22,EGNN,AMMO,false
22,ENCN,AMMO,true
22,EZMU,AMMO,true
22,FGDB,AMMO,true
22,FGDD,AMMO,true
22,FGTW,AMMO,true
22,FMAZ,AMMO,true
22,FNLD,AMMO,true
22,FNSH,AMMO,true
22,FQZF,AMMO,true
22,GPEN,AMMO,true
22,GWZP,AMMO,true
22,HAGC,AMMO,true
22,HMGB,AMMO,true
22,HNTS,AMMO,true
22,HUPR,AMMO,false
22,JJRP,AMMO,true
22,JSSN,AMMO,true
22,JTVH,AMMO,true
22,JWJY,AMMO,false
22,JWTD,AMMO,false
22,JXKM,AMMO,true
22,JYPN,AMMO,true
22,KZPH,AMMO,false
22,KZTZ,AMMO,true
22,LCMT,AMMO,true
22,LKPE,AMMO,false
22,LRNC,AMMO,true
22,LSGM,AMMO,true
22,LUTP,AMMO,true
22,LWEV,AMMO,true
22,LYAP,AMMO,false
22,LYRV,AMMO,false
22,LYTM,AMMO,true
22,MKAG,AMMO,false
22,MLDL,AMMO,true
22,MMGH,AMMO,true
22,MZJK,AMMO,true
22,NBDY,AMMO,false
22,NLFL,AMMO,true
22,NNWH,AMMO,true
22,NPTU,AMMO,true
22,NSAN,AMMO,true
22,PAXM,AMMO,true
22,PCFC,AMMO,false
22,PCFG,AMMO,true
22,PKVP,AMMO,true
22,PPSH,AMMO,true
22,QCFF,AMMO,true
22,QHPB,AMMO,true
22,QHPD,AMMO,true
22,QHPF,AMMO,true
22,QNPW,AMMO,true
22,QTUP,AMMO,true
22,RCYQ,AMMO,true
22,RCYT,AMMO,true
22,RELG,AMMO,false
22,REPV,AMMO,false
22,RGJW,AMMO,false
22,RQNK,AMMO,true
22,RRHU,AMMO,true
22,RRRK,AMMO,true
22,RUAM,AMMO,true
22,RUAQ,AMMO,true
22,RULV,AMMO,true
22,SBEA,AMMO,true
22,SBEQ,AMMO,true
22,SEA1,AMMO,true
22,SERU,AMMO,true
22,SMXS,AMMO,false
22,STRM,AMMO,true
22,SVCN,AMMO,true
22,SYZZ,AMMO,true
22,TGWS,AMMO,true
22,TKDW,AMMO,true
22,TNVX,AMMO,true
22,TNZY,AMMO,true
22,TPPR,AMMO,true
22,TPRW,AMMO,true
22,TQKG,AMMO,true
22,TRZP,AMMO,true
22,TVJD,AMMO,true
22,TVXA,AMMO,true
22,TZL4,AMMO,true
22,TZYR,AMMO,true
22,UMXA,AMMO,true
22,UNAP,AMMO,true
22,UTAC,AMMO,true
22,UTVT,AMMO,true
22,UULA,AMMO,true
22,UULB,AMMO,false
22,UULX,AMMO,true
22,UYQR,AMMO,false
22,UZXJ,AMMO,true
22,VFVN,AMMO,true
22,VKNP,AMMO,true
