"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Arrived at POD<Float>,Port of Debarkation<Float>,Destination (TAA)<Float>,Required at POD: EAD<Float>,Required at POD: LAD<Float>,Required at DST: CRD<Float>,Required at DST: RDD<Float>,Delivered of Required: DST<Float>
62.0,157342.45,157202.45,156622.23,157730.22,136317.81,157730.22,157730.22,156139.23
63.0,157850.5,157710.5,157762.55,158192.78,136317.81,158192.78,158192.78,157242.55
64.0,158685.06,158545.06,158167.11,159080.02,136317.81,159080.02,159080.02,158093.11
65.0,159164.3,159014.3,158584.34,159432.38,136317.81,159432.38,159432.38,158452.34
66.0,159967.66,159817.66,159449.7,160265.53,136317.81,160265.53,160265.53,158947.7
67.0,160297.62,160147.62,159919.86,160647.47,136317.81,160647.47,160647.47,159274.86
68.0,161531.56,161381.56,160693.6,161575.06,136317.81,161575.06,161575.06,160183.6
69.0,161984.16,161824.16,161157.19,162480.61,136317.81,162480.61,162480.61,161089.19
70.0,163278.8,163118.8,162323.83,162876.45,136317.81,162876.45,162876.45,161824.83
71.0,163785.44,163625.44,163123.47,163710.62,136317.81,163710.62,163710.62,162419.47
72.0,164569.67,164409.67,164131.64,164089.83,136317.81,164089.83,164089.83,162847.64
73.0,165410.97,165240.97,164738.19,165027.42,136317.81,165027.42,165027.42,163908.19
74.0,166360.56,166190.56,165737.4,165517.62,136317.81,165517.62,165517.62,164859.4
75.0,167271.7,167101.7,166434.81,166404.66,136317.81,166404.66,166404.66,165842.81
76.0,167746.22,167566.22,167411.25,167408.27,136317.81,167408.27,167408.27,166770.25
77.0,168401.44,168221.44,168329.47,167857.08,136317.81,167857.08,167857.08,167381.47
78.0,169406.25,169226.25,168868.28,168744.66,136317.81,168744.66,168744.66,168348.28
79.0,170649.83,170469.83,169739.86,169717.56,136317.81,169717.56,169717.56,169233.86
80.0,171204.73,171014.73,170506.77,170194.12,136317.81,170194.12,170194.12,169684.77
81.0,171649.3,171459.3,171607.33,171229.48,136317.81,171229.48,171229.48,170629.33
82.0,172333.61,172143.61,172202.84,172112.19,136317.81,172112.19,172112.19,171682.84
83.0,173107.77,172917.77,172585.8,173008.5,136317.81,173008.5,173008.5,172547.8
84.0,174006.47,173806.47,173556.5,173514.89,136317.81,173514.89,173514.89,172986.5
85.0,174684.86,174484.86,174516.89,174499.0,136317.81,174499.0,174499.0,174014.89
86.0,175168.97,174968.97,175087.0,175333.11,136317.81,175333.11,175333.11,174549.0
87.0,176497.08,176297.08,175583.11,176275.8,136317.81,176275.8,176275.8,175023.11
88.0,177753.77,177553.77,176873.8,176952.77,136317.81,176952.77,176952.77,176383.8
89.0,177920.73,177710.73,177562.77,178211.97,136317.81,178211.97,178211.97,176952.77
90.0,179356.94,179146.94,178860.97,179447.8,136317.81,179447.8,179447.8,178030.97
91.0,179805.77,179595.77,179463.8,179727.8,136317.81,179727.8,179727.8,178489.8
92.0,180695.77,180475.77,180103.8,180363.86,136317.81,180363.86,180363.86,178827.8
93.0,181689.77,181469.77,180683.8,181223.8,136317.81,181223.8,181223.8,179359.8
94.0,182279.0,182059.0,181787.03,182771.8,136317.81,182771.8,182771.8,180809.03
95.0,182847.77,182617.77,182803.8,183795.8,136317.81,183795.8,183795.8,181833.8
96.0,184306.77,184076.77,183225.8,184780.31,136317.81,184780.31,184780.31,182755.8
97.0,185329.28,185099.28,184483.31,184780.31,136317.81,184780.31,184780.31,183771.31
98.0,185850.28,185620.28,185033.31,186023.89,136317.81,186023.89,186023.89,184277.31
99.0,187125.86,186885.86,186175.89,187120.8,136317.81,187120.8,187120.8,185155.89
100.0,187720.77,187480.77,187374.8,187987.8,136317.81,187987.8,187987.8,186412.8
101.0,188157.06,187917.06,188033.1,189088.53,136317.81,189088.53,189088.53,187513.1
102.0,189309.5,189069.5,188723.53,189947.8,136317.81,189947.8,189947.8,188713.53
103.0,190551.77,190301.77,189561.8,189947.8,136317.81,189947.8,189947.8,189045.8
104.0,191139.77,190889.77,190169.8,190943.8,136317.81,190943.8,190943.8,189613.8
105.0,191613.77,191363.77,191063.8,192501.8,136317.81,192501.8,192501.8,190593.8
106.0,193163.77,192913.77,192167.8,193443.8,136317.81,193443.8,193443.8,191739.8
107.0,193589.77,193329.77,193435.8,194411.8,136317.81,194411.8,194411.8,193415.8
108.0,194200.06,193940.06,194060.1,195004.67,136317.81,195004.67,195004.67,193988.1
109.0,194836.92,194576.92,194814.95,195917.8,136317.81,195917.8,195917.8,194716.95
110.0,195189.78,194929.78,195161.81,196045.8,136317.81,196045.8,196045.8,195051.81
111.0,196665.78,196395.78,195265.81,196545.8,136317.81,196545.8,196545.8,195195.81
112.0,197167.78,196897.78,196665.81,197045.8,136317.81,197045.8,197045.8,196145.81
113.0,198043.78,197773.78,196689.81,198877.06,136317.81,198877.06,198877.06,196645.81
114.0,199526.97,199246.97,198575.0,200440.47,136317.81,200440.47,200440.47,198041.0
115.0,200391.78,200111.78,199197.81,201930.47,136317.81,201930.47,201930.47,198651.81
116.0,201388.14,201108.14,200306.23,202492.47,136317.81,202492.47,202492.47,199452.23
117.0,202762.66,202482.66,201589.81,203642.47,136317.81,203642.47,203642.47,200781.81
118.0,203745.66,203455.66,202957.75,204575.95,136317.81,204575.95,204575.95,201893.75
119.0,205362.14,205072.14,204069.17,205481.17,136317.81,205481.17,205481.17,203141.17
120.0,205833.36,205543.36,204886.39,206521.72,136317.81,206521.72,206521.72,204056.39
121.0,207219.9,206929.9,206451.94,206933.34,136317.81,206933.34,206933.34,205165.94
122.0,208001.53,207701.53,207317.56,207268.97,136317.81,207268.97,207268.97,205667.56
123.0,208427.16,208127.16,208033.19,208204.6,136317.81,208204.6,208204.6,206505.19
124.0,208902.78,208602.78,208790.81,209006.22,136317.81,209006.22,209006.22,207432.81
125.0,209180.4,208880.4,209174.44,209947.84,136317.81,209947.84,209947.84,208220.44
126.0,209684.03,209384.03,209606.06,211032.06,136317.81,211032.06,211032.06,209146.06
127.0,210147.55,209847.55,210047.58,211477.81,136317.81,211477.81,211477.81,209587.58
128.0,210644.0,210334.0,210644.03,212368.86,136317.81,212368.86,212368.86,210574.03
129.0,211027.62,210707.62,211027.66,213141.31,136317.81,213141.31,213141.31,211007.66
130.0,211321.42,211001.42,211271.45,213693.7,136317.81,213693.7,213693.7,211251.45
131.0,211857.48,211537.48,211357.52,214194.7,136317.81,214194.7,214194.7,211337.52
132.0,213136.7,212816.7,211857.52,214694.7,136317.81,214694.7,214694.7,211337.52
133.0,213815.36,213485.36,211993.52,215704.7,136317.81,215704.7,215704.7,211973.52
134.0,214530.89,214200.89,214393.39,216330.7,136317.81,216330.7,216330.7,214272.39
135.0,216852.34,216522.34,214459.19,218609.16,136317.81,218609.16,218609.16,214339.19
136.0,218625.8,218295.8,216260.36,219682.39,136317.81,219682.39,219682.39,216189.36
137.0,218752.03,218412.03,218536.03,220260.11,136317.81,220260.11,220260.11,217732.03
138.0,218913.75,218573.75,218829.75,222037.39,136317.81,222037.39,222037.39,218309.75
139.0,220790.95,220450.95,220302.95,223625.55,136317.81,223625.55,223625.55,220206.95
140.0,222253.9,221913.9,221273.9,223711.55,136317.81,223711.55,223711.55,221179.9
141.0,222419.2,222069.2,221821.2,224211.55,136317.81,224211.55,224211.55,221355.2
142.0,222557.2,222207.2,222399.2,225201.55,136317.81,225201.55,225201.55,221973.2
143.0,223025.78,222675.78,222987.78,226191.55,136317.81,226191.55,226191.55,222491.78
144.0,224379.27,224029.27,223515.27,226786.19,136317.81,226786.19,226786.19,223077.27
145.0,225412.3,225052.3,224548.3,227359.55,136317.81,227359.55,227359.55,224528.3
146.0,225506.2,225146.2,225389.2,228223.55,136317.81,228223.55,228223.55,225369.2
147.0,227927.62,227567.62,226190.2,229479.55,136317.81,229479.55,229479.55,226170.2
148.0,229086.62,228716.62,228096.62,230162.16,136317.81,230162.16,230162.16,228076.62
149.0,229416.62,229046.62,228914.62,230915.86,136317.81,230915.86,230915.86,228552.62
150.0,230698.77,230328.77,230134.77,231780.5,136317.81,231780.5,231780.5,229358.77
151.0,232762.98,232392.98,231184.98,232270.81,136317.81,232270.81,232270.81,230329.98
152.0,233170.47,232790.47,232668.47,232330.81,136317.81,232330.81,232330.81,231198.47
153.0,233359.67,232979.67,233218.3,233085.52,136317.81,233085.52,233085.52,231840.3
154.0,233686.38,233306.38,233575.0,234117.14,136317.81,234117.14,234117.14,232651.0
155.0,235191.53,234811.53,234319.52,235231.94,136317.81,235231.94,235231.94,233821.52
156.0,235742.8,235352.8,235474.78,235731.94,136317.81,235731.94,235731.94,234774.78
157.0,236604.8,236214.8,235686.78,236581.56,136317.81,236581.56,236581.56,235188.78
