Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
ADLS,TN,AL MAHDIYAH,62,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,63,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,64,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,65,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,66,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,67,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,68,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,69,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,70,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,71,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,72,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,73,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,74,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,75,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,76,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,77,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,78,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,79,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,80,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,81,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,82,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,83,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,84,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,85,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,86,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,87,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,88,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,89,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,90,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,91,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,92,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,93,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,94,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,95,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,96,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,97,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,98,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,99,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,100,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,101,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,102,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,103,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,104,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,105,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,106,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,107,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,108,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,109,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,110,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,111,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,112,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,113,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,114,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,115,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,116,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,117,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,118,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,119,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,120,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,121,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,122,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,123,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,124,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,125,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,126,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,127,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,128,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,129,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,130,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,131,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,132,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,133,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,134,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,135,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,136,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,137,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,138,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,139,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,140,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,141,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,142,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,143,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,144,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,145,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,146,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,147,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,148,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,149,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,150,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,151,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,152,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,153,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,154,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,155,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,156,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,157,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,158,0,0.0,0,6,6.0,6,0.0,0.0,0.0
