Road Capacities
ID<>,Name<>,Capacity<STON>,Capacity Rate<Veh/Day>,Usage Rating<Float>
9072,APFD VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8685,BQWK VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
9260,BSRL VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8571,BSRR VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
6470,Connector Road -1-234,2000.0,0.0,0.0
6240,Connector Road -2-4,2000.0,0.0,0.0
8590,FUQN VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
6352,Gabes Connector Road-116,2000.0,0.0,0.0
8280,HNTK VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
9162,HNTM VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8113,HNTS VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8205,HPBF VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8606,JEAH VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8679,NWXN VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
9220,OPA1 VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
8135,OPA2 VIRTUAL ROAD LINK,3.4028235E38,0.0,0.0
6476,Thelepta-Ferana connect road-240,2000.0,0.0,0.0
6369,Tunisia Road Link - 100-133,2000.0,0.0,0.0
6341,Tunisia Road Link - 101-105,2000.0,0.0,0.0
6450,Tunisia Road Link - 103-214,2000.0,0.0,0.0
6245,Tunisia Road Link - 105-9,2000.0,0.0,0.0
6498,Tunisia Road Link - 12-262,2000.0,0.0,0.0
6372,Tunisia Road Link - 121-136,2000.0,0.0,0.0
6302,Tunisia Road Link - 124-66,2000.0,0.0,0.0
6380,Tunisia Road Link - 125-144,2000.0,0.0,0.0
6295,Tunisia Road Link - 128-59,2000.0,0.0,0.0
6246,Tunisia Road Link - 13-10,2000.0,0.0,0.0
6271,Tunisia Road Link - 135-35,2000.0,0.0,0.0
6425,Tunisia Road Link - 137-189,2000.0,0.0,0.0
6260,Tunisia Road Link - 139-24,2000.0,0.0,0.0
6387,Tunisia Road Link - 150-151,2000.0,0.0,0.0
6278,Tunisia Road Link - 152-42,2000.0,0.0,0.0
6309,Tunisia Road Link - 156-73,2000.0,0.0,0.0
6398,Tunisia Road Link - 158-162,2000.0,0.0,0.0
6479,Tunisia Road Link - 162-243,2000.0,0.0,0.0
6315,Tunisia Road Link - 163-79,2000.0,0.0,0.0
6484,Tunisia Road Link - 165-248,200.0,0.0,0.0
6268,Tunisia Road Link - 166-32,2000.0,0.0,0.0
6333,Tunisia Road Link - 167-97,2000.0,0.0,0.0
6418,Tunisia Road Link - 168-182,2000.0,0.0,0.0
6272,Tunisia Road Link - 17-36,2000.0,0.0,0.0
6258,Tunisia Road Link - 172-22,2000.0,0.0,0.0
6502,Tunisia Road Link - 174-266,2000.0,0.0,0.0
6452,Tunisia Road Link - 175-216,2000.0,0.0,0.0
6294,Tunisia Road Link - 177-58,2000.0,0.0,0.0
6454,Tunisia Road Link - 179-218,2000.0,0.0,0.0
6383,Tunisia Road Link - 210-147,2000.0,0.0,0.0
6473,Tunisia Road Link - 211-237,2000.0,0.0,0.0
6459,Tunisia Road Link - 226-223,2000.0,0.0,0.0
6521,Tunisia Road Link - 227-285,2000.0,0.0,0.0
6253,Tunisia Road Link - 228-17,2000.0,0.0,0.0
