Event Day,Ship Type,MIN DWTUTE,MINCONTUTE,MIN SQUUTE,MIN VOLUTE,MIN POLUTE,FULLDWTUTE,FULCONTUTE,FULLSQUUTE,FULLVOLUTE,FULLPOLUTE
130,BARGE(LASH),0,0,0,0,0,0,0,0,0,0
130,BARGE(T-AKB),0,0,0,0,0,0,0,0,0,0
130,BREAKBULK,0,0,0,0,0,0,0,0,0,0
130,CAR TRANS,0,0,20,0,0,0,0,20,0,0
130,CLF,0,0,0,0,0,0,0,0,0,0
130,COMBO,0,0,40,0,0,0,0,40,0,0
130,CONT-NSS,0,0,0,0,0,0,0,0,0,0
130,CONT-SS,0,30,0,0,0,0,60,0,0,0
130,FSS,0,0,0,0,0,0,0,20,0,0
130,PAX,0,0,0,0,0,0,0,0,0,0
130,POL TANKER,0,0,0,0,0,0,0,0,0,0
130,RO/RO,0,0,0,0,0,0,0,20,0,0
130,RO/RO(T-AKR),0,0,0,0,0,0,0,20,0,0
130,T-ACS,0,0,0,0,0,0,0,0,0,0
130,T-AH,0,0,0,0,0,0,0,0,0,0
130,VISA CONT,0,0,0,0,0,0,0,0,0,0
