Model,FedTime,Fleet,AcType,Home,AvailToPlanBulk,PlannedBulk,AvailBulk,ScheduledBulk,AvailToPlanOver,PlannedOver,AvailOver,ScheduledOver,AvailToPlanOut,PlannedOut,AvailOut,ScheduledOut,AvailToPlanPax,PlannedPax,AvailPax,ScheduledPax
MAIN,6.05,STRATEGIC,C-17,XDAT,739.100004889071,198.33750319480896,0.0,0.0,1733.5000059604645,1658.8927253484726,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3415,2037,0,0
MAIN,6.05,STRATEGIC,C-5A,XDAT,135.69999992847443,76.60000002384186,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,44,20,0,0
MAIN,6.05,STRATEGIC,KC-10,XDAT,739.100004889071,405.45446763187647,0.0,0.0,1032.2000122070312,66.1072769165039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,7.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
MAIN,7.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
MAIN,7.05,STRATEGIC,C-17,DKFX,689.100004889071,192.53750324249268,80.59999990463257,5.599999904632568,1733.5000059604645,1656.0927253961563,2.799999952316284,2.799999952316284,47.20000076293945,38.20000076293945,0.0,0.0,3415,2016,24,24
MAIN,7.05,STRATEGIC,C-17,PQWY,689.100004889071,192.53750324249268,80.59999990463257,0.0,1733.5000059604645,1656.0927253961563,2.799999952316284,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3415,2016,24,0
MAIN,7.05,STRATEGIC,C-17,XDAT,689.100004889071,192.53750324249268,80.59999990463257,0.0,1733.5000059604645,1656.0927253961563,2.799999952316284,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3415,2016,24,0
MAIN,7.05,STRATEGIC,C-5A,XDAT,85.69999992847443,4.600000023841858,75.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,44,20,0,0
MAIN,7.05,STRATEGIC,KC-10,XDAT,733.5000049844384,389.6544676795602,125.0,88.0,1032.2000122070312,66.1072769165039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,8.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
MAIN,8.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
MAIN,8.05,STRATEGIC,C-17,DKFX,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,8.05,STRATEGIC,C-17,PQWY,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,8.05,STRATEGIC,C-17,XDAT,608.5000049844384,192.53750324249268,0.0,0.0,1730.7000060081482,1656.0927253961563,0.0,0.0,47.20000076293945,38.20000076293945,0.0,0.0,3391,2016,0,0
MAIN,8.05,STRATEGIC,C-5A,XDAT,10.699999928474426,4.600000023841858,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,44,20,0,0
MAIN,8.05,STRATEGIC,KC-10,XDAT,645.5000049844384,352.6544676795602,37.0,37.0,1032.2000122070312,66.1072769165039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,9.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
MAIN,9.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35493,36212,0,0
