Model,FedTime,AssetID,AssetType,FromLocation,FromTime,MissionID,VoyageNum,Mode,ToLocation,ToTime,LoadedDraft,Visa
MAIN,30.8,7390117,RO/RO,DKSD,30.791666,7390117-1,1,SEA,HNTS,40.529167,19,false
MAIN,31.5,8221507,CONT-NSS,QTUP,31.458334,8221507-1,1,SEA,VKNP,42.992016,13,false
MAIN,32.6,7395351,RO/RO,DKSD,32.583332,7395351-1,1,SEA,VKNP,41.729168,22,false
MAIN,33.15,7224904,CONT-NSS,RUAM,33.129166,7224904-1,1,SEA,VKNP,40.859722,20,false
MAIN,33.3,8200711,CONT-NSS,ZBES,33.25,8200711-1,1,SEA,HNTS,43.27222,19,false
MAIN,33.4,9125592,VISA CONT,RUAM,33.37847,9125592-1,1,SEA,SEA1,40.554516,20,false
MAIN,33.55,7334204,COMBO,SBEA,33.541668,7334204-1,1,SEA,HNTS,40.89375,26,false
MAIN,33.6,8412869,RO/RO,DKSD,33.583332,8412869-1,1,SEA,VKNP,45.59722,13,false
MAIN,33.75,8221545,CONT-SS,FQZF,33.738888,8221545-1,1,SEA,VKNP,43.65625,18,false
MAIN,34.85,7617905,CONT-NSS,AVBU,34.84722,7617905-1,1,SEA,HNTS,43.447918,14,false
MAIN,36.25,5386605,T-ACS,NPTU,36.208332,5386605-1,1,SEA,VKNP,55.525,16,false
MAIN,37.65,7233278,CONT-NSS,UTAC,37.625,7233278-1,1,SEA,HNTS,54.42014,17,false
MAIN,37.95,6708379,CONT-NSS,UTAC,37.916668,6708379-1,1,SEA,HNTS,54.72014,16,false
MAIN,38.5,1811111,CONT-NSS,RUAM,38.476738,1811111-2,2,SEA,VKNP,45.872223,15,false
MAIN,39.5,9064267,CONT-NSS,DKSD,39.458332,9064267-1,1,SEA,HNTS,50.31597,17,false
MAIN,40.05,7635933,CONT-NSS,RUAM,40.024654,7635933-1,1,SEA,VKNP,48.535416,16,false
MAIN,41.05,8322789,CONT-NSS,RRRK,41.041668,8322789-1,1,SEA,VKNP,50.71528,18,false
MAIN,41.1,6913429,COMBO,DKSD,41.083332,6913429-2,2,SEA,VKNP,49.08125,18,false
MAIN,41.75,9007817,CONT-NSS,DKSD,41.708332,9007817-1,1,SEA,VKNP,52.408333,17,false
MAIN,42.75,7714349,CONT-NSS,SBEA,42.708332,7714349-1,1,SEA,HNTS,52.96875,16,false
MAIN,43.1,9137349,BREAKBULK,QTUP,43.083332,9137349-1,1,SEA,VKNP,58.43889,11,false
MAIN,44.1,7729459,CONT-NSS,RUAM,44.068054,7729459-1,1,SEA,VKNP,51.809723,19,false
MAIN,44.7,7116315,CONT-NSS,FQZF,44.695137,7116315-1,1,SEA,VKNP,53.18403,18,false
MAIN,44.95,6828624,CONT-NSS,RUAM,44.941666,6828624-2,2,SEA,VKNP,52.322224,16,false
MAIN,46.1,8419142,CONT-NSS,FQZF,46.075,8419142-1,1,SEA,VKNP,55.010418,15,false
MAIN,46.25,7320411,BARGE(T-AKB),QTUP,46.208332,7320411-2,2,SEA,HNTS,55.575,19,false
MAIN,46.95,7224306,CONT-NSS,RUAM,46.941666,7224306-2,2,SEA,VKNP,54.322224,15,false
MAIN,47.4,8450665,RO/RO,SBEA,47.375,8450665-1,1,SEA,HNTS,58.902084,17,false
MAIN,50.1,6812211,CONT-NSS,AVBU,50.05764,6812211-1,1,SEA,VKNP,58.569443,16,false
MAIN,51.9,7026259,CONT-NSS,RUAM,51.890972,7026259-2,2,SEA,VKNP,59.979168,16,false
MAIN,52.45,7050248,BARGE(T-AKB),DKSD,52.416668,7050248-2,2,SEA,HNTS,62.179165,18,false
MAIN,52.8,8419166,CONT-NSS,QTUP,52.75,8419166-1,1,SEA,VKNP,61.983334,15,false
MAIN,52.85,7034335,BARGE(T-AKB),WPVT,52.833332,7034335-2,2,SEA,HNTS,71.21667,20,false
MAIN,54.15,8902400,CONT-NSS,RUAM,54.129166,8902400-2,2,SEA,VKNP,61.859722,14,false
MAIN,54.55,8902395,CONT-NSS,RUAM,54.515972,8902395-2,2,SEA,VKNP,62.259724,14,false
MAIN,55,7304792,BARGE(T-AKB),UTAC,54.958332,7304792-2,2,SEA,HNTS,73.35208,20,false
MAIN,56.6,7218462,CONT-NSS,RUAM,56.561806,7218462-2,2,SEA,VKNP,64.30972,18,false
MAIN,58.55,6916861,CONT-NSS,RUAM,58.531944,6916861-2,2,SEA,VKNP,66.629166,16,false
MAIN,58.6,7315571,FSS,JTVH,58.583332,7315571-2,2,SEA,VKNP,67.19375,18,false
MAIN,60.55,7224904,CONT-NSS,FQZF,60.516666,7224904-2,2,SEA,VKNP,68.645836,19,false
MAIN,61.9,7302897,FSS,RUAM,61.87361,7302897-2,2,SEA,VKNP,68.17257,18,false
MAIN,62.05,9074391,VISA CONT,RUAM,62.049305,9074391-1,1,SEA,SEA1,68.916664,23,false
MAIN,62.5,1811111,CONT-NSS,RUAM,62.477085,1811111-3,3,SEA,VKNP,69.87222,15,false
MAIN,63.9,7236153,FSS,RUAM,63.87361,7236153-2,2,SEA,VKNP,70.17257,18,false
MAIN,66.2,7325253,FSS,RUAM,66.18611,7325253-2,2,SEA,VKNP,72.472916,18,false
MAIN,66.75,7820423,RO/RO,QTUP,66.708336,7820423-2,2,SEA,VKNP,76.959724,13,false
MAIN,66.95,6828624,CONT-NSS,RUAM,66.941666,6828624-3,3,SEA,VKNP,74.32222,16,false
MAIN,68,7224306,CONT-NSS,RUAM,67.958336,7224306-3,3,SEA,VKNP,75.37222,15,false
MAIN,70.2,6708379,CONT-NSS,RUAM,70.17986,6708379-2,2,SEA,VKNP,77.90972,16,false
MAIN,71.25,7233278,CONT-NSS,RUAM,71.22361,7233278-2,2,SEA,VKNP,78.959724,17,false
MAIN,72.1,6905252,CONT-NSS,RUAM,72.068054,6905252-2,2,SEA,VKNP,79.80972,16,false
MAIN,74.3,6801664,RO/RO,DKSD,74.29236,6801664-1,1,SEA,VKNP,81.96042,14,false
MAIN,74.35,7320411,BARGE(T-AKB),RRRK,74.333336,7320411-3,3,SEA,VKNP,83.04444,19,false
MAIN,75.9,7026259,CONT-NSS,RUAM,75.89132,7026259-3,3,SEA,VKNP,83.979164,16,false
MAIN,79.55,8902395,CONT-NSS,RUAM,79.51632,8902395-3,3,SEA,VKNP,87.25972,14,false
MAIN,80.15,8902400,CONT-NSS,RUAM,80.129166,8902400-3,3,SEA,VKNP,87.859375,14,false
MAIN,80.75,7315571,FSS,RUAM,80.71667,7315571-3,3,SEA,VKNP,87.02292,18,false
MAIN,81.9,7302897,FSS,RUAM,81.87361,7302897-3,3,SEA,VKNP,88.17257,18,false
MAIN,82.05,9074389,VISA CONT,RUAM,82.04965,9074389-1,1,SEA,SEA1,88.96667,21,false
MAIN,83.9,7236153,FSS,RUAM,83.87361,7236153-3,3,SEA,VKNP,90.17257,18,false
MAIN,84.5,1811111,CONT-NSS,RUAM,84.47708,1811111-4,4,SEA,VKNP,91.87222,15,false
MAIN,85.55,6916861,CONT-NSS,RUAM,85.531944,6916861-3,3,SEA,VKNP,93.629166,16,false
MAIN,85.9,6913259,CONT-NSS,RUAM,85.8934,6913259-1,1,SEA,VKNP,93.272224,17,false
MAIN,88.5,7002071,CONT-NSS,RUAM,88.464584,7002071-1,1,SEA,VKNP,95.87222,17,false
MAIN,89,6828624,CONT-NSS,RUAM,88.958336,6828624-4,4,SEA,VKNP,96.37222,16,false
MAIN,89.95,7224306,CONT-NSS,RUAM,89.941666,7224306-4,4,SEA,VKNP,97.32222,15,false
MAIN,90.6,7218462,CONT-NSS,RUAM,90.583336,7218462-3,3,SEA,VKNP,98.30972,18,false
MAIN,91.55,7802718,CONT-NSS,RUAM,91.50694,7802718-1,1,SEA,VKNP,98.922226,17,false
MAIN,93.35,7304792,BARGE(T-AKB),RRRK,93.333336,7304792-3,3,SEA,VKNP,102.04375,20,false
MAIN,94.1,6905252,CONT-NSS,RUAM,94.06875,6905252-3,3,SEA,VKNP,101.80972,16,false
MAIN,95.05,9085522,VISA CONT,RUAM,95.04931,9085522-1,1,SEA,SEA1,101.916664,23,false
MAIN,95.25,7233278,CONT-NSS,RUAM,95.22361,7233278-3,3,SEA,VKNP,102.959724,17,false
MAIN,95.55,6820579,CONT-NSS,FQZF,95.530556,6820579-2,2,SEA,VKNP,103.645836,16,false
MAIN,96.2,6708379,CONT-NSS,RUAM,96.17986,6708379-3,3,SEA,VKNP,103.90972,16,false
MAIN,97.9,7026259,CONT-NSS,RUAM,97.890976,7026259-4,4,SEA,VKNP,105.979164,16,false
MAIN,100.2,7325253,FSS,RUAM,100.18611,7325253-3,3,SEA,VKNP,106.472916,18,false
MAIN,103.15,8902395,CONT-NSS,RRRK,103.125,8902395-4,4,SEA,VKNP,111.04931,15,false
MAIN,104.35,7320411,BARGE(T-AKB),RRRK,104.333336,7320411-4,4,SEA,VKNP,113.04375,19,false
MAIN,106,7315571,FSS,RUAM,105.96667,7315571-4,4,SEA,VKNP,112.27292,18,false
MAIN,106.9,7319632,FSS,RUAM,106.87361,7319632-1,1,SEA,VKNP,113.17292,18,false
MAIN,108.15,6812211,CONT-NSS,FQZF,108.140274,6812211-2,2,SEA,VKNP,116.245834,16,false
MAIN,108.9,7303205,FSS,RUAM,108.87361,7303205-1,1,SEA,VKNP,115.17292,18,false
MAIN,108.9,7302897,FSS,RUAM,108.87361,7302897-4,4,SEA,VKNP,115.17292,18,false
MAIN,110.15,8902400,CONT-NSS,RUAM,110.129166,8902400-4,4,SEA,VKNP,117.859726,14,false
MAIN,111,7226897,FSS,RUAM,110.958336,7226897-1,1,SEA,VKNP,117.27292,18,false
MAIN,111.55,7224904,CONT-NSS,FQZF,111.51667,7224904-3,3,SEA,VKNP,119.645836,19,false
MAIN,111.95,6828624,CONT-NSS,RUAM,111.941666,6828624-5,5,SEA,VKNP,119.32222,16,false
MAIN,112.9,7236153,FSS,RUAM,112.87361,7236153-4,4,SEA,VKNP,119.17292,18,false
MAIN,113.15,8408894,BREAKBULK,RUAQ,113.125,8408894-1,1,SEA,VKNP,121.635414,16,false
MAIN,113.65,6916861,CONT-NSS,RUAQ,113.625,6916861-4,4,SEA,VKNP,121.729164,16,false
MAIN,114.95,7223508,FSS,RUAM,114.92083,7223508-1,1,SEA,VKNP,121.222916,18,false
MAIN,114.95,7224306,CONT-NSS,RUAM,114.941666,7224306-5,5,SEA,VKNP,122.32222,15,false
MAIN,116.6,7218462,CONT-NSS,RUAM,116.561806,7218462-4,4,SEA,VKNP,124.30972,18,false
MAIN,120.1,7235329,CONT-NSS,FQZF,120.07222,7235329-1,1,SEA,SEA1,127.02778,19,false
MAIN,122.35,7304792,BARGE(T-AKB),RRRK,122.333336,7304792-4,4,SEA,VKNP,131.04375,20,false
MAIN,122.7,8820004,CONT-NSS,FQZF,122.666664,8820004-1,1,SEA,VKNP,132.60625,18,false
MAIN,127.3,8902395,CONT-NSS,RRRK,127.291664,8902395-5,5,SEA,VKNP,135.19931,16,false
MAIN,131.35,7320411,BARGE(T-AKB),RRRK,131.33333,7320411-5,5,SEA,VKNP,140.04375,19,false
MAIN,132.9,7319632,FSS,RUAM,132.87361,7319632-2,2,SEA,VKNP,139.17291,18,false
MAIN,134.05,9085522,VISA CONT,RUAM,134.0493,9085522-2,2,SEA,SEA1,140.91667,23,false
MAIN,136.95,6828624,CONT-NSS,RUAM,136.94167,6828624-6,6,SEA,VKNP,144.32222,16,false
MAIN,137.15,8221545,CONT-SS,RUAM,137.12674,8221545-2,2,SEA,VKNP,146.58403,18,false
MAIN,137.15,8902400,CONT-NSS,RUAM,137.12917,8902400-5,5,SEA,VKNP,144.85973,14,false
MAIN,137.75,7315571,FSS,RUAM,137.71666,7315571-5,5,SEA,VKNP,144.02292,18,false
MAIN,139.2,7325253,FSS,RUAM,139.18611,7325253-4,4,SEA,VKNP,145.47292,18,false
MAIN,139.6,9015204,CONT-SS,RRRK,139.58333,9015204-2,2,SEA,VKNP,147.4993,17,false
MAIN,140.9,7302897,FSS,RUAM,140.87361,7302897-5,5,SEA,VKNP,147.17291,18,false
MAIN,140.9,7236153,FSS,RUAM,140.87361,7236153-5,5,SEA,VKNP,147.17291,18,false
MAIN,142.4,7226897,FSS,RUAM,142.37083,7226897-2,2,SEA,VKNP,148.67291,18,false
MAIN,143.3,7233278,CONT-NSS,RUAM,143.25,7233278-4,4,SEA,VKNP,151.00972,18,false
MAIN,144.35,7223508,FSS,RUAM,144.32083,7223508-2,2,SEA,VKNP,150.62291,18,false
MAIN,147.6,7218462,CONT-NSS,RUAM,147.5618,7218462-5,5,SEA,VKNP,155.30972,18,false
MAIN,148.9,7026259,CONT-NSS,RUAM,148.89098,7026259-5,5,SEA,VKNP,156.97917,16,false
MAIN,149.35,7304792,BARGE(T-AKB),RRRK,149.33333,7304792-5,5,SEA,VKNP,158.04375,20,false
MAIN,150.9,7303205,FSS,RUAM,150.87361,7303205-2,2,SEA,VKNP,157.17291,18,false
MAIN,154.9,7319632,FSS,RUAM,154.87361,7319632-3,3,SEA,VKNP,161.17291,18,false
MAIN,155.75,7315571,FSS,RUAM,155.71666,7315571-6,6,SEA,VKNP,162.02292,18,false
MAIN,158.05,9085522,VISA CONT,RUAM,158.0493,9085522-3,3,SEA,SEA1,164.91667,23,false
MAIN,158.55,7224904,CONT-NSS,FQZF,158.51666,7224904-4,4,SEA,VKNP,166.64583,19,false
MAIN,159.35,7320411,BARGE(T-AKB),RRRK,159.33333,7320411-6,6,SEA,VKNP,168.04375,19,false
MAIN,159.95,6828624,CONT-NSS,RUAM,159.94167,6828624-7,7,SEA,VKNP,167.32222,16,false
MAIN,161.5,7002071,CONT-NSS,RUAM,161.46458,7002071-2,2,SEA,VKNP,168.87222,17,false
MAIN,161.9,7302897,FSS,RUAM,161.87361,7302897-6,6,SEA,VKNP,168.17291,18,false
MAIN,161.9,7236153,FSS,RUAM,161.87361,7236153-6,6,SEA,VKNP,168.17291,18,false
MAIN,161.95,7226897,FSS,RUAM,161.92084,7226897-3,3,SEA,VKNP,168.22292,18,false
MAIN,162.95,7223508,FSS,RUAM,162.92084,7223508-3,3,SEA,VKNP,169.22292,18,false
MAIN,163.9,6913259,CONT-NSS,RUAM,163.89305,6913259-2,2,SEA,VKNP,171.27222,17,false
MAIN,164,7224306,CONT-NSS,RUAM,163.95833,7224306-6,6,SEA,VKNP,171.37222,15,false
MAIN,165.1,6905252,CONT-NSS,RUAM,165.06805,6905252-4,4,SEA,VKNP,172.80972,16,false
MAIN,166.5,1811111,CONT-NSS,RUAM,166.47708,1811111-5,5,SEA,VKNP,173.87222,15,false
MAIN,167.25,7233278,CONT-NSS,RUAM,167.22327,7233278-5,5,SEA,VKNP,174.95972,17,false
MAIN,168.15,8221545,CONT-SS,RUAM,168.12674,8221545-3,3,SEA,VKNP,177.58403,18,false
MAIN,168.2,6708379,CONT-NSS,RUAM,168.17986,6708379-4,4,SEA,VKNP,175.90938,16,false
MAIN,170.6,7218462,CONT-NSS,RUAM,170.5618,7218462-6,6,SEA,VKNP,178.30972,18,false
MAIN,171.05,9074391,VISA CONT,RUAM,171.0493,9074391-2,2,SEA,SEA1,177.91667,23,false
MAIN,172.9,7303205,FSS,RUAM,172.87361,7303205-3,3,SEA,VKNP,179.17291,18,false
MAIN,177.55,6820579,CONT-NSS,FQZF,177.53055,6820579-3,3,SEA,VKNP,185.64583,16,false
MAIN,179.6,9015204,CONT-SS,RRRK,179.58333,9015204-3,3,SEA,VKNP,187.4993,17,false
