Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,50.5,C17-DKFX006,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,50.45516,C17-DKFX006-D0049R0003S01,AIR,BPWZ,50.62739,0.5520833,REST,0,0,0,,false,0
MAIN,50.5,B747-400-XDAT011,B-747P,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,50.493397,B747-400-XDAT011-D0048R0002S01,AIR,TYFR,50.60995,0.29947913,WORK,0,0,0,,false,0
MAIN,50.6,KC10-XDAT006,KC-10,MQNA,RAMP1,50.57261,KC10-XDAT006-D0047R0006S01,AIR,PTFL,50.81305,0.28561538,WORK,0,0,0,,false,0
MAIN,50.6,C17-DKFX003,C-17,MQNA,RAMP1,50.577095,C17-DKFX003-D0047R0007S01,AIR,DKFX,50.87455,0.5520833,REST,0,0,0,,false,0
MAIN,50.65,B747-400-XDAT006,B-747P,TYFR,RAMP1,50.60995,B747-400-XDAT006-D0047R0008S01,AIR,XDAT,51.094036,0.5520833,REST,0,0,0,,false,0
MAIN,50.65,C17-DKFX007,C-17,DKFX,CHARLESTON AFB-IN -DKFX-JAP-PARKING,50.625,C17-DKFX007-D0050R0003S01,AIR,BPWZ,50.797234,0.5520833,REST,0,0,0,,false,0
MAIN,50.65,C17-PQWY002,C-17,PQWY,MCCHORD AFB -PQWY-MAP-PARKING,50.625,C17-PQWY002-D0050R0003S01,AIR,FJXT,50.840946,0.5520833,REST,0,0,0,,false,0
MAIN,50.65,KC10-XDAT013,KC-10,MQNA,RAMP1,50.63511,KC10-XDAT013-D0048R0001S01,AIR,PTFL,50.87555,0.28561538,WORK,0,0,0,,false,0
MAIN,50.7,C17-PQWY004,C-17,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,50.65103,C17-PQWY004-D0035R0002S04,AIR,PQWY,50.89857,0.5520833,REST,0,0,0,,false,0
MAIN,50.7,KC10-XDAT014,KC-10,MQNA,RAMP1,50.66538,KC10-XDAT014-D0048R0001S01,AIR,PTFL,50.90582,0.28561538,WORK,0,0,0,,false,0
MAIN,50.7,C17-XDAT002,C-17,HNTK,GABES -HNTK-APT-parking,50.67486,C17-XDAT002-D0048R0004S01,AIR,MQNA,50.892975,0.5520833,REST,0,0,0,,false,0
MAIN,50.7,B747-400-XDAT009,B-747P,LEXG,HUNTER AAF -LEXG-MAP-PARKING,50.684887,B747-400-XDAT009-D0049R0006S01,AIR,CWKW,51.164406,0.5520833,REST,0,0,0,,false,0
MAIN,50.75,C17-DKFX006,C-17,BPWZ,BIGGS AAF -BPWZ-MAP-PARKING,50.72114,C17-DKFX006-D0049R0003S01,AIR,YWHG,50.82709,0.28609955,WORK,0,0,0,,false,0
MAIN,50.75,B747-400-XDAT012,B-747P,TYFR,RAMP1,50.74744,B747-400-XDAT012-D0048R0001S01,AIR,XDAT,51.231525,0.5520833,REST,0,0,0,,false,0
MAIN,50.8,B747-400-XDAT008,B-747P,UHGN,ROBERT GRAY AAF -UHGN-MAP-PARKING,50.758595,B747-400-XDAT008-D0049R0007S01,AIR,FUQN,51.21394,0.5520833,REST,0.30615997,0,0,,false,0
MAIN,50.8,CH47-SEA1002,CH47,BQWK,UNKNOWN,50.77992,CH47-SEA1002-D0050R0004S01,AIR,SEA1,50.80118,0,WORK,0,0,0,,false,0
MAIN,50.85,B747-400-XDAT010,B-747P,LEXG,HUNTER AAF -LEXG-MAP-PARKING,50.814186,B747-400-XDAT010-D0050R0004S01,AIR,CWKW,51.293705,0.5520833,REST,0,0,0,,false,0
MAIN,50.85,KC10-XDAT008,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,50.835186,KC10-XDAT008-D0050R0007S01,AIR,MQNA,51.052322,0.5520833,REST,0,0,0,,false,0
