Model,FedTime,NumPlanesWaitingToOffload,NumPlanesOffloaded,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,-89.83528137207031,38.5452766418457,VDYD,SCOTT AFB MIDAMER,1
MAIN,-2,0,0,58.28444290161133,23.593055725097656,VGHV,MUSCAT INTL,1
MAIN,-2,0,0,-77.96055603027344,35.33944320678711,VKAG,SEYMOUR JOHNSON A,1
MAIN,-2,0,0,-80.4705581665039,33.9727783203125,VLSB,SHAW AFB,1
MAIN,-2,0,0,14.922222137451172,37.401668548583984,VRJT,SIGONELLA,1
MAIN,-2,0,0,103.9094467163086,1.3605555295944214,VSMR,PAYA LEBAR,1
MAIN,-2,0,0,5.276111125946045,52.12722396850586,VWLB,SOESTERBERG,1
MAIN,-2,0,0,6.698611259460449,49.97666549682617,VYHK,SPANGDAHLEM AB,1
MAIN,-2,0,0,-85.73638916015625,38.17416763305664,WEAS,LOUISVILLE INTL S,1
MAIN,-2,0,0,8.122221946716309,35.43166732788086,WSVC,CHEIKH LARBI TEBE,1
MAIN,-2,0,0,-97.38666534423828,35.41472244262695,WWYK,TINKER AFB,1
MAIN,-2,0,0,-3.445833444595337,40.496665954589844,XBGX,TORREJON,1
MAIN,-2,0,0,-121.92416381835938,38.26444625854492,XDAT,TRAVIS AFB,1
MAIN,-2,0,0,-85.57555389404297,30.06944465637207,XLWU,TYNDALL AFB,1
MAIN,-2,0,0,-1.2491666078567505,51.936668395996094,XQDT,UPPER HEYFORD,1
MAIN,-2,0,0,-120.58444213867188,34.737220764160156,XUMU,VANDENBERG AFB,1
MAIN,-2,0,0,-90.2530517578125,43.93916702270508,YAQF,VOLK FLD,1
MAIN,-2,0,0,-72.53472137451172,42.19388961791992,YTPM,WESTOVER ARB METR,1
MAIN,-2,0,0,-93.54777526855469,38.73027801513672,YWHG,WHITEMAN AFB,1
MAIN,-2,0,0,-75.14805603027344,40.19972229003906,ZAWN,WILLOW GROVE NAS,1
MAIN,-2,0,0,1.4055556058883667,52.0897216796875,ZFKN,WOODBRIDGE,1
MAIN,-2,0,0,-84.04833221435547,39.82611083984375,ZHTV,WRIGHT PATTERSON,1
MAIN,-2,0,0,-83.3941650390625,44.45166778564453,ZJXD,OSCODA WURTSMITH,1
MAIN,-2,0,0,139.34861755371094,35.74861145019531,ZNRE,YOKOTA AB,1
MAIN,-2,0,0,-114.6050033569336,32.65638732910156,ZRCE,YUMA INTL,1
