Model,FedTime,NumPlanesWaitingToOffload,NumPlanesOffloaded,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,-0.21138888597488403,52.372501373291016,AEDY,ALCONBURY,1
MAIN,-2,0,0,-99.26805877685547,34.66638946533203,AGGN,ALTUS AFB,1
MAIN,-2,0,0,144.92999267578125,13.58388900756836,AJJY,ANDERSEN AFB,1
MAIN,-2,0,0,-76.86666870117188,38.81083297729492,AJXF,JOINT BASE ANDREW,1
MAIN,-2,0,0,-84.42778015136719,33.63666534423828,AQLM,HARTSFIELD JACKSO,1
MAIN,-2,0,0,12.596388816833496,46.03111267089844,ASHE,AVIANO AB,1
MAIN,-2,0,0,50.63694381713867,26.268054962158203,ATXK,BAHRAIN INTL,1
MAIN,-2,0,0,-158.07028198242188,21.307222366333008,AVXV,KALAELOA,1
MAIN,-2,0,0,-93.6624984741211,32.50194549560547,AWUB,BARKSDALE AFB,1
MAIN,-2,0,0,-121.4366683959961,39.136112213134766,BAEY,BEALE AFB,1
MAIN,-2,0,0,-80.72305297851562,32.477500915527344,BBJM,BEAUFORT MCAS,1
MAIN,-2,0,0,-97.66999816894531,30.19444465637207,BJHZ,AUSTIN BERGSTROM,1
MAIN,-2,0,0,-106.37999725341797,31.849445343017578,BPWZ,BIGGS AAF,1
MAIN,-2,0,0,8.075277328491211,34.752498626708984,BQWK,BIR EL ATER,1
MAIN,-2,0,0,-86.7522201538086,33.56388854980469,BRKR,BIRMINGHAM SHUTTL,1
MAIN,-2,0,0,-89.94388580322266,35.96444320678711,BWKR,ARKANSAS INTL,1
MAIN,-2,0,0,-77.01611328125,38.842777252197266,BXUR,BOLLING AFB HELI,1
MAIN,-2,0,0,-86.1522216796875,40.64805603027344,CTGC,GRISSOM ARB,1
MAIN,-2,0,0,30.915555953979492,30.11638832092285,CWKW,CAIRO WEST,1
MAIN,-2,0,0,-87.49610900878906,36.668609619140625,CYWF,CAMPBELL AAF,1
MAIN,-2,0,0,-103.32250213623047,34.38249969482422,CZQZ,CANNON AFB,1
MAIN,-2,0,0,-97.44166564941406,32.7691650390625,DDPF,FORT WORTH NAS JR,1
MAIN,-2,0,0,-120.5683364868164,37.38055419921875,DESR,CASTLE,1
MAIN,-2,0,0,-80.04055786132812,32.89861297607422,DKFX,JB CHARLESTON,1
MAIN,-2,0,0,-76.8808364868164,34.90083312988281,DNNL,CHERRY POINT MCAS,1
MAIN,-2,0,0,-87.90611267089844,41.97805404663086,DPNB,OHARE,1
MAIN,-2,0,0,120.5602798461914,15.186111450195312,DVLK,DIOSDADO MACAPAGA,1
MAIN,-2,0,0,-81.8550033569336,41.40944290161133,DYCS,CLEVELAND HOPKINS,1
MAIN,-2,0,0,-117.38333129882812,33.31666564941406,ETZB,CP PENDLETON,1
