Model,FedTime,PackageID,CargoID,PlatformType,RlnId,Amount,CCC,CargoAld,CargoEad,CargoLad,CargoRdd,CargoRld,Origin,Dest,DepOrdDay,Hot,Level4Item,NonLevel4RORO,Status
MAIN,130.55,MULTI4_0,1:0001125.JDB,PALLET,1:0001125,0.39999961853027344,JDB,128,130,130,130,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI4_0,1:0001125.JDB,PALLET,1:0001125,0.12371063232421875,JDB,128,130,130,130,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI4_0,1:0001128.JDB,PALLET,1:0001128,0.20000076293945312,JDB,128,130,130,130,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI4_0,1:0001004.JDB,PALLET,1:0001004,0.20000076293945312,JDB,128,130,130,130,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI2_1,1:0001004.JDB,PALLET,1:0001004,0.7999992370605469,JDB,128,120,135,135,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI2_1,1:0001019.JDB,PALLET,1:0001019,0.20000076293945312,JDB,128,120,135,135,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI2_2,1:0001019.JDB,PALLET,1:0001019,0.7999992370605469,JDB,129,121,136,136,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,130.55,MULTI2_2,1:0001031.JDB,PALLET,1:0001031,0.20000076293945312,JDB,129,121,136,136,130,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI4_3,1:0001124.JDB,PALLET,1:0001124,0.39999961853027344,JDB,131,130,130,130,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI4_3,1:0001124.JDB,PALLET,1:0001124,0.12371063232421875,JDB,131,130,130,130,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI4_3,1:0001127.JDB,PALLET,1:0001127,0.20000076293945312,JDB,131,130,130,130,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI4_3,1:0001127.JDB,PALLET,1:0001127,0.2762889862060547,JDB,131,130,130,130,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI3_4,1:0001127.JDB,PALLET,1:0001127,0.4474220275878906,JDB,131,130,131,131,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI3_4,1:0001041.JDB,PALLET,1:0001041,0.20000076293945312,JDB,131,130,131,131,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,132.1,MULTI3_4,1:0001041.JDB,PALLET,1:0001041,0.35257720947265625,JDB,131,130,131,131,132,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,135.45,MULTI2_1,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,135.45,MULTI2_2,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,136.05,MULTI4_0,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,137.55,MULTI4_3,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,137.55,MULTI3_4,,UNKNOWN,,0.0,,0,0,0,0,0,,,0,false,false,false,DECONSOLIDATING
MAIN,150.05,MULTI3_5,1:0001345.JDB,PALLET,1:0001345,0.39999961853027344,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI3_5,1:0001345.JDB,PALLET,1:0001345,0.28021240234375,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI3_5,1:0001253.JDB,PALLET,1:0001253,0.31978797912597656,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI4_6,1:0001253.JDB,PALLET,1:0001253,0.4802112579345703,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI4_6,1:0001253.JDB,PALLET,1:0001253,0.20000076293945312,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI4_6,1:0001258.JDB,PALLET,1:0001258,0.20000076293945312,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.05,MULTI4_6,1:0001258.JDB,PALLET,1:0001258,0.11978721618652344,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI3_7,1:0001344.JDB,PALLET,1:0001344,0.39999961853027344,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI3_7,1:0001344.JDB,PALLET,1:0001344,0.28021240234375,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI3_7,1:0001252.JDB,PALLET,1:0001252,0.31978797912597656,JDB,148,148,148,148,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI4_8,1:0001252.JDB,PALLET,1:0001252,0.4802112579345703,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
MAIN,150.1,MULTI4_8,1:0001252.JDB,PALLET,1:0001252,0.20000076293945312,JDB,148,140,155,155,150,FJXT,BQWK,0,false,false,false,CONSOLIDATING
