Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,151.65,151.62721,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,151.41702,HOME,XDAT,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,152.25221,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,151.95,151.91165,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,151.37013,ENROUTE,TYFR,AIR,C-5A,C5A-XDAT001,STRATEGIC,"","",false,false,C5A-XDAT001-D0148R0006S01,152.04707,false,false,false,31.9125,0.010561347,0.13542175,0.13541667,0,0,0,,"","",0
MAIN,152.1,152.05232,ENROUTE,MQNA,RAMP1,151.83519,LOAD,FJXT,AIR,KC-10,KC10-XDAT033,STRATEGIC,"","",false,false,KC10-XDAT033-D0151R0008S01,152.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,152.1,152.05232,ENROUTE,MQNA,RAMP1,151.83519,LOAD,FJXT,AIR,KC-10,KC10-XDAT009,STRATEGIC,"","",false,false,KC10-XDAT009-D0151R0008S01,152.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,152.1,152.05232,ENROUTE,MQNA,RAMP1,151.83519,LOAD,FJXT,AIR,KC-10,KC10-XDAT011,STRATEGIC,"","",false,false,KC10-XDAT011-D0151R0008S01,152.11482,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,152.25,152.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,152,HOME,XDAT,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,152.83519,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,152.3,152.29451,UNLOAD,HNTK,GABES -HNTK-APT-parking,152.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT033,STRATEGIC,"","",false,false,KC10-XDAT033-D0151R0008S01,152.91951,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,152.3,152.29451,UNLOAD,HNTK,GABES -HNTK-APT-parking,152.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT009,STRATEGIC,"","",false,false,KC10-XDAT009-D0151R0008S01,152.91951,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,152.3,152.29451,UNLOAD,HNTK,GABES -HNTK-APT-parking,152.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT011,STRATEGIC,"","",false,false,KC10-XDAT011-D0151R0008S01,152.91951,false,false,false,84.675,0.09276074,0.625,0.125,0,0.5,0,,"","",0
MAIN,152.45,152.40685,ENROUTE,MQNA,RAMP1,152.18971,LOAD,FJXT,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0151R0005S01,152.46935,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
