Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT39_1,1,0,108,88,60,354,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT40_1,1,0,108,88,60,468,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT41_1,1,0,108,88,60,810,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT42_1,1,0,108,88,60,354,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT43_1,1,0,108,88,60,924,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT44_1,1,0,108,88,60,810,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT45_1,1,0,108,88,60,240,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT46_1,1,0,108,88,60,924,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT47_1,1,0,108,88,60,126,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT48_1,1,0,108,88,60,240,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT49_1,1,0,108,88,60,1038,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000010.PLT50_1,1,0,108,88,60,126,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000011.PLT1_1,1,0,108,88,60,1152,15,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000011.PLT2_1,1,0,108,88,60,1038,109,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000011.PLT3_1,1,0,108,88,60,12,14,false,AFT/CENTER/LOWER,2,
MAIN,26.65,KC10-XDAT034-D0025R0001S01,1:0000011.PLT4_1,1,0,108,88,60,1152,109,false,AFT/CENTER/LOWER,2,
