Model,FedTime,AssetID,AmountAvailable,AmountAvailableAddSea,AmountPlanned,AmountCommited,AmountCancelled
MAIN,0.05,7208297,0.0,0.0,4558.199931457639,4495.799932196736,0.0
MAIN,3.05,5432112,218.0,63.99999809265137,214.6999969482422,214.6999969482422,0.0
MAIN,4.05,5432112,0.0,67.30000114440918,0.0,0.0,0.0
MAIN,4.05,7717171,162.90000915527344,10990.800109863281,909.6000277996063,0.0,0.0
MAIN,5.05,5432112,0.0,67.30000114440918,0.0,0.0,0.0
MAIN,5.05,7717171,162.90000915527344,10990.800109863281,909.6000277996063,0.0,0.0
MAIN,5.05,9137349,1853.0,6783.300018310547,30.299999237060547,0.0,0.0
MAIN,6.05,5432112,0.0,67.30000114440918,0.0,0.0,0.0
MAIN,6.05,7208297,0.0,0.0,0.0,62.399999260902405,0.0
MAIN,6.05,7717171,162.90000915527344,18650.40008544922,909.6000277996063,0.0,0.0
MAIN,6.05,9137349,1163.5,7659.5999755859375,30.5,0.0,0.0
MAIN,7.05,5432112,0.0,67.30000114440918,0.0,0.0,0.0
MAIN,7.05,7717171,162.90000915527344,18650.40008544922,909.6000277996063,0.0,0.0
MAIN,7.05,9137349,1163.5,7659.5999755859375,30.5,0.0,0.0
MAIN,8.05,5432112,0.0,67.30000114440918,0.0,0.0,0.0
MAIN,8.05,7717171,162.90000915527344,18650.40008544922,909.6000277996063,0.0,0.0
MAIN,8.05,9137349,1163.5,7659.5999755859375,30.5,0.0,0.0
MAIN,9.05,0429011,5286.900009155273,235817.91789245605,5434.58022403717,5434.58022403717,0.0
MAIN,9.05,1000059,15724.099990844727,0.0,0.0,0.0,0.0
MAIN,9.05,5170185,3982.7000122070312,51098.299746751785,712.1362915039062,712.1362915039062,0.0
MAIN,9.05,5386605,3982.7000122070312,51098.299746751785,767.3187599256635,767.3187599256635,0.0
MAIN,9.05,5432112,0.0,131.29999923706055,0.0,0.0,0.0
MAIN,9.05,6421347,16884.30047607422,6415.900390625,415.0172805786133,0.0,0.0
MAIN,9.05,6507921,16884.30047607422,0.0,0.0,0.0,0.0
MAIN,9.05,6510899,428.3000030517578,63.99999809265137,67.29999899864197,67.29999899864197,0.0
MAIN,9.05,6801664,30848.401153564453,0.0,0.0,0.0,0.0
MAIN,9.05,6817845,900.0,0.0,50.0,50.0,0.0
MAIN,9.05,6913429,9499.400009155273,-1.2159347534179688E-5,0.4000000059604645,0.0,0.0
MAIN,9.05,6916433,750.0,0.0,375.0,375.0,0.0
MAIN,9.05,7027576,8558.699996948242,387930.21809387207,6123.567617416382,6123.567617416382,0.0
MAIN,9.05,7034335,8937.0,387930.21809387207,1509.9626140594482,0.0,0.0
MAIN,9.05,7050248,6417.100006103516,490.1999969482422,767.6000092029572,767.6000092029572,0.0
MAIN,9.05,7216854,25779.10041809082,37.200103759765625,1528.800048828125,0.0,0.0
MAIN,9.05,7227205,23303.500381469727,0.0,0.0,0.0,0.0
MAIN,9.05,7229423,36135.30116271973,0.0,6378.700286865234,6378.700286865234,0.0
MAIN,9.05,7234430,16887.599990844727,4851.799896240234,9639.7998046875,9639.7998046875,0.0
MAIN,9.05,7236153,5032.400009155273,23508.300048828125,6073.780685424805,6073.780685424805,0.0
MAIN,9.05,7302897,3179.4000091552734,40780.10011291504,5914.9185218811035,5914.9185218811035,0.0
MAIN,9.05,7304792,8553.200012207031,4134.4999878406525,528.8464562892914,0.0,0.0
MAIN,9.05,7315571,162.90000915527344,64579.199798583984,6485.232260942459,6485.232260942459,0.0
MAIN,9.05,7320411,5715.200012207031,1053239.7951812744,1378.5913944244385,0.0,0.0
MAIN,9.05,7324390,9499.400009155273,-1.2159347534179688E-5,940.3000183105469,0.0,0.0
MAIN,9.05,7325253,1326.4000091552734,2313.800033569336,3247.46784555912,3247.46784555912,0.0
MAIN,9.05,7390117,34119.40115356445,0.0,0.0,0.0,0.0
MAIN,9.05,7602247,12036.700088500977,17114.69955444336,2563.428665161133,2563.428665161133,0.0
MAIN,9.05,7602259,11794.800094604492,4850.89990234375,4539.1009521484375,4539.1009521484375,0.0
MAIN,9.05,7603497,8124.900009155273,2838.0,4542.89909362793,0.0,0.0
MAIN,9.05,7704930,11794.800094604492,197977.81201171875,5985.1689529418945,0.0,0.0
MAIN,9.05,7717171,7614.400009155273,1461.800048828125,17.40000057220459,0.0,0.0
MAIN,9.05,7825409,22140.000381469727,0.0,0.0,0.0,0.0
MAIN,9.05,7825423,22140.000381469727,0.0,0.0,0.0,0.0
MAIN,9.05,7909968,6673.699996948242,1461.800048828125,1575.300048828125,1575.300048828125,0.0
MAIN,9.05,8211291,29719.400772094727,6415.900390625,12416.783294677734,12416.783294677734,0.0
MAIN,9.05,8211306,18452.600479125977,1572.1001281738281,6378.700286865234,6378.700286865234,0.0
MAIN,9.05,8450665,29676.20118713379,0.0,0.0,0.0,0.0
MAIN,9.05,8450677,30848.401153564453,0.0,0.0,0.0,0.0
MAIN,9.05,9137349,12831.80078125,0.0,0.0,0.0,0.0
MAIN,10.05,1000059,2838.0,0.0,0.0,0.0,0.0
MAIN,10.05,5170185,0.0,784792.375903368,0.0,0.0,0.0
MAIN,10.05,5386605,0.0,778779.9302856922,0.0,0.0,0.0
MAIN,10.05,5432112,0.0,0.0,0.0,0.0,0.0
MAIN,10.05,6421347,2845.9000062942505,0.0,0.0,0.0,0.0
MAIN,10.05,6507921,2845.9000062942505,0.0,0.0,0.0,0.0
MAIN,10.05,6510899,0.0,73.69999694824219,73.69999694824219,73.69999694824219,0.0
MAIN,10.05,6801664,11741.1005859375,0.0,0.0,0.0,0.0
MAIN,10.05,6913429,3836.0000734329224,-1.2159347534179688E-5,0.4000000059604645,0.0,0.0
MAIN,10.05,6916433,0.0,375.0,375.0,375.0,0.0
MAIN,10.05,7027576,0.0,175490.64555740356,0.0,0.0,0.0
MAIN,10.05,7034335,2895.300000190735,107699.6597995758,1396.1098670959473,1396.1098670959473,0.0
MAIN,10.05,7216854,6265.9002685546875,0.0,2476.300094604492,0.0,0.0
MAIN,10.05,7227205,2838.0,0.0,0.0,0.0,0.0
MAIN,10.05,7229423,0.0,115231.99155044556,3649.0216064453125,3649.0216064453125,0.0
MAIN,10.05,7234430,0.0,568834.3960771561,1160.8913879394531,1160.8913879394531,0.0
MAIN,10.05,7236153,0.0,370500.6115722656,0.0,0.0,0.0
MAIN,10.05,7302897,0.0,8475.291259765625,0.0,0.0,0.0
MAIN,10.05,7304792,2845.9000062942505,3174.4456055164337,528.8464562892914,528.8464562892914,0.0
MAIN,10.05,7320411,7.900006294250488,498404.9701747894,248.70000648498535,248.70000648498535,0.0
MAIN,10.05,7324390,3778.7000732421875,-1.2159347534179688E-5,940.3000183105469,0.0,0.0
MAIN,10.05,7390117,11741.1005859375,0.0,6378.700286865234,0.0,0.0
MAIN,10.05,7602247,0.0,561008.9043102264,0.0,0.0,0.0
MAIN,10.05,7603497,2838.0,1877.945556640625,4542.89909362793,4542.89909362793,0.0
MAIN,10.05,7704930,2895.300000190735,0.0,0.0,0.0,0.0
MAIN,10.05,7717171,3873.200177192688,1534.9000244140625,43.30000066757202,0.0,0.0
MAIN,10.05,7825409,2838.0,0.0,0.0,0.0,0.0
MAIN,10.05,7825423,2838.0,0.0,0.0,0.0,0.0
MAIN,10.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,10.05,8211306,0.0,3107.0001525878906,1528.800048828125,1528.800048828125,0.0
MAIN,10.05,8450665,11741.1005859375,0.0,0.0,0.0,0.0
MAIN,10.05,8450677,11741.1005859375,0.0,0.0,0.0,0.0
MAIN,10.05,9137349,9631.7177734375,37.200103759765625,192.89999389648438,192.89999389648438,0.0
MAIN,11.05,5170185,0.0,123231.70959472656,0.0,0.0,0.0
MAIN,11.05,5386605,0.0,122291.00952148438,0.0,0.0,0.0
MAIN,11.05,6801664,8903.1005859375,0.0,0.0,0.0,0.0
MAIN,11.05,6913429,940.7000732421875,0.0,0.4000000059604645,0.0,0.0
MAIN,11.05,7027576,0.0,246232.8193359375,0.0,0.0,0.0
MAIN,11.05,7034335,0.0,226335.2177734375,0.0,0.0,0.0
MAIN,11.05,7216854,3427.9002685546875,0.0,2476.300094604492,2476.300094604492,0.0
MAIN,11.05,7229423,0.0,67154.4052734375,0.0,0.0,0.0
MAIN,11.05,7234430,0.0,513272.03125,0.0,0.0,0.0
MAIN,11.05,7236153,0.0,62086.204833984375,0.0,0.0,0.0
MAIN,11.05,7302897,0.0,1881.400146484375,0.0,0.0,0.0
MAIN,11.05,7304792,0.0,940.7000732421875,0.0,0.0,0.0
MAIN,11.05,7320411,0.0,461944.828125,0.0,0.0,0.0
MAIN,11.05,7324390,940.7000732421875,0.0,940.3000183105469,0.0,0.0
MAIN,11.05,7390117,8903.1005859375,0.0,6378.700286865234,0.0,0.0
MAIN,11.05,7602247,0.0,51327.203125,0.0,0.0,0.0
MAIN,11.05,7717171,3427.9002685546875,0.0,10.899999618530273,0.0,0.0
MAIN,11.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,11.05,8211306,0.0,346.400634765625,0.0,0.0,0.0
MAIN,11.05,8450665,8903.1005859375,0.0,0.0,0.0,0.0
MAIN,11.05,8450677,8903.1005859375,0.0,0.0,0.0,0.0
MAIN,11.05,9137349,0.0,222.11749267578125,0.0,0.0,0.0
MAIN,12.05,1000059,6415.900390625,0.0,0.0,0.0,0.0
MAIN,12.05,5170185,0.0,123231.70959472656,0.0,0.0,0.0
MAIN,12.05,5386605,0.0,122291.00952148438,0.0,0.0,0.0
MAIN,12.05,6421347,6415.900390625,0.0,0.0,0.0,0.0
MAIN,12.05,6507921,6415.900390625,0.0,0.0,0.0,0.0
MAIN,12.05,6801664,12831.80078125,0.0,0.0,0.0,0.0
MAIN,12.05,6913429,940.7000732421875,0.0,0.4000000059604645,0.0,0.0
MAIN,12.05,7027576,0.0,1033744.7701416016,0.0,0.0,0.0
MAIN,12.05,7034335,0.0,982330.3662109375,10.899999618530273,10.899999618530273,0.0
MAIN,12.05,7216854,0.0,179645.2109375,0.0,0.0,0.0
MAIN,12.05,7227205,6415.900390625,0.0,0.0,0.0,0.0
MAIN,12.05,7229423,0.0,173229.310546875,0.0,0.0,0.0
MAIN,12.05,7234430,0.0,513272.03125,0.0,0.0,0.0
MAIN,12.05,7236153,0.0,62086.204833984375,0.0,0.0,0.0
MAIN,12.05,7302897,0.0,1881.400146484375,0.0,0.0,0.0
MAIN,12.05,7304792,0.0,940.7000732421875,0.0,0.0,0.0
MAIN,12.05,7320411,0.0,461944.828125,0.0,0.0,0.0
MAIN,12.05,7324390,940.7000732421875,0.0,940.3000183105469,0.0,0.0
MAIN,12.05,7390117,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,12.05,7602247,0.0,51327.203125,0.0,0.0,0.0
MAIN,12.05,7704930,6415.900390625,52006.49884033203,7210.799944639206,0.0,0.0
MAIN,12.05,7717171,7356.6004638671875,0.0,37.20000076293945,0.0,0.0
MAIN,12.05,7825409,6415.900390625,0.0,0.0,0.0,0.0
MAIN,12.05,7825423,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,12.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,12.05,8211306,0.0,346.400634765625,0.0,0.0,0.0
MAIN,12.05,8450665,12831.80078125,0.0,0.0,0.0,0.0
MAIN,12.05,8450677,12831.80078125,0.0,0.0,0.0,0.0
MAIN,12.05,9137349,0.0,222.11749267578125,0.0,0.0,0.0
MAIN,13.05,1000059,6415.900390625,0.0,0.0,0.0,0.0
MAIN,13.05,5170185,0.0,123231.70959472656,0.0,0.0,0.0
MAIN,13.05,5386605,0.0,122291.00952148438,0.0,0.0,0.0
MAIN,13.05,6421347,6415.900390625,0.0,0.0,0.0,0.0
MAIN,13.05,6507921,6415.900390625,0.0,0.0,0.0,0.0
MAIN,13.05,6801664,14049.300842285156,5715.099868774414,5851.049942016602,0.0,0.0
MAIN,13.05,6913429,7356.6004638671875,0.0,37.20000076293945,0.0,0.0
MAIN,13.05,7027576,0.0,1032959.962890625,0.0,0.0,0.0
MAIN,13.05,7034335,0.0,981632.759765625,0.0,0.0,0.0
MAIN,13.05,7216854,0.0,179645.2109375,0.0,0.0,0.0
MAIN,13.05,7227205,6415.900390625,0.0,0.0,0.0,0.0
MAIN,13.05,7229423,0.0,173229.310546875,0.0,0.0,0.0
MAIN,13.05,7234430,0.0,513272.03125,0.0,0.0,0.0
MAIN,13.05,7236153,0.0,62086.204833984375,0.0,0.0,0.0
MAIN,13.05,7302897,0.0,1881.400146484375,0.0,0.0,0.0
MAIN,13.05,7304792,0.0,940.7000732421875,0.0,0.0,0.0
MAIN,13.05,7320411,0.0,461944.828125,0.0,0.0,0.0
MAIN,13.05,7324390,940.7000732421875,0.0,940.3000183105469,940.3000183105469,0.0
MAIN,13.05,7390117,7356.6004638671875,0.0,6378.700286865234,0.0,0.0
MAIN,13.05,7602247,0.0,51327.203125,0.0,0.0,0.0
MAIN,13.05,7704930,940.7000732421875,4413.499893188477,4413.899993807077,0.0,0.0
MAIN,13.05,7717171,13772.500854492188,57721.598709106445,1346.250004529953,0.0,0.0
MAIN,13.05,7825409,6415.900390625,0.0,0.0,0.0,0.0
MAIN,13.05,7825423,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,13.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,13.05,8211306,0.0,346.400634765625,0.0,0.0,0.0
MAIN,13.05,8450665,14049.300842285156,0.0,0.0,0.0,0.0
MAIN,13.05,8450677,14049.300842285156,0.0,0.0,0.0,0.0
MAIN,13.05,9137349,0.0,222.11749267578125,0.0,0.0,0.0
MAIN,14.05,1000059,6415.900390625,0.0,0.0,0.0,0.0
MAIN,14.05,5170185,0.0,51.607086181640625,0.0,0.0,0.0
MAIN,14.05,5386605,0.0,51.20703125,0.0,0.0,0.0
MAIN,14.05,6421347,6415.900390625,0.0,0.0,0.0,0.0
MAIN,14.05,6507921,6415.900390625,0.0,0.0,0.0,0.0
MAIN,14.05,6801664,17245.300674438477,0.0,4240.5,0.0,0.0
MAIN,14.05,6913429,6415.900390625,0.0,37.20000076293945,0.0,0.0
MAIN,14.05,6916433,0.0,375.0,375.0,375.0,0.0
MAIN,14.05,7027576,0.0,1032959.962890625,0.0,0.0,0.0
MAIN,14.05,7034335,0.0,981632.759765625,0.0,0.0,0.0
MAIN,14.05,7216854,0.0,179645.2109375,0.0,0.0,0.0
MAIN,14.05,7227205,6415.900390625,0.0,0.0,0.0,0.0
MAIN,14.05,7229423,0.0,173229.310546875,0.0,0.0,0.0
MAIN,14.05,7234430,0.0,513272.03125,0.0,0.0,0.0
MAIN,14.05,7236153,0.0,25.603515625,0.4000000059604645,0.4000000059604645,0.0
MAIN,14.05,7320411,0.0,461944.828125,0.0,0.0,0.0
MAIN,14.05,7390117,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,14.05,7602247,0.0,51327.203125,0.0,0.0,0.0
MAIN,14.05,7704930,6415.900390625,52006.49884033203,7210.799944639206,0.0,0.0
MAIN,14.05,7717171,13000.400772094727,4244.89990234375,168.5999937057495,0.0,0.0
MAIN,14.05,7825409,6415.900390625,0.0,0.0,0.0,0.0
MAIN,14.05,7825423,6415.900390625,0.0,6378.700286865234,0.0,0.0
MAIN,14.05,7909968,0.0,17.400009155273438,0.0,0.0,0.0
MAIN,14.05,8211306,0.0,346.400634765625,0.0,0.0,0.0
MAIN,14.05,8450665,17245.300674438477,0.0,0.0,0.0,0.0
MAIN,14.05,8450677,17245.300674438477,0.0,0.0,0.0,0.0
MAIN,14.05,9137349,0.0,222.11749267578125,0.0,0.0,0.0
MAIN,15.05,1000059,6415.900390625,0.0,0.0,0.0,0.0
MAIN,15.05,6421347,6415.900390625,0.0,0.0,0.0,0.0
MAIN,15.05,6507921,6415.900390625,0.0,0.0,0.0,0.0
MAIN,15.05,6801664,17245.300674438477,0.0,4240.5,0.0,0.0
