Model,FedTime,Day,AssetPool,VehType,VehLoadsAvail,VehLoadsAvailReady,VehLoadsPlanned,VehLoadsPlannedReady,VehLoadsScheduled,VehLoadsScheduledReady,VehLoadsCommitted,VehLoadsExecuted
MAIN,5.05,4,seven,M1083 WOWN 5-Ton MTV,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
MAIN,5.05,4,ten,commercial boxcar,7.590909093618393,0.0,7.590909093618393,0.0,0.0,0.0,0.0,0.0
MAIN,5.05,4,ten,commercial medium railcar,11.82075961586088,7.3333331644535065,11.82075961586088,7.3333331644535065,0.0,0.0,0.0,0.0
MAIN,5.05,4,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,3.0000000596046448,2.0000000596046448,3.0000000596046448,2.0000000596046448,2.0000000596046448,2.0000000596046448,0.0,2.0000000596046448
MAIN,5.05,4,twelve,Commercial Bus 45-pax,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.0,0.5333333611488342
MAIN,5.05,4,two,Commercial 10-Ton Tractor/Commercial Semitrailer,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
MAIN,6.05,5,eleven,68FLAT,37.0,30.0,37.0,30.0,2.0,0.0,0.0,2.0
MAIN,6.05,5,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MAIN,6.05,5,eleven,Commercial Bus 45-pax,12.155555427074432,0.0,12.155555427074432,0.0,12.155555427074432,0.0,0.0,12.155555590987206
MAIN,6.05,5,eleven,commercial medium railcar,18.8795831752941,11.82075961586088,18.8795831752941,11.82075961586088,18.8795831752941,11.82075961586088,0.0,11.820759824477136
MAIN,6.05,5,seven,54DODX,11.0,7.0,11.0,7.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,seven,Commercial Bus 45-pax,12.155555427074432,0.0,12.155555427074432,0.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,seven,M1074 PLS,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,seven,M1083 WOWN 5-Ton MTV,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,ten,commercial boxcar,16.090909093618393,7.590909093618393,16.090909093618393,7.590909093618393,0.0,0.0,0.0,0.0
MAIN,6.05,5,ten,commercial medium railcar,18.8795831752941,11.82075961586088,18.8795831752941,11.82075961586088,0.0,0.0,0.0,0.0
MAIN,6.05,5,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,twelve,Commercial Bus 45-pax,12.155555427074432,0.0,12.155555427074432,0.0,0.0,0.0,0.0,0.0
MAIN,6.05,5,two,Commercial 10-Ton Tractor/Commercial Semitrailer,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0
MAIN,6.05,5,two,Commercial Bus 45-pax,0.2666666805744171,0.0,0.2666666805744171,0.0,0.2666666805744171,0.0,0.0,0.0
MAIN,7.05,6,eleven,68FLAT,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
MAIN,7.05,6,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,11.400640733540058,0.0,11.400640733540058,0.0,11.400640733540058,0.0,0.0,11.400641061365604
