Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,67.2,KC10-XDAT026,KC10-XDAT026-D0064R0001S02,PTFL,KC-10,PLACE_HOLDER,67.150444,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,67.2,KC10-XDAT024,KC10-XDAT024-D0064R0001S01,PTFL,KC-10,PLACE_HOLDER,67.16794,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,67.25,KC10-XDAT025,KC10-XDAT025-D0064R0001S02,PTFL,KC-10,PLACE_HOLDER,67.23891,MC GUIRE AFB -PTFL-MAP-PARKING,false,false
MAIN,67.4,KC10-XDAT022,KC10-XDAT022-D0067R0002S01,XDAT,KC-10,PLACE_HOLDER,67.3545,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,67.4,B747-400-XDAT011,B747-400-XDAT011-D0065R0006S01,FUQN,B-747P,PLACE_HOLDER,67.358505,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,67.45,KC10-XDAT023,KC10-XDAT023-D0067R0002S01,XDAT,KC-10,PLACE_HOLDER,67.417,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,67.45,C5A-XDAT001,C5A-XDAT001-D0064R0002S01,TYFR,C-5A,PLACE_HOLDER,67.42415,RAMP1,false,false
MAIN,67.7,B747-400-XDAT013,B747-400-XDAT013-D0067R0006S01,XDAT,B-747P,PLACE_HOLDER,67.68837,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,67.8,KC10-XDAT026,KC10-XDAT026-D0064R0001S02,FJXT,KC-10,PLACE_HOLDER,67.7859,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,67.85,KC10-XDAT012,KC10-XDAT012-D0067R0007S01,FJXT,KC-10,PLACE_HOLDER,67.83518,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,67.85,KC10-XDAT013,KC10-XDAT013-D0067R0006S01,FJXT,KC-10,PLACE_HOLDER,67.83518,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,67.9,KC10-XDAT025,KC10-XDAT025-D0064R0001S02,FJXT,KC-10,PLACE_HOLDER,67.87436,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,67.95,B747-400-XDAT016,B747-400-XDAT016-D0066R0001S01,CWKW,B-747P,PLACE_HOLDER,67.90432,RAMP1,false,false
MAIN,67.95,B747-400-XDAT012,B747-400-XDAT012-D0067R0006S01,LEXG,B-747P,PLACE_HOLDER,67.934326,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,68,B747-400-XDAT014,B747-400-XDAT014-D0065R0003S01,FUQN,B-747P,PLACE_HOLDER,67.983505,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,68.1,KC10-XDAT026,KC10-XDAT026-D0064R0001S02,MQNA,KC-10,PLACE_HOLDER,68.06553,RAMP1,false,false
MAIN,68.1,B747-400-XDAT015,B747-400-XDAT015-D0066R0001S01,CWKW,B-747P,PLACE_HOLDER,68.07237,RAMP1,false,false
MAIN,68.15,B747-400-XDAT011,B747-400-XDAT011-D0065R0006S01,TYFR,B-747P,PLACE_HOLDER,68.10006,RAMP1,false,false
MAIN,68.15,KC10-XDAT012,KC10-XDAT012-D0067R0007S01,MQNA,KC-10,PLACE_HOLDER,68.114815,RAMP1,false,false
MAIN,68.15,KC10-XDAT013,KC10-XDAT013-D0067R0006S01,MQNA,KC-10,PLACE_HOLDER,68.114815,RAMP1,false,false
MAIN,68.2,KC10-XDAT025,KC10-XDAT025-D0064R0001S02,MQNA,KC-10,PLACE_HOLDER,68.15399,RAMP1,false,false
MAIN,68.2,B747-400-XDAT016,B747-400-XDAT016-D0066R0001S01,FUQN,B-747P,PLACE_HOLDER,68.15692,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,68.2,KC10-XDAT022,KC10-XDAT022-D0067R0002S01,FJXT,KC-10,PLACE_HOLDER,68.18968,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,68.3,KC10-XDAT023,KC10-XDAT023-D0067R0002S01,FJXT,KC-10,PLACE_HOLDER,68.25218,DOVER AFB -FJXT-MAP-PARKING,false,false
MAIN,68.35,B747-400-XDAT015,B747-400-XDAT015-D0066R0001S01,FUQN,B-747P,PLACE_HOLDER,68.324974,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,68.6,B747-400-XDAT013,B747-400-XDAT013-D0067R0006S01,LEXG,B-747P,PLACE_HOLDER,68.559326,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,68.65,B747-400-XDAT011,B747-400-XDAT011-D0068R0007S01,XDAT,B-747P,PLACE_HOLDER,68.646645,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,68.75,B747-400-XDAT014,B747-400-XDAT014-D0065R0003S01,TYFR,B-747P,PLACE_HOLDER,68.72506,RAMP1,false,false
