Model,FedTime,Key,PositionUpdateTime,ShipStatus,Longitude,Latitude
MAIN,174.05,7233278,0,AT_SEA_LOADED,4.254565715789795,37.252479553222656
MAIN,174.05,7325253,0,AT_SEA_EMPTY,-89.75535583496094,30.170825958251953
MAIN,174.1,7325253,0,AT_SEA_EMPTY,-89.34400177001953,30.131000518798828
MAIN,174.1,9015204,0,AT_SEA_EMPTY,-30.0,20.0
MAIN,174.1,6820579,0,AT_SEA_EMPTY,-73.9000015258789,20.0
MAIN,174.1,6905252,0,AT_SEA_EMPTY,3.0999999046325684,37.20000076293945
MAIN,174.15,6708379,0,AT_SEA_LOADED,-4.699999809265137,36.0
MAIN,174.15,7802718,0,AT_SEA_EMPTY,-80.0,9.75
MAIN,174.2,1811111,0,AT_SEA_EMPTY,10.766666412353516,34.733333587646484
MAIN,174.25,7802718,0,AT_SEA_EMPTY,-79.66670227050781,9.25
MAIN,174.25,1811111,0,AT_SEA_EMPTY,11.600000381469727,35.0
MAIN,174.3,7325253,0,AT_SEA_EMPTY,-88.80899810791016,29.35300064086914
MAIN,174.3,6708379,0,AT_SEA_LOADED,-2.9000000953674316,35.900001525878906
MAIN,174.3,7233278,0,AT_SEA_LOADED,7.5,37.400001525878906
MAIN,174.5,6905252,0,AT_SEA_EMPTY,-0.6000000238418579,36.20000076293945
MAIN,174.5,7224904,0,AT_SEA_EMPTY,0.0,0.0
MAIN,174.5,6708379,0,AT_SEA_LOADED,-0.6000000238418579,36.20000076293945
MAIN,174.55,1811111,0,AT_SEA_EMPTY,11.0,37.5
MAIN,174.65,7233278,0,AT_SEA_LOADED,11.0,37.5
MAIN,174.7,6905252,0,AT_SEA_EMPTY,-2.9000000953674316,35.900001525878906
MAIN,174.75,7226897,0,AT_SEA_EMPTY,-69.5,40.29999923706055
MAIN,174.85,1811111,0,AT_SEA_EMPTY,7.5,37.400001525878906
MAIN,174.85,6905252,0,AT_SEA_EMPTY,-4.699999809265137,36.0
MAIN,174.85,8221545,0,AT_SEA_LOADED,-9.25,36.79999923706055
MAIN,174.9,6708379,0,AT_SEA_LOADED,3.0999999046325684,37.20000076293945
MAIN,174.95,7233278,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,174.95,6905252,0,AT_SEA_EMPTY,-5.75,35.95000076293945
MAIN,175,9074391,0,AT_SEA_LOADED,-20.0,40.0
MAIN,175,7233278,0,AT_SEA_LOADED,11.600000381469727,35.0
