Model,FedTime,RoundTripID,MissionID,AssetID,StartTime
MAIN,19.1,C17-XDAT001-D0012R0001,C17-XDAT001-D0012R0001S03,C17-XDAT001,19.084723
MAIN,19.2,C17-XDAT002-D0015R0001,C17-XDAT002-D0015R0001S02,C17-XDAT002,19.16007
MAIN,19.3,C17-XDAT011-D0015R0001,C17-XDAT011-D0015R0001S02,C17-XDAT011,19.282839
MAIN,19.45,C17-XDAT003-D0016R0001,C17-XDAT003-D0016R0001S02,C17-XDAT003,19.425697
MAIN,19.45,C17-PQWY002-D0016R0001,C17-PQWY002-D0016R0001S02,C17-PQWY002,19.426361
MAIN,19.75,C17-XDAT010-D0015R0001,C17-XDAT010-D0015R0001S02,C17-XDAT010,19.709723
MAIN,20.05,C17-DKFX001-D0020R0004,C17-DKFX001-D0020R0004S01,C17-DKFX001,20
MAIN,20.05,C17-DKFX002-D0020R0003,C17-DKFX002-D0020R0003S01,C17-DKFX002,20
MAIN,20.05,C17-DKFX003-D0020R0001,C17-DKFX003-D0020R0001S01,C17-DKFX003,20
MAIN,20.05,C17-DKFX014-D0020R0002,C17-DKFX014-D0020R0002S01,C17-DKFX014,20
MAIN,20.05,C17-DKFX015-D0020R0002,C17-DKFX015-D0020R0002S01,C17-DKFX015,20
MAIN,20.05,C17-PQWY001-D0020R0002,C17-PQWY001-D0020R0002S01,C17-PQWY001,20
MAIN,20.3,B747-400-XDAT001-D0020R0004,B747-400-XDAT001-D0020R0004S01,B747-400-XDAT001,20.27947
MAIN,20.3,B747-400-XDAT003-D0020R0002,B747-400-XDAT003-D0020R0002S01,B747-400-XDAT003,20.281105
MAIN,20.45,C17-PQWY003-D0017R0001,C17-PQWY003-D0017R0001S02,C17-PQWY003,20.426361
MAIN,20.55,C17-XDAT004-D0017R0001,C17-XDAT004-D0017R0001S02,C17-XDAT004,20.540627
MAIN,20.7,C17-XDAT010-D0020R0002,C17-XDAT010-D0020R0002S01,C17-XDAT010,20.671654
MAIN,21.05,C5A-XDAT001-D0021R0001,C5A-XDAT001-D0021R0001S01,C5A-XDAT001,21
MAIN,21.05,KC10-XDAT002-D0021R0004,KC10-XDAT002-D0021R0004S01,KC10-XDAT002,21
MAIN,21.05,B747-400-XDAT006-D0021R0001,B747-400-XDAT006-D0021R0001S01,B747-400-XDAT006,21
MAIN,21.3,B747-400-XDAT004-D0021R0002,B747-400-XDAT004-D0021R0002S01,B747-400-XDAT004,21.271967
MAIN,22,B747-400-XDAT002-D0021R0004,B747-400-XDAT002-D0021R0004S01,B747-400-XDAT002,21.994696
MAIN,22.05,B747-400-XDAT007-D0022R0001,B747-400-XDAT007-D0022R0001S01,B747-400-XDAT007,22
MAIN,22.05,B747-400-AEDY001-D0022R0001,B747-400-AEDY001-D0022R0001S01,B747-400-AEDY001,22
MAIN,22.05,B747-400-AEDY002-D0022R0001,B747-400-AEDY002-D0022R0001S01,B747-400-AEDY002,22
MAIN,22.05,B747-400-AEDY003-D0022R0001,B747-400-AEDY003-D0022R0001S01,B747-400-AEDY003,22
MAIN,22.45,B747-400-XDAT005-D0022R0002,B747-400-XDAT005-D0022R0002S01,B747-400-XDAT005,22.445066
MAIN,22.6,C17-DKFX003-D0022R0002,C17-DKFX003-D0022R0002S01,C17-DKFX003,22.562353
MAIN,22.7,C17-XDAT003-D0016R0001,C17-XDAT003-D0016R0001S03,C17-XDAT003,22.66323
MAIN,22.7,C17-PQWY002-D0016R0001,C17-PQWY002-D0016R0001S03,C17-PQWY002,22.663895
MAIN,23.05,B747-400-AEDY004-D0023R0001,B747-400-AEDY004-D0023R0001S01,B747-400-AEDY004,23
MAIN,23.1,C17-XDAT011-D0015R0001,C17-XDAT011-D0015R0001S03,C17-XDAT011,23.065971
MAIN,23.55,B747-400-XDAT003-D0023R0003,B747-400-XDAT003-D0023R0003S01,B747-400-XDAT003,23.545618
MAIN,23.6,B747-400-XDAT001-D0023R0005,B747-400-XDAT001-D0023R0005S01,B747-400-XDAT001,23.55493
MAIN,24.05,C17-PQWY004-D0024R0001,C17-PQWY004-D0024R0001S01,C17-PQWY004,24
MAIN,24.05,KC10-XDAT001-D0024R0004,KC10-XDAT001-D0024R0004S01,KC10-XDAT001,24
MAIN,24.05,B747-400-XDAT008-D0024R0001,B747-400-XDAT008-D0024R0001S01,B747-400-XDAT008,24
MAIN,24.05,B747-400-AEDY005-D0024R0001,B747-400-AEDY005-D0024R0001S01,B747-400-AEDY005,24
MAIN,24.05,B747-400-AEDY006-D0024R0001,B747-400-AEDY006-D0024R0001S01,B747-400-AEDY006,24
MAIN,24.05,C17-DKFX004-D0024R0001,C17-DKFX004-D0024R0001S01,C17-DKFX004,24
MAIN,24.2,C17-PQWY003-D0017R0001,C17-PQWY003-D0017R0001S03,C17-PQWY003,24.164583
MAIN,24.2,C17-PQWY001-D0020R0002,C17-PQWY001-D0020R0002S02,C17-PQWY001,24.164299
MAIN,24.2,C17-XDAT010-D0020R0002,C17-XDAT010-D0020R0002S02,C17-XDAT010,24.164299
MAIN,24.3,C17-XDAT004-D0017R0001,C17-XDAT004-D0017R0001S03,C17-XDAT004,24.278473
MAIN,24.35,KC10-XDAT002-D0021R0004,KC10-XDAT002-D0021R0004S02,KC10-XDAT002,24.314898
MAIN,24.85,B747-400-AEDY001-D0024R0002,B747-400-AEDY001-D0024R0002S01,B747-400-AEDY001,24.812103
MAIN,25.05,C17-DKFX001-D0025R0005,C17-DKFX001-D0025R0005S01,C17-DKFX001,25
MAIN,25.25,C17-XDAT004-D0025R0002,C17-XDAT004-D0025R0002S01,C17-XDAT004,25.240404
MAIN,25.3,KC10-XDAT030-D0025R0001,KC10-XDAT030-D0025R0001S01,KC10-XDAT030,25.25
