Model,FedTime,AssetID,MissionID,Rln,CargoType,Amount,FromLoc,AssetArrivalTime,ToLoc
MAIN,23.5,7634331,7634331-1,1:0YBMC,STONS,225.89999389648438,DKSD,22.65,VKNP
MAIN,23.5,7634331,7634331-1,1:0YBNC,STONS,506.0,DKSD,22.65,VKNP
MAIN,23.5,7634331,7634331-1,1:0YBSC,STONS,153.89999389648438,DKSD,22.65,VKNP
MAIN,23.5,7634331,7634331-1,1:0YBWC,STONS,180.0,DKSD,22.65,VKNP
MAIN,23.5,7634331,7634331-1,1:0ZHCC,STONS,190.84881591796875,DKSD,22.65,VKNP
MAIN,23.8,7325253,7325253-1,1:04DDC,STONS,0.6678295135498047,ZBES,22.339582,HNTS
MAIN,23.8,7325253,7325253-1,1:00DEC,CONTAINER_20,4.0,ZBES,22.339582,HNTS
MAIN,23.8,7325253,7325253-1,1:00DDC,CONTAINER_20,3.0,ZBES,22.339582,HNTS
MAIN,23.8,7325253,7325253-1,1:0JLBC,CONTAINER_20,1.0,ZBES,22.339582,HNTS
MAIN,24.4,7034335,7034335-1,1:0KGA,STONS,9.809960961341858,DKSD,23.595833,VKNP
MAIN,24.4,7034335,7034335-1,1:0ZHFC,CONTAINER_20,3.0,DKSD,23.595833,VKNP
MAIN,24.4,7034335,7034335-1,1:0ZHFC,STONS,222.0750732421875,DKSD,23.595833,VKNP
MAIN,24.4,7034335,7034335-1,1:0ZHFC,STONS,0.43038320541381836,DKSD,23.595833,VKNP
MAIN,24.65,7320411,7320411-1,1:0EBQC,CONTAINER_20,2.0,DKSD,23.98125,HNTS
MAIN,24.65,7320411,7320411-1,1:0TAEC,CONTAINER_20,12.0,DKSD,23.98125,HNTS
MAIN,24.65,7320411,7320411-1,1:03AGC,STONS,7.973365783691406,DKSD,23.98125,HNTS
MAIN,24.95,7717171,7717171-1,1:0YCBC,STONS,28.900015592575073,WPVT,24.515278,HNTS
MAIN,25.05,7603497,7603497-1,1:0QAAC,STONS,195.4999926686287,QTUP,23.086805,HNTS
MAIN,25.05,7603497,7603497-1,1:0QAAC,STONS,16.99999713897705,QTUP,23.086805,HNTS
MAIN,25.1,7304792,7304792-1,1:0QAAC,CONTAINER_20,10.0,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0QAFC,STONS,0.8464603424072266,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0TAE1,STONS,354.0,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0TAE1,STONS,1.7999999523162842,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0HEHC,STONS,38.7999267578125,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0HVCC,STONS,21.799928903579712,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0HVCC,STONS,13.299999237060547,QTUP,24.372917,HNTS
MAIN,25.1,7304792,7304792-1,1:0MBKC,CONTAINER_20,1.0,QTUP,24.372917,HNTS
MAIN,26.45,8902400,8902400-1,1:0YBRC,CONTAINER_20,3.0,QTUP,26.009027,HNTS
MAIN,26.45,8902400,8902400-1,1:03AEC,CONTAINER_20,1.0,QTUP,26.009027,HNTS
MAIN,26.45,8902400,8902400-1,1:0MBKC,CONTAINER_20,1.0,QTUP,26.009027,HNTS
MAIN,27.3,8320779,8320779-1,1:0YBRC,STONS,143.89999389648438,QTUP,26.317362,HNTS
MAIN,27.3,8320779,8320779-1,1:03AEC,STONS,139.79997605085373,QTUP,26.317362,HNTS
MAIN,27.3,8320779,8320779-1,1:03AEC,STONS,135.79999995231628,QTUP,26.317362,HNTS
MAIN,27.3,8320779,8320779-1,1:0TAE1,STONS,23.699997901916504,QTUP,26.317362,HNTS
MAIN,27.3,8320779,8320779-1,1:0QAAC,STONS,80.40000057220459,QTUP,26.317362,HNTS
MAIN,27.3,8320779,8320779-1,1:0QAAC,STONS,16.0,QTUP,26.317362,HNTS
MAIN,28.55,90664384,90664384-1,1:0ZHCC,CONTAINER_20,3.0,DKSD,28.122223,VKNP
MAIN,28.55,90664384,90664384-1,1:0ZHFC,CONTAINER_20,3.0,DKSD,28.122223,VKNP
MAIN,28.55,90664384,90664384-1,1:0YBWC,CONTAINER_20,3.0,DKSD,28.122223,VKNP
MAIN,28.55,90664384,90664384-1,1:03AFC,CONTAINER_20,1.0,DKSD,28.122223,VKNP
MAIN,29.05,9015204,9015204-1,1:0YBUC,CONTAINER_20,93.0,SBEQ,28.51875,HNTS
MAIN,29.05,9015204,9015204-1,1:0YBVC,CONTAINER_20,6.0,SBEQ,28.51875,HNTS
MAIN,29.05,9015204,9015204-1,1:0YBYC,CONTAINER_20,4.0,SBEQ,28.51875,HNTS
MAIN,29.05,9015204,9015204-1,1:0YC C,CONTAINER_20,1.0,SBEQ,28.51875,HNTS
MAIN,29.05,9015204,9015204-1,1:0YCCC,CONTAINER_20,1.0,SBEQ,28.51875,HNTS
MAIN,29.05,9015204,9015204-1,1:0LBGC,CONTAINER_20,1.0,SBEQ,28.51875,HNTS
MAIN,29.2,7820423,7820423-1,1:0MBKC,STONS,0.9264233112335205,QTUP,28.594444,HNTS
MAIN,29.2,7820423,7820423-1,1:0HEDC,STONS,9.029601097106934,QTUP,28.594444,HNTS
MAIN,29.2,7820423,7820423-1,1:0HVCC,STONS,21.7999267578125,QTUP,28.594444,HNTS
MAIN,29.2,7820423,7820423-1,1:0HVCC,STONS,13.299999237060547,QTUP,28.594444,HNTS
MAIN,29.35,8419154,8419154-1,1:0YBBC,CONTAINER_20,1.0,UTAC,29.160418,HNTS
MAIN,29.45,8902395,8902395-1,1:03AUC,CONTAINER_20,3.0,QTUP,29.234028,VKNP
MAIN,29.45,8902395,8902395-1,1:03AKC,CONTAINER_20,1.0,QTUP,29.234028,VKNP
MAIN,30.05,7820411,7820411-1,1:0KFBC,STONS,1911.6999969482422,SBEA,29.683332,HNTS
MAIN,30.05,7820411,7820411-1,1:0KFBC,STONS,94.01289820671082,SBEA,29.683332,HNTS
MAIN,30.7,8026048,8026048-1,1:03AUC,STONS,85.10019987821579,QTUP,29.83264,VKNP
MAIN,30.8,7390117,7390117-1,1:0EBQC,STONS,0.3173065185546875,DKSD,29.052084,HNTS
