Model,FedTime,CargoID,RlnID,PalletID,PalletReq,Stons,Mtons,Ccc,CargoCommodity,NumItems,Hot,ConsolidationGeo,MultiRln
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT37,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT38,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT39,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT40,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT41,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT42,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT43,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT44,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT45,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT46,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT47,1:0000002,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.05,1:0000002.JDB,1:0000002,1:0000002.PLT48,1:0000002,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
