Event Day,Port,Fleet,Restriction
40,RRHU,EUSC,true
40,RRRK,EUSC,true
40,RUAM,EUSC,true
40,RUAQ,EUSC,true
40,RULV,EUSC,true
40,SBEA,EUSC,true
40,SBEQ,EUSC,true
40,SEA1,EUSC,true
40,SERU,EUSC,true
40,SMXS,EUSC,true
40,STRM,EUSC,true
40,SVCN,EUSC,true
40,SYZZ,EUSC,true
40,TGWS,EUSC,true
40,TKDW,EUSC,true
40,TNVX,EUSC,true
40,TNZY,EUSC,true
40,TPPR,EUSC,true
40,TPRW,EUSC,true
40,TQKG,EUSC,true
40,TRZP,EUSC,true
40,TVJD,EUSC,true
40,TVXA,EUSC,true
40,TZL4,EUSC,true
40,TZYR,EUSC,true
40,UMXA,EUSC,true
40,UNAP,EUSC,true
40,UTAC,EUSC,true
40,UTVT,EUSC,true
40,UULA,EUSC,true
40,UULB,EUSC,true
40,UULX,EUSC,true
40,UYQR,EUSC,true
40,UZXJ,EUSC,true
40,VFVN,EUSC,true
40,VKNP,EUSC,true
40,VPRF,EUSC,true
40,VSNF,EUSC,false
40,WMPT,EUSC,true
40,WPAU,EUSC,true
40,WPVT,EUSC,true
40,WQZM,EUSC,true
40,WTJG,EUSC,true
40,WYKZ,EUSC,true
40,XEXW,EUSC,true
40,XRVJ,EUSC,true
40,XUDT,EUSC,true
40,XVMN,EUSC,true
40,XVRV,EUSC,false
40,XYNK,EUSC,true
40,YRTK,EUSC,true
40,ZBES,EUSC,true
40,ZMJJ,EUSC,true
40,ZNMC,EUSC,true
40,ZSJC,EUSC,true
40,00A1,FF-LINER,true
40,00IO,FF-LINER,true
40,00XT,FF-LINER,true
40,AAPV,FF-LINER,true
40,ABFL,FF-LINER,true
40,ADKH,FF-LINER,true
40,ADLS,FF-LINER,true
40,AELU,FF-LINER,true
40,AEQT,FF-LINER,true
40,AJGX,FF-LINER,true
40,ALRF,FF-LINER,true
40,AMCQ,FF-LINER,true
40,APFD,FF-LINER,false
40,APGW,FF-LINER,true
