Name,Geoloc,TypeCode,InboundCargo,InboundPax,OutboundCargo,OutboundPax
YANBU AL SINAIYAH,ZLVW,PRT,UGZX,UGZX,UGZX,UGZX
YANTIAN PORT FAC,ZMJJ,PRT,DVLK,DVLK,DVLK,DVLK
YOAKUM,ZNHL,CTY,BJHZ,BJHZ,BJHZ,BJHZ
YOKOHAMA COMMERCI,ZNMC,PRT,ZNRE,ZNRE,ZNRE,ZNRE
YOKOTA AB,ZNRE,MAP,ZNRE,ZNRE,ZNRE,ZNRE
YORKTOWN,ZQAE,CTY,MUHJ,MUHJ,MUHJ,MUHJ
YORKTOWN      NWS,ZQAF,AMO,MUHJ,MUHJ,MUHJ,MUHJ
YORKTOWN NWS,ZQAH,PRT,MUHJ,MUHJ,MUHJ,MUHJ
YORKTOWN NWS,ZQAJ,NYI,MUHJ,MUHJ,MUHJ,MUHJ
YOUNGSTOWN,ZQEA,RTC,DYCS,DYCS,DYCS,DYCS
YOUNGSTOWN WARREN,ZQEL,JAP,DYCS,DYCS,DYCS,DYCS
YPSILANTI,ZQLL,CTY,DYCS,DYCS,DYCS,DYCS
YUMA MCAS,ZRBF,AMO,ZRCE,ZRCE,ZRCE,ZRCE
YUMA INTL,ZRCE,CAP,ZRCE,ZRCE,ZRCE,ZRCE
ZANESVILLE MUNI,ZRUZ,CAP,DYCS,DYCS,DYCS,DYCS
ZANESVILLE,ZRVL,AGS,DYCS,DYCS,DYCS,DYCS
ZARZIS,ZSAK,PRT,JEAH,JEAH,JEAH,JEAH
ZHAPU,ZSJC,PRT,LXEZ,LXEZ,LXEZ,LXEZ
