"Delivery of Breakbulk, RORO and Containers at Locations "
Time<Time>,Required at POE<Float>,Origin<Float>,Port of Embarkation<Float>,Delivered of Required: POE<Float>
118.0,175919.69,0.0,175856.47,175856.52
119.0,176419.69,0.0,176306.47,176306.52
120.0,176869.69,0.0,176756.47,176756.52
121.0,177369.69,0.0,177306.47,177306.52
122.0,177869.69,0.0,177756.47,177756.52
123.0,178319.69,0.0,178206.47,178206.52
124.0,178319.69,0.0,178306.47,178306.52
125.0,178819.69,0.0,178482.47,178482.52
126.0,179319.69,0.0,179256.47,179256.52
127.0,179769.69,0.0,179436.47,179436.52
128.0,180269.69,0.0,179972.47,179972.52
129.0,180319.69,0.0,180386.47,180386.52
130.0,181765.11,0.0,181803.7,181751.94
131.0,181920.16,0.0,181803.7,181803.73
132.0,182420.16,0.0,182100.95,182075.98
133.0,182470.16,0.0,182406.95,182406.98
134.0,182970.16,0.0,182600.95,182600.98
135.0,183070.16,0.0,182906.95,182906.98
136.0,183570.16,0.0,183056.95,183056.98
137.0,183670.16,0.0,183506.95,183506.98
138.0,184620.16,0.0,184106.95,184106.98
139.0,185070.16,0.0,184556.95,184556.98
140.0,185520.16,0.0,185056.95,185056.98
141.0,185520.16,0.0,185506.95,185506.98
142.0,185970.16,0.0,185956.95,185956.98
143.0,186420.16,0.0,186136.95,186136.98
144.0,186870.16,0.0,186856.95,186856.98
145.0,187320.16,0.0,187036.95,187036.98
146.0,187820.16,0.0,187522.95,187522.98
147.0,188320.16,0.0,188086.95,188036.98
148.0,188918.4,0.0,188855.2,188855.23
149.0,189073.77,0.0,188855.2,188855.23
150.0,189573.77,0.0,189150.56,189150.6
151.0,190023.77,0.0,189654.56,189654.6
152.0,190523.77,0.0,190118.56,190118.6
153.0,190573.77,0.0,190460.56,190460.6
154.0,191073.77,0.0,191010.56,191010.6
155.0,191573.77,0.0,191010.56,191010.6
156.0,192023.77,0.0,191460.56,191460.6
157.0,192473.77,0.0,192190.56,192190.6
158.0,192473.77,0.0,192676.56,192676.6
