Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,37.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,38.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,39.0,5000.0,0.0,0.0,72.25,0.01445,578.0,0.1156,0.0,0.125,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,40.0,5000.0,0.0,0.0,401.33337,0.08026668,602.0,0.1204,0.0,0.6666667,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,41.0,5000.0,0.0,0.0,124.541664,0.024908332,602.0,0.1204,0.0,0.20833334,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,42.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,43.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,44.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,45.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,46.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,47.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,48.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,49.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,50.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,51.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,52.0,5000.0,0.0,0.0,102.5,0.0205,820.0,0.164,0.0,0.125,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,53.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,54.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,55.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,56.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,57.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,58.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,59.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,60.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,61.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,62.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,63.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,64.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,65.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,66.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,67.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,68.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,69.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,70.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,71.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,72.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,73.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,74.0,5000.0,0.0,0.0,144.58333,0.028916666,694.0,0.1388,0.0,0.20833334,1.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,75.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,76.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,77.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,78.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,79.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,80.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,81.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,82.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,83.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,84.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,85.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,86.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,87.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,88.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,89.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,90.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,91.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,92.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,93.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,94.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,95.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,96.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,97.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,98.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DKSD,45,CHARLESTON,Charleston-DKSD Terminal-19777,99.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
