Road Capacities
ID<>,Name<>,Capacity<STON>,Capacity Rate<Veh/Day>,Usage Rating<Float>
2522,I10 1165-2522,2000.0,0.0,0.0
4242,I10 1172-4242,2000.0,0.0,0.0
5685,I10 1173-5685,2000.0,0.0,0.0
897,I10 1174-897,2000.0,0.0,0.0
2346,I10 1175-2346,2000.0,0.0,0.0
3822,I10 1176-3822,2000.0,0.0,0.0
5288,I10 1177-5288,2000.0,0.0,0.0
449,I10 1178-449,2000.0,0.0,0.0
1906,I10 1179-1906,2000.0,0.0,0.0
748,I10 1201-748,2000.0,0.0,0.0
4749,I10 1202-4749,2000.0,0.0,0.0
4698,I10 1205-4698,2000.0,0.0,0.0
346,I10 1206-346,2000.0,0.0,0.0
6073,I10 17700-6073,2000.0,0.0,0.0
677,I10 17719-677,2000.0,0.0,0.0
2723,I10 17814-2723,2000.0,0.0,0.0
4296,I10 7452-4296,2000.0,0.0,0.0
713,I10 7495-713,2000.0,0.0,0.0
5216,I10 7505-5216,2000.0,0.0,0.0
4404,I10+ 10056-4404,2000.0,0.0,0.0
841,I10+ 10062-841,2000.0,0.0,0.0
4121,I10+ 10068-4121,2000.0,0.0,0.0
3080,I10+ 11893-3080,2000.0,0.0,0.0
3719,I10+ 11898-3719,2000.0,0.0,0.0
2792,I10+ 11906-2792,2000.0,0.0,0.0
4627,I10+ 11909-4627,2000.0,0.0,0.0
4007,I10+ 1287-4007,2000.0,0.0,0.0
4203,I10+ 1657-4203,2000.0,0.0,0.0
1194,I10+ 17325-1194,2000.0,0.0,0.0
2946,I10+ 17359-2946,2000.0,0.0,0.0
4806,I10+ 17361-4806,2000.0,0.0,0.0
5588,I10+ 17516-5588,2000.0,0.0,0.0
1972,I10+ 17520-1972,2000.0,0.0,0.0
805,I10+ 1754-805,2000.0,0.0,0.0
2926,I10+ 1758-2926,2000.0,0.0,0.0
4884,I10+ 17583-4884,2000.0,0.0,0.0
2812,I10+ 17698-2812,2000.0,0.0,0.0
5746,I10+ 1770-5746,2000.0,0.0,0.0
318,I10+ 17703-318,2000.0,0.0,0.0
6160,I10+ 17707-6160,2000.0,0.0,0.0
1989,I10+ 17711-1989,2000.0,0.0,0.0
1594,I10+ 1772-1594,2000.0,0.0,0.0
2581,I10+ 17798-2581,2000.0,0.0,0.0
6118,I10+ 17807-6118,2000.0,0.0,0.0
4801,I10+ 17818-4801,2000.0,0.0,0.0
5782,I10+ 17869-5782,2000.0,0.0,0.0
1509,I10+ 17961-1509,2000.0,0.0,0.0
6193,I10+ 17977-6193,2000.0,0.0,0.0
1746,I10+ 17985-1746,2000.0,0.0,0.0
3769,I10+ 17992-3769,2000.0,0.0,0.0
3077,I10+ 18021-3077,2000.0,0.0,0.0
6124,I10+ 18023-6124,2000.0,0.0,0.0
6058,I10+ 1931-6058,2000.0,0.0,0.0
3717,I10+ 2061-3717,2000.0,0.0,0.0
6039,I10+ 2877-6039,2000.0,0.0,0.0
2312,I10+ 2972-2312,2000.0,0.0,0.0
1344,I10+ 3009-1344,2000.0,0.0,0.0
1166,I10+ 7438-1166,2000.0,0.0,0.0
4421,I10+ 7480-4421,2000.0,0.0,0.0
1382,I10+ 7491-1382,2000.0,0.0,0.0
5839,I10+ 7507-5839,2000.0,0.0,0.0
1456,I10+ 7520-1456,2000.0,0.0,0.0
5788,I105+ 2750-5788,2000.0,0.0,0.0
3055,I105+-3055,2000.0,0.0,0.0
1087,I110+ 10071-1087,2000.0,0.0,0.0
3058,I110+ 2010-3058,2000.0,0.0,0.0
42,I110+ 2753-42,2000.0,0.0,0.0
21,I110+-21,2000.0,0.0,0.0
573,I12+ 7421-573,2000.0,0.0,0.0
3189,I12+ 7445-3189,2000.0,0.0,0.0
2252,I12+ 7455-2252,2000.0,0.0,0.0
1209,I12+-1209,2000.0,0.0,0.0
4151,I12-4151,2000.0,0.0,0.0
491,I135 6886-491,2000.0,0.0,0.0
5414,I135 6889-5414,2000.0,0.0,0.0
1189,I135+ 6806-1189,2000.0,0.0,0.0
4363,I135+ 6839-4363,2000.0,0.0,0.0
4310,I135+ 6848-4310,2000.0,0.0,0.0
1080,I135+ 6862-1080,2000.0,0.0,0.0
3283,I135+ 6891-3283,2000.0,0.0,0.0
1800,I135+-1800,2000.0,0.0,0.0
2797,I135-2797,2000.0,0.0,0.0
2465,I15 10201-2465,2000.0,0.0,0.0
349,I15 12040-349,2000.0,0.0,0.0
4501,I15 1404-4501,2000.0,0.0,0.0
5169,I15 15108-5169,2000.0,0.0,0.0
1832,I15 1536-1832,2000.0,0.0,0.0
2905,I15 1785-2905,2000.0,0.0,0.0
2241,I15 18479-2241,2000.0,0.0,0.0
1012,I15 18501-1012,2000.0,0.0,0.0
5131,I15 18526-5131,2000.0,0.0,0.0
945,I15 18568-945,2000.0,0.0,0.0
2402,I15 18569-2402,2000.0,0.0,0.0
275,I15 965-275,2000.0,0.0,0.0
2433,I15+ 10204-2433,2000.0,0.0,0.0
5897,I15+ 12034-5897,2000.0,0.0,0.0
3463,I15+ 12035-3463,2000.0,0.0,0.0
5034,I15+ 12042-5034,2000.0,0.0,0.0
1451,I15+ 12046-1451,2000.0,0.0,0.0
4987,I15+ 12065-4987,2000.0,0.0,0.0
372,I15+ 1403-372,2000.0,0.0,0.0
3700,I15+ 1405-3700,2000.0,0.0,0.0
5101,I15+ 1457-5101,2000.0,0.0,0.0
5666,I15+ 1673-5666,2000.0,0.0,0.0
553,I15+ 1698-553,2000.0,0.0,0.0
4071,I15+ 1781-4071,2000.0,0.0,0.0
2653,I15+ 1790-2653,2000.0,0.0,0.0
2414,I15+ 1797-2414,2000.0,0.0,0.0
5688,I15+ 1799-5688,2000.0,0.0,0.0
1813,I15+ 1804-1813,2000.0,0.0,0.0
5467,I15+ 18391-5467,2000.0,0.0,0.0
3354,I15+ 18401-3354,2000.0,0.0,0.0
6162,I15+ 18404-6162,2000.0,0.0,0.0
233,I15+ 18416-233,2000.0,0.0,0.0
1837,I15+ 18424-1837,2000.0,0.0,0.0
5482,I15+ 18438-5482,2000.0,0.0,0.0
4352,I15+ 18463-4352,2000.0,0.0,0.0
6216,I15+ 18480-6216,2000.0,0.0,0.0
4885,I15+ 18484-4885,2000.0,0.0,0.0
3286,I15+ 18490-3286,2000.0,0.0,0.0
5040,I15+ 18500-5040,2000.0,0.0,0.0
3187,I15+ 18503-3187,2000.0,0.0,0.0
6201,I15+ 18504-6201,2000.0,0.0,0.0
1003,I15+ 18527-1003,2000.0,0.0,0.0
3421,I15+ 18547-3421,2000.0,0.0,0.0
5267,I15+ 18548-5267,2000.0,0.0,0.0
468,I15+ 18554-468,2000.0,0.0,0.0
364,I15+ 18567-364,2000.0,0.0,0.0
3969,I15+ 18570-3969,2000.0,0.0,0.0
1139,I15+ 18581-1139,2000.0,0.0,0.0
2367,I15+ 18582-2367,2000.0,0.0,0.0
4804,I15+ 2665-4804,2000.0,0.0,0.0
1045,I15+-1045,2000.0,0.0,0.0
4474,I16+ 4965-4474,2000.0,0.0,0.0
4351,I16+ 4974-4351,2000.0,0.0,0.0
1140,I16+ 4997-1140,2000.0,0.0,0.0
5497,I16+-5497,2000.0,0.0,0.0
5781,I17 1053-5781,2000.0,0.0,0.0
1221,I17 1054-1221,2000.0,0.0,0.0
6110,I17 1055-6110,2000.0,0.0,0.0
1386,I17 1056-1386,2000.0,0.0,0.0
2819,I17 1057-2819,2000.0,0.0,0.0
3537,I17 1058-3537,2000.0,0.0,0.0
4959,I17 1059-4959,2000.0,0.0,0.0
931,I17 1063-931,2000.0,0.0,0.0
3817,I176+ 14879-3817,2000.0,0.0,0.0
2450,I185+ 4745-2450,2000.0,0.0,0.0
1273,I185+ 4754-1273,2000.0,0.0,0.0
4875,I185+-4875,2000.0,0.0,0.0
2129,I195+ 11546-2129,2000.0,0.0,0.0
2897,I195+ 15628-2897,2000.0,0.0,0.0
4770,I20 17093-4770,2000.0,0.0,0.0
3067,I20 17123-3067,2000.0,0.0,0.0
2871,I20 17176-2871,2000.0,0.0,0.0
84,I20 17179-84,2000.0,0.0,0.0
1143,I20 17181-1143,2000.0,0.0,0.0
2355,I20 17182-2355,2000.0,0.0,0.0
1801,I20 17193-1801,2000.0,0.0,0.0
2042,I20 17196-2042,2000.0,0.0,0.0
2916,I20 17278-2916,2000.0,0.0,0.0
353,I20 274-353,2000.0,0.0,0.0
5132,I20 275-5132,2000.0,0.0,0.0
2087,I20 299-2087,2000.0,0.0,0.0
4658,I20 329-4658,2000.0,0.0,0.0
856,I20 4484-856,2000.0,0.0,0.0
5617,I20 4513-5617,2000.0,0.0,0.0
3737,I20 4581-3737,2000.0,0.0,0.0
5225,I20 7280-5225,2000.0,0.0,0.0
2468,I20 7299-2468,2000.0,0.0,0.0
2386,I20 9907-2386,2000.0,0.0,0.0
3041,I20 9916-3041,2000.0,0.0,0.0
434,I20 9920-434,2000.0,0.0,0.0
171,I20+ 15803-171,2000.0,0.0,0.0
2186,I20+ 15846-2186,2000.0,0.0,0.0
3606,I20+ 15854-3606,2000.0,0.0,0.0
1880,I20+ 15891-1880,2000.0,0.0,0.0
2267,I20+ 15911-2267,2000.0,0.0,0.0
2534,I20+ 17083-2534,2000.0,0.0,0.0
715,I20+ 17088-715,2000.0,0.0,0.0
4517,I20+ 17099-4517,2000.0,0.0,0.0
208,I20+ 17120-208,2000.0,0.0,0.0
6106,I20+ 17129-6106,2000.0,0.0,0.0
5593,I20+ 17131-5593,2000.0,0.0,0.0
3725,I20+ 17141-3725,2000.0,0.0,0.0
5243,I20+ 17174-5243,2000.0,0.0,0.0
5489,I20+ 17183-5489,2000.0,0.0,0.0
4146,I20+ 17191-4146,2000.0,0.0,0.0
4472,I20+ 17208-4472,2000.0,0.0,0.0
4376,I20+ 17213-4376,2000.0,0.0,0.0
3995,I20+ 17217-3995,2000.0,0.0,0.0
1306,I20+ 17224-1306,2000.0,0.0,0.0
3600,I20+ 17276-3600,2000.0,0.0,0.0
5113,I20+ 17306-5113,2000.0,0.0,0.0
3240,I20+ 17309-3240,2000.0,0.0,0.0
6115,I20+ 17490-6115,2000.0,0.0,0.0
2776,I20+ 220-2776,2000.0,0.0,0.0
2647,I20+ 236-2647,2000.0,0.0,0.0
2805,I20+ 255-2805,2000.0,0.0,0.0
2173,I20+ 258-2173,2000.0,0.0,0.0
2875,I20+ 260-2875,2000.0,0.0,0.0
2540,I20+ 273-2540,2000.0,0.0,0.0
5399,I20+ 278-5399,2000.0,0.0,0.0
3882,I20+ 310-3882,2000.0,0.0,0.0
4227,I20+ 326-4227,2000.0,0.0,0.0
4522,I20+ 350-4522,2000.0,0.0,0.0
3958,I20+ 413-3958,2000.0,0.0,0.0
5544,I20+ 4479-5544,2000.0,0.0,0.0
4608,I20+ 4480-4608,2000.0,0.0,0.0
5872,I20+ 4483-5872,2000.0,0.0,0.0
5477,I20+ 4501-5477,2000.0,0.0,0.0
1743,I20+ 4511-1743,2000.0,0.0,0.0
3756,I20+ 4546-3756,2000.0,0.0,0.0
3417,I20+ 4553-3417,2000.0,0.0,0.0
910,I20+ 4570-910,2000.0,0.0,0.0
1270,I20+ 7252-1270,2000.0,0.0,0.0
5750,I20+ 7273-5750,2000.0,0.0,0.0
4041,I20+ 7277-4041,2000.0,0.0,0.0
2427,I20+ 7290-2427,2000.0,0.0,0.0
2336,I20+ 7309-2336,2000.0,0.0,0.0
1871,I20+ 9900-1871,2000.0,0.0,0.0
999,I20+ 9914-999,2000.0,0.0,0.0
1932,I20+ 9919-1932,2000.0,0.0,0.0
2604,I20+ 9937-2604,2000.0,0.0,0.0
5377,I20+ 9945-5377,2000.0,0.0,0.0
2507,I20+ 9957-2507,2000.0,0.0,0.0
2914,I20+ 9962-2914,2000.0,0.0,0.0
5709,I20+ 9968-5709,2000.0,0.0,0.0
3790,I20+ 9970-3790,2000.0,0.0,0.0
66,I20+ 9972-66,2000.0,0.0,0.0
3955,I20+-3955,2000.0,0.0,0.0
5509,I20-5509,2000.0,0.0,0.0
1207,I205 1229-1207,2000.0,0.0,0.0
4509,I205+ 2644-4509,2000.0,0.0,0.0
2442,I205+ 2645-2442,2000.0,0.0,0.0
6028,I205+ 3086-6028,2000.0,0.0,0.0
1648,I205+-1648,2000.0,0.0,0.0
4973,I205-4973,2000.0,0.0,0.0
103,I210+ 1935-103,2000.0,0.0,0.0
206,I210+ 2806-206,2000.0,0.0,0.0
3792,I210+ 2817-3792,2000.0,0.0,0.0
969,I210+-969,2000.0,0.0,0.0
4704,I215+ 18442-4704,2000.0,0.0,0.0
809,I215+ 2713-809,2000.0,0.0,0.0
4283,I215+-4283,2000.0,0.0,0.0
2332,I220-2332,2000.0,0.0,0.0
104,I225 3249-104,2000.0,0.0,0.0
1250,I225+ 3278-1250,2000.0,0.0,0.0
497,I225+-497,2000.0,0.0,0.0
2587,I225-2587,2000.0,0.0,0.0
3744,I235 5293-3744,2000.0,0.0,0.0
544,I235+ 5298-544,2000.0,0.0,0.0
3991,I235+-3991,2000.0,0.0,0.0
4116,I235-4116,2000.0,0.0,0.0
307,I24  N+-307,2000.0,0.0,0.0
82,I24 16456-82,2000.0,0.0,0.0
216,I24 16462-216,2000.0,0.0,0.0
1889,I24 16548-1889,2000.0,0.0,0.0
105,I24+ 16284-105,2000.0,0.0,0.0
350,I24+ 16346-350,2000.0,0.0,0.0
5151,I24+ 16464-5151,2000.0,0.0,0.0
4879,I24+ 16544-4879,2000.0,0.0,0.0
2389,I24+ 16554-2389,2000.0,0.0,0.0
1792,I24+ 16564-1792,2000.0,0.0,0.0
773,I24+ 6222-773,2000.0,0.0,0.0
2655,I24+ 7184-2655,2000.0,0.0,0.0
2829,I24+ 7208-2829,2000.0,0.0,0.0
5049,I24+-5049,2000.0,0.0,0.0
5892,I24-5892,2000.0,0.0,0.0
3812,I240 13899-3812,2000.0,0.0,0.0
2817,I240 16478-2817,2000.0,0.0,0.0
2165,I240 16526-2165,2000.0,0.0,0.0
6027,I240 16530-6027,2000.0,0.0,0.0
2333,I240+ 13891-2333,2000.0,0.0,0.0
5496,I240+ 13897-5496,2000.0,0.0,0.0
1272,I240+ 16481-1272,2000.0,0.0,0.0
3801,I240+ 16483-3801,2000.0,0.0,0.0
