Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
AVBU,24,BALTIMORE OUTPORT,59,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,60,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,61,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,62,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,63,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,64,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,65,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,66,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,67,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,68,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,69,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,70,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,71,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,72,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,73,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,74,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,75,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,76,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,77,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,78,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,79,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,80,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,81,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,82,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,83,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,84,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,85,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,86,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,87,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,88,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,89,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,90,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,91,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,92,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,93,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,94,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,95,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,96,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,97,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,98,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,99,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,100,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,101,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,102,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,103,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,104,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,105,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,106,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,107,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,108,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,109,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,110,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,111,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,112,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,113,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,114,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,115,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,116,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,117,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,118,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,119,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,120,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,121,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,122,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,123,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,124,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,125,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,126,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,127,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,128,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,129,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,130,0,0.0,0,10,10.0,10,0.0,0.0,0.0
AVBU,24,BALTIMORE OUTPORT,131,0,0.0,0,10,10.0,10,0.0,0.0,0.0
