Geoloc,BerthGroup,Day,Enabled,Description,EventPhase,Data
LWEV,LWEVGENERAL PU03,0,true,,,1
LYAP,LYAPVISA      01,0,true,,,1
LYTM,LYTMJLOTS     01,0,true,,,1
LYTM,LYTMVISA      01,0,true,,,1
MKAG,MKAGVISA      01,0,true,,,1
MLDL,MLDLGENERAL PU01,0,true,,,1
MLDL,MLDLVISA      01,0,true,,,1
MLWY,MLWYBBULK/RORO01,0,true,,,1
MLWY,MLWYBBULK/RORO02,0,true,,,1
MLWY,MLWYGENERAL PU01,0,true,,,1
MMGH,MMGHGENERAL PU01,0,true,,,1
MMGH,MMGHGENERAL PU02,0,true,,,1
MMGH,MMGHGENERAL PU03,0,true,,,1
MMGH,MMGHGENERAL PU04,0,true,,,1
MMGH,MMGHRORO      01,0,true,,,1
MMGH,MMGHVISA      01,0,true,,,1
MZJK,MZJKVISA      01,0,true,,,1
NBDY,NBDYVISA      01,0,true,,,1
NLFL,NLFLGENERAL PU01,0,true,,,1
NNWH,NNWHVISA      01,0,true,,,1
NSAN,NSANGENERAL PU01,0,true,,,1
NSAN,NSANVISA      01,0,true,,,1
PAXM,PAXMVISA      01,0,true,,,1
PCFC,PCFCVISA      01,0,true,,,1
PCFG,PCFGVISA      01,0,true,,,1
PKVP,PKVPBBULK/RORO01,0,true,,,1
PKVP,PKVPBBULK/RORO02,0,true,,,1
PKVP,PKVPGENERAL PU01,0,true,,,1
QCFF,QCFFVISA      01,0,true,,,1
QHPB,QHPBBBULK/RORO01,0,true,,,1
QHPB,QHPBBBULK/RORO02,0,true,,,1
QHPB,QHPBBBULK/RORO03,0,true,,,1
QHPB,QHPBGENERAL PU01,0,true,,,1
QHPB,QHPBVISA      01,0,true,,,1
QHPD,QHPDBBULK/RORO01,0,true,,,1
QHPD,QHPDBBULK/RORO02,0,true,,,1
QHPD,QHPDGENERAL PU01,0,true,,,1
QHPF,QHPFBBULK/RORO01,0,true,,,1
QHPF,QHPFBBULK/RORO02,0,true,,,1
QHPF,QHPFBBULK/RORO03,0,true,,,1
QHPF,QHPFBBULK/RORO04,0,true,,,1
QHPF,QHPFGENERAL PU01,0,true,,,1
QHPF,QHPFGENERAL PU02,0,true,,,1
QHPF,QHPFVISA      01,0,true,,,1
QNPW,QNPWBBULK/RORO01,0,true,,,1
QNPW,QNPWBREAKBULK 01,0,true,,,1
QTUP,MOREHEAD CITY BG-QTUP -19792,0,true,,,1
RBXH,RBXHBBULK/RORO01,0,true,,,1
RBXH,RBXHGENERAL PU01,0,true,,,1
RCYT,RCYTVISA      01,0,true,,,1
RELG,RELGVISA      01,0,true,,,1
REPV,REPVBBULK/AMMO01,0,true,,,1
REPV,REPVBBULK/CONT01,0,true,,,1
REPV,REPVBBULK/RORO01,0,true,,,1
REPV,REPVBBULK/RORO02,0,true,,,1
REPV,REPVBBULK/RORO03,0,true,,,1
REPV,REPVBBULK/RORO04,0,true,,,1
REPV,REPVVISA      01,0,true,,,1
RGJW,RGJWGENERAL PU01,0,true,,,1
RGJW,RGJWVISA      01,0,true,,,1
RQNK,RQNKVISA      01,0,true,,,1
RRHU,RRHUVISA      01,0,true,,,1
RRQL,RRQLBBULK/RORO01,0,true,,,1
RRQL,RRQLBBULK/RORO02,0,true,,,1
RRQL,RRQLBBULK/RORO03,0,true,,,1
RRQL,RRQLBREAKBULK 01,0,true,,,1
RRQL,RRQLBREAKBULK 02,0,true,,,1
RRQL,RRQLBREAKBULK 03,0,true,,,1
RRQL,RRQLGENERAL PU01,0,true,,,1
RRQL,RRQLGENERAL PU02,0,true,,,1
RRRK,NEW YORK berth group-RRRK,0,true,,,1
RULV,NEWPORT NEWS berth group-RULV,0,true,,,1
SBEA,NORFOLK berth group-SBEA,0,true,,,1
SERU,SERUBBULK/CONT01,0,true,,,1
SERU,SERUBBULK/RORO01,0,true,,,1
SERU,SERUBBULK/RORO02,0,true,,,1
SERU,SERUBBULK/RORO03,0,true,,,1
SERU,SERUBBULK/RORO04,0,true,,,1
SERU,SERUBBULK/RORO05,0,true,,,1
SERU,SERUGENERAL PU01,0,true,,,1
SERU,SERUGENERAL PU02,0,true,,,1
SERU,SERUGENERAL PU03,0,true,,,1
SERU,SERUGENERAL PU04,0,true,,,1
SERU,SERUGENERAL PU05,0,true,,,1
SERU,SERUGENERAL PU06,0,true,,,1
SERU,SERUGENERAL PU07,0,true,,,1
SERU,SERUGENERAL PU08,0,true,,,1
SERU,SERUGENERAL PU09,0,true,,,1
SERU,SERUGENERAL PU10,0,true,,,1
SERU,SERUGENERAL PU11,0,true,,,1
SERU,SERUGENERAL PU12,0,true,,,1
SERU,SERURORO/CONTN01,0,true,,,1
SERU,SERUVISA      01,0,true,,,1
SMXS,SMXSVISA      01,0,true,,,1
STRM,STRMGENERAL PU01,0,true,,,1
SVCN,SVCNVISA      01,0,true,,,1
SYZZ,SYZZBBULK/RORO01,0,true,,,1
SYZZ,SYZZBBULK/RORO02,0,true,,,1
SYZZ,SYZZBBULK/RORO03,0,true,,,1
SYZZ,SYZZBBULK/RORO04,0,true,,,1
SYZZ,SYZZBBULK/RORO05,0,true,,,1
SYZZ,SYZZBBULK/RORO06,0,true,,,1
SYZZ,SYZZBBULK/RORO07,0,true,,,1
SYZZ,SYZZBBULK/RORO08,0,true,,,1
TGWS,TGWSVISA      01,0,true,,,1
TKDW,TKDWBBULK/CONT01,0,true,,,1
TKDW,TKDWBBULK/CONT02,0,true,,,1
TKDW,TKDWBBULK/RORO01,0,true,,,1
TKDW,TKDWBBULK/RORO02,0,true,,,1
TKDW,TKDWBBULK/RORO03,0,true,,,1
TKDW,TKDWBBULK/RORO04,0,true,,,1
TKDW,TKDWBBULK/RORO05,0,true,,,1
TKDW,TKDWGENERAL PU01,0,true,,,1
TKDW,TKDWGENERAL PU02,0,true,,,1
TKDW,TKDWGENERAL PU03,0,true,,,1
TKDW,TKDWGENERAL PU04,0,true,,,1
TNVX,TNVXVISA      01,0,true,,,1
TNZY,TNZYBBULK/RORO01,0,true,,,1
TNZY,TNZYBBULK/RORO02,0,true,,,1
TNZY,TNZYBBULK/RORO03,0,true,,,1
TNZY,TNZYBBULK/RORO04,0,true,,,1
TNZY,TNZYBBULK/RORO05,0,true,,,1
TNZY,TNZYBREAKBULK 01,0,true,,,1
TPPR,TPPRGENERAL PU01,0,true,,,1
TPPR,TPPRVISA      01,0,true,,,1
TPRW,TPRWVISA      01,0,true,,,1
TQKG,TQKGGENERAL PU01,0,true,,,1
TQKG,TQKGVISA      01,0,true,,,1
TRZP,TRZPGENERAL PU01,0,true,,,1
TVJD,TVJDBBULK/CONT01,0,true,,,1
TVJD,TVJDBBULK/RORO01,0,true,,,1
TVJD,TVJDBREAKBULK 01,0,true,,,1
TVJD,TVJDBREAKBULK 02,0,true,,,1
TVJD,TVJDBREAKBULK 03,0,true,,,1
TVJD,TVJDBREAKBULK 04,0,true,,,1
TVJD,TVJDGENERAL PU01,0,true,,,1
TVJD,TVJDGENERAL PU02,0,true,,,1
TVJD,TVJDGENERAL PU03,0,true,,,1
TVJD,TVJDGENERAL PU04,0,true,,,1
TVJD,TVJDGENERAL PU05,0,true,,,1
TVJD,TVJDGENERAL PU06,0,true,,,1
TVJD,TVJDGENERAL PU07,0,true,,,1
TVJD,TVJDGENERAL PU08,0,true,,,1
TVJD,TVJDGENERAL PU09,0,true,,,1
TVJD,TVJDGENERAL PU10,0,true,,,1
TVJD,TVJDGENERAL PU11,0,true,,,1
TVJD,TVJDGENERAL PU12,0,true,,,1
TVJD,TVJDGENERAL PU13,0,true,,,1
TVJD,TVJDVISA      01,0,true,,,1
TVXA,TVXABBULK/RORO01,0,true,,,1
TVXA,TVXABBULK/RORO02,0,true,,,1
TVXA,TVXABBULK/RORO03,0,true,,,1
TVXA,TVXABREAKBULK 01,0,true,,,1
TVXA,TVXAGENERAL PU01,0,true,,,1
TVXA,TVXAGENERAL PU02,0,true,,,1
TZL4,TZL4GENERAL PU01,0,true,,,1
TZL4,TZL4GENERAL PU02,0,true,,,1
TZYR,TZYRBREAKBULK 01,0,true,,,1
TZYR,TZYRGENERAL PU01,0,true,,,1
UMXA,UMXAALL-PURPOS01,0,true,,,0.6
UMXA,UMXABBULK/RORO01,0,true,,,0.6
UNAP,UNAPBBULK/RORO01,0,true,,,1
UNAP,UNAPBBULK/RORO02,0,true,,,1
UNAP,UNAPBBULK/RORO03,0,true,,,1
UNAP,UNAPBBULK/RORO04,0,true,,,1
