KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I10 1115-4032,4032,04,04,,,,,,,,,,,intersection 1561,intersection 1562,,,,,,,,
I10 1116-3001,3001,04,04,,,,,,,,,,,intersection 633,intersection 3238,,,,,,,,
I10 1117-1536,1536,04,04,,,,,,,,,,,intersection 2145,intersection 1561,,,,,,,,
I10 1118-5893,5893,04,04,,,,,,,,,,,intersection 214,intersection 2145,,,,,,,,
I10 1119-4441,4441,35,35,,,,,,,,,,,intersection 632,intersection 633,,,,,,,,
I10 1120-3786,3786,04,04,,,,,,,,,,,intersection 744,intersection 214,,,,,,,,
I10 1121-2286,2286,04,04,,,,,,,,,,,intersection 67,intersection 2042,,,,,,,,
I10 1122-450,450,04,04,,,,,,,,,,,intersection 743,intersection 744,,,,,,,,
I10 1124-4199,4199,04,04,,,,,,,,,,,intersection 1311,intersection 743,,,,,,,,
I10 1125-2719,2719,04,04,,,,,,,,,,,intersection 1329,intersection 1311,,,,,,,,
I10 1126-860,860,04,04,,,,,,,,,,,intersection 1168,intersection 1329,,,,,,,,
I10 1128-4559,4559,04,04,,,,,,,,,,,intersection 67,intersection 68,,,,,,,,
I10 1132-5183,5183,04,04,,,,,,,,,,,intersection 2352,intersection 3085,,,,,,,,
I10 1133-3541,3541,04,04,,,,,,,,,,,intersection 1393,intersection 1394,,,,,,,,
I10 1134-2266,2266,04,04,,,,,,,,,,,intersection 2750,intersection 1393,,,,,,,,
