KEY,SHAPE_ROW,CountryStateCode,MaxMilShip,Port,Active,Modified,DifferentCSC,EquipmentStorage,ContStackHeight,SeaBBOffPers,SeaBBOnPers,SeaContOffPers,SeaContOnPers,SeaROROOffPers,SeaROROOnPers
GREAT LAKES TNG -JKWP-NYI,0,,,,,,null,,,,,,,,
GREEN BAY -JMCZ-PRT,0,,,,,,null,,,,,,,,
GUAM PORT -JSSN-RRL,0,,,,,,null,,,,,,,,
GULFPORT -JTUX-NYI,0,,,,,,null,,,,,,,,
GULFPORT -JTVH-PRT,0,,,,,,null,,,,,,,,
HAIFA -JWJY-PRT,0,,,,,,null,,,,,,,,
HAKATA -JWTD-PRT,0,,,,,,null,,,,,,,,
HALIFAX -JXKM-PRT,0,,,,,,null,,,,,,,,
HAMBURG -JYPN-PRT,0,,,,,,null,,,,,,,,
HONG KONG ABERDEE -KZPH-PRT,0,,,,,,null,,,,,,,,
HONOLULU -KZTZ-PRT,0,,,,,,null,,,,,,,,
HOUSTON -LCMT-PRT,0,,,,,,null,,,,,,,,
INDIAN ISLAND -LKPE-PRT,0,,,,,,null,,,,,,,,
INDIAN OCEAN -00IO-OCN,0,,,,,,null,,,,,,,,
INGLESIDE -LLTY-PRT,0,,,,,,null,,,,,,,,
IZMIR -LRNC-PRT,0,,,,,,null,,,,,,,,
JACKSONVILLE -LSGM-PRT,0,,,,,,null,,,,,,,,
JBPH-H FORD ISLAN -GUYU-NYI,0,,,,,,null,,,,,,,,
JBPH-H MAKALAPA -NYNF-NBA,0,,,,,,null,,,,,,,,
JBPH-H PEARL HARB -SYZN-NBA,0,,,,,,null,,,,,,,,
JEBEL ALI -QHPB-PRT,0,,,,,,null,,,,,,,,
JEDDAH -LUTP-PRT,0,,,,,,null,,,,,,,,
JUBAIL PORT -LWEV-PRT,0,,,,,,null,,,,,,,,
KANDLA -LYAP-PRT,0,,,,,,null,,,,,,,,
KANSAS CITY -LYNK-NAV,0,,,,,,null,,,,,,,,
KAOHSIUNG TSOYING -LYRV-NYI,0,,,,,,null,,,,,,,,
KARACHI -LYTM-PRT,0,,,,,,null,,,,,,,,
KEARNY -MAAU-PRT,0,,,,,,null,,,,,,,,
KELIBIA -MBJJ-PRT,0,,,,,,null,,,,,,,,
KENOSHA -MCYS-PRT,0,,,,,,null,,,,,,,,
KEY WEST -MDXB-PRT,0,,,,,,null,,,,,,,,
KINGS BAY -MFRN-PRT,0,,,,,,null,,,,,,,,
KOBE -MKAG-PRT,0,,,,,,null,,,,,,,,
KOPER -MLDL-PRT,0,,,,,,null,,,,,,,,
KUNSAN -MLWY-PRT,0,,,,,,null,,,,,,,,
KWANGYANG -MMGH-PRT,0,,,,,,null,,,,,,,,
LE HAVRE -MZJK-PRT,0,,,,,,null,,,,,,,,
LEHIGH VALLEY -NBHO-NYI,0,,,,,,null,,,,,,,,
LEWES -NDNK-NYI,0,,,,,,null,,,,,,,,
LITTLE CREEK -NJNK-NYI,0,,,,,,null,,,,,,,,
LITTLE CREEK AMPH -NJNF-PRT,0,,,,,,null,,,,,,,,
LIVERPOOL -NLFL-PRT,0,,,,,,null,,,,,,,,
LIVORNO -NBDY-PRT,0,,,,,,null,,,,,,,,
LOME -NNWH-PRT,0,,,,,,null,,,,,,,,
LONG BEACH    NSY -NPTW-NYI,0,,,,,,null,,,,,,,,
LONG BEACH -NPTU-PRT,0,,,,,,null,,,,,,,,
LONG BEACH NSC -NPTR-PRT,0,,,,,,null,,,,,,,,
LONG ISLAND -NPVL-BAY,0,,,,,,null,,,,,,,,
LOS ANGELES -NSAN-PRT,0,,,,,,null,,,,,,,,
LOUISVILLE -NSQN-NYI,0,,,,,,null,,,,,,,,
LUALUALEI NMD -NTUF-NYI,0,,,,,,null,,,,,,,,
LUALUALEI WEST LO -NTUH-PRT,0,,,,,,null,,,,,,,,
MANILA -PAXM-PRT,0,,,,,,null,,,,,,,,
MANZANILLO -PCFC-PRT,0,,,,,,null,,,,,,,,
MANZANILLO -PCFG-PRT,0,,,,,,null,,,,,,,,
MARE ISLAND -PDZE-NYI,0,,,,,,null,,,,,,,,
MASAN -PKVP-PRT,0,,,,,,null,,,,,,,,
MAYPORT -PPSC-NYI,0,,,,,,null,,,,,,,,
MAYPORT NAVAL ST -PPSH-PRT,0,,,,,,null,,,,,,,,
MCALESTER AAP -PQEM-NYI,0,,,,,,null,,,,,,,,
MCGUIRE -PTFY-NAV,0,,,,,,null,,,,,,,,
MCKEESPORT -PUCT-NYI,0,,,,,,null,,,,,,,,
MECHANICSBURG -PVKT-NYI,0,,,,,,null,,,,,,,,
MEMPHIS -PYKG-NYI,0,,,,,,null,,,,,,,,
MEMPHIS -PYKS-NYI,0,,,,,,null,,,,,,,,
MIAMI -QCFA-NYI,0,,,,,,null,,,,,,,,
MIAMI -QCFF-PRT,0,,,,,,null,,,,,,,,
MINA QABOOS -TVXA-PRT,0,,,,,,null,,,,,,,,
MINA SAQR -QHPD-PRT,0,,,,,,null,,,,,,,,
MINA ZAYED -QHPF-PRT,0,,,,,,null,,,,,,,,
MOBILE -QMFZ-PRT,0,,,,,,null,,,,,,,,
MOKPO -QNPW-PRT,0,,,,,,null,,,,,,,,
MOREHEAD CITY -QTUP-PRT,0,,,,,,null,,,,,,,,
MOREHEAD CITY -QTUR-POL,0,,,,,,null,,,,,,,,
MUHAMMAD QASIM -BQWA-PRT,0,,,,,,null,,,,,,,,
MUKHOJIN NI -RBXH-PRT,0,,,,,,null,,,,,,,,
MUSCAT -RCYQ-CTY,0,,,,,,null,,,,,,,,
MUSCAT -RCYT-PRT,0,,,,,,null,,,,,,,,
N ISLAND -SBNB-NYI,0,,,,,,null,,,,,,,,
NAGOYA -RELG-PRT,0,,,,,,null,,,,,,,,
NAHA -REPV-PRT,0,,,,,,null,,,,,,,,
NAPLES -RGJW-PRT,0,,,,,,null,,,,,,,,
NAVY YARD -RJHC-NYI,0,,,,,,null,,,,,,,,
NEW HAVEN -RPWO-NYI,0,,,,,,null,,,,,,,,
NEW LONDON -RQFF-NYI,0,,,,,,null,,,,,,,,
NEW LONDON -RQFK-PRT,0,,,,,,null,,,,,,,,
NEW ORLEANS -RQNK-PRT,0,,,,,,null,,,,,,,,
NEW ORLEANS NAVSA -RGNP-NYI,0,,,,,,null,,,,,,,,
NEW YORK -RRHQ-NYI,0,,,,,,null,,,,,,,,
NEW YORK -RRHU-PRT,0,,,,,,null,,,,,,,,
NEW YORK PORT EMB -RRRK-ADM,0,,,,,,null,,,,,,,,
NEWPORT -RUAD-NYI,0,,,,,,null,,,,,,,,
NEWPORT -RUAM-PRT,0,,,,,,null,,,,,,,,
NEWPORT NEWS -RULV-PRT,0,,,,,,null,,,,,,,,
NEWPORT T2 -RUAQ-PRT,0,,,RUAM,,,null,,,,,,,,
NORFOLK -SBDZ-NYI,0,,,,,,null,,,,,,,,
NORFOLK -SBEA-PRT,0,,,,,,null,,,,,,,,
NORFOLK T2 -SBEQ-PRT,0,,,SBEA,,,null,,,,,,,,
NORTH ISLAND -RZMJ-NYI,0,,,,,,null,,,,,,,,
NW ATLANTIC -00A1-OCN,0,,,,,,null,,,,,,,,
OAKLAND -SERJ-NAV,0,,,,,,null,,,,,,,,
OAKLAND -SERS-NYI,0,,,,,,null,,,,,,,,
OAKLAND SEALAND T -SERU-PRT,0,,,,,,null,,,,,,,,
OCEANA -SFPM-NAV,0,,,,,,null,,,,,,,,
OKLAHOMA CITY -SHDV-NYI,0,,,,,,null,,,,,,,,
OLD VALDEZ -XRSP-PRT,0,,,,,,null,,,,,,,,
OSAKA -SMXS-PRT,0,,,,,,null,,,,,,,,
PALERMO -STRM-PRT,0,,,,,,null,,,,,,,,
PALM BEACH -STYW-PRT,0,,,,,,null,,,,,,,,
PANAMA CITY -SVCN-PRT,0,,,,,,null,,,,,,,,
PARAIEVS -TGWS-PRT,0,,,,,,null,,,,,,,,
PEARL HARBOR  NSC -SYZP-NYI,0,,,,,,null,,,,,,,,
PEARL HARBOR  NST -SYZJ-NYI,0,,,,,,null,,,,,,,,
PEARL HARBOR NAD -SYZZ-PRT,0,,,,,,null,,,,,,,,
PEARL HARBOR SHYD -SYZB-NYI,0,,,,,,null,,,,,,,,
PENSACOLA -TAXW-PRT,0,,,,,,null,,,,,,,,
PHILADELPHIA -TDXQ-NYI,0,,,,,,null,,,,,,,,
POHANG -TKDW-PRT,0,,,,,,null,,,,,,,,
POINT MUGU -TKXB-NYI,0,,,,,,null,,,,,,,,
PORT EVERGLADES -TNVX-PRT,0,,,,,,null,,,,,,,,
PORT HUENEME -TNZV-NYI,0,,,,,,null,,,,,,,,
PORT HUENEME NCBC -TNZY-PRT,0,,,,,,null,,,,,,,,
PORT KELANG -TPRW-PRT,0,,,,,,null,,,,,,,,
PORT NEWARK -RRQL-PRT,0,,,,,,null,,,,,,,,
PORT SAID -TPPR-PRT,0,,,,,,null,,,,,,,,
PORT TAMPA -TPRZ-PRT,0,,,,,,null,,,,,,,,
PORT TOWNSEND -TPSL-PRT,0,,,,,,null,,,,,,,,
PORTLAND -TQKG-PRT,0,,,,,,null,,,,,,,,
PORTO FARINA -TQPB-PRT,0,,,,,,null,,,,,,,,
PORTSMOUTH -TQRU-PRT,0,,,,,,null,,,,,,,,
PORTSMOUTH -TQUH-PRT,0,,,,,,null,,,,,,,,
PORTSMOUTH -TQUK-NYI,0,,,,,,null,,,,,,,,
PRAIA DE VITORIA -TRZP-PRT,0,,,,,,null,,,,,,,,
PROVIDENCE -TTWZ-PRT,0,,,,,,null,,,,,,,,
PUGET SOUND -TUJL-NYI,0,,,,,,null,,,,,,,,
PUSAN MILITARY TE -TVJD-PRT,0,,,,,,null,,,,,,,,
QUINCY -TWEH-NYI,0,,,,,,null,,,,,,,,
RAS AL MISHAB -TZL4-PRT,0,,,,,,null,,,,,,,,
RICHMOND -UEND-PRT,0,,,,,,null,,,,,,,,
ROCHESTER -UJBZ-PRT,0,,,,,,null,,,,,,,,
ROTA -UMXA-PRT,0,,,,,,null,,,,,,,,
ROTTERDAM -UNAP-PRT,0,,,,,,null,,,,,,,,
SALALAH MINA RAYS -TZYR-PRT,0,,,,,,null,,,,,,,,
SAN DIEGO -USZV-NYI,0,,,,,,null,,,,,,,,
SAN DIEGO -UTAC-PRT,0,,,,,,null,,,,,,,,
SAN DIEGO NAVSTA -UTBR-NYI,0,,,,,,null,,,,,,,,
SAN DIEGO NAVSUB -UTBS-NYI,0,,,,,,null,,,,,,,,
SAN FRANCISCO -UTLN-NYI,0,,,,,,null,,,,,,,,
SAN FRANCISCO -UTLS-PRT,0,,,,,,null,,,,,,,,
SAN JUAN -UTVT-PRT,0,,,,,,null,,,,,,,,
SAN PEDRO -UULA-PRT,0,,,,,,null,,,,,,,,
SAN PEDRO -UULB-PRT,0,,,,,,null,,,,,,,,
SAN PEDRO -UULX-PRT,0,,,,,,null,,,,,,,,
SASEBO -UYQR-PRT,0,,,,,,null,,,,,,,,
SAVANNAH -UZXJ-PRT,0,,,,,,null,,,,,,,,
SEAL BEACH -VFHY-NYI,0,,,,,,null,,,,,,,,
SEAL BEACH NWS -VFHZ-PRT,0,,,,,,null,,,,,,,,
SEATTLE -VFVD-NYI,0,,,,,,null,,,,,,,,
SEATTLE -VFVN-PRT,0,,,,,,null,,,,,,,,
SEATTLE NAVY PRT -VFXM-NYI,0,,,,,,null,,,,,,,,
SFAX -VKNP-PRT,0,,,,,,null,,,,,,,,
SHIMIZU -VPRF-PRT,0,,,,,,null,,,,,,,,
SINGAPORE -VSNF-PRT,0,,,,,,null,,,,,,,,
SIOUX FALLS -VSTN-NYI,0,,,,,,null,,,,,,,,
SO WEYMOUTH -VWCR-NYI,0,,,,,,null,,,,,,,,
SOUSSE -VXTY-PRT,0,,,,,,null,,,,,,,,
SOUTHPORT MILITAR -WMPT-PRT,0,,,,,,null,,,,,,,,
SUSAH -WMY2-PRT,0,,,,,,null,,,,,,,,
SYDNEY -WPAU-PRT,0,,,,,,null,,,,,,,,
TABARQAH -WPKZ-PRT,0,,,,,,null,,,,,,,,
TACOMA -WPVT-PRT,0,,,,,,null,,,,,,,,
TAKORADI -WQZM-PRT,0,,,,,,null,,,,,,,,
TEMA -WTJG-PRT,0,,,,,,null,,,,,,,,
TEXAS CITY -WUND-PRT,0,,,,,,null,,,,,,,,
TOKYO -WYKZ-PRT,0,,,,,,null,,,,,,,,
TOLEDO -WYPX-PRT,0,,,,,,null,,,,,,,,
TRAVIS -XDMT-NAV,0,,,,,,null,,,,,,,,
TRIESTE -XEXW-PRT,0,,,,,,null,,,,,,,,
TUNIS -XJCS-PRT,0,,,,,,null,,,,,,,,
TUNISIASEABASE -SEA1-PRT,0,,,,,,null,,,,,,,,
VALENCIA -XRVJ-PRT,0,,,,,,null,,,,,,,,
VALLEJO -XSHO-NYI,0,,,,,,null,,,,,,,,
VANCOUVER -XUDT-PRT,0,,,,,,null,,,,,,,,
VENICE -XVMN-CTY,0,,,,,,null,,,,,,,,
VERACRUZ -XVRV-PRT,0,,,,,,null,,,,,,,,
VILLA SAN GIOVANN -XYNK-PRT,0,,,,,,null,,,,,,,,
WARRENSVILLE HGTS -YKVG-NAV,0,,,,,,null,,,,,,,,
WASHINGTON -YLHU-NAV,0,,,,,,null,,,,,,,,
WASHINGTON DC -YLMY-NAV,0,,,,,,null,,,,,,,,
WASHINGTON NS -YLQH-NYI,0,,,,,,null,,,,,,,,
WELLINGTON -YRTK-PRT,0,,,,,,null,,,,,,,,
WESTERN MED -00XT-SEA,0,,,,,,null,,,,,,,,
WHIDBEY ISL NAS -WHAH-NYI,0,,,,,,null,,,,,,,,
WILLIAMSBURG -ZABF-NYI,0,,,,,,null,,,,,,,,
WILMINGTON -ZBES-PRT,0,,,,,,null,,,,,,,,
YANBU AL SINAIYAH -ZLVW-PRT,0,,,,,,null,,,,,,,,
YANTIAN PORT FAC -ZMJJ-PRT,0,,,,,,null,,,,,,,,
YOKOHAMA COMMERCI -ZNMC-PRT,0,,,,,,null,,,,,,,,
YORKTOWN NWS -ZQAH-PRT,0,,,,,,null,,,,,,,,
YORKTOWN NWS -ZQAJ-NYI,0,,,,,,null,,,,,,,,
ZARZIS -ZSAK-PRT,0,,,,,,null,,,,,,,,
ZHAPU -ZSJC-PRT,0,,,,,,null,,,,,,,,
