KEY,ATTRIBUTE_NUM,VALUE
medium road,46,2
military airport,3,airport.gif
military airport,4,green
military airport,86,airport
military airport,215,false
military node,3,circle
military node,215,false
missile,18,488320.0
missile,19,488320
missile,20,488320.0
missile,215,false
mobile crane,215,false
mobile crane,103,100.0
mobile crane,104,100.0
mobile crane,105,3000.0
mobile crane,106,3000.0
navaid,18,19998.4
navaid,19,19998
navaid,20,19998.4
navaid,215,false
naval activity,18,488320.0
naval activity,19,488320
naval activity,20,488320.0
naval activity,215,false
naval base,18,19998.4
naval base,19,19998
naval base,20,19998.4
naval base,215,false
navy installation,18,19998.4
navy installation,19,19998
navy installation,3,square
navy installation,4,blue
navy installation,20,19998.4
navy installation,215,false
node,0,36.0 10.0
node,128,0.0
node,1,TUNISIA
node,2,TS
node,3,circle
node,4,black
node,5,0.0
node,6,landnode
node,7,landnode
node,139,None.
node,11,10000.0
node,140,-
node,12,1000.0
node,141,None.
node,13,1000.0
node,142,-
node,14,100
node,143,None.
node,15,117647.06
node,16,20000.0
node,144,-
node,17,10000.0
node,145,None.
node,18,2.0E8
node,146,-
node,19,200000000
node,147,false
node,20,2.0E8
node,148,75.0
node,21,3
node,149,50.0
node,22,230
node,150,14400.0
node,23,230
node,151,14400.0
node,152,30.0
node,24,230.0
node,153,10.0
node,25,2000.0
node,154,20.0
node,26,2
node,155,2400.0
node,27,23000.0
node,156,24000.0
node,28,24000.0
node,157,2400.0
node,29,25000.0
node,30,26000.0
node,31,27000.0
node,32,28000.0
node,33,29000.0
node,34,20000.0
node,35,21000.0
node,36,22000.0
node,37,23000.0
node,38,24000.0
node,39,25000.0
node,40,26000.0
node,41,27000.0
node,42,550.0
node,43,800.0
node,201,5.5
node,202,5.5
node,204,5.5
node,205,Detailed
node,206,96.0
node,207,96.0
node,79,false
node,208,96.0
node,209,96.0
node,210,96.0
node,211,96.0
node,212,96.0
node,86,node
node,214,
node,215,false
node,87,0.0
node,88,24.0
node,216,
node,217,10000.0
node,218,2.1E9
node,219,2.1E9
node,95,1000
node,96,1000
node,101,550.0
node,102,550.0
node,116,
node,127,0.0
ocean,18,488320.0
ocean,19,488320
ocean,20,488320.0
ocean,215,false
operating area,18,488320.0
operating area,19,488320
operating area,3,square
operating area,4,blue
operating area,20,488320.0
operating area,215,false
parking,65,2
parking,66,4
parking,67,6
parking,100,Both
parking,86,feature
parking,215,false
parking,90,2
parking,91,4
parking,92,6
parking,93,10
pass,215,false
passage,18,488320.0
passage,19,488320
passage,20,488320.0
passage,215,false
pipeline,86,pipeline
pipeline,215,false
pipeline,200,0.0
pipeline,56,2400.0
pipeline,47,"0,153,51"
pipeline node,4,forestGreen
pipeline node,86,node
pipeline node,215,false
pol retail distribution,3,triangle
pol retail distribution,4,blue
pol retail distribution,215,false
pol retail distribution station,18,488320.0
pol retail distribution station,19,488320
pol retail distribution station,20,488320.0
pol retail distribution station,215,false
port,18,19998.4
port,19,19998
port,3,seaport.gif
port,68,1000.0
port,20,19998.4
port,69,1000.0
port,70,218.75
port,6,landnode
port,215,false
port,71,218.75
port,72,588.2353
port,73,588.2353
radar installation,18,488320.0
radar installation,19,488320
radar installation,20,488320.0
radar installation,215,false
radar receiver,18,488320.0
radar receiver,19,488320
radar receiver,20,488320.0
radar receiver,215,false
radio relay,18,488320.0
radio relay,19,488320
radio relay,3,circle
radio relay,4,darkGray
radio relay,20,488320.0
radio relay,215,false
rail,53,2400.0
rail,86,rail
rail,54,48.0
rail,215,false
rail,55,56.5
rail,11,2000.0
rail,12,500.0
rail,13,500.0
rail,45,LongDash
rail,94,Single
rail,47,"102,102,0"
rail bridge,4,125
rail bridge,86,rail bridge
rail bridge,215,false
rail bridge,168,rail
rail bridge,11,150.0
rail tunnel,4,125
rail tunnel,86,rail tunnel
rail tunnel,215,false
rail tunnel,168,rail
railroad junction,18,488320.0
railroad junction,19,488320
railroad junction,20,488320.0
railroad junction,215,false
recreation,18,488320.0
recreation,19,488320
recreation,20,488320.0
recreation,215,false
refugee camp,215,false
reserve training center,18,488320.0
reserve training center,19,488320
reserve training center,20,488320.0
reserve training center,215,false
road,160,No
road,11,2000.0
road,12,500.0
road,13,500.0
road,14,150
road,47,yellow
road,48,3824.0
road,49,50.0
road,50,false
road,52,30.0
road,86,road
road,215,false
road,159,Type 1
road bridge,86,road bridge
road bridge,215,false
road bridge,14,150
road junction,215,false
road tunnel,86,road tunnel
road tunnel,215,false
runway,215,false
rural populated area,18,488320.0
rural populated area,19,488320
rural populated area,3,circle
rural populated area,4,gray
rural populated area,20,488320.0
rural populated area,215,false
school,18,488320.0
school,19,488320
school,20,488320.0
school,215,false
sea,18,488320.0
sea,19,488320
sea,20,488320.0
sea,215,false
sea node,215,false
seanode,215,false
seaport,3,seaport.gif
seaport,99,30
seaport,68,12000.0
seaport,4,cyan
seaport,69,10000.0
seaport,70,2000.0
seaport,86,seaport
seaport,215,false
seaport,71,1000.0
seaport,72,2000.0
seaport,73,1000.0
service,18,488320.0
service,19,488320
service,20,488320.0
service,215,false
shipping lane,86,waterway
shipping lane,215,false
shipping lane,58,1000.0
shipping lane,59,14.0
shipping lane,47,blue
shipping lane node,18,488320.0
shipping lane node,19,488320
shipping lane node,20,488320.0
shipping lane node,215,false
small rail,215,false
small railroad,53,40.0
small railroad,215,false
small road,48,1530.0
small road,49,40.0
small road,215,false
staging area,3,square
staging area,4,forestGreen
staging area,86,node
staging area,215,false
storage,18,488320.0
storage,19,488320
storage,3,square
storage,4,blue
storage,20,488320.0
storage,215,false
strait,215,false
tanker berth,82,450.0
tanker berth,86,feature
tanker berth,215,false
tanker berth,126,2
terminal,2,
terminal,99,6
terminal,68,6000.0
terminal,69,4000.0
terminal,133,
terminal,70,2600.0
terminal,166,true
terminal,71,2300.0
terminal,72,1800.0
terminal,73,1200.0
terminal,18,1742400.0
terminal,21,3
terminal,215,false
terminal,216,
training,18,488320.0
training,19,488320
training,3,square
training,4,blue
training,20,488320.0
training,215,false
trans-shipment link,48,3824.0
trans-shipment link,49,25.0
trans-shipment link,215,false
tunnel,3,tunnel.gif
tunnel,4,orange
tunnel,86,feature
tunnel,215,false
unit_node,18,488320.0
unit_node,19,488320
unit_node,20,488320.0
unit_node,215,false
virtual pipeline,215,false
virtual rail,215,false
virtual road,48,9180.0
virtual road,49,25.0
virtual road,215,false
virtual waterway,215,false
vulnerable point,215,false
water,215,false
waterway,86,waterway
waterway,215,false
waterway,58,2400.0
waterway,59,8.0
waterway,47,blue
waterway node,215,false
weather station,18,488320.0
weather station,19,488320
weather station,3,square
weather station,4,blue
weather station,20,488320.0
weather station,215,false
wharf crane,215,false
wharf crane,103,288.0
wharf crane,104,288.0
wharf crane,105,8000.0
wharf crane,106,8000.0
