PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
DOTHAN -FJMK-CAP-PARKING,DOTHAN -FJMK-CAP,,,,,,,,,0,
WARMINSTER NAWC -LVSH-MAP-PARKING,WARMINSTER NAWC -LVSH-MAP,,,,,,,,,0,
BROOKS AFB -CNBC-MAP-PARKING,BROOKS AFB -CNBC-AFS,,,,,,,,,0,
JACKSONVILLE INTE -LSGA-JAP-PARKING,JACKSONVILLE INTE -LSGA-JAP,,,,,,,,,0,
GROTON-NEW LONDON -GRAQ-JAP-PARKING,GROTON-NEW LONDON -GRAQ-JAP,,,,,,,,,0,
MIDDLE GEORGIA RE -EAZP-CAP-PARKING,MIDDLE GEORGIA RE -EAZP-CAP,,,,,,,,,0,
TWENTYNINE PALMS -TWAC-AFD-PARKING,TWENTYNINE PALMS -TWAC-AFD,,,,,,,,,0,
JEFFERSON BRK -LTUY-AGS-PARKING,JEFFERSON BRK -LTUY-AGS,,,,,,,,,0,
CAMPBELL AAF -CYWF-MAP-PARKING,CAMPBELL AAF -CYWF-MAP,,,,,,,,,0,
DENVER INTL -FERX-AFD-PARKING,DENVER INTL -FERX-AFD,,,,,,,,,0,
OUED SIAH -PUBW-APT-parking,OUED SIAH -PUBW-APT,,,,,,,,,0,
KANSAS CITY SOUTH -UEBL-CAP-PARKING,KANSAS CITY SOUTH -UEBL-CAP,,,,,,,,,0,
KLAMATH FALLS INT -MFWM-IAP-PARKING,KLAMATH FALLS INT -MFWM-IAP,,,,,,,,,0,
SCHENECTADY COUNT -VBDZ-JAP-PARKING,SCHENECTADY COUNT -VBDZ-JAP,,,,,,,,,0,
W K KELLOGG REGIO -MBMV-JAP-PARKING,W K KELLOGG REGIO -MBMV-JAP,,,,,,,,,0,
INDIANAPOLIS INTE -LLFN-JAP-PARKING,INDIANAPOLIS INTE -LLFN-JAP,,,,,,,,,0,
BARBERS POINT NAS -AVXV-IAP-PARKING,BARBERS POINT NAS -AVXV-IAP,,,,,,,,,0,
YOUNGSTOWN WARREN -ZQEL-JAP-PARKING,YOUNGSTOWN WARREN -ZQEL-JAP,,,,,,,,,0,
MCCOY AAF -PSBE-MAP-PARKING,MCCOY AAF -PSBE-MAP,,,,,,,,,0,
HECTOR INTERNATIO -KKGA-IAP-PARKING,HECTOR INTERNATIO -KKGA-IAP,,,,,,,,,0,
MERIDIAN NAS -QALG-MAP-PARKING,MERIDIAN NAS -QALG-MAP,,,,,,,,,0,
EIELSON AFB -FTQW-IAP-PARKING,EIELSON AFB -FTQW-IAP,,,,,,,,,0,
KEESLER AFB -MAHG-MAP-PARKING,KEESLER AFB -MAHG-MAP,,,,,,,,,0,
COLUMBUS METROPOL -EEMW-CAP-PARKING,COLUMBUS METROPOL -EEMW-CAP,,,,,,,,,0,
WHITEMAN AFB -YWHG-MAP-PARKING,WHITEMAN AFB -YWHG-MAP,,,,,,,,,0,
INDIAN SPRINGS AF -LKTC-MAP-PARKING,INDIAN SPRINGS AF -LKTC-MAP,,,,,,,,,0,
LUBBOCK INTL -NTWM-CAP-PARKING,LUBBOCK INTL -NTWM-CAP,,,,,,,,,0,
STATE COLLEGE -WFGE-AGS-PARKING,STATE COLLEGE -WFGE-AGS,,,,,,,,,0,
BARNES MUNI -AXQD-JAP-PARKING,BARNES MUNI -AXQD-JAP,,,,,,,,,0,
PENSACOLA NAS-CHE -TAXU-AFD-PARKING,PENSACOLA NAS-CHE -TAXU-AFD,,,,,,,,,0,
OGDEN-HINCKLEY -SGPA-CAP-PARKING,OGDEN-HINCKLEY -SGPA-CAP,,,,,,,,,0,
EGLIN AF AUX NR 3 -FTEP-MAP-PARKING,EGLIN AF AUX NR 3 -FTEP-MAP,,,,,,,,,0,
GRIFFISS AFB -JREZ-MAP-PARKING,GRIFFISS AFB -JREZ-MAP,,,,,,,,,0,
COSTA MESA -UWDE-AGS-PARKING,COSTA MESA -UWDE-AGS,,,,,,,,,0,
JACKSON INTERNATI -LRXQ-IAP-PARKING,JACKSON INTERNATI -LRXQ-IAP,,,,,,,,,0,
RICHMOND INTL -CVVM-JAP-PARKING,RICHMOND INTL -CVVM-JAP,,,,,,,,,0,
SCOTT AFB -VDYD-MAP-PARKING,SCOTT AFB -VDYD-MAP,,,,,,,,,0,
MEMPHIS INTL -PYKL-JAP-PARKING,MEMPHIS INTL -PYKL-JAP,,,,,,,,,0,
NELLIS AFB -RKMF-MAP-PARKING,NELLIS AFB -RKMF-MAP,,,,,,,,,0,
YUMA AUX 2 -YUAC-AFD-PARKING,YUMA AUX 2 -YUAC-AFD,,,,,,,,,0,
MAJORS-GREENVILLE -NYJY-CAP-PARKING,MAJORS-GREENVILLE -NYJY-CAP,,,,,,,,,0,
CORPUS CHRISTI NA -ENCK-MAP-PARKING,CORPUS CHRISTI NA -ENCK-MAP,,,,,,,,,0,
SHEPPARD AFB-WICH -VNVP-JAP-PARKING,SHEPPARD AFB-WICH -VNVP-JAP,,,,,,,,,0,
BELLINGHAM INTL -BFHX-IAP-PARKING,BELLINGHAM INTL -BFHX-IAP,,,,,,,,,0,
ANNABA-EL MELLAH -BYKA-CAP-parking,ANNABA RABAH BITA -BYKA-CAP,,,,,,,,,0,
SAN JOSE INTL -UTSE-CAP-PARKING,SAN JOSE INTL -UTSE-CAP,,,,,,,,,0,
YAKIMA AIR TERMIN -ZLJP-CAP-PARKING,YAKIMA AIR TERMIN -ZLJP-CAP,,,,,,,,,0,
ROANOKE REGIONAL- -UHCE-CAP-PARKING,ROANOKE REGIONAL- -UHCE-CAP,,,,,,,,,0,
HAYWARD AIR TERMI -KJGW-JAP-PARKING,HAYWARD AIR TERMI -KJGW-JAP,,,,,,,,,0,
DYESS AFB parking-FNWZ-19780,DYESS AFB -FNWZ-MAP,,,,,,,,,1,A
HUNTER 02 -UZYJ-AGS-PARKING,HUNTER 02 -UZYJ-AGS,,,,,,,,,0,
QUONSET STATE -TWLR-JAP-PARKING,QUONSET STATE -TWLR-JAP,,,,,,,,,0,
BUCKLEY AIR NATL -CRWU-MAP-PARKING,BUCKLEY AFB -CRWU-MAP,,,,,,,,,0,
CHICAGO-OHARE INT -DPMZ-JAP-PARKING,CHICAGO-OHARE INT -DPMZ-JAP,,,,,,,,,0,
DALLAS NAS -EZTH-MAP-PARKING,DALLAS NAS -EZTH-MAP,,,,,,,,,0,
LAWRENCE MUNICIPA -MYMW-CAP-PARKING,LAWRENCE MUNICIPA -MYMW-CAP,,,,,,,,,0,
HOMESTEAD ARB -KYJL-MAP-PARKING,HOMESTEAD ARB -KYJL-MAP,,,,,,,,,0,
MAYPORT NS -PPSB-MAP-PARKING,MAYPORT NS -PPSB-MAP,,,,,,,,,0,
STAPLETON INTL -WERS-IAP-PARKING,STAPLETON INTL -WERS-IAP,,,,,,,,,0,
LOS ANGELES INTL -NSAG-JAP-PARKING,LOS ANGELES INTL -NSAG-JAP,,,,,,,,,0,
MC GHEE TYSON -PSXE-JAP-PARKING,MC GHEE TYSON -PSXE-JAP,,,,,,,,,0,
EDINGER FIELD -FSJA-AFD-PARKING,EDINGER FIELD -FSJA-AFD,,,,,,,,,0,
RALEIGH DURHAM IN -TXCE-JAP-PARKING,RALEIGH DURHAM IN -TXCE-JAP,,,,,,,,,0,
SEPULVEDA -VHRJ-AGS-PARKING,SEPULVEDA -VHRJ-AGS,,,,,,,,,0,
ABILENE REGIONAL -AARV-CAP-PARKING,ABILENE REGIONAL -AARV-CAP,,,,,,,,,0,
PORTLAND INTL -TQKD-JAP-PARKING,PORTLAND INTL -TQKD-JAP,,,,,,,,,0,
HARTSFIELD-ATLANT -AQLM-CAP-PARKING,HARTSFIELD-ATLANT -AQLM-CAP,,,,,,,,,0,
BIRMINGHAM INTL -BRKR-JAP-PARKING,BIRMINGHAM INTL -BRKR-JAP,,,,,,,,,0,
SW GEORGIA REGION -ADVN-CAP-PARKING,SW GEORGIA REGION -ADVN-CAP,,,,,,,,,0,
BURLINGTON INTERN -CURZ-IAP-PARKING,BURLINGTON INTERN -CURZ-IAP,,,,,,,,,0,
WAUKEGAN REGIONAL -WAAZ-CAP-PARKING,WAUKEGAN REGIONAL -WAAZ-CAP,,,,,,,,,0,
CAPE CANAVERAL AS -CAAY-MAP-PARKING,CAPE CANAVERAL -CAAY-AFB,,,,,,,,,0,
EL PASO INTL -FUTL-CAP-PARKING,EL PASO INTL -FUTL-CAP,,,,,,,,,0,
JOHN F KENNEDY IN -LHNZ-CAP-PARKING,JOHN F KENNEDY IN -LHNZ-CAP,,,,,,,,,0,
MOUNTAIN HOME parking-QYZH-19795,MOUNTAIN HOME AFB -QYZH-MAP,,,,,,,,,1,A
ROBERT GRAY AAF parking-UHGN,ROBERT GRAY AAF -UHGN-MAP,,,,,,,,,1,A
GREATER PITTSBURG -JLSN-AGS-PARKING,GREATER PITTSBURG -JLSN-AFD,,,,,,,,,0,
GENERAL MITCHELL -HTUX-JAP-PARKING,GENERAL MITCHELL -HTUX-JAP,,,,,,,,,0,
FORBES FIELD -GUQE-JAP-PARKING,FORBES FIELD -GUQE-JAP,,,,,,,,,0,
PAINE -STDF-AGS-PARKING,PAINE -STDF-AGS,,,,,,,,,0,
NASHVILLE I.A.P -BKTZ-JAP-PARKING,NASHVILLE I.A.P -BKTZ-JAP,,,,,,,,,0,
YEAGER -LYBH-JAP-PARKING,YEAGER -LYBH-JAP,,,,,,,,,0,
KISSIMMEE MUNICIP -MJDH-CAP-PARKING,KISSIMMEE MUNICIP -MJDH-CAP,,,,,,,,,0,
WELLESLEY -YRLZ-AGS-PARKING,WELLESLEY -YRLZ-AGS,,,,,,,,,0,
NORFOLK INTERNATI -SBDQ-CAP-PARKING,NORFOLK INTERNATI -SBDQ-CAP,,,,,,,,,0,
GILA BEND AF AUX -HXCZ-MAP-PARKING,GILA BEND AF AUX -HXCZ-MAP,,,,,,,,,0,
MCCHORD AFB -PQWY-MAP-PARKING,MCCHORD AFB -PQWY-MAP,,,,,,,,,0,
BANGOR INTERNATIO -FKNN-JAP-PARKING,BANGOR INTERNATIO -FKNN-JAP,,,,,,,,,0,
parking-BPWZ-19775,BIGGS AAF -BPWZ-MAP,,,,,,,,,1,A
CP PERRY -EUBC-AGS-PARKING,CP PERRY -EUBC-AGS,,,,,,,,,0,
WASHINGTON DULLES -FMJN-IAP-PARKING,WASHINGTON DULLES -FMJN-IAP,,,,,,,,,0,
TUCSON INTL -XHEA-JAP-PARKING,TUCSON INTL -XHEA-JAP,,,,,,,,,0,
CHERRY POINT MCAS -DNNL-MAP-PARKING,CHERRY POINT MCAS -DNNL-MAP,,,,,,,,,0,
FORD ISLAND NALF -FPAA-APT-PARKING,FORD ISLAND NALF -FPAA-APT,,,,,,,,,0,
MONTGOMERY -MPCP-AGS-PARKING,MONTGOMERY -MPCP-AGS,,,,,,,,,0,
GREENVILLE DOWNTO -JPNN-CAP-PARKING,GREENVILLE DOWNTO -JPNN-CAP,,,,,,,,,0,
LANGLEY parking-MUHJ-19788,LANGLEY AFB -MUHJ-MAP,,,,,,,,,1,A
TWIN CITIES -XLEW-MAP-PARKING,TWIN CITIES -XLEW-MAP,,,,,,,,,0,
GRAND FORKS AFB -JFSD-MAP-PARKING,GRAND FORKS AFB -JFSD-MAP,,,,,,,,,0,
MARTIN STATE APT -PJMS-JAP-PARKING,MARTIN STATE APT -PJMS-JAP,,,,,,,,,0,
MCCONNELL AFB -PRQE-MAP-PARKING,MCCONNELL AFB -PRQE-MAP,,,,,,,,,0,
LOVELL FIELD -NTEA-CAP-PARKING,LOVELL FIELD -NTEA-CAP,,,,,,,,,0,
MOFFETT FED AFLD -QMSN-MAP-PARKING,MOFFETT FED AFLD -QMSN-MAP,,,,,,,,,0,
COLUMBIA -EDWC-APT-PARKING,COLUMBIA -EDWC-APT,,,,,,,,,0,
CHICAGO CGAS -JAFZ-MAP-PARKING,CHICAGO CGAS -JAFZ-MAP,,,,,,,,,0,
FELKER AAF -GPGK-MAP-PARKING,FELKER AAF -GPGK-MAP,,,,,,,,,0,
ZANESVILLE -ZRVL-AGS-PARKING,ZANESVILLE -ZRVL-AGS,,,,,,,,,0,
SAN FRANCISCO INT -UTKY-IAP-PARKING,SAN FRANCISCO INT -UTKY-IAP,,,,,,,,,0,
VANDENBERG AFB -XUMU-MAP-PARKING,VANDENBERG AFB -XUMU-MAP,,,,,,,,,0,
GREATER PEORIA -JLQN-JAP-PARKING,GREATER PEORIA -JLQN-JAP,,,,,,,,,0,
TRAVIS AFB -XDAT-MAP-PARKING,TRAVIS AFB -XDAT-MAP,,,,,,,,,0,
LAMBERT-ST LOUIS -MSQB-JAP-PARKING,LAMBERT-ST LOUIS -MSQB-JAP,,,,,,,,,0,
SHARPE AAF -SHAR-MAP-PARKING,SHARPE AAF -SHAR-MAP,,,,,,,,,0,
CALVERTON N WPN I -SZTN-MAP-PARKING,CALVERTON N WPN I -SZTN-MAP,,,,,,,,,0,
CHANNEL ISLANDS A -DJCF-AGS-PARKING,CHANNEL ISLANDS A -DJCF-AGS,,,,,,,,,0,
MAXWELL AFB -PNQS-MAP-PARKING,MAXWELL AFB -PNQS-MAP,,,,,,,,,0,
GOLDSBORO WAYNE M -JBUU-APT-PARKING,GOLDSBORO WAYNE M -JBUU-APT,,,,,,,,,0,
SIDI AHMED AIR BA -BSRR-IAP-parking,SIDI AHMED AIR BA -BSRR-IAP,,,,,,,,,0,
HOUSTON GULF -VYFJ-APT-PARKING,HOUSTON GULF -VYFJ-APT,,,,,,,,,0,
CP PENDLETON MCAF -CAAP-MAP-PARKING,CP PENDLETON MCAF -CAAP-MAP,,,,,,,,,0,
FORNEY AAF-FT LW -GWAW-MAP-PARKING,WAYNESVILLE RGNL -GWAW-MAP,,,,,,,,,0,
HUNTSVILLE MADISO -LFSU-CAP-PARKING,HUNTSVILLE MADISO -LFSU-CAP,,,,,,,,,0,
NEWARK INTERNATIO -RRPQ-IAP-PARKING,NEWARK INTERNATIO -RRPQ-IAP,,,,,,,,,0,
C SPRINGS parking-TDHV-19799,C SPRINGS-PETERSN -TDHV-JAP,,,,,,,,,1,A
HUNTER AAF -LEXG-MAP-PARKING,HUNTER AAF -LEXG-MAP,,,,,,,,,0,
SPRINGFIELD-BECKL -WAAR-JAP-PARKING,SPRINGFIELD-BECKL -WAAR-JAP,,,,,,,,,0,
parking-TMKH-19800,POPE AFB -TMKH-MAP,,,,,,,,,1,A
ZANESVILLE MUNI -ZRUZ-CAP-PARKING,ZANESVILLE MUNI -ZRUZ-CAP,,,,,,,,,0,
REMADA -REAG-APT-parking,REMADA -REAG-APT,,,,,,,,,0,
SHERMAN AAF -SHA5-MAP-PARKING,SHERMAN AAF -SHA5-MAP,,,,,,,,,0,
SOUTERN CALIF INT -HUUA-MAP-PARKING,SOUTERN CALIF INT -HUUA-MAP,,,,,,,,,0,
LITTLE ROCK AFB -NKAK-MAP-PARKING,LITTLE ROCK AFB -NKAK-MAP,,,,,,,,,0,
SO PORTLAND -VVRK-AGS-PARKING,SO PORTLAND -VVRK-AGS,,,,,,,,,0,
DES MOINES INTL -FFAR-JAP-PARKING,DES MOINES INTL -FFAR-JAP,,,,,,,,,0,
STEWART -WHAY-JAP-PARKING,STEWART -WHAY-JAP,,,,,,,,,0,
VANCE AFB -XTLF-MAP-PARKING,VANCE AFB -XTLF-MAP,,,,,,,,,0,
FORT SMITH REGION -HKRZ-JAP-PARKING,FORT SMITH REGION -HKRZ-JAP,,,,,,,,,0,
LAURENCE G HANSCO -MXRD-CAP-PARKING,LAURENCE G HANSCO -MXRD-CAP,,,,,,,,,0,
ANCHORAGE INTERNA -AJBQ-IAP-PARKING,ANCHORAGE INTERNA -AJBQ-IAP,,,,,,,,,0,
JACKSON BARRACKS -LSBC-AGS-PARKING,JACKSON BARRACKS -LSBC-AGS,,,,,,,,,0,
THE FRANCIS S GAB -WKVB-JAP-PARKING,THE FRANCIS S GAB -WKVB-JAP,,,,,,,,,0,
FAIRCHILD AFB -GJKZ-MAP-PARKING,FAIRCHILD AFB -GJKZ-MAP,,,,,,,,,0,
MAXWELL AFB GUNT -JUBJ-AFS-PARKING,MAXWELL AFB, GUNT -JUBJ-AFS,,,,,,,,,0
OFFUTT AFB -SGBP-MAP-PARKING,OFFUTT AFB -SGBP-MAP,,,,,,,,,0,
SPOKANE INTL -VZCR-JAP-PARKING,SPOKANE INTL -VZCR-JAP,,,,,,,,,0,
STANDIFORD FIELD -WEAS-JAP-PARKING,STANDIFORD FIELD -WEAS-JAP,,,,,,,,,0,
SALT LAKE CITY IN -USEB-JAP-PARKING,SALT LAKE CITY IN -USEB-JAP,,,,,,,,,0,
LAUGHLIN AFB -MXDP-MAP-PARKING,LAUGHLIN AFB -MXDP-MAP,,,,,,,,,0,
NORTH ISLAND NAS -RZQH-IAP-PARKING,NORTH ISLAND NAS -RZQH-IAP,,,,,,,,,0,
DOBBINS AFB -FGWB-MAP-PARKING,DOBBINS AFB -FGWB-MAP,,,,,,,,,0,
EGLIN AFB -FTFA-MAP-PARKING,EGLIN AFB -FTFA-MAP,,,,,,,,,0,
THYNA-EL MAOU -FUQN-IAP-parking,THYNA -FUQN-IAP,,,,,,,,,0,
LOS ANGELES -ACJP-AFS-PARKING,LOS ANGELES -ACJP-AFS,,,,,,,,,0,
FAYETTEVILLE MUNI -JHPM-CAP-PARKING,FAYETTEVILLE MUNI -JHPM-CAP,,,,,,,,,0,
DAVIS MONTHAN AFB -FBNV-MAP-PARKING,DAVIS MONTHAN AFB -FBNV-MAP,,,,,,,,,0,
REDSTONE AAF -UBHP-MAP-PARKING,REDSTONE AAF -UBHP-MAP,,,,,,,,,0,
RANDOLPH AFB -TYMX-MAP-PARKING,RANDOLPH AFB -TYMX-MAP,,,,,,,,,0,
SELFRIDGE ANGB -VGLZ-MAP-PARKING,SELFRIDGE ANGB -VGLZ-MAP,,,,,,,,,0,
ALEXANDRIA INTL parking-GAMH-19781,ALEXANDRIA INTL -GAMH-MAP,,,,,,,,,1,A
ROSLYN -UMLH-AGS-PARKING,ROSLYN -UMLH-AGS,,,,,,,,,0,
GARLAND -HSKD-AGS-PARKING,GARLAND -HSKD-AGS,,,,,,,,,0,
HOLLOMAN AFB -KWRD-MAP-PARKING,HOLLOMAN AFB -KWRD-MAP,,,,,,,,,0,
LORING AFB -NRCH-MAP-PARKING,LORING AFB -NRCH-MAP,,,,,,,,,0,
KELLY AFB -MBPB-MAP-PARKING,KELLY AFB -MBPB-MAP,,,,,,,,,0,
REESE AFB -UBNS-MAP-PARKING,REESE AFB -UBNS-MAP,,,,,,,,,0,
BRUNSWICK NAS -CQLW-MAP-PARKING,BRUNSWICK NAS -CQLW-MAP,,,,,,,,,0,
TEBESSA -WSVC-CAP-parking,CHEIKH LARBI TEBE -WSVC-CAP,,,,,,,,,0,
HARRISBURG INTL -SHYQ-JAP-PARKING,HARRISBURG INTL -SHYQ-JAP,,,,,,,,,0,
NEW RIVER MCAS -RQWP-MAP-PARKING,NEW RIVER MCAS -RQWP-MAP,,,,,,,,,0,
PETERSON AFB -TDKA-AFD-PARKING,PETERSON AFB -TDKA-AFD,,,,,,,,,0,
COLUMBUS AFB -EEPZ-MAP-PARKING,COLUMBUS AFB -EEPZ-MAP,,,,,,,,,0,
JERBA-ZARZIS -JEAH-IAP-parking,ZARZIS -JEAH-IAP,,,,,,,,,0,
