PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
CAPITAL -DCFT-JAP-PARKING,CAPITAL -DCFT-JAP,,,,,,,,,0,
MINOT AFB -QJVF-MAP-PARKING,MINOT AFB -QJVF-MAP,,,,,,,,,0,
TAMPA INTERNATION -WRLK-CAP-PARKING,TAMPA INTERNATION -WRLK-CAP,,,,,,,,,0,
CLEAR CREEK -CLAG-APT-PARKING,CLEAR CREEK -CLAG-APT,,,,,,,,,0,
LONG BEACH CGAS -NPTN-AFD-PARKING,LONG BEACH CGAS -NPTN-AFD,,,,,,,,,0,
JACKSONVILLE NAS -LSGE-MAP-PARKING,JACKSONVILLE NAS -LSGE-MAP,,,,,,,,,0,
MACDILL AFB AUX -ASPQ-APT-PARKING,AVON PARK MUNI -ASPQ-APT,,,,,,,,,0,
ELLINGTON FIELD -FWJH-JAP-PARKING,ELLINGTON FIELD -FWJH-JAP,,,,,,,,,0,
CHAND-WILLIAMS GA -YZJU-MAP-PARKING,CHAND-WILLIAMS GA -YZJU-MAP,,,,,,,,,0,
HILL AFB -KRSM-MAP-PARKING,HILL AFB -KRSM-MAP,,,,,,,,,0,
ELMENDORF AFB -FXSB-IAP-PARKING,ELMENDORF AFB -FXSB-IAP,,,,,,,,,0,
MAXWELL parking-PNQS-19789,MAXWELL AFB -PNQS-MAP,,,,,,,,,1,A
SEATTLE AIR NAT G -VFUL-AGS-PARKING,SEATTLE AIR NAT G -VFUL-AGS,,,,,,,,,0,
POST AAF-FT SILL -KLZU-MAP-PARKING,HENRY POST AAF -KLZU-MAP,,,,,,,,,0,
TULSA INTL -XHZG-JAP-PARKING,TULSA INTL -XHZG-JAP,,,,,,,,,0,
KULIS -MLRV-AGS-PARKING,KULIS -MLRV-AGS,,,,,,,,,0,
BIGGS AAF -BPWZ-MAP-PARKING,BIGGS AAF -BPWZ-MAP,,,,,,,,,0,
GOODFELLOW AFB -JCGU-AFD-PARKING,GOODFELLOW AFB -JCGU-AFD,,,,,,,,,0,
GAFSA -HPBF-APT-parking,GAFSA -HPBF-APT,,,,,,,,,0,
OCEANA NAS -SFPH-MAP-PARKING,OCEANA NAS -SFPH-MAP,,,,,,,,,0,
PLATTSBURGH AFB -THWA-MAP-PARKING,PLATTSBURGH AFB -THWA-MAP,,,,,,,,,0,
HURLBURT FLD -FTEV-MAP-PARKING,HURLBURT FLD -FTEV-MAP,,,,,,,,,0,
MC GUIRE parking-PTFL-19790,MC GUIRE AFB -PTFL-MAP,,,,,,,,,1,A
ROBERT GRAY AAF -UHGN-MAP-PARKING,ROBERT GRAY AAF -UHGN-MAP,,,,,,,,,0,
SNELLING -VUKL-AFS-PARKING,SNELLING -VUKL-AFS,,,,,,,,,0,
SAN DIEGO INTL LI -NGWV-JAP-PARKING,SAN DIEGO INTL LI -NGWV-JAP,,,,,,,,,0,
KANEOHE BAY MCAF -LYAX-MAP-PARKING,KANEOHE BAY MCAF -LYAX-MAP,,,,,,,,,0,
LINCOLN MUNICIPAL -NGCB-JAP-PARKING,LINCOLN MUNICIPAL -NGCB-JAP,,,,,,,,,0,
ONTARIO INTL -SKKA-JAP-PARKING,ONTARIO INTL -SKKA-JAP,,,,,,,,,0,
MARCH AFB -PCZP-MAP-PARKING,MARCH AFB -PCZP-MAP,,,,,,,,,0,
JOE FOSS FIELD -LUXC-JAP-PARKING,JOE FOSS FIELD -LUXC-JAP,,,,,,,,,0,
DJEDEIDA -FGTZ-AFD-parking,DJEDEIDA -FGTZ-AFD,,,,,,,,,0,
POINT MUGA NAWS -TKXA-MAP-PARKING,POINT MUGU NAS -TKXA-MAP,,,,,,,,,0,
RENO-TAHOE INTL -UCTL-JAP-PARKING,RENO-TAHOE INTL -UCTL-JAP,,,,,,,,,0,
TUSTIN MCAS -UWDG-MAP-PARKING,TUSTIN MCAS -UWDG-MAP,,,,,,,,,0,
KIRTLAND AFB -MHMV-MAP-PARKING,KIRTLAND AFB -MHMV-MAP,,,,,,,,,0,
