KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I10 1105-6142,6142,null,null,6.28,,,,38223.53,50.0,,,,large road,ints-3211,ints-6382,,,,,,,,
I10 1106-4489,4489,null,null,3.96,,,,38223.53,50.0,,,,large road,ints-2123,ints-840,,,,,,,,
I10 1107-2801,2801,null,null,2.04,,,,38223.53,50.0,,,,large road,ints-226,ints-3211,,,,,,,,
I10 1108-5033,5033,null,null,6.36,,,,38223.53,50.0,,,,large road,ints-266,ints-2123,,,,,,,,
I10 1109-3410,3410,null,null,1.31,,,,38223.53,50.0,,,,large road,ints-5998,ints-226,,,,,,,,
I10 1110-5081,5081,null,null,4.44,,,,38223.53,50.0,,,,large road,ints-2330,ints-266,,,,,,,,
I10 1111-3644,3644,null,null,7.05,,,,38223.53,50.0,,,,large road,ints-840,ints-3370,,,,,,,,
I10 1112-2533,2533,null,null,1.17,,,,38223.53,50.0,,,,large road,ints-4266,ints-5998,,,,,,,,
I10 1113-1129,1129,null,null,2.8,,,,49717.65,50.0,,,,large road,ints-1190,ints-4266,,,,,,,,
I10 1114-5510,5510,null,null,11.97,,,,38223.53,50.0,,,,large road,ints-3845,ints-2330,,,,,,,,
I10 1115-4032,4032,null,null,1.31,,,,49717.65,50.0,,,,large road,ints-4668,ints-1190,,,,,,,,
I10 1116-3001,3001,null,null,4.13,,,,38223.53,50.0,,,,large road,ints-4282,ints-3845,,,,,,,,
I10 1117-1536,1536,null,null,0.9,,,,49717.65,50.0,,,,large road,ints-4867,ints-4668,,,,,,,,
I10 1118-5893,5893,null,null,1.13,,,,49717.65,50.0,,,,large road,ints-2858,ints-4867,,,,,,,,
I10 1119-4441,4441,null,null,8.35,,,,38223.53,50.0,,,,large road,ints-455,ints-4282,,,,,,,,
I10 1120-3786,3786,null,null,1.06,,,,49717.65,50.0,,,,large road,ints-3999,ints-2858,,,,,,,,
I10 1121-2286,2286,null,null,8.7,,,,38223.53,50.0,,,,large road,ints-418,ints-3370,,,,,,,,
I10 1122-450,450,null,null,0.99,,,,49717.65,50.0,,,,large road,ints-5843,ints-3999,,,,,,,,
I10 1124-4199,4199,null,null,1.04,,,,49717.65,50.0,,,,large road,ints-6187,ints-5843,,,,,,,,
I10 1125-2719,2719,null,null,0.6,,,,49717.65,50.0,,,,large road,ints-3932,ints-6187,,,,,,,,
I10 1126-860,860,null,null,0.74,,,,49717.65,50.0,,,,large road,ints-4181,ints-3932,,,,,,,,
I10 1128-4559,4559,null,null,4.56,,,,38223.53,50.0,,,,large road,ints-418,ints-5808,,,,,,,,
I10 1132-5183,5183,null,null,0.43,,,,49717.65,50.0,,,,large road,ints-1966,ints-335,,,,,,,,
I10 1133-3541,3541,null,null,0.57,,,,38223.53,50.0,,,,large road,ints-2511,ints-6377,,,,,,,,
I10 1134-2266,2266,null,null,2.13,,,,38223.53,50.0,,,,large road,ints-6211,ints-2511,,,,,,,,
I10 1136-5603,5603,null,null,1.11,,,,49717.65,50.0,,,,large road,ints-2597,ints-6211,,,,,,,,
I10 1138-2690,2690,null,null,2.37,,,,38223.53,50.0,,,,large road,ints-4088,ints-2597,,,,,,,,
I10 1139-1036,1036,null,null,4.96,,,,38223.53,50.0,,,,large road,ints-1033,ints-4088,,,,,,,,
I10 1140-819,819,null,null,6.21,,,,38223.53,50.0,,,,large road,ints-5692,ints-1033,,,,,,,,
I10 1141-5763,5763,null,null,24.87,,,,38223.53,50.0,,,,large road,ints-5808,ints-4899,,,,,,,,
I10 1142-4139,4139,null,null,14.51,,,,38223.53,50.0,,,,large road,ints-3091,ints-5692,,,,,,,,
I10 1143-2850,2850,null,null,6.16,,,,38223.53,50.0,,,,large road,ints-1750,ints-3091,,,,,,,,
I10 1157-1322,1322,null,null,0.21,,,,38223.53,50.0,,,,large road,ints-1711,ints-6273,,,,,,,,
I10 1158-6077,6077,null,null,0.11,,,,38223.53,50.0,,,,large road,ints-6377,ints-1966,,,,,,,,
I10 1163-5522,5522,null,null,3.96,,,,49717.65,50.0,,,,large road,ints-1332,ints-3934,,,,,,,,
I10 1164-4060,4060,null,null,0.05,,,,49717.65,50.0,,,,large road,ints-3934,ints-5362,,,,,,,,
I10 1165-2522,2522,null,null,2.02,,,,49717.65,50.0,,,,large road,ints-5362,ints-1454,,,,,,,,
I10 1172-4242,4242,null,null,0.2,,,,49717.65,50.0,,,,large road,ints-5917,ints-1995,,,,,,,,
I10 1173-5685,5685,null,null,2.83,,,,49717.65,50.0,,,,large road,ints-2217,ints-5917,,,,,,,,
I10 1174-897,897,null,null,0.57,,,,49717.65,50.0,,,,large road,ints-5952,ints-2129,,,,,,,,
I10 1175-2346,2346,null,null,0.45,,,,49717.65,50.0,,,,large road,ints-5983,ints-5952,,,,,,,,
I10 1176-3822,3822,null,null,2.82,,,,38223.53,50.0,,,,large road,ints-3968,ints-5983,,,,,,,,
I10 1177-5288,5288,null,null,0.52,,,,49717.65,50.0,,,,large road,ints-2820,ints-6026,,,,,,,,
I10 1178-449,449,null,null,0.27,,,,49717.65,50.0,,,,large road,ints-6273,ints-2820,,,,,,,,
I10 1179-1906,1906,null,null,4.22,,,,38223.53,50.0,,,,large road,ints-4143,ints-3968,,,,,,,,
I10 1184-5080,5080,null,null,1.54,,,,49717.65,50.0,,,,large road,ints-2405,ints-2425,,,,,,,,
I10 1185-319,319,null,null,0.58,,,,49717.65,50.0,,,,large road,ints-2221,ints-5234,,,,,,,,
I10 1186-1753,1753,null,null,0.07,,,,49717.65,50.0,,,,large road,ints-5234,ints-2115,,,,,,,,
I10 1187-3273,3273,null,null,0.92,,,,49717.65,50.0,,,,large road,ints-2115,ints-2405,,,,,,,,
I10 1201-748,748,null,null,0.84,,,,49717.65,50.0,,,,large road,ints-5559,ints-4181,,,,,,,,
I10 1202-4749,4749,null,null,1.34,,,,49717.65,50.0,,,,large road,ints-335,ints-5559,,,,,,,,
I10 1205-4698,4698,null,null,3.8,,,,38223.53,50.0,,,,large road,ints-4899,ints-5493,,,,,,,,
I10 1206-346,346,null,null,0.97,,,,38223.53,50.0,,,,large road,ints-5493,ints-1750,,,,,,,,
I10 15165-325,325,null,null,11.23,,,,38223.53,50.0,,,,large road,ints-5588,ints-3832,,,,,,,,
I10 15166-1587,1587,null,null,1.39,,,,38223.53,50.0,,,,large road,ints-6042,ints-2827,,,,,,,,
I10 15169-6161,6161,null,null,17.37,,,,38223.53,50.0,,,,large road,ints-2827,ints-2481,,,,,,,,
I10 15173-5241,5241,null,null,39.62,,,,38223.53,50.0,,,,large road,ints-2265,ints-5588,,,,,,,,
I10 15178-269,269,null,null,23.3,,,,38223.53,50.0,,,,large road,ints-2030,ints-2265,,,,,,,,
I10 15183-5210,5210,null,null,1.01,,,,38223.53,50.0,,,,large road,ints-5151,ints-1711,,,,,,,,
I10 15184-4021,4021,null,null,0.99,,,,49717.65,50.0,,,,large road,ints-1272,ints-5151,,,,,,,,
I10 15185-2416,2416,null,null,1.92,,,,49717.65,50.0,,,,large road,ints-6026,ints-2217,,,,,,,,
I10 15186-1138,1138,null,null,0.5,,,,49717.65,50.0,,,,large road,ints-2425,ints-871,,,,,,,,
I10 15188-4432,4432,null,null,1.52,,,,49717.65,50.0,,,,large road,ints-5173,ints-1272,,,,,,,,
I10 15189-2767,2767,null,null,0.48,,,,49717.65,50.0,,,,large road,ints-689,ints-5173,,,,,,,,
I10 15190-1705,1705,null,null,0.28,,,,49717.65,50.0,,,,large road,ints-414,ints-689,,,,,,,,
I10 15191-282,282,null,null,0.54,,,,49717.65,50.0,,,,large road,ints-871,ints-3925,,,,,,,,
