KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I59+ 10040-3890,3890,null,null,65.9,,,,38223.53,50.0,,,,large road,ints-2895,ints-2920,,,,,,,,
I59+ 205-503,503,null,null,33.78,,,,38223.53,50.0,,,,large road,ints-1601,ints-1645,,,,,,,,
I59+ 226-6005,6005,null,null,8.92,,,,49717.65,50.0,,,,large road,ints-2657,ints-4785,,,,,,,,
I59+ 254-5340,5340,null,null,6.92,,,,49717.65,50.0,,,,large road,ints-4785,ints-4764,,,,,,,,
I59+ 4373-5805,5805,null,null,42.79,,,,38223.53,50.0,,,,large road,ints-572,ints-3822,,,,,,,,
I59+ 9936-3039,3039,null,null,52.21,,,,49717.65,50.0,,,,large road,ints-6307,ints-6253,,,,,,,,
I59+ 9998-4244,4244,null,null,1.48,,,,49717.65,50.0,,,,large road,ints-6307,ints-749,,,,,,,,
I59+ 9999-2772,2772,null,null,4.31,,,,49717.65,50.0,,,,large road,ints-5791,ints-749,,,,,,,,
I59+-1973,1973,null,null,34.23,,,,38223.53,50.0,,,,large road,ints-5769,ints-2305,,,,,,,,
I59-2813,2813,null,null,2.38,,,,49717.65,50.0,,,,large road,ints-572,ints-2305,,,,,,,,
I590+-2272,2272,null,null,2.65,,,,49717.65,50.0,,,,large road,ints-1607,ints-5721,,,,,,,,
I590-1700,1700,null,null,2.06,,,,49717.65,50.0,,,,large road,ints-1607,ints-1457,,,,,,,,
I595+ 8166-2980,2980,null,null,7.64,,,,29352.941,42.0,,,,medium road,ints-2647,ints-4691,,,,,,,,
I595+ 8168-5640,5640,null,null,8.04,,,,38223.53,50.0,,,,large road,ints-1872,ints-2647,,,,,,,,
I595+-323,323,null,null,11.35,,,,49717.65,50.0,,,,large road,ints-5078,ints-2089,,,,,,,,
I595-4339,4339,null,null,2.1,,,,49717.65,50.0,,,,large road,ints-5099,ints-5078,,,,,,,,
I605+ 1921-3586,3586,null,null,5.96,,,,49717.65,50.0,,,,large road,ints-3476,ints-5717,,,,,,,,
I605+ 1936-2345,2345,null,null,5.54,,,,49717.65,50.0,,,,large road,ints-1785,ints-1095,,,,,,,,
I605+ 2067-3791,3791,null,null,10.61,,,,49717.65,50.0,,,,large road,ints-2284,ints-1785,,,,,,,,
I605+ 2742-58,58,null,null,2.0,,,,49717.65,50.0,,,,large road,ints-2719,ints-3476,,,,,,,,
I605+-2264,2264,null,null,1.98,,,,49717.65,50.0,,,,large road,ints-5717,ints-2284,,,,,,,,
I605-1107,1107,null,null,1.45,,,,49717.65,50.0,,,,large road,ints-503,ints-2719,,,,,,,,
I610+ 17768-2762,2762,null,null,2.43,,,,49717.65,50.0,,,,large road,ints-3514,ints-2151,,,,,,,,
I610+ 17774-1859,1859,null,null,5.72,,,,49717.65,50.0,,,,large road,ints-880,ints-3514,,,,,,,,
I610+ 17779-5916,5916,null,null,4.97,,,,49717.65,50.0,,,,large road,ints-2151,ints-6067,,,,,,,,
I610+ 17782-770,770,null,null,1.28,,,,49717.65,50.0,,,,large road,ints-3066,ints-6067,,,,,,,,
I610+ 17821-5581,5581,null,null,3.63,,,,49717.65,50.0,,,,large road,ints-6359,ints-3066,,,,,,,,
I610+ 17846-5778,5778,null,null,1.99,,,,49717.65,50.0,,,,large road,ints-4142,ints-1969,,,,,,,,
I610+ 17857-2576,2576,null,null,13.92,,,,49717.65,50.0,,,,large road,ints-1011,ints-6359,,,,,,,,
I610+ 17863-2156,2156,null,null,1.61,,,,49717.65,50.0,,,,large road,ints-4142,ints-1011,,,,,,,,
I610+-1600,1600,null,null,4.46,,,,49717.65,50.0,,,,large road,ints-6069,ints-5627,,,,,,,,
I610-2845,2845,null,null,2.58,,,,49717.65,50.0,,,,large road,ints-1969,ints-880,,,,,,,,
I630+-5207,5207,null,null,7.61,,,,49717.65,50.0,,,,large road,ints-1533,ints-4354,,,,,,,,
I635 16953-4946,4946,null,null,3.87,,,,49717.65,50.0,,,,large road,ints-4698,ints-2592,,,,,,,,
I635 6659-1286,1286,null,null,0.62,,,,49717.65,50.0,,,,large road,ints-603,ints-5676,,,,,,,,
I635 6661-1188,1188,null,null,0.88,,,,49717.65,50.0,,,,large road,ints-603,ints-3711,,,,,,,,
I635+ 16899-2024,2024,null,null,3.39,,,,49717.65,50.0,,,,large road,ints-517,ints-5628,,,,,,,,
I635+ 16913-6231,6231,null,null,5.71,,,,49717.65,50.0,,,,large road,ints-5006,ints-517,,,,,,,,
I635+ 16917-4982,4982,null,null,7.12,,,,49717.65,50.0,,,,large road,ints-2592,ints-1882,,,,,,,,
I635+ 16921-4460,4460,null,null,8.01,,,,49717.65,50.0,,,,large road,ints-1882,ints-5006,,,,,,,,
I635+ 16969-6221,6221,null,null,3.84,,,,49717.65,50.0,,,,large road,ints-4961,ints-4698,,,,,,,,
I635+ 17054-328,328,null,null,5.07,,,,49717.65,50.0,,,,large road,ints-3251,ints-4961,,,,,,,,
I635+ 6692-4494,4494,null,null,4.54,,,,49717.65,50.0,,,,large road,ints-6127,ints-142,,,,,,,,
I635+ 9335-199,199,null,null,2.06,,,,49717.65,50.0,,,,large road,ints-427,ints-3489,,,,,,,,
I635+-5637,5637,null,null,2.87,,,,49717.65,50.0,,,,large road,ints-142,ints-3711,,,,,,,,
I635-1032,1032,null,null,1.55,,,,49717.65,50.0,,,,large road,ints-427,ints-5676,,,,,,,,
I64 18700-366,366,null,null,1.18,,,,38223.53,50.0,,,,large road,ints-780,ints-4617,,,,,,,,
I64 18713-666,666,null,null,7.39,,,,38223.53,50.0,,,,large road,ints-672,ints-4617,,,,,,,,
I64 18741-5076,5076,null,null,3.68,,,,38223.53,50.0,,,,large road,ints-6282,ints-3698,,,,,,,,
I64 18783-2398,2398,null,null,0.34,,,,49717.65,50.0,,,,large road,ints-3493,ints-1404,,,,,,,,
I64 18785-1089,1089,null,null,0.73,,,,49717.65,50.0,,,,large road,ints-62,ints-3493,,,,,,,,
I64 18790-6232,6232,null,null,2.1,,,,49717.65,50.0,,,,large road,ints-5935,ints-62,,,,,,,,
I64 18792-2513,2513,null,null,0.55,,,,49717.65,50.0,,,,large road,ints-3878,ints-5935,,,,,,,,
I64 18804-139,139,null,null,3.15,,,,49717.65,50.0,,,,large road,ints-2622,ints-5814,,,,,,,,
I64 18968-5951,5951,null,null,0.84,,,,49717.65,50.0,,,,large road,ints-5449,ints-5644,,,,,,,,
I64 19018-3836,3836,null,null,1.05,,,,49717.65,50.0,,,,large road,ints-575,ints-6318,,,,,,,,
I64 19026-5521,5521,null,null,2.11,,,,49717.65,50.0,,,,large road,ints-4308,ints-575,,,,,,,,
I64 19060-5147,5147,null,null,0.95,,,,49717.65,50.0,,,,large road,ints-1172,ints-3771,,,,,,,,
I64 19071-3054,3054,null,null,1.07,,,,49717.65,50.0,,,,large road,ints-2081,ints-3545,,,,,,,,
I64 20289-4659,4659,null,null,0.1,,,,49717.65,50.0,,,,large road,ints-236,ints-3595,,,,,,,,
I64+ 18702-59,59,null,null,89.9,,,,38223.53,50.0,,,,large road,ints-6035,ints-780,,,,,,,,
I64+ 18733-636,636,null,null,18.24,,,,38223.53,50.0,,,,large road,ints-672,ints-3698,,,,,,,,
I64+ 18765-2896,2896,null,null,8.89,,,,49717.65,50.0,,,,large road,ints-1404,ints-6035,,,,,,,,
I64+ 18794-3533,3533,null,null,7.02,,,,49717.65,50.0,,,,large road,ints-5814,ints-3878,,,,,,,,
I64+ 18807-1781,1781,null,null,41.27,,,,49717.65,50.0,,,,large road,ints-294,ints-2622,,,,,,,,
I64+ 18910-6205,6205,null,null,4.55,,,,49717.65,50.0,,,,large road,ints-2999,ints-294,,,,,,,,
I64+ 18922-3948,3948,null,null,3.34,,,,49717.65,50.0,,,,large road,ints-6343,ints-2999,,,,,,,,
I64+ 18950-5689,5689,null,null,14.22,,,,49717.65,50.0,,,,large road,ints-5644,ints-6343,,,,,,,,
I64+ 18973-823,823,null,null,11.52,,,,49717.65,50.0,,,,large road,ints-2038,ints-5449,,,,,,,,
I64+ 19007-3100,3100,null,null,4.13,,,,49717.65,50.0,,,,large road,ints-6318,ints-2038,,,,,,,,
I64+ 19043-2085,2085,null,null,6.73,,,,49717.65,50.0,,,,large road,ints-2081,ints-4308,,,,,,,,
I64+ 19066-2666,2666,null,null,3.85,,,,49717.65,50.0,,,,large road,ints-4655,ints-1172,,,,,,,,
I64+ 19074-4532,4532,null,null,4.32,,,,49717.65,50.0,,,,large road,ints-3545,ints-4655,,,,,,,,
I64+ 20225-691,691,null,null,41.1,,,,49717.65,50.0,,,,large road,ints-666,ints-3745,,,,,,,,
I64+ 20235-2855,2855,null,null,6.29,,,,49717.65,50.0,,,,large road,ints-3595,ints-666,,,,,,,,
I64+ 20245-4079,4079,null,null,6.02,,,,49717.65,50.0,,,,large road,ints-3721,ints-236,,,,,,,,
I64+ 20254-4490,4490,null,null,52.61,,,,49717.65,50.0,,,,large road,ints-1200,ints-1615,,,,,,,,
I64+ 20277-5987,5987,null,null,2.44,,,,49717.65,50.0,,,,large road,ints-3498,ints-1200,,,,,,,,
I64+ 20278-1-4978,4978,null,null,28.032,,,,38223.53,50.0,,,,large road,ints-2608,ints-3498,,,,,,,,
I64+ 20278-992,992,null,null,91.928,,,,38223.53,50.0,,,,large road,ints-2608,ints-6282,,,,,,,,
I64+ 6153-2579,2579,null,null,11.46,,,,49717.65,50.0,,,,large road,ints-2860,ints-4897,,,,,,,,
I64+ 6157-2169,2169,null,null,54.68,,,,49717.65,50.0,,,,large road,ints-4292,ints-2860,,,,,,,,
I64+ 6190-2161,2161,null,null,82.31,,,,38223.53,50.0,,,,large road,ints-1149,ints-6269,,,,,,,,
I64+ 6585-3411,3411,null,null,3.1,,,,49717.65,50.0,,,,large road,ints-5004,ints-6232,,,,,,,,
I64+ 6607-5785,5785,null,null,92.04,,,,38223.53,50.0,,,,large road,ints-6232,ints-1149,,,,,,,,
I64+ 7019-3031,3031,null,null,2.49,,,,49717.65,50.0,,,,large road,ints-2985,ints-2215,,,,,,,,
I64+ 7021-462,462,null,null,6.26,,,,49717.65,50.0,,,,large road,ints-1638,ints-5535,,,,,,,,
I64+ 7036-2640,2640,null,null,6.55,,,,49717.65,50.0,,,,large road,ints-1246,ints-1638,,,,,,,,
I64+ 7040-4377,4377,null,null,37.95,,,,49717.65,50.0,,,,large road,ints-2569,ints-1246,,,,,,,,
I64+ 7066-1-3141,3141,null,null,5.047,,,,38223.53,50.0,,,,large road,ints-4728,ints-2569,,,,,,,,
I64+ 7066-5008,5008,null,null,12.333,,,,38223.53,50.0,,,,large road,ints-4728,ints-2323,,,,,,,,
I64+ 7108-5852,5852,null,null,120.56,,,,49717.65,50.0,,,,large road,ints-3745,ints-4254,,,,,,,,
I64+ 9507-2988,2988,null,null,5.85,,,,49717.65,50.0,,,,large road,ints-3425,ints-2912,,,,,,,,
I64+ 9513-4182,4182,null,null,4.27,,,,49717.65,50.0,,,,large road,ints-2163,ints-3456,,,,,,,,
I64+ 9516-3084,3084,null,null,4.3,,,,49717.65,50.0,,,,large road,ints-3456,ints-3425,,,,,,,,
I64+-6148,6148,null,null,4.24,,,,49717.65,50.0,,,,large road,ints-4897,ints-2048,,,,,,,,
I64-387,387,null,null,1.7,,,,49717.65,50.0,,,,large road,ints-2215,ints-5004,,,,,,,,
I640+ 16340-1914,1914,null,null,3.53,,,,49717.65,50.0,,,,large road,ints-5287,ints-4635,,,,,,,,
I640+-3532,3532,null,null,7.02,,,,49717.65,50.0,,,,large road,ints-4159,ints-4569,,,,,,,,
I640-4836,4836,null,null,0.16,,,,49717.65,50.0,,,,large road,ints-4569,ints-4635,,,,,,,,
I65 16223-4402,4402,null,null,1.79,,,,49717.65,50.0,,,,large road,ints-155,ints-2940,,,,,,,,
I65 16226-6047,6047,null,null,2.19,,,,49717.65,50.0,,,,large road,ints-5819,ints-2940,,,,,,,,
I65 16281-11,11,null,null,2.37,,,,49717.65,50.0,,,,large road,ints-1361,ints-4433,,,,,,,,
I65 454-3076,3076,null,null,1.88,,,,49717.65,50.0,,,,large road,ints-1746,ints-3160,,,,,,,,
I65 456-5585,5585,null,null,0.81,,,,49717.65,50.0,,,,large road,ints-426,ints-1746,,,,,,,,
I65 484-702,702,null,null,8.97,,,,38223.53,50.0,,,,large road,ints-6090,ints-3078,,,,,,,,
I65 520-3979,3979,null,null,3.62,,,,38223.53,50.0,,,,large road,ints-807,ints-1767,,,,,,,,
I65 606-4829,4829,null,null,1.11,,,,49717.65,50.0,,,,large road,ints-372,ints-1399,,,,,,,,
I65 6314-950,950,null,null,1.39,,,,49717.65,50.0,,,,large road,ints-1805,ints-1528,,,,,,,,
I65 6466-3825,3825,null,null,1.06,,,,49717.65,50.0,,,,large road,ints-3655,ints-2146,,,,,,,,
I65 6472-6213,6213,null,null,0.97,,,,49717.65,50.0,,,,large road,ints-645,ints-3655,,,,,,,,
I65 7026-5227,5227,null,null,0.21,,,,49717.65,50.0,,,,large road,ints-190,ints-2985,,,,,,,,
I65 7214-4436,4436,null,null,0.3,,,,49717.65,50.0,,,,large road,ints-190,ints-3253,,,,,,,,
I65+ 135-337,337,null,null,2.18,,,,38223.53,50.0,,,,large road,ints-6170,ints-3201,,,,,,,,
I65+ 147-1366,1366,null,null,79.93,,,,49717.65,50.0,,,,large road,ints-2963,ints-6170,,,,,,,,
I65+ 16236-2376,2376,null,null,2.94,,,,49717.65,50.0,,,,large road,ints-4599,ints-5819,,,,,,,,
I65+ 16577-3879,3879,null,null,95.95,,,,49717.65,50.0,,,,large road,ints-6134,ints-1361,,,,,,,,
I65+ 277-534,534,null,null,10.54,,,,49717.65,50.0,,,,large road,ints-2871,ints-2963,,,,,,,,
I65+ 293-1176,1176,null,null,68.96,,,,49717.65,50.0,,,,large road,ints-4808,ints-2871,,,,,,,,
I65+ 407-4580,4580,null,null,2.67,,,,49717.65,50.0,,,,large road,ints-6330,ints-4808,,,,,,,,
I65+ 429-6031,6031,null,null,6.69,,,,38223.53,50.0,,,,large road,ints-4210,ints-6330,,,,,,,,
I65+ 442-2002,2002,null,null,0.74,,,,49717.65,50.0,,,,large road,ints-5895,ints-4210,,,,,,,,
I65+ 464-2118,2118,null,null,27.65,,,,49717.65,50.0,,,,large road,ints-3078,ints-426,,,,,,,,
I65+ 489-2781,2781,null,null,3.35,,,,38223.53,50.0,,,,large road,ints-6090,ints-5012,,,,,,,,
I65+ 491-3715,3715,null,null,31.34,,,,49717.65,50.0,,,,large road,ints-807,ints-5012,,,,,,,,
I65+ 601-2455,2455,null,null,73.79,,,,49717.65,50.0,,,,large road,ints-1767,ints-3434,,,,,,,,
I65+ 604-408,408,null,null,10.05,,,,49717.65,50.0,,,,large road,ints-372,ints-3434,,,,,,,,
I65+ 609-36,36,null,null,4.82,,,,49717.65,50.0,,,,large road,ints-4077,ints-1399,,,,,,,,
I65+ 620-500,500,null,null,3.41,,,,49717.65,50.0,,,,large road,ints-1499,ints-4077,,,,,,,,
I65+ 6291-4163,4163,null,null,2.35,,,,49717.65,50.0,,,,large road,ints-1528,ints-3187,,,,,,,,
I65+ 6316-5214,5214,null,null,84.66,,,,49717.65,50.0,,,,large road,ints-4936,ints-1805,,,,,,,,
I65+ 6363-591,591,null,null,45.48,,,,49717.65,50.0,,,,large road,ints-6257,ints-4936,,,,,,,,
I65+ 6411-327,327,null,null,5.81,,,,38223.53,50.0,,,,large road,ints-2802,ints-6257,,,,,,,,
I65+ 6429-5269,5269,null,null,10.62,,,,49717.65,50.0,,,,large road,ints-2146,ints-2802,,,,,,,,
I65+ 6478-596,596,null,null,4.3,,,,49717.65,50.0,,,,large road,ints-3720,ints-645,,,,,,,,
I65+ 6497-2146,2146,null,null,30.41,,,,49717.65,50.0,,,,large road,ints-3895,ints-3720,,,,,,,,
I65+ 6545-2935,2935,null,null,70.54,,,,38223.53,50.0,,,,large road,ints-6344,ints-3895,,,,,,,,
I65+ 6576-2971,2971,null,null,5.13,,,,49717.65,50.0,,,,large road,ints-1836,ints-6344,,,,,,,,
I65+ 6591-2766,2766,null,null,1.28,,,,49717.65,50.0,,,,large road,ints-2985,ints-1836,,,,,,,,
I65+ 7030-127,127,null,null,5.19,,,,49717.65,50.0,,,,large road,ints-2823,ints-3253,,,,,,,,
I65+ 7088-5162,5162,null,null,5.62,,,,49717.65,50.0,,,,large road,ints-1883,ints-2823,,,,,,,,
I65+ 7100-2609,2609,null,null,34.13,,,,49717.65,50.0,,,,large road,ints-3950,ints-1883,,,,,,,,
I65+ 7145-3180,3180,null,null,39.15,,,,49717.65,50.0,,,,large road,ints-1628,ints-3950,,,,,,,,
I65+ 7181-2562,2562,null,null,25.0,,,,49717.65,50.0,,,,large road,ints-1628,ints-3808,,,,,,,,
I65+ 7186-1-2886,2886,null,null,57.182,,,,38223.53,50.0,,,,large road,ints-3598,ints-155,,,,,,,,
I65+ 7186-4964,4964,null,null,1.738,,,,38223.53,50.0,,,,large road,ints-3598,ints-3808,,,,,,,,
I65+-1529,1529,null,null,8.89,,,,49717.65,50.0,,,,large road,ints-3201,ints-6134,,,,,,,,
I65-1825,1825,null,null,1.06,,,,49717.65,50.0,,,,large road,ints-3160,ints-5895,,,,,,,,
I66+ 18600-3703,3703,null,null,42.84,,,,38223.53,50.0,,,,large road,ints-3127,ints-1035,,,,,,,,
I66+ 18614-5095,5095,null,null,8.45,,,,49717.65,50.0,,,,large road,ints-5101,ints-698,,,,,,,,
I66+ 18619-1571,1571,null,null,2.23,,,,49717.65,50.0,,,,large road,ints-698,ints-3377,,,,,,,,
I66+ 18637-2936,2936,null,null,9.09,,,,49717.65,50.0,,,,large road,ints-3377,ints-1254,,,,,,,,
I66+ 18656-2780,2780,null,null,10.0,,,,38223.53,50.0,,,,large road,ints-2204,ints-3127,,,,,,,,
I66+-1726,1726,null,null,0.73,,,,49717.65,50.0,,,,large road,ints-5101,ints-5719,,,,,,,,
I66-3653,3653,null,null,2.59,,,,49717.65,50.0,,,,large road,ints-1254,ints-2204,,,,,,,,
I664+ 19141-4967,4967,null,null,2.91,,,,49717.65,50.0,,,,large road,ints-5696,ints-5275,,,,,,,,
I664+ 19207-236,236,null,null,13.63,,,,49717.65,50.0,,,,large road,ints-3771,ints-5696,,,,,,,,
I664+-6056,6056,null,null,2.94,,,,49717.65,50.0,,,,large road,ints-5275,ints-5644,,,,,,,,
I670 13403-2114,2114,null,null,1.04,,,,49717.65,50.0,,,,large road,ints-6021,ints-3479,,,,,,,,
I670 6687-3104,3104,null,null,0.42,,,,49717.65,50.0,,,,large road,ints-1043,ints-3976,,,,,,,,
I670+ 13394-2092,2092,null,null,5.5,,,,49717.65,50.0,,,,large road,ints-2544,ints-5,,,,,,,,
I670+ 13401-5940,5940,null,null,1.17,,,,49717.65,50.0,,,,large road,ints-3020,ints-6021,,,,,,,,
I670+ 13410-5237,5237,null,null,0.67,,,,49717.65,50.0,,,,large road,ints-1100,ints-3479,,,,,,,,
I670+ 13414-5679,5679,null,null,2.12,,,,49717.65,50.0,,,,large road,ints-1100,ints-5918,,,,,,,,
I670+-3470,3470,null,null,1.71,,,,49717.65,50.0,,,,large road,ints-3402,ints-1643,,,,,,,,
I670-5120,5120,null,null,0.42,,,,49717.65,50.0,,,,large road,ints-1043,ints-1643,,,,,,,,
I675 13497-2492,2492,null,null,5.13,,,,49717.65,50.0,,,,large road,ints-522,ints-2008,,,,,,,,
I675 13505-3316,3316,null,null,4.37,,,,49717.65,50.0,,,,large road,ints-2008,ints-3645,,,,,,,,
I675+ 13485-1249,1249,null,null,3.52,,,,38223.53,50.0,,,,large road,ints-522,ints-3303,,,,,,,,
I675+ 13507-1870,1870,null,null,5.94,,,,49717.65,50.0,,,,large road,ints-1718,ints-3645,,,,,,,,
I675+ 13515-161,161,null,null,7.42,,,,49717.65,50.0,,,,large road,ints-1718,ints-3065,,,,,,,,
I675+ 8414-4392,4392,null,null,1.83,,,,49717.65,50.0,,,,large road,ints-2987,ints-3713,,,,,,,,
I675+ 8418-1923,1923,null,null,3.86,,,,49717.65,50.0,,,,large road,ints-2848,ints-1008,,,,,,,,
I675+-1-2051,2051,null,null,1.944,,,,49717.65,50.0,,,,large road,ints-3108,ints-4446,,,,,,,,
I675+-4630,4630,null,null,8.176,,,,49717.65,50.0,,,,large road,ints-3108,ints-6114,,,,,,,,
I675-917,917,null,null,2.03,,,,49717.65,50.0,,,,large road,ints-1008,ints-3713,,,,,,,,
I676 14997-5311,5311,null,null,0.42,,,,49717.65,50.0,,,,large road,ints-3461,ints-3002,,,,,,,,
I676+ 14988-1856,1856,null,null,1.61,,,,49717.65,50.0,,,,large road,ints-722,ints-1094,,,,,,,,
I676+ 14995-4892,4892,null,null,0.24,,,,49717.65,50.0,,,,large road,ints-3002,ints-722,,,,,,,,
I676+ 14998-379,379,null,null,0.63,,,,49717.65,50.0,,,,large road,ints-3390,ints-722,,,,,,,,
I676+ 15008-5524,5524,null,null,2.57,,,,49717.65,50.0,,,,large road,ints-285,ints-3390,,,,,,,,
I676+-1-378,378,null,null,1.196,,,,49717.65,50.0,,,,large road,ints-848,ints-285,,,,,,,,
I676+-2851,2851,null,null,0.924,,,,49717.65,50.0,,,,large road,ints-848,ints-4214,,,,,,,,
I676-2553,2553,null,null,0.41,,,,49717.65,50.0,,,,large road,ints-7,ints-3002,,,,,,,,
I678 12924-4471,4471,null,null,2.02,,,,49717.65,50.0,,,,large road,ints-4766,ints-2816,,,,,,,,
I678+ 12882-2965,2965,null,null,3.94,,,,49717.65,50.0,,,,large road,ints-2816,ints-2943,,,,,,,,
I678+-1095,1095,null,null,6.51,,,,49717.65,50.0,,,,large road,ints-3606,ints-163,,,,,,,,
I678-5911,5911,null,null,1.98,,,,49717.65,50.0,,,,large road,ints-2943,ints-3606,,,,,,,,
I68+ 20115-2515,2515,null,null,48.21,,,,38223.53,50.0,,,,large road,ints-810,ints-1451,,,,,,,,
I68+ 20117-5529,5529,null,null,2.4,,,,49717.65,50.0,,,,large road,ints-2031,ints-2341,,,,,,,,
I68+ 20123-5499,5499,null,null,0.85,,,,49717.65,50.0,,,,large road,ints-2031,ints-5050,,,,,,,,
I68+ 20126-509,509,null,null,4.04,,,,38223.53,50.0,,,,large road,ints-5050,ints-2459,,,,,,,,
I68+ 20290-4894,4894,null,null,15.4,,,,38223.53,50.0,,,,large road,ints-1451,ints-2341,,,,,,,,
I68+-1288,1288,null,null,40.9,,,,49717.65,50.0,,,,large road,ints-5494,ints-810,,,,,,,,
I680 2353-2869,2869,null,null,3.35,,,,38223.53,50.0,,,,large road,ints-2461,ints-2761,,,,,,,,
I680+ 11094-4787,4787,null,null,9.34,,,,49717.65,50.0,,,,large road,ints-5911,ints-6289,,,,,,,,
I680+ 11095-3131,3131,null,null,6.97,,,,49717.65,50.0,,,,large road,ints-1375,ints-6289,,,,,,,,
I680+ 1267-72,72,null,null,1.87,,,,49717.65,50.0,,,,large road,ints-558,ints-3622,,,,,,,,
I680+ 13241-916,916,null,null,16.72,,,,49717.65,50.0,,,,large road,ints-6241,ints-3709,,,,,,,,
I680+ 2348-3464,3464,null,null,8.58,,,,49717.65,50.0,,,,large road,ints-2461,ints-4795,,,,,,,,
I680+ 2404-3539,3539,null,null,17.85,,,,49717.65,50.0,,,,large road,ints-1511,ints-2761,,,,,,,,
I680+ 2481-2872,2872,null,null,4.56,,,,49717.65,50.0,,,,large road,ints-1880,ints-558,,,,,,,,
I680+ 2487-3369,3369,null,null,20.4,,,,49717.65,50.0,,,,large road,ints-3058,ints-1880,,,,,,,,
I680+ 5336-5811,5811,null,null,16.49,,,,38223.53,50.0,,,,large road,ints-2782,ints-753,,,,,,,,
I680+-1576,1576,null,null,12.67,,,,49717.65,50.0,,,,large road,ints-3622,ints-3687,,,,,,,,
I680-402,402,null,null,1.87,,,,49717.65,50.0,,,,large road,ints-4795,ints-3058,,,,,,,,
I684+ 12675-48,48,null,null,5.34,,,,49717.65,50.0,,,,large road,ints-282,ints-3766,,,,,,,,
I684+-5611,5611,null,null,22.3,,,,49717.65,50.0,,,,large road,ints-5347,ints-3766,,,,,,,,
I684-5395,5395,null,null,0.53,,,,49717.65,50.0,,,,large road,ints-5347,ints-643,,,,,,,,
I69 6332-1905,1905,null,null,3.0,,,,49717.65,50.0,,,,large road,ints-4410,ints-2077,,,,,,,,
I69 8712-1450,1450,null,null,8.46,,,,38223.53,50.0,,,,large road,ints-4704,ints-2526,,,,,,,,
I69 8806-1850,1850,null,null,0.07,,,,38223.53,50.0,,,,large road,ints-2588,ints-6469,,,,,,,,
I69+ 6277-418,418,null,null,32.92,,,,49717.65,50.0,,,,large road,ints-2077,ints-2143,,,,,,,,
I69+ 6335-1120,1120,null,null,2.95,,,,49717.65,50.0,,,,large road,ints-4410,ints-5854,,,,,,,,
I69+ 6337-3179,3179,null,null,13.15,,,,49717.65,50.0,,,,large road,ints-2175,ints-5854,,,,,,,,
I69+ 6347-1839,1839,null,null,32.17,,,,38223.53,50.0,,,,large road,ints-583,ints-2175,,,,,,,,
I69+ 6358-6130,6130,null,null,31.09,,,,38223.53,50.0,,,,large road,ints-5277,ints-583,,,,,,,,
I69+ 6387-1493,1493,null,null,7.54,,,,49717.65,50.0,,,,large road,ints-5277,ints-3191,,,,,,,,
I69+ 6396-1988,1988,null,null,20.2,,,,49717.65,50.0,,,,large road,ints-3191,ints-1211,,,,,,,,
I69+ 6397-5822,5822,null,null,5.37,,,,49717.65,50.0,,,,large road,ints-5991,ints-1211,,,,,,,,
I69+ 8467-5053,5053,null,null,62.33,,,,49717.65,50.0,,,,large road,ints-4598,ints-3796,,,,,,,,
I69+ 8483-3628,3628,null,null,3.33,,,,49717.65,50.0,,,,large road,ints-3796,ints-3935,,,,,,,,
I69+ 8488-4535,4535,null,null,3.61,,,,49717.65,50.0,,,,large road,ints-41,ints-4598,,,,,,,,
I69+ 8563-3776,3776,null,null,53.28,,,,38223.53,50.0,,,,large road,ints-3935,ints-3539,,,,,,,,
I69+ 8564-2298,2298,null,null,0.62,,,,49717.65,50.0,,,,large road,ints-2506,ints-3539,,,,,,,,
I69+ 8572-3931,3931,null,null,4.04,,,,49717.65,50.0,,,,large road,ints-1269,ints-2506,,,,,,,,
I69+ 8593-4931,4931,null,null,1.97,,,,49717.65,50.0,,,,large road,ints-3792,ints-1269,,,,,,,,
I69+ 8620-689,689,null,null,2.83,,,,49717.65,50.0,,,,large road,ints-3555,ints-3792,,,,,,,,
I69+ 8643-2231,2231,null,null,8.68,,,,49717.65,50.0,,,,large road,ints-3555,ints-2480,,,,,,,,
I69+ 8648-4356,4356,null,null,4.61,,,,49717.65,50.0,,,,large road,ints-4704,ints-2480,,,,,,,,
I69+ 8717-796,796,null,null,10.14,,,,38223.53,50.0,,,,large road,ints-6469,ints-2526,,,,,,,,
I69+ 8826-49,49,null,null,40.2,,,,38223.53,50.0,,,,large road,ints-718,ints-2588,,,,,,,,
I69+-2554,2554,null,null,4.64,,,,38223.53,50.0,,,,large road,ints-1567,ints-718,,,,,,,,
I69-2171,2171,null,null,3.47,,,,49717.65,50.0,,,,large road,ints-1567,ints-2143,,,,,,,,
I690+ 12268-6035,6035,null,null,0.8,,,,49717.65,50.0,,,,large road,ints-284,ints-5057,,,,,,,,
I690+ 12272-426,426,null,null,4.65,,,,49717.65,50.0,,,,large road,ints-3305,ints-356,,,,,,,,
I690+-3566,3566,null,null,6.96,,,,49717.65,50.0,,,,large road,ints-5057,ints-3517,,,,,,,,
I690-1688,1688,null,null,0.07,,,,49717.65,50.0,,,,large road,ints-356,ints-284,,,,,,,,
