Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
ATXK,STRATEGIC,C-17,0,true,,,0
ATXK,STRATEGIC,C-5A,0,true,,,0
ATXK,STRATEGIC,CH47,0,true,,,0
ATXK,STRATEGIC,KC-10,0,true,,,0
AVXS,STRATEGIC,B-747P,0,true,,,9999
AVXS,STRATEGIC,C-17,0,true,,,9999
AVXS,STRATEGIC,C-5A,0,true,,,9999
AVXS,STRATEGIC,CH47,0,true,,,0
AVXS,STRATEGIC,KC-10,0,true,,,9999
AVXU,STRATEGIC,B-747P,0,true,,,9999
AVXU,STRATEGIC,C-17,0,true,,,9999
AVXU,STRATEGIC,C-5A,0,true,,,9999
AVXU,STRATEGIC,CH47,0,true,,,0
AVXU,STRATEGIC,KC-10,0,true,,,9999
AVXV,STRATEGIC,B-747P,0,true,,,0
AVXV,STRATEGIC,C-17,0,true,,,0
AVXV,STRATEGIC,C-5A,0,true,,,0
AVXV,STRATEGIC,CH47,0,true,,,0
AVXV,STRATEGIC,KC-10,0,true,,,0
AWUB,STRATEGIC,B-747P,0,true,,,0
AWUB,STRATEGIC,C-17,0,true,,,0
AWUB,STRATEGIC,C-5A,0,true,,,0
AWUB,STRATEGIC,CH47,0,true,,,0
AWUB,STRATEGIC,KC-10,0,true,,,0
AXQD,STRATEGIC,B-747P,0,true,,,9999
AXQD,STRATEGIC,C-17,0,true,,,9999
AXQD,STRATEGIC,C-5A,0,true,,,9999
AXQD,STRATEGIC,CH47,0,true,,,0
AXQD,STRATEGIC,KC-10,0,true,,,9999
AYSX,STRATEGIC,B-747P,0,true,,,9999
AYSX,STRATEGIC,C-17,0,true,,,9999
AYSX,STRATEGIC,C-5A,0,true,,,9999
AYSX,STRATEGIC,CH47,0,true,,,0
AYSX,STRATEGIC,KC-10,0,true,,,9999
BACA,STRATEGIC,B-747P,0,true,,,9999
BACA,STRATEGIC,C-17,0,true,,,9999
BACA,STRATEGIC,C-5A,0,true,,,9999
BACA,STRATEGIC,CH47,0,true,,,0
BACA,STRATEGIC,KC-10,0,true,,,9999
BAEY,STRATEGIC,B-747P,0,true,,,0
BAEY,STRATEGIC,C-17,0,true,,,0
BAEY,STRATEGIC,C-5A,0,true,,,0
BAEY,STRATEGIC,CH47,0,true,,,0
BAEY,STRATEGIC,KC-10,0,true,,,0
BBJM,STRATEGIC,B-747P,0,true,,,0
BBJM,STRATEGIC,C-17,0,true,,,0
BBJM,STRATEGIC,C-5A,0,true,,,0
BBJM,STRATEGIC,CH47,0,true,,,0
BBJM,STRATEGIC,KC-10,0,true,,,0
BFHX,STRATEGIC,B-747P,0,true,,,9999
BFHX,STRATEGIC,C-17,0,true,,,9999
BFHX,STRATEGIC,C-5A,0,true,,,9999
BFHX,STRATEGIC,CH47,0,true,,,0
BFHX,STRATEGIC,KC-10,0,true,,,9999
BFMV,STRATEGIC,B-747P,0,true,,,9999
BFMV,STRATEGIC,C-17,0,true,,,9999
BFMV,STRATEGIC,C-5A,0,true,,,9999
BFMV,STRATEGIC,CH47,0,true,,,0
BFMV,STRATEGIC,KC-10,0,true,,,9999
BJHZ,STRATEGIC,B-747P,0,true,,,0
BJHZ,STRATEGIC,C-17,0,true,,,0
BJHZ,STRATEGIC,C-5A,0,true,,,0
BJHZ,STRATEGIC,CH47,0,true,,,0
BJHZ,STRATEGIC,KC-10,0,true,,,0
BKTZ,STRATEGIC,B-747P,0,true,,,9999
BKTZ,STRATEGIC,C-17,0,true,,,9999
BKTZ,STRATEGIC,C-5A,0,true,,,9999
BKTZ,STRATEGIC,CH47,0,true,,,0
BKTZ,STRATEGIC,KC-10,0,true,,,9999
BPWZ,STRATEGIC,B-747P,0,true,,,0
BPWZ,STRATEGIC,C-17,0,true,,,0
BPWZ,STRATEGIC,C-5A,0,true,,,0
BPWZ,STRATEGIC,CH47,0,true,,,0
BPWZ,STRATEGIC,KC-10,0,true,,,0
BQWK,STRATEGIC,B-747P,0,true,,,0
BQWK,STRATEGIC,C-17,0,true,,,0
BQWK,STRATEGIC,C-5A,0,true,,,0
BQWK,STRATEGIC,CH47,0,true,,,0
BQWK,STRATEGIC,KC-10,0,true,,,0
BRKR,STRATEGIC,B-747P,0,true,,,0
BRKR,STRATEGIC,C-17,0,true,,,0
BRKR,STRATEGIC,C-5A,0,true,,,0
BRKR,STRATEGIC,CH47,0,true,,,0
BRKR,STRATEGIC,KC-10,0,true,,,0
BSEM,STRATEGIC,B-747P,0,true,,,9999
BSEM,STRATEGIC,C-17,0,true,,,9999
BSEM,STRATEGIC,C-5A,0,true,,,9999
BSEM,STRATEGIC,CH47,0,true,,,0
BSEM,STRATEGIC,KC-10,0,true,,,9999
BSRR,STRATEGIC,B-747P,0,true,,,9999
BSRR,STRATEGIC,C-17,0,true,,,9999
BSRR,STRATEGIC,C-5A,0,true,,,9999
BSRR,STRATEGIC,CH47,0,true,,,0
BSRR,STRATEGIC,KC-10,0,true,,,9999
BVGM,STRATEGIC,B-747P,0,true,,,9999
BVGM,STRATEGIC,C-17,0,true,,,9999
BVGM,STRATEGIC,C-5A,0,true,,,9999
BVGM,STRATEGIC,CH47,0,true,,,0
BVGM,STRATEGIC,KC-10,0,true,,,9999
BWBU,STRATEGIC,B-747P,0,true,,,9999
BWBU,STRATEGIC,C-17,0,true,,,9999
BWBU,STRATEGIC,C-5A,0,true,,,9999
BWBU,STRATEGIC,CH47,0,true,,,0
BWBU,STRATEGIC,KC-10,0,true,,,9999
BWKR,STRATEGIC,B-747P,0,true,,,0
BWKR,STRATEGIC,C-17,0,true,,,0
BWKR,STRATEGIC,C-5A,0,true,,,0
BWKR,STRATEGIC,CH47,0,true,,,0
BWKR,STRATEGIC,KC-10,0,true,,,0
BXRH,STRATEGIC,B-747P,0,true,,,9999
BXRH,STRATEGIC,C-17,0,true,,,9999
BXRH,STRATEGIC,C-5A,0,true,,,9999
BXRH,STRATEGIC,CH47,0,true,,,0
BXRH,STRATEGIC,KC-10,0,true,,,9999
BXUR,STRATEGIC,B-747P,0,true,,,0
BXUR,STRATEGIC,C-17,0,true,,,0
BXUR,STRATEGIC,C-5A,0,true,,,0
BXUR,STRATEGIC,CH47,0,true,,,0
BXUR,STRATEGIC,KC-10,0,true,,,0
BYKA,STRATEGIC,B-747P,0,true,,,9999
BYKA,STRATEGIC,C-17,0,true,,,9999
BYKA,STRATEGIC,C-5A,0,true,,,9999
BYKA,STRATEGIC,CH47,0,true,,,0
BYKA,STRATEGIC,KC-10,0,true,,,9999
CAAP,STRATEGIC,B-747P,0,true,,,9999
CAAP,STRATEGIC,C-17,0,true,,,9999
CAAP,STRATEGIC,C-5A,0,true,,,9999
CAAP,STRATEGIC,CH47,0,true,,,0
CAAP,STRATEGIC,KC-10,0,true,,,9999
CAAY,STRATEGIC,B-747P,0,true,,,9999
CAAY,STRATEGIC,C-17,0,true,,,9999
CAAY,STRATEGIC,C-5A,0,true,,,9999
CAAY,STRATEGIC,CH47,0,true,,,0
CAAY,STRATEGIC,KC-10,0,true,,,9999
CEKT,STRATEGIC,B-747P,0,true,,,9999
CEKT,STRATEGIC,C-17,0,true,,,9999
CEKT,STRATEGIC,C-5A,0,true,,,9999
CEKT,STRATEGIC,CH47,0,true,,,0
CEKT,STRATEGIC,KC-10,0,true,,,9999
CLAG,STRATEGIC,B-747P,0,true,,,9999
CLAG,STRATEGIC,C-17,0,true,,,9999
CLAG,STRATEGIC,C-5A,0,true,,,9999
CLAG,STRATEGIC,CH47,0,true,,,0
CLAG,STRATEGIC,KC-10,0,true,,,9999
CNBC,STRATEGIC,B-747P,0,true,,,9999
CNBC,STRATEGIC,C-17,0,true,,,9999
CNBC,STRATEGIC,C-5A,0,true,,,9999
CNBC,STRATEGIC,CH47,0,true,,,0
CNBC,STRATEGIC,KC-10,0,true,,,9999
CQLW,STRATEGIC,B-747P,0,true,,,9999
CQLW,STRATEGIC,C-17,0,true,,,9999
CQLW,STRATEGIC,C-5A,0,true,,,9999
CQLW,STRATEGIC,CH47,0,true,,,0
CQLW,STRATEGIC,KC-10,0,true,,,9999
CRWU,STRATEGIC,B-747P,0,true,,,9999
CRWU,STRATEGIC,C-17,0,true,,,9999
CRWU,STRATEGIC,C-5A,0,true,,,9999
CRWU,STRATEGIC,CH47,0,true,,,0
