Airport,Day,Enabled,Description,EventPhase,B-747P,C-17,C-5A,CH47,KC-10
JCGU,0,true,,,NO,NO,NO,NO,NO
JEAH,0,true,,,NO,NO,NO,NO,NO
JFSD,0,true,,,NO,NO,NO,NO,NO
JHPM,0,true,,,NO,NO,NO,NO,NO
JHVQ,0,true,,,NO,NO,NO,NO,NO
JKSE,0,true,,,NO,NO,NO,NO,NO
JLQN,0,true,,,NO,NO,NO,NO,NO
JLSN,0,true,,,NO,NO,NO,NO,NO
JLSS,0,true,,,NO,NO,NO,NO,NO
JLWS,0,true,,,NO,NO,NO,NO,NO
JPNN,0,true,,,NO,NO,NO,NO,NO
JPPK,0,true,,,NO,NO,NO,NO,NO
JQMA,0,true,,,NO,NO,NO,NO,NO
JREZ,0,true,,,NO,NO,NO,NO,NO
JTVE,0,true,,,NO,NO,NO,NO,NO
JUBJ,0,true,,,NO,NO,NO,NO,NO
JXPJ,0,true,,,NO,NO,NO,NO,NO
KBHT,0,true,,,NO,NO,NO,NO,NO
KEAQ,0,true,,,NO,NO,NO,NO,NO
KJGW,0,true,,,NO,NO,NO,NO,NO
KKGA,0,true,,,NO,NO,NO,NO,NO
KLZU,0,true,,,NO,NO,NO,NO,NO
KNMD,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
KRSM,0,true,,,NO,NO,NO,NO,NO
KWRD,0,true,,,NO,NO,NO,NO,NO
KXPD,0,true,,,NO,NO,NO,NO,NO
KYJL,0,true,,,NO,NO,NO,NO,NO
KZTV,0,true,,,NO,NO,NO,NO,NO
KZVP,0,true,,,NO,NO,NO,NO,NO
LDXF,0,true,,,NO,NO,NO,NO,NO
LEXG,0,true,,,NO,NO,NO,NO,NO
LFSU,0,true,,,NO,NO,NO,NO,NO
LHNZ,0,true,,,NO,NO,NO,NO,NO
LKLW,0,true,,,NO,NO,NO,NO,NO
LKTC,0,true,,,NO,NO,NO,NO,NO
LLFN,0,true,,,NO,NO,NO,NO,NO
LRXQ,0,true,,,NO,NO,NO,NO,NO
LSBC,0,true,,,NO,NO,NO,NO,NO
LSGA,0,true,,,NO,NO,NO,NO,NO
LSGE,0,true,,,NO,NO,NO,NO,NO
LTUY,0,true,,,NO,NO,NO,NO,NO
LTYB,0,true,,,NO,NO,NO,NO,NO
LUXC,0,true,,,NO,NO,NO,NO,NO
LVDB,0,true,,,NO,NO,NO,NO,NO
LVQX,0,true,,,NO,NO,NO,NO,NO
LVSH,0,true,,,NO,NO,NO,NO,NO
LWRC,0,true,,,NO,NO,NO,NO,NO
LXEZ,0,true,,,NO,NO,NO,NO,NO
LYAX,0,true,,,NO,NO,NO,NO,NO
LYBH,0,true,,,NO,NO,NO,NO,NO
LYNM,0,true,,,NO,NO,NO,NO,NO
MAHG,0,true,,,NO,NO,NO,NO,NO
MBMV,0,true,,,NO,NO,NO,NO,NO
MBPB,0,true,,,NO,NO,NO,NO,NO
MDVL,0,true,,,NO,NO,NO,NO,NO
MDWY,0,true,,,NO,NO,NO,NO,NO
MEAN,0,true,,,NO,NO,NO,NO,NO
MEPJ,0,true,,,NO,NO,NO,NO,NO
MFWM,0,true,,,NO,NO,NO,NO,NO
MHMV,0,true,,,NO,NO,NO,NO,NO
MJDH,0,true,,,NO,NO,NO,NO,NO
MLRV,0,true,,,NO,NO,NO,NO,NO
MNWA,0,true,,,NO,NO,NO,NO,NO
MPCP,0,true,,,NO,NO,NO,NO,NO
MPLS,0,true,,,NO,NO,NO,NO,NO
MQNA,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
MSET,0,true,,,NO,NO,NO,NO,NO
MSQB,0,true,,,NO,NO,NO,NO,NO
MTET,0,true,,,NO,NO,NO,NO,NO
MUHJ,0,true,,,NO,NO,NO,NO,NO
MXDP,0,true,,,NO,NO,NO,NO,NO
MXRD,0,true,,,NO,NO,NO,NO,NO
MYMW,0,true,,,NO,NO,NO,NO,NO
MYXZ,0,true,,,NO,NO,NO,NO,NO
NCBW,0,true,,,NO,NO,NO,NO,NO
NEWR,0,true,,,NO,NO,NO,NO,NO
NEYU,0,true,,,NO,NO,NO,NO,NO
NGCB,0,true,,,NO,NO,NO,NO,NO
NGWV,0,true,,,NO,NO,NO,NO,NO
NKAK,0,true,,,NO,NO,NO,NO,NO
NLZG,0,true,,,NO,NO,NO,NO,NO
NNGX,0,true,,,NO,NO,NO,NO,NO
NPTM,0,true,,,NO,NO,NO,NO,NO
NPTN,0,true,,,NO,NO,NO,NO,NO
NRCH,0,true,,,NO,NO,NO,NO,NO
NRTX,0,true,,,NO,NO,NO,NO,NO
NSAG,0,true,,,NO,NO,NO,NO,NO
NSQG,0,true,,,NO,NO,NO,NO,NO
NTEA,0,true,,,NO,NO,NO,NO,NO
NTWM,0,true,,,NO,NO,NO,NO,NO
NUEX,0,true,,,NO,NO,NO,NO,NO
NVZR,0,true,,,NO,NO,NO,NO,NO
NWXN,0,true,,,NO,NO,NO,NO,NO
NYJY,0,true,,,NO,NO,NO,NO,NO
NZAS,0,true,,,NO,NO,NO,NO,NO
OPA1,0,true,,,NO,NO,NO,NO,NO
PBXP,0,true,,,NO,NO,NO,NO,NO
PCZP,0,true,,,NO,NO,NO,NO,NO
PHMS,0,true,,,NO,NO,NO,NO,NO
PJFS,0,true,,,NO,NO,NO,NO,NO
PJMS,0,true,,,NO,NO,NO,NO,NO
PJVY,0,true,,,NO,NO,NO,NO,NO
PLXL,0,true,,,NO,NO,NO,NO,NO
PNQS,0,true,,,NO,NO,NO,NO,NO
PPSB,0,true,,,NO,NO,NO,NO,NO
PQSY,0,true,,,NO,NO,NO,NO,NO
PQWY,0,true,,,NO,NO,NO,NO,NO
PRJY,0,true,,,NO,NO,NO,NO,NO
PRNG,0,true,,,NO,NO,NO,NO,NO
PRQE,0,true,,,NO,NO,NO,NO,NO
PSAX,0,true,,,NO,NO,NO,NO,NO
PSBE,0,true,,,NO,NO,NO,NO,NO
PSTE,0,true,,,NO,NO,NO,NO,NO
PSXE,0,true,,,NO,NO,NO,NO,NO
PTFL,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
PUBW,0,true,,,NO,NO,NO,NO,NO
PYGY,0,true,,,NO,NO,NO,NO,NO
PYKL,0,true,,,NO,NO,NO,NO,NO
PYVR,0,true,,,NO,NO,NO,NO,NO
QALG,0,true,,,NO,NO,NO,NO,NO
QCFE,0,true,,,NO,NO,NO,NO,NO
QCQQ,0,true,,,NO,NO,NO,NO,NO
QFQE,0,true,,,NO,NO,NO,NO,NO
QJKL,0,true,,,NO,NO,NO,NO,NO
QJVF,0,true,,,NO,NO,NO,NO,NO
QJWG,0,true,,,NO,NO,NO,NO,NO
QKJA,0,true,,,NO,NO,NO,NO,NO
QMSN,0,true,,,NO,NO,NO,NO,NO
QNVA,0,true,,,NO,NO,NO,NO,NO
QRAW,0,true,,,NO,NO,NO,NO,NO
QSEU,0,true,,,NO,NO,NO,NO,NO
QTXL,0,true,,,NO,NO,NO,NO,NO
QYZH,0,true,,,NO,NO,NO,NO,NO
RDRD,0,true,,,NO,NO,NO,NO,NO
REAG,0,true,,,NO,NO,NO,NO,NO
RJVF,0,true,,,NO,NO,NO,NO,NO
RKMF,0,true,,,NO,NO,NO,NO,NO
RPYA,0,true,,,NO,NO,NO,NO,NO
RQMN,0,true,,,NO,NO,NO,NO,NO
RQNA,0,true,,,NO,NO,NO,NO,NO
RQWP,0,true,,,NO,NO,NO,NO,NO
RRPQ,0,true,,,NO,NO,NO,NO,NO
RVKQ,0,true,,,NO,NO,NO,NO,NO
RZQH,0,true,,,NO,NO,NO,NO,NO
SACB,0,true,,,NO,NO,NO,NO,NO
SAEJ,0,true,,,NO,NO,NO,NO,NO
SBDQ,0,true,,,NO,NO,NO,NO,NO
SBDW,0,true,,,NO,NO,NO,NO,NO
SCEY,0,true,,,NO,NO,NO,NO,NO
SEA1,0,true,,,NO,NO,NO,NO,NO
SFPH,0,true,,,NO,NO,NO,NO,NO
SGBP,0,true,,,NO,NO,NO,NO,NO
SGPA,0,true,,,NO,NO,NO,NO,NO
SHA5,0,true,,,NO,NO,NO,NO,NO
SHAR,0,true,,,NO,NO,NO,NO,NO
SHCZ,0,true,,,NO,NO,NO,NO,NO
SHYQ,0,true,,,NO,NO,NO,NO,NO
SKKA,0,true,,,NO,NO,NO,NO,NO
SMYU,0,true,,,NO,NO,NO,NO,NO
SPBN,0,true,,,NO,NO,NO,NO,NO
STDF,0,true,,,NO,NO,NO,NO,NO
STRL,0,true,,,NO,NO,NO,NO,NO
STXG,0,true,,,NO,NO,NO,NO,NO
SXHT,0,true,,,NO,NO,NO,NO,NO
SYCM,0,true,,,NO,NO,NO,NO,NO
SZDT,0,true,,,NO,NO,NO,NO,NO
SZTN,0,true,,,NO,NO,NO,NO,NO
TAXU,0,true,,,NO,NO,NO,NO,NO
TDHV,0,true,,,NO,NO,NO,NO,NO
TDKA,0,true,,,NO,NO,NO,NO,NO
TDXG,0,true,,,NO,NO,NO,NO,NO
TFMT,0,true,,,NO,NO,NO,NO,NO
THWA,0,true,,,NO,NO,NO,NO,NO
TKXA,0,true,,,NO,NO,NO,NO,NO
TMKH,0,true,,,NO,NO,NO,NO,NO
TPAL,0,true,,,NO,NO,NO,NO,NO
TQKD,0,true,,,NO,NO,NO,NO,NO
TWAC,0,true,,,NO,NO,NO,NO,NO
TWLR,0,true,,,NO,NO,NO,NO,NO
TXCE,0,true,,,NO,NO,NO,NO,NO
TYFR,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
TYMX,0,true,,,NO,NO,NO,NO,NO
UABY,0,true,,,NO,NO,NO,NO,NO
UBHP,0,true,,,NO,NO,NO,NO,NO
UBNS,0,true,,,NO,NO,NO,NO,NO
UCTL,0,true,,,NO,NO,NO,NO,NO
UEBL,0,true,,,NO,NO,NO,NO,NO
UGCF,0,true,,,NO,NO,NO,NO,NO
UGZX,0,true,,,NO,NO,NO,NO,NO
UHCE,0,true,,,NO,NO,NO,NO,NO
UHGN,0,true,,,NO,NO,NO,NO,NO
UHHZ,0,true,,,NO,NO,NO,NO,NO
ULLT,0,true,,,NO,NO,NO,NO,NO
ULYB,0,true,,,NO,NO,NO,NO,NO
UMLH,0,true,,,NO,NO,NO,NO,NO
UMXB,0,true,,,NO,NO,NO,NO,NO
USEB,0,true,,,NO,NO,NO,NO,NO
USQP,0,true,,,NO,NO,NO,NO,NO
UTKY,0,true,,,NO,NO,NO,NO,NO
UTSE,0,true,,,NO,NO,NO,NO,NO
UWDE,0,true,,,NO,NO,NO,NO,NO
UWDG,0,true,,,NO,NO,NO,NO,NO
UZXM,0,true,,,NO,NO,NO,NO,NO
UZYJ,0,true,,,NO,NO,NO,NO,NO
VBDZ,0,true,,,NO,NO,NO,NO,NO
VDYD,0,true,,,NO,NO,NO,NO,NO
VFUL,0,true,,,NO,NO,NO,NO,NO
VFZM,0,true,,,NO,NO,NO,NO,NO
VGHV,0,true,,,NO,NO,NO,NO,NO
VGLZ,0,true,,,NO,NO,NO,NO,NO
VHRJ,0,true,,,NO,NO,NO,NO,NO
VKAG,0,true,,,NO,NO,NO,NO,NO
VLSB,0,true,,,NO,NO,NO,NO,NO
VNVP,0,true,,,NO,NO,NO,NO,NO
VRJT,0,true,,,NO,NO,NO,NO,NO
VSFP,0,true,,,NO,NO,NO,NO,NO
VSMR,0,true,,,NO,NO,NO,NO,NO
VSSB,0,true,,,NO,NO,NO,NO,NO
VTNB,0,true,,,NO,NO,NO,NO,NO
VUKL,0,true,,,NO,NO,NO,NO,NO
VVRK,0,true,,,NO,NO,NO,NO,NO
VWLB,0,true,,,NO,NO,NO,NO,NO
VXTM,0,true,,,NO,NO,NO,NO,NO
VYFJ,0,true,,,NO,NO,NO,NO,NO
VYHK,0,true,,,NO,NO,NO,NO,NO
VZAS,0,true,,,NO,NO,NO,NO,NO
VZBT,0,true,,,NO,NO,NO,NO,NO
VZCR,0,true,,,NO,NO,NO,NO,NO
VZXY,0,true,,,NO,NO,NO,NO,NO
WAAR,0,true,,,NO,NO,NO,NO,NO
WAAZ,0,true,,,NO,NO,NO,NO,NO
WEAS,0,true,,,NO,NO,NO,NO,NO
WERS,0,true,,,NO,NO,NO,NO,NO
WFGE,0,true,,,NO,NO,NO,NO,NO
WHAY,0,true,,,NO,NO,NO,NO,NO
WJAE,0,true,,,NO,NO,NO,NO,NO
WKVB,0,true,,,NO,NO,NO,NO,NO
WRLK,0,true,,,NO,NO,NO,NO,NO
WSVC,0,true,,,NO,NO,NO,NO,NO
WWYK,0,true,,,NO,NO,NO,NO,NO
WYTD,0,true,,,NO,NO,NO,NO,NO
XBGX,0,true,,,NO,NO,NO,NO,NO
XCQN,0,true,,,NO,NO,NO,NO,NO
XDAT,0,true,,,BOTH,BOTH,BOTH,BOTH,BOTH
XDQU,0,true,,,NO,NO,NO,NO,NO
XGFG,0,true,,,NO,NO,NO,NO,NO
XHEA,0,true,,,NO,NO,NO,NO,NO
XHZG,0,true,,,NO,NO,NO,NO,NO
XJJD,0,true,,,NO,NO,NO,NO,NO
XLEW,0,true,,,NO,NO,NO,NO,NO
XLWU,0,true,,,NO,NO,NO,NO,NO
XNSM,0,true,,,NO,NO,NO,NO,NO
XQDT,0,true,,,NO,NO,NO,NO,NO
XTBT,0,true,,,NO,NO,NO,NO,NO
XTLF,0,true,,,NO,NO,NO,NO,NO
XUMU,0,true,,,NO,NO,NO,NO,NO
XZPR,0,true,,,NO,NO,NO,NO,NO
YAQF,0,true,,,NO,NO,NO,NO,NO
YEQW,0,true,,,NO,NO,NO,NO,NO
YFXQ,0,true,,,NO,NO,NO,NO,NO
YMGC,0,true,,,NO,NO,NO,NO,NO
YMXZ,0,true,,,NO,NO,NO,NO,NO
YRLZ,0,true,,,NO,NO,NO,NO,NO
YTPM,0,true,,,NO,NO,NO,NO,NO
YUAC,0,true,,,NO,NO,NO,NO,NO
YVEW,0,true,,,NO,NO,NO,NO,NO
YVGQ,0,true,,,NO,NO,NO,NO,NO
YVPG,0,true,,,NO,NO,NO,NO,NO
YWHG,0,true,,,NO,NO,NO,NO,NO
YXKB,0,true,,,NO,NO,NO,NO,NO
YZEU,0,true,,,NO,NO,NO,NO,NO
YZJU,0,true,,,NO,NO,NO,NO,NO
ZAWN,0,true,,,NO,NO,NO,NO,NO
ZFKN,0,true,,,NO,NO,NO,NO,NO
ZHAH,0,true,,,NO,NO,NO,NO,NO
ZHTV,0,true,,,NO,NO,NO,NO,NO
ZJXD,0,true,,,NO,NO,NO,NO,NO
ZLJP,0,true,,,NO,NO,NO,NO,NO
ZNRE,0,true,,,NO,NO,NO,NO,NO
ZQEL,0,true,,,NO,NO,NO,NO,NO
ZRCE,0,true,,,NO,NO,NO,NO,NO
ZRUZ,0,true,,,NO,NO,NO,NO,NO
ZRVL,0,true,,,NO,NO,NO,NO,NO
