Airport,Day,Enabled,Description,EventPhase,ACType,WorkingMOG,ParkingMOG,HotCargoStatus,Ramp,MOGEquivalent,HoursHome,HoursUpload,HoursEnroute,HoursDownload,HoursRecovery
AJJY,0,true,,,C-17,8,8,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AJJY,0,true,,,C-5A,8,8,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AJJY,0,true,,,KC-10,8,8,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AJXF,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AJXF,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AJXF,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AJXF,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AMES,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AMES,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AMES,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AMES,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ANZY,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ANZY,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ANZY,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
ANZY,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AQLM,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AQLM,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AQLM,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AQLM,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
AQRC,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
AQRC,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
AQRC,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
AQRC,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
ARNW,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
ARNW,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
ARNW,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
