Key,Day,Enabled,Description,EventPhase,DayIndex,ShiftIndex,OpenHH,OpenMM,CloseHH,CloseMM
HFZY,0,true,,,0,0,0,0,24,0
HGQC,0,true,,,0,0,0,0,24,0
HKRZ,0,true,,,0,0,0,0,24,0
HNTK,0,true,,,0,0,0,0,24,0
HPBF,0,true,,,0,0,0,0,24,0
HSKD,0,true,,,0,0,0,0,24,0
HTUV,0,true,,,0,0,0,0,24,0
HTUX,0,true,,,0,0,0,0,24,0
HUUA,0,true,,,0,0,0,0,24,0
HXCZ,0,true,,,0,0,0,0,24,0
JAFZ,0,true,,,0,0,0,0,24,0
JBUU,0,true,,,0,0,0,0,24,0
JCGU,0,true,,,0,0,0,0,24,0
JEAH,0,true,,,0,0,0,0,24,0
JFSD,0,true,,,0,0,0,0,24,0
JHPM,0,true,,,0,0,0,0,24,0
JHVQ,0,true,,,0,0,0,0,24,0
JKSE,0,true,,,0,0,0,0,24,0
JLQN,0,true,,,0,0,0,0,24,0
JLSN,0,true,,,0,0,0,0,24,0
JLSS,0,true,,,0,0,0,0,24,0
JLWS,0,true,,,0,0,0,0,24,0
JPNN,0,true,,,0,0,0,0,24,0
JPPK,0,true,,,0,0,0,0,24,0
JQMA,0,true,,,0,0,0,0,24,0
JREZ,0,true,,,0,0,0,0,24,0
JTVE,0,true,,,0,0,0,0,24,0
JUBJ,0,true,,,0,0,0,0,24,0
JXPJ,0,true,,,0,0,0,0,24,0
KBHT,0,true,,,0,0,0,0,24,0
KEAQ,0,true,,,0,0,0,0,24,0
KJGW,0,true,,,0,0,0,0,24,0
KKGA,0,true,,,0,0,0,0,24,0
KLZU,0,true,,,0,0,0,0,24,0
KNMD,0,true,,,0,0,0,0,24,0
KRSM,0,true,,,0,0,0,0,24,0
KWRD,0,true,,,0,0,0,0,24,0
KXPD,0,true,,,0,0,0,0,24,0
KYJL,0,true,,,0,0,0,0,24,0
KZTV,0,true,,,0,0,0,0,24,0
KZVP,0,true,,,0,0,0,0,24,0
LDXF,0,true,,,0,0,0,0,24,0
LEXG,0,true,,,0,0,0,0,24,0
LFSU,0,true,,,0,0,0,0,24,0
LHNZ,0,true,,,0,0,0,0,24,0
LKLW,0,true,,,0,0,0,0,24,0
LKTC,0,true,,,0,0,0,0,24,0
LLFN,0,true,,,0,0,0,0,24,0
LRXQ,0,true,,,0,0,0,0,24,0
LSBC,0,true,,,0,0,0,0,24,0
LSGA,0,true,,,0,0,0,0,24,0
LSGE,0,true,,,0,0,0,0,24,0
LTUY,0,true,,,0,0,0,0,24,0
LTYB,0,true,,,0,0,0,0,24,0
LUXC,0,true,,,0,0,0,0,24,0
LVDB,0,true,,,0,0,0,0,24,0
LVQX,0,true,,,0,0,0,0,24,0
LVSH,0,true,,,0,0,0,0,24,0
LWRC,0,true,,,0,0,0,0,24,0
LXEZ,0,true,,,0,0,0,0,24,0
LYAX,0,true,,,0,0,0,0,24,0
LYBH,0,true,,,0,0,0,0,24,0
LYNM,0,true,,,0,0,0,0,24,0
MAHG,0,true,,,0,0,0,0,24,0
MBMV,0,true,,,0,0,0,0,24,0
MBPB,0,true,,,0,0,0,0,24,0
MDVL,0,true,,,0,0,0,0,24,0
MDWY,0,true,,,0,0,0,0,24,0
MEAN,0,true,,,0,0,0,0,24,0
MEPJ,0,true,,,0,0,0,0,24,0
MFWM,0,true,,,0,0,0,0,24,0
MHMV,0,true,,,0,0,0,0,24,0
MJDH,0,true,,,0,0,0,0,24,0
MLRV,0,true,,,0,0,0,0,24,0
MNWA,0,true,,,0,0,0,0,24,0
MPCP,0,true,,,0,0,0,0,24,0
MPLS,0,true,,,0,0,0,0,24,0
MQNA,0,true,,,0,0,0,0,24,0
MSET,0,true,,,0,0,0,0,24,0
MSQB,0,true,,,0,0,0,0,24,0
MTET,0,true,,,0,0,0,0,24,0
MUHJ,0,true,,,0,0,0,0,24,0
MXDP,0,true,,,0,0,0,0,24,0
MXRD,0,true,,,0,0,0,0,24,0
MYMW,0,true,,,0,0,0,0,24,0
MYXZ,0,true,,,0,0,0,0,24,0
NCBW,0,true,,,0,0,0,0,24,0
NEWR,0,true,,,0,0,0,0,24,0
NEYU,0,true,,,0,0,0,0,24,0
NGCB,0,true,,,0,0,0,0,24,0
NGWV,0,true,,,0,0,0,0,24,0
NKAK,0,true,,,0,0,0,0,24,0
NLZG,0,true,,,0,0,0,0,24,0
NNGX,0,true,,,0,0,0,0,24,0
NPTM,0,true,,,0,0,0,0,24,0
NPTN,0,true,,,0,0,0,0,24,0
NRCH,0,true,,,0,0,0,0,24,0
NRTX,0,true,,,0,0,0,0,24,0
NSAG,0,true,,,0,0,0,0,24,0
NSQG,0,true,,,0,0,0,0,24,0
NTEA,0,true,,,0,0,0,0,24,0
NTWM,0,true,,,0,0,0,0,24,0
NUEX,0,true,,,0,0,0,0,24,0
NVZR,0,true,,,0,0,0,0,24,0
NWXN,0,true,,,0,0,0,0,24,0
NYJY,0,true,,,0,0,0,0,24,0
NZAS,0,true,,,0,0,0,0,24,0
OPA1,0,true,,,0,0,0,0,24,0
PBXP,0,true,,,0,0,0,0,24,0
PCZP,0,true,,,0,0,0,0,24,0
PHMS,0,true,,,0,0,0,0,24,0
PJFS,0,true,,,0,0,0,0,24,0
PJMS,0,true,,,0,0,0,0,24,0
PJVY,0,true,,,0,0,0,0,24,0
PLXL,0,true,,,0,0,0,0,24,0
PNQS,0,true,,,0,0,0,0,24,0
PPSB,0,true,,,0,0,0,0,24,0
PQSY,0,true,,,0,0,0,0,24,0
PQWY,0,true,,,0,0,0,0,24,0
PRJY,0,true,,,0,0,0,0,24,0
PRNG,0,true,,,0,0,0,0,24,0
PRQE,0,true,,,0,0,0,0,24,0
PSAX,0,true,,,0,0,0,0,24,0
PSBE,0,true,,,0,0,0,0,24,0
PSTE,0,true,,,0,0,0,0,24,0
PSXE,0,true,,,0,0,0,0,24,0
PTFL,0,true,,,0,0,0,0,24,0
PUBW,0,true,,,0,0,0,0,24,0
PYGY,0,true,,,0,0,0,0,24,0
PYKL,0,true,,,0,0,0,0,24,0
PYVR,0,true,,,0,0,0,0,24,0
QALG,0,true,,,0,0,0,0,24,0
QCFE,0,true,,,0,0,0,0,24,0
QCQQ,0,true,,,0,0,0,0,24,0
QFQE,0,true,,,0,0,0,0,24,0
QJKL,0,true,,,0,0,0,0,24,0
QJVF,0,true,,,0,0,0,0,24,0
QJWG,0,true,,,0,0,0,0,24,0
QKJA,0,true,,,0,0,0,0,24,0
QMSN,0,true,,,0,0,0,0,24,0
QNVA,0,true,,,0,0,0,0,24,0
QRAW,0,true,,,0,0,0,0,24,0
QSEU,0,true,,,0,0,0,0,24,0
QTXL,0,true,,,0,0,0,0,24,0
QYZH,0,true,,,0,0,0,0,24,0
RDRD,0,true,,,0,0,0,0,24,0
REAG,0,true,,,0,0,0,0,24,0
RJVF,0,true,,,0,0,0,0,24,0
RKMF,0,true,,,0,0,0,0,24,0
RPYA,0,true,,,0,0,0,0,24,0
RQMN,0,true,,,0,0,0,0,24,0
RQNA,0,true,,,0,0,0,0,24,0
RQWP,0,true,,,0,0,0,0,24,0
RRPQ,0,true,,,0,0,0,0,24,0
RVKQ,0,true,,,0,0,0,0,24,0
RZQH,0,true,,,0,0,0,0,24,0
SACB,0,true,,,0,0,0,0,24,0
SAEJ,0,true,,,0,0,0,0,24,0
SBDQ,0,true,,,0,0,0,0,24,0
SBDW,0,true,,,0,0,0,0,24,0
SCEY,0,true,,,0,0,0,0,24,0
SEA1,0,true,,,0,0,0,0,24,0
SFPH,0,true,,,0,0,0,0,24,0
SGBP,0,true,,,0,0,0,0,24,0
SGPA,0,true,,,0,0,0,0,24,0
SHA5,0,true,,,0,0,0,0,24,0
SHAR,0,true,,,0,0,0,0,24,0
SHCZ,0,true,,,0,0,0,0,24,0
SHYQ,0,true,,,0,0,0,0,24,0
SKKA,0,true,,,0,0,0,0,24,0
SMYU,0,true,,,0,0,0,0,24,0
SPBN,0,true,,,0,0,0,0,24,0
STDF,0,true,,,0,0,0,0,24,0
STRL,0,true,,,0,0,0,0,24,0
STXG,0,true,,,0,0,0,0,24,0
SXHT,0,true,,,0,0,0,0,24,0
SYCM,0,true,,,0,0,0,0,24,0
SZDT,0,true,,,0,0,0,0,24,0
SZTN,0,true,,,0,0,0,0,24,0
TAXU,0,true,,,0,0,0,0,24,0
TDHV,0,true,,,0,0,0,0,24,0
TDKA,0,true,,,0,0,0,0,24,0
TDXG,0,true,,,0,0,0,0,24,0
TFMT,0,true,,,0,0,0,0,24,0
THWA,0,true,,,0,0,0,0,24,0
TKXA,0,true,,,0,0,0,0,24,0
TMKH,0,true,,,0,0,0,0,24,0
TPAL,0,true,,,0,0,0,0,24,0
TQKD,0,true,,,0,0,0,0,24,0
TWAC,0,true,,,0,0,0,0,24,0
TWLR,0,true,,,0,0,0,0,24,0
TXCE,0,true,,,0,0,0,0,24,0
TYFR,0,true,,,0,0,0,0,24,0
TYMX,0,true,,,0,0,0,0,24,0
UABY,0,true,,,0,0,0,0,24,0
UBHP,0,true,,,0,0,0,0,24,0
UBNS,0,true,,,0,0,0,0,24,0
UCTL,0,true,,,0,0,0,0,24,0
UEBL,0,true,,,0,0,0,0,24,0
UGCF,0,true,,,0,0,0,0,24,0
UGZX,0,true,,,0,0,0,0,24,0
UHCE,0,true,,,0,0,0,0,24,0
UHGN,0,true,,,0,0,0,0,24,0
UHHZ,0,true,,,0,0,0,0,24,0
ULLT,0,true,,,0,0,0,0,24,0
ULYB,0,true,,,0,0,0,0,24,0
UMLH,0,true,,,0,0,0,0,24,0
UMXB,0,true,,,0,0,0,0,24,0
USEB,0,true,,,0,0,0,0,24,0
USQP,0,true,,,0,0,0,0,24,0
UTKY,0,true,,,0,0,0,0,24,0
UTSE,0,true,,,0,0,0,0,24,0
UWDE,0,true,,,0,0,0,0,24,0
UWDG,0,true,,,0,0,0,0,24,0
UZXM,0,true,,,0,0,0,0,24,0
UZYJ,0,true,,,0,0,0,0,24,0
VBDZ,0,true,,,0,0,0,0,24,0
VDYD,0,true,,,0,0,0,0,24,0
VFUL,0,true,,,0,0,0,0,24,0
VFZM,0,true,,,0,0,0,0,24,0
VGHV,0,true,,,0,0,0,0,24,0
VGLZ,0,true,,,0,0,0,0,24,0
VHRJ,0,true,,,0,0,0,0,24,0
VKAG,0,true,,,0,0,0,0,24,0
VLSB,0,true,,,0,0,0,0,24,0
VNVP,0,true,,,0,0,0,0,24,0
VRJT,0,true,,,0,0,0,0,24,0
VSFP,0,true,,,0,0,0,0,24,0
VSMR,0,true,,,0,0,0,0,24,0
VSSB,0,true,,,0,0,0,0,24,0
VTNB,0,true,,,0,0,0,0,24,0
VUKL,0,true,,,0,0,0,0,24,0
VVRK,0,true,,,0,0,0,0,24,0
VWLB,0,true,,,0,0,0,0,24,0
VXTM,0,true,,,0,0,0,0,24,0
VYFJ,0,true,,,0,0,0,0,24,0
VYHK,0,true,,,0,0,0,0,24,0
VZAS,0,true,,,0,0,0,0,24,0
VZBT,0,true,,,0,0,0,0,24,0
VZCR,0,true,,,0,0,0,0,24,0
VZXY,0,true,,,0,0,0,0,24,0
WAAR,0,true,,,0,0,0,0,24,0
WAAZ,0,true,,,0,0,0,0,24,0
WEAS,0,true,,,0,0,0,0,24,0
WERS,0,true,,,0,0,0,0,24,0
WFGE,0,true,,,0,0,0,0,24,0
WHAY,0,true,,,0,0,0,0,24,0
WJAE,0,true,,,0,0,0,0,24,0
WKVB,0,true,,,0,0,0,0,24,0
WRLK,0,true,,,0,0,0,0,24,0
WSVC,0,true,,,0,0,0,0,24,0
WWYK,0,true,,,0,0,0,0,24,0
WYTD,0,true,,,0,0,0,0,24,0
XBGX,0,true,,,0,0,0,0,24,0
XCQN,0,true,,,0,0,0,0,24,0
XDAT,0,true,,,0,0,0,0,24,0
XDQU,0,true,,,0,0,0,0,24,0
XGFG,0,true,,,0,0,0,0,24,0
XHEA,0,true,,,0,0,0,0,24,0
XHZG,0,true,,,0,0,0,0,24,0
XJJD,0,true,,,0,0,0,0,24,0
XLEW,0,true,,,0,0,0,0,24,0
XLWU,0,true,,,0,0,0,0,24,0
XNSM,0,true,,,0,0,0,0,24,0
XQDT,0,true,,,0,0,0,0,24,0
XTBT,0,true,,,0,0,0,0,24,0
XTLF,0,true,,,0,0,0,0,24,0
XUMU,0,true,,,0,0,0,0,24,0
XZPR,0,true,,,0,0,0,0,24,0
YAQF,0,true,,,0,0,0,0,24,0
YEQW,0,true,,,0,0,0,0,24,0
YFXQ,0,true,,,0,0,0,0,24,0
YMGC,0,true,,,0,0,0,0,24,0
