block_id,ordering,carry_config,transport_means,distance_permission_type,distance,start_time,end_time
24,7,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
24,8,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
24,9,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
25,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
26,0,ALL,Road (SELF),MAXIMUM_DISTANCE,50.0,,
27,0,ALL,68DODX,ANY_DISTANCE,,,
27,1,ALL,50DODX,ANY_DISTANCE,,,
27,2,ALL,68FLAT,ANY_DISTANCE,,,
27,3,ALL,75FLAT,ANY_DISTANCE,,,
27,4,ALL,89FLAT,ANY_DISTANCE,,,
27,5,ALL,commercial heavy railcar,ANY_DISTANCE,,,
28,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
28,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
28,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
28,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
29,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
30,0,ALL,68DODX,ANY_DISTANCE,,,
31,0,ALL,Road (SELF),MAXIMUM_DISTANCE,4000.0,,
31,1,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
31,2,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
31,3,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
31,4,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
32,0,ALL,50DODX,ANY_DISTANCE,,,
32,1,ALL,50FLAT,ANY_DISTANCE,,,
32,2,ALL,68FLAT,ANY_DISTANCE,,,
32,3,ALL,75FLAT,ANY_DISTANCE,,,
32,4,ALL,89FLAT,ANY_DISTANCE,,,
32,5,ALL,commercial medium railcar,ANY_DISTANCE,,,
33,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
34,0,ALL,Road (SELF),MAXIMUM_DISTANCE,25.0,,
35,0,ALL,54DODX,ANY_DISTANCE,,,
35,1,ALL,68DODX,ANY_DISTANCE,,,
35,2,ALL,commercial medium railcar,ANY_DISTANCE,,,
35,3,ALL,50FLAT,ANY_DISTANCE,,,
35,4,ALL,68FLAT,ANY_DISTANCE,,,
35,5,ALL,75FLAT,ANY_DISTANCE,,,
36,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
36,1,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
36,2,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
36,3,ALL,M123 10-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
36,4,ALL,M123 10-Ton Tractor/M870 40-Ton Lowbed,ANY_DISTANCE,,,
36,5,ALL,M818 5-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
36,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
36,7,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
36,8,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
36,9,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
37,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
38,0,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
38,1,ALL,M1074 PLS,ANY_DISTANCE,,,
38,2,ALL,M1075 PLS,ANY_DISTANCE,,,
38,3,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
38,4,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
38,5,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
38,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
38,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
38,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
38,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
39,0,ALL,50DODX,ANY_DISTANCE,,,
39,1,ALL,60BOX,ANY_DISTANCE,,,
39,2,ALL,commercial boxcar,ANY_DISTANCE,,,
40,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
41,0,ALL,M1074 PLS,ANY_DISTANCE,,,
41,1,ALL,M1075 PLS,ANY_DISTANCE,,,
41,2,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
41,3,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
41,4,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
41,5,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
41,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
41,7,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
41,8,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
42,0,ALL,50FLAT,ANY_DISTANCE,,,
42,1,ALL,68FLAT,ANY_DISTANCE,,,
42,2,ALL,75FLAT,ANY_DISTANCE,,,
42,3,ALL,89FLAT,ANY_DISTANCE,,,
42,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
43,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
44,0,ALL,M1074 PLS,ANY_DISTANCE,,,
44,1,ALL,M1075 PLS,ANY_DISTANCE,,,
44,2,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
44,3,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
44,4,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
44,5,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
44,6,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
44,7,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
44,8,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
45,0,ALL,50FLAT,ANY_DISTANCE,,,
45,1,ALL,68FLAT,ANY_DISTANCE,,,
45,2,ALL,75FLAT,ANY_DISTANCE,,,
45,3,ALL,89FLAT,ANY_DISTANCE,,,
45,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
46,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
47,0,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
47,1,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
47,2,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
47,3,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
47,4,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
47,5,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
47,6,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
47,7,ALL,M1074 PLS,ANY_DISTANCE,,,
47,8,ALL,M1075 PLS,ANY_DISTANCE,,,
48,0,ALL,50FLAT,ANY_DISTANCE,,,
48,1,ALL,68FLAT,ANY_DISTANCE,,,
48,2,ALL,75FLAT,ANY_DISTANCE,,,
48,3,ALL,89FLAT,ANY_DISTANCE,,,
48,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
49,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
50,0,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
50,1,ALL,M1074 PLS,ANY_DISTANCE,,,
50,2,ALL,M1075 PLS,ANY_DISTANCE,,,
50,3,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
50,4,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
50,5,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
50,6,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
50,7,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
50,8,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
50,9,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
50,10,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
